entry_time,exit_time,position,entry_price,exit_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2024-12-12 10:35:00,2024-12-12 10:40:00,SELL,24611.05,24614.38,24604.38,24614.38,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.24,700"
2024-12-12 10:55:00,2024-12-12 11:00:00,SELL,24602.1,24605.43,24595.43,24605.43,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.24,400"
2024-12-13 09:20:00,2024-12-13 09:25:00,BUY,24419.65,24416.32,24426.32,24416.32,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.24,100"
2024-12-13 09:25:00,2024-12-13 09:30:00,BUY,24419.25,24415.92,24425.92,24415.92,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.23,800"
2024-12-17 10:15:00,2024-12-17 10:55:00,SELL,24504.85,24466.42,24498.18,24508.18,75,38.43,2832.0,8,TRAILING_STOP_7,73.0,"Rs.26,632"
2024-12-17 11:00:00,2024-12-17 11:05:00,SELL,24482.1,24485.43,24475.43,24485.43,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.26,332"
2024-12-17 12:10:00,2024-12-17 12:20:00,SELL,24379.25,24374.54,24372.58,24382.58,75,4.71,303.38,2,TRAILING_STOP_1,90.0,"Rs.26,635"
2024-12-19 09:20:00,2024-12-19 09:25:00,BUY,23909.55,23906.22,23916.22,23906.22,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.26,335"
2024-12-19 09:25:00,2024-12-19 10:10:00,BUY,23885.7,23936.25,23892.37,23882.37,75,50.55,3741.13,9,TRAILING_STOP_8,90.0,"Rs.30,077"
2024-12-19 10:10:00,2024-12-19 10:15:00,SELL,23929.75,23933.08,23923.08,23933.08,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.29,777"
2024-12-20 13:35:00,2024-12-20 13:50:00,SELL,23729.6,23716.43,23722.93,23732.93,75,13.17,938.0,3,TRAILING_STOP_2,90.0,"Rs.30,715"
2024-12-20 14:00:00,2024-12-20 14:15:00,SELL,23700.15,23697.97,23693.48,23703.48,75,2.18,113.25,3,TRAILING_STOP_1,90.0,"Rs.30,828"
2024-12-20 14:30:00,2024-12-20 14:40:00,SELL,23690.6,23686.46,23683.93,23693.93,75,4.14,260.63,2,TRAILING_STOP_1,90.0,"Rs.31,088"
2024-12-20 14:45:00,2024-12-20 15:25:00,SELL,23673.85,23628.43,23667.18,23677.18,75,45.42,3356.25,8,TRAILING_STOP_7,90.0,"Rs.34,445"
2024-12-23 10:05:00,2024-12-23 10:10:00,BUY,23795.95,23792.62,23802.62,23792.62,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.34,145"
2024-12-23 12:35:00,2024-12-23 12:40:00,SELL,23716.65,23719.98,23709.98,23719.98,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.33,845"
2024-12-24 09:15:00,2024-12-24 09:20:00,BUY,23767.95,23764.62,23774.62,23764.62,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.33,545"
2024-12-24 10:25:00,2024-12-24 10:40:00,BUY,23852.8,23849.94,23859.47,23849.47,75,-2.86,-264.75,3,TRAILING_STOP_1,90.0,"Rs.33,280"
2024-12-27 09:25:00,2024-12-27 09:40:00,SELL,23856.1,23848.69,23849.43,23859.43,75,7.41,506.0,3,TRAILING_STOP_2,90.0,"Rs.33,786"
2024-12-27 10:05:00,2024-12-27 10:10:00,SELL,23917.6,23920.93,23910.93,23920.93,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.33,486"
2024-12-27 10:50:00,2024-12-27 11:00:00,BUY,23902.3,23898.97,23908.97,23898.97,75,-3.33,-300.0,2,STOP_LOSS,90.0,"Rs.33,186"
2024-12-30 09:40:00,2024-12-30 10:55:00,BUY,23725.05,23804.65,23731.72,23721.72,75,79.6,5919.63,15,TRAILING_STOP_12,90.0,"Rs.39,106"
2024-12-30 13:00:00,2024-12-30 13:05:00,SELL,23767.2,23770.53,23760.53,23770.53,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.38,806"
2024-12-30 13:05:00,2024-12-30 13:10:00,SELL,23764.9,23768.23,23758.23,23768.23,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.38,506"
2024-12-31 09:40:00,2024-12-31 09:50:00,SELL,23523.4,23517.98,23516.73,23526.73,75,5.42,356.25,2,TRAILING_STOP_1,90.0,"Rs.38,862"
2024-12-31 10:00:00,2024-12-31 10:15:00,SELL,23521.0,23511.91,23514.33,23524.33,75,9.09,632.0,3,TRAILING_STOP_2,90.0,"Rs.39,494"
2024-12-31 10:25:00,2024-12-31 10:30:00,SELL,23507.55,23510.88,23500.88,23510.88,75,-3.33,-300.0,1,STOP_LOSS,87.0,"Rs.39,194"
2024-12-31 14:05:00,2024-12-31 14:10:00,BUY,23687.1,23683.77,23693.77,23683.77,75,-3.33,-300.0,1,STOP_LOSS,80.5,"Rs.38,894"
2025-01-01 11:00:00,2025-01-01 11:25:00,BUY,23741.55,23751.29,23748.22,23738.22,75,9.74,680.38,5,TRAILING_STOP_2,89.3,"Rs.39,574"
2025-01-02 10:20:00,2025-01-02 10:25:00,BUY,23877.85,23874.52,23884.52,23874.52,75,-3.33,-300.0,1,STOP_LOSS,76.5,"Rs.39,274"
2025-01-02 10:35:00,2025-01-02 11:45:00,BUY,23870.95,23951.28,23877.62,23867.62,75,80.33,5974.88,14,TRAILING_STOP_13,90.0,"Rs.45,249"
2025-01-02 11:55:00,2025-01-02 12:10:00,BUY,23937.4,23947.65,23944.07,23934.07,75,10.25,718.63,3,TRAILING_STOP_2,90.0,"Rs.45,968"
2025-01-02 12:30:00,2025-01-02 12:35:00,SELL,24046.75,24050.08,24040.08,24050.08,75,-3.33,-300.0,1,STOP_LOSS,80.8,"Rs.45,668"
2025-01-03 09:45:00,2025-01-03 09:50:00,SELL,24076.25,24079.58,24069.58,24079.58,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.45,368"
2025-01-03 09:50:00,2025-01-03 10:00:00,SELL,24072.75,24076.78,24066.08,24076.08,75,-4.03,-352.5,2,TRAILING_STOP_1,90.0,"Rs.45,015"
2025-01-06 10:50:00,2025-01-06 10:55:00,SELL,23834.85,23838.18,23828.18,23838.18,75,-3.33,-300.0,1,STOP_LOSS,82.3,"Rs.44,715"
2025-01-06 10:55:00,2025-01-06 12:30:00,SELL,23831.5,23711.83,23824.83,23834.83,75,119.67,8925.25,19,TRAILING_STOP_18,82.1,"Rs.53,640"
2025-01-06 14:10:00,2025-01-06 14:15:00,SELL,23623.85,23627.18,23617.18,23627.18,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.53,090"
2025-01-07 09:35:00,2025-01-07 09:45:00,BUY,23780.0,23776.67,23786.67,23776.67,150,-3.33,-550.0,2,STOP_LOSS,90.0,"Rs.52,540"
2025-01-07 09:50:00,2025-01-07 09:55:00,BUY,23687.05,23683.72,23693.72,23683.72,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.51,990"
2025-01-08 12:30:00,2025-01-08 12:35:00,SELL,23510.15,23513.48,23503.48,23513.48,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.51,440"
2025-01-08 12:45:00,2025-01-08 12:50:00,SELL,23519.7,23523.03,23513.03,23523.03,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.50,890"
2025-01-09 11:30:00,2025-01-09 11:35:00,SELL,23553.1,23556.43,23546.43,23556.43,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.50,340"
2025-01-10 11:25:00,2025-01-10 11:40:00,BUY,23554.95,23545.94,23561.62,23551.62,150,-9.01,-1402.0,3,TRAILING_STOP_1,90.0,"Rs.48,938"
2025-01-10 11:45:00,2025-01-10 11:50:00,BUY,23529.05,23525.72,23535.72,23525.72,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,638"
2025-01-13 09:35:00,2025-01-13 09:40:00,SELL,23219.75,23223.08,23213.08,23223.08,75,-3.33,-300.0,1,STOP_LOSS,76.2,"Rs.48,338"
2025-01-13 10:05:00,2025-01-13 10:10:00,SELL,23249.85,23253.18,23243.18,23253.18,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,038"
2025-01-14 09:45:00,2025-01-14 09:50:00,BUY,23198.35,23195.02,23205.02,23195.02,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,738"
2025-01-15 11:05:00,2025-01-15 11:25:00,BUY,23250.95,23254.52,23257.62,23247.62,75,3.57,217.88,4,TRAILING_STOP_1,90.0,"Rs.47,956"
2025-01-16 09:55:00,2025-01-16 10:00:00,BUY,23310.85,23307.52,23317.52,23307.52,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,656"
2025-01-20 10:30:00,2025-01-20 10:40:00,BUY,23259.45,23256.12,23266.12,23256.12,75,-3.33,-300.0,2,STOP_LOSS,90.0,"Rs.47,356"
2025-01-20 10:50:00,2025-01-20 10:55:00,BUY,23265.4,23262.07,23272.07,23262.07,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,056"
2025-01-21 10:40:00,2025-01-21 10:45:00,SELL,23186.6,23189.93,23179.93,23189.93,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.46,756"
2025-01-21 10:50:00,2025-01-21 11:15:00,SELL,23196.85,23170.71,23190.18,23200.18,75,26.14,1910.25,5,TRAILING_STOP_4,90.0,"Rs.48,667"
2025-01-21 11:20:00,2025-01-21 11:30:00,SELL,23160.25,23156.72,23153.58,23163.58,75,3.53,214.5,2,TRAILING_STOP_1,90.0,"Rs.48,881"
2025-01-21 15:00:00,2025-01-21 15:05:00,SELL,23017.9,23021.23,23011.23,23021.23,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,581"
2025-01-22 14:55:00,2025-01-22 15:00:00,BUY,23159.4,23156.07,23166.07,23156.07,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,281"
2025-01-22 15:10:00,2025-01-22 15:15:00,BUY,23164.25,23160.92,23170.92,23160.92,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,981"
2025-01-23 09:20:00,2025-01-23 09:25:00,BUY,23119.05,23115.72,23125.72,23115.72,75,-3.33,-300.0,1,STOP_LOSS,80.3,"Rs.47,681"
2025-01-23 10:20:00,2025-01-23 10:25:00,BUY,23235.9,23232.57,23242.57,23232.57,75,-3.33,-300.0,1,STOP_LOSS,88.4,"Rs.47,381"
2025-01-24 11:45:00,2025-01-24 11:50:00,BUY,23333.85,23330.52,23340.52,23330.52,75,-3.33,-300.0,1,STOP_LOSS,81.6,"Rs.47,081"
