datetime_readable,open,high,low,close,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
2025-11-27 09:37:00,26272.5,26274.6,26266.15,26269.55,1764216420,26274.89,26273.98,26242.71,26212.26,26195.78,26145.52,26273.03,26266.57,26250.15,26222.36,26194.68,26145.52,20.61,18.91,1.7,63.71,63.55,78.22,80.57,-26.28,59.4,33.41,34.25,15.38,23.05,0.09,0.01,14.5,26309.17,26242.71,26176.25,0.51,70.19,5.16,0.8,1,-0.01,0.01,0.03,0.01,0.01,0.01,1,1,0.1,0.07,0.03,0.13
2025-11-27 09:39:00,26268.3,26270.45,26233.6,26234.05,1764216540,26267.23,26272.05,26244.11,26213.18,26196.51,26146.91,26260.04,26260.66,26248.62,26222.81,26195.46,26146.4,16.77,18.48,-1.71,47.37,51.46,62.76,74.25,-62.15,3.97,31.19,28.65,27.31,-19.25,-0.07,0.01,16.1,26308.57,26244.11,26179.65,0.49,42.2,4.46,0.64,1,-0.14,0.14,0.14,0.13,0.01,0.0,1,1,-0.04,-0.06,0.05,0.13
2025-11-27 09:41:00,26233.4,26254.75,26230.1,26234.1,1764216660,26258.03,26267.4,26245.42,26214.06,26197.22,26148.3,26251.39,26255.83,26247.23,26223.26,26196.22,26147.27,13.58,17.5,-3.93,47.39,51.47,46.88,62.62,-70.92,-15.19,29.01,25.63,25.93,-46.5,-0.18,0.01,16.71,26307.92,26245.42,26182.91,0.48,40.95,3.74,0.48,1,0.0,0.0,0.09,0.0,0.08,0.01,1,1,-0.04,-0.05,0.07,0.12
2025-11-27 09:43:00,26234.1,26239.2,26225.2,26236.6,1764216780,26249.36,26263.59,26247.12,26215.01,26197.92,26149.63,26246.46,26252.33,26246.22,26223.78,26197.02,26148.16,11.11,16.23,-5.11,48.47,52.18,28.54,46.06,-81.31,-35.17,27.27,24.08,26.48,-38.1,-0.15,0.01,16.51,26306.64,26247.12,26187.61,0.45,41.16,2.94,0.32,1,0.01,0.01,0.05,0.01,0.01,0.03,1,1,-0.04,-0.04,0.08,0.12
2025-11-27 09:45:00,26236.15,26238.7,26223.7,26238.7,1764216900,26242.6,26260.4,26248.88,26215.93,26198.64,26150.96,26243.87,26249.86,26245.5,26224.36,26197.85,26149.06,9.23,14.83,-5.6,49.41,52.79,22.88,32.77,-79.12,-41.69,25.76,22.51,25.4,-31.85,-0.12,0.01,16.4,26305.14,26248.88,26192.62,0.43,40.96,2.13,0.19,1,0.01,0.01,0.06,0.01,0.0,0.05,-1,1,-0.04,-0.03,0.08,0.11
2025-11-27 09:47:00,26238.65,26251.2,26238.65,26246.65,1764217020,26238.02,26256.46,26250.69,26216.92,26199.4,26152.35,26244.8,26249.27,26245.61,26225.24,26198.81,26150.03,8.28,13.52,-5.24,52.91,55.05,23.84,25.09,-68.06,-15.93,24.31,26.79,23.99,-39.5,-0.15,0.01,16.13,26304.15,26250.69,26197.23,0.41,46.22,1.49,0.1,1,0.03,0.03,0.05,0.03,0.02,0.0,-1,1,-0.02,0.0,0.08,0.1
2025-11-27 09:49:00,26246.25,26250.2,26242.4,26249.5,1764217140,26241.11,26254.17,26252.76,26217.95,26200.22,26153.72,26246.37,26249.31,26245.98,26226.19,26199.82,26151.02,7.67,12.35,-4.68,54.13,55.85,29.58,25.43,-64.09,-17.7,22.97,25.83,23.13,-22.85,-0.09,0.01,15.53,26302.53,26252.76,26203.0,0.38,46.72,0.8,0.03,1,0.01,0.01,0.03,0.01,0.0,0.01,-1,1,-0.01,0.01,0.07,0.1
2025-11-27 09:51:00,26249.05,26258.55,26249.05,26255.55,1764217260,26245.4,26251.72,26255.52,26219.54,26201.12,26155.1,26249.43,26250.45,26246.89,26227.34,26200.92,26152.06,7.59,11.39,-3.81,56.7,57.53,38.81,30.74,-51.41,-3.82,22.25,28.62,22.09,-24.55,-0.09,0.01,15.1,26299.11,26255.52,26211.92,0.33,50.04,0.02,0.0,1,0.02,0.02,0.04,0.02,0.01,0.0,-1,1,0.0,0.03,0.06,0.09
2025-11-27 09:53:00,26256.7,26267.2,26255.85,26258.7,1764217380,26249.82,26249.59,26258.28,26221.04,26202.01,26156.44,26252.52,26251.95,26248.02,26228.57,26202.07,26153.12,7.68,10.65,-2.97,58.02,58.39,45.96,38.12,-46.61,9.19,22.07,31.17,20.86,-21.25,-0.08,0.01,14.86,26294.76,26258.28,26221.8,0.28,50.58,-0.76,0.06,-1,0.01,0.01,0.04,0.01,0.03,0.0,-1,1,0.0,0.04,0.05,0.07
2025-11-27 09:55:00,26258.75,26273.3,26258.75,26272.2,1764217500,26256.52,26249.56,26260.62,26222.86,26203.03,26157.84,26259.08,26255.63,26250.32,26230.28,26203.45,26154.31,8.75,10.27,-1.52,63.2,61.88,58.66,47.81,-26.01,35.06,22.24,31.92,19.39,-0.3,-0.0,0.01,14.84,26294.26,26260.62,26226.97,0.26,67.21,-1.08,0.14,-1,0.05,0.05,0.06,0.05,0.0,0.0,-1,1,0.04,0.08,0.05,0.07
2025-11-27 09:57:00,26271.25,26277.45,26269.15,26274.35,1764217620,26262.06,26250.04,26262.01,26224.73,26204.12,26159.15,26264.17,26259.03,26252.61,26232.01,26204.86,26155.5,9.66,10.15,-0.49,63.97,62.41,71.3,58.64,-13.49,54.17,22.62,32.67,18.59,4.8,0.02,0.01,14.37,26295.51,26262.01,26228.51,0.26,68.42,-1.1,0.14,-1,0.01,0.01,0.03,0.01,0.01,0.01,1,1,0.05,0.08,0.06,0.07
2025-11-27 09:59:00,26276.2,26288.5,26276.2,26286.9,1764217740,26269.54,26255.32,26263.69,26226.86,26205.32,26160.55,26271.75,26264.1,26255.88,26234.16,26206.48,26156.81,11.26,10.37,0.89,68.12,65.35,86.01,71.99,-2.47,92.16,23.5,35.86,17.28,52.85,0.2,0.01,14.36,26298.61,26263.69,26228.76,0.27,83.23,-0.89,0.09,-1,0.05,0.05,0.05,0.04,0.01,0.0,1,1,0.09,0.12,0.07,0.07
2025-11-27 10:01:00,26286.2,26290.05,26277.05,26289.85,1764217860,26276.4,26260.9,26264.15,26229.07,26206.54,26161.98,26277.78,26268.78,26259.11,26236.35,26208.13,26158.13,12.63,10.82,1.8,69.02,66.0,94.58,83.96,-0.3,94.01,24.39,34.3,16.16,55.75,0.21,0.01,14.26,26300.19,26264.15,26228.11,0.27,85.66,-0.25,0.01,-1,0.01,0.01,0.05,0.01,0.0,0.03,1,1,0.1,0.12,0.07,0.07
2025-11-27 10:03:00,26291.75,26295.9,26285.9,26287.75,1764217980,26282.21,26266.02,26264.8,26231.17,26207.71,26163.41,26281.1,26272.23,26261.84,26238.36,26209.71,26159.42,13.38,11.33,2.05,67.55,65.08,95.31,91.97,-11.29,108.21,25.48,35.54,15.33,51.15,0.19,0.01,13.95,26302.03,26264.8,26227.57,0.28,80.82,0.26,0.01,1,-0.01,0.01,0.04,0.02,0.02,0.01,1,1,0.09,0.1,0.07,0.07
2025-11-27 10:05:00,26288.35,26299.0,26288.35,26294.25,1764218100,26286.62,26271.57,26265.99,26233.13,26208.87,26164.84,26285.49,26276.23,26264.93,26240.55,26211.38,26160.77,14.34,11.94,2.4,69.7,66.6,94.03,94.64,-6.31,113.0,26.64,35.08,14.43,55.55,0.21,0.01,13.76,26305.32,26265.99,26226.65,0.3,85.92,0.77,0.05,1,0.02,0.02,0.04,0.02,0.02,0.0,1,1,0.11,0.11,0.07,0.08
2025-11-27 10:07:00,26294.4,26306.95,26292.15,26292.15,1764218220,26290.18,26276.12,26266.29,26235.22,26209.95,26166.18,26287.71,26279.13,26267.52,26242.58,26212.98,26162.07,14.76,12.5,2.26,68.13,65.63,88.21,92.52,-17.78,118.01,28.06,36.5,13.33,45.5,0.17,0.01,13.84,26306.32,26266.29,26226.26,0.3,82.3,1.46,0.18,1,-0.01,0.01,0.06,0.01,0.05,0.0,1,1,0.1,0.09,0.06,0.08
2025-11-27 10:09:00,26294.35,26295.3,26275.75,26276.65,1764218340,26288.13,26278.84,26266.5,26236.96,26210.88,26167.35,26284.02,26278.68,26268.39,26243.91,26214.24,26163.21,13.68,12.74,0.95,57.79,59.0,79.84,87.36,-36.4,60.12,27.76,32.92,20.25,27.15,0.1,0.01,14.24,26306.71,26266.5,26226.3,0.31,62.62,1.7,0.24,1,-0.06,0.06,0.07,0.07,0.0,0.0,1,1,0.04,0.03,0.05,0.08
