,datetime_readable,open,high,low,close,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
0,2025-09-24 05:30:00,25108.75,25149.85,25027.45,25056.9,1758672000,25235.88,25193.75,24943.75,24881.9,24924.72,24160.75,25168.38,25140.75,25041.89,24929.88,24732.95,24160.75,112.74,94.05,18.69,52.17,52.43,64.0,75.09,-47.36,35.25,19.45,26.42,23.34,83.8,0.34,0.06,168.17,25520.53,24943.75,24366.98,4.62,59.81,45.46,0.83,1,-0.45,0.45,0.49,0.21,0.16,0.12,1,1,0.45,0.06,0.54,1.19
1,2025-09-25 05:30:00,25034.5,25092.7,24878.3,24890.85,1758758400,25129.33,25182.28,24963.25,24875.8,24929.84,24161.81,25075.87,25095.31,25027.5,24928.34,24736.08,24168.01,86.23,92.49,-6.26,46.2,48.57,46.29,61.9,-80.01,-4.11,18.53,24.06,27.47,-114.65,-0.46,0.06,171.48,25504.07,24963.25,24422.43,4.33,43.31,37.71,0.65,1,-0.66,0.66,0.86,0.58,0.23,0.05,1,1,-0.29,-0.55,0.63,1.11
2,2025-09-26 05:30:00,24818.55,24868.6,24629.45,24654.7,1758844800,24994.86,25136.35,24974.64,24864.65,24932.24,24161.99,24935.48,25015.2,24992.0,24917.61,24734.46,24172.85,45.64,83.12,-37.48,39.31,43.76,25.24,45.18,-96.92,-83.0,18.87,21.53,34.58,-459.3,-1.83,0.06,177.9,25478.09,24974.64,24471.2,4.03,18.22,24.83,0.32,1,-0.95,0.95,0.97,0.66,0.2,0.1,1,1,-1.28,-1.35,0.91,1.03
3,2025-09-29 05:30:00,24728.55,24791.3,24606.2,24634.9,1759104000,24881.37,25092.92,24975.14,24855.12,24935.85,24162.11,24835.29,24946.06,24957.99,24906.53,24732.49,24177.45,11.74,68.84,-57.1,38.79,43.38,8.83,26.78,-96.59,-100.14,19.28,19.94,32.94,-434.3,-1.73,0.05,178.41,25477.23,24975.14,24473.04,4.02,16.12,14.46,0.11,1,-0.08,0.08,0.75,0.38,0.25,0.12,-1,1,-1.36,-1.29,1.11,1.03
4,2025-09-30 05:30:00,24691.95,24731.8,24587.7,24611.1,1759190400,24769.69,25030.12,24976.71,24847.98,24941.88,24161.96,24760.56,24885.15,24924.95,24894.94,24730.09,24181.77,-16.85,51.7,-68.56,38.13,42.91,3.07,12.38,-97.28,-112.22,19.74,18.77,31.77,-628.0,-2.49,0.04,175.96,25474.01,24976.71,24479.41,3.98,13.24,3.01,0.0,1,-0.1,0.1,0.59,0.33,0.16,0.1,-1,1,-1.46,-1.26,1.25,1.02
5,2025-10-01 05:30:00,24620.55,24867.95,24605.95,24836.3,1759276800,24725.57,24980.72,24982.77,24842.89,24941.0,24163.4,24785.81,24876.27,24916.51,24892.64,24732.19,24188.28,-21.1,37.14,-58.24,47.23,48.44,11.67,7.85,-71.12,-74.63,19.22,22.18,28.5,-493.95,-1.95,0.03,182.11,25470.02,24982.77,24495.53,3.9,34.97,-3.12,0.01,-1,0.92,0.92,1.05,0.87,0.13,0.06,-1,1,-0.59,-0.32,1.19,1.0
6,2025-10-03 05:30:00,24759.55,24904.8,24747.55,24894.25,1759449600,24726.25,24927.79,24990.77,24839.56,24944.16,24164.03,24821.95,24879.54,24914.39,24892.7,24735.4,24195.3,-19.56,25.8,-45.36,49.29,49.76,22.4,12.38,-64.39,-49.39,18.5,22.26,26.73,-529.35,-2.08,0.02,180.33,25466.55,24990.77,24514.99,3.81,39.86,-8.31,0.04,-1,0.23,0.23,0.63,0.54,0.04,0.05,-1,1,-0.39,-0.08,1.02,0.98
7,2025-10-06 05:30:00,24916.55,25095.95,24881.65,25077.65,1759708800,24810.84,24902.85,25007.6,24836.71,24948.26,24166.08,24907.19,24915.56,24929.94,24899.96,24742.18,24204.08,-3.51,19.94,-23.45,55.26,53.68,40.47,24.85,-43.09,3.43,17.64,27.87,24.49,-249.4,-0.98,0.02,182.76,25470.5,25007.6,24544.71,3.7,57.57,-11.01,0.08,-1,0.74,0.74,0.85,0.64,0.07,0.14,-1,1,0.28,0.59,0.89,0.95
8,2025-10-07 05:30:00,25085.3,25220.9,25076.3,25108.3,1759795200,24905.52,24893.44,25024.36,24837.63,24948.73,24169.94,24974.22,24950.6,24946.92,24908.13,24749.43,24213.08,11.56,18.26,-6.7,56.19,54.31,51.0,37.96,-39.52,40.67,17.45,31.23,23.08,-94.05,-0.37,0.01,180.03,25476.22,25024.36,24572.5,3.61,59.29,-13.28,0.11,-1,0.12,0.12,0.58,0.09,0.45,0.04,-1,1,0.34,0.65,0.84,0.93
9,2025-10-08 05:30:00,25079.75,25192.5,25008.5,25046.15,1759881600,24992.53,24881.11,25033.24,24841.82,24948.99,24174.17,24998.2,24967.98,24956.37,24913.54,24755.3,24221.37,18.27,18.27,0.01,53.75,52.79,56.88,49.45,-46.74,17.59,16.86,28.95,24.09,-123.35,-0.49,0.01,180.32,25479.45,25033.24,24587.02,3.56,51.45,-15.43,0.16,-1,-0.25,0.25,0.73,0.13,0.45,0.15,-1,1,0.05,0.36,0.78,0.91
10,2025-10-09 05:30:00,25074.3,25199.25,25024.3,25181.8,1759968000,25061.63,24893.6,25043.67,24851.84,24951.35,24180.32,25059.4,25006.85,24977.84,24924.06,24763.75,24230.93,34.15,21.44,12.7,58.03,55.64,61.38,56.42,-29.58,34.76,16.34,27.21,22.41,124.9,0.5,0.01,179.93,25493.52,25043.67,24593.82,3.59,65.35,-14.25,0.13,-1,0.54,0.54,0.69,0.43,0.07,0.2,1,1,0.55,0.82,0.84,0.92
11,2025-10-10 05:30:00,25167.65,25330.75,25156.85,25285.35,1760054400,25139.85,24933.05,25057.66,24861.12,24957.37,24188.81,25134.72,25057.49,25007.13,24938.23,24774.08,24241.42,54.45,28.04,26.41,60.99,57.68,72.48,63.58,-6.23,75.01,16.52,30.56,20.86,394.5,1.58,0.02,179.5,25519.15,25057.66,24596.18,3.68,74.67,-11.4,0.08,-1,0.41,0.41,0.69,0.47,0.18,0.04,1,1,0.91,1.11,0.97,0.94
12,2025-10-13 05:30:00,25177.3,25267.3,25152.3,25227.35,1760313600,25169.79,24990.32,25063.33,24868.57,24961.51,24196.18,25165.59,25088.37,25028.1,24949.57,24783.05,24251.23,65.12,35.46,29.66,58.5,56.16,83.42,72.43,-13.92,55.71,16.66,28.91,19.92,572.65,2.32,0.02,176.18,25530.2,25063.33,24596.46,3.73,67.57,-8.09,0.04,-1,-0.23,0.23,0.46,0.2,0.16,0.1,1,1,0.65,0.8,0.95,0.96
13,2025-10-14 05:30:00,25277.55,25310.35,25060.55,25145.5,1760400000,25177.23,25041.38,25067.15,24876.11,24966.87,24203.27,25158.9,25098.76,25039.28,24957.25,24790.23,24260.13,66.2,41.61,24.59,55.08,54.05,84.97,80.29,-24.93,37.53,16.14,26.07,21.58,510.6,2.07,0.03,181.44,25535.39,25067.15,24598.9,3.74,58.37,-6.82,0.03,-1,-0.32,0.32,0.99,0.53,0.13,0.34,1,1,0.31,0.42,0.82,0.96
14,2025-10-15 05:30:00,25181.95,25365.15,25159.35,25323.55,1760486400,25232.71,25112.62,25071.37,24891.27,24971.57,24211.14,25213.78,25139.63,25066.36,24971.62,24800.79,24270.71,80.5,49.39,31.11,60.49,57.68,85.27,84.56,-5.35,74.46,15.96,25.97,19.74,712.45,2.89,0.03,184.17,25547.2,25071.37,24595.54,3.8,76.5,-0.45,0.0,-1,0.71,0.71,0.81,0.56,0.16,0.09,1,1,1.01,1.03,0.63,0.97
15,2025-10-16 05:30:00,25394.9,25625.4,25376.85,25585.3,1760572800,25313.41,25187.52,25084.12,24908.52,24977.41,24220.0,25337.62,25220.66,25115.78,24995.68,24816.33,24283.79,111.66,61.84,49.82,66.82,62.29,88.62,86.29,-3.86,151.65,16.98,32.72,17.53,749.0,3.02,0.04,192.58,25599.08,25084.12,24569.16,4.11,98.66,10.98,0.06,1,1.03,1.03,0.97,0.74,0.16,0.07,1,1,2.0,1.87,0.74,1.05
16,2025-10-17 05:30:00,25546.85,25781.5,25508.6,25709.85,1760659200,25398.31,25269.08,25098.44,24929.73,24986.25,24230.32,25461.7,25309.6,25172.36,25023.69,24834.02,24297.98,144.74,78.42,66.32,69.34,64.24,94.93,89.6,-6.0,182.72,18.48,35.12,15.8,815.6,3.28,0.05,198.31,25663.79,25098.44,24533.08,4.51,104.07,25.28,0.27,1,0.49,0.49,1.06,0.63,0.28,0.15,1,1,2.44,2.14,0.87,1.16
17,2025-10-20 05:30:00,25824.6,25926.2,25788.5,25843.15,1760918400,25521.47,25345.63,25124.24,24955.11,24997.15,24241.32,25588.85,25406.61,25236.24,25055.82,24854.0,24313.35,179.64,98.67,80.98,71.8,66.2,94.64,92.73,-6.2,211.2,20.31,37.58,14.58,765.5,3.05,0.06,199.6,25770.33,25124.24,24478.15,5.14,105.64,39.53,0.5,1,0.52,0.52,0.53,0.07,0.32,0.14,1,1,2.86,2.4,1.08,1.32
18,2025-10-21 05:30:00,25901.2,25934.35,25825.8,25868.6,1761004800,25666.09,25421.66,25157.55,24980.56,25007.5,24251.94,25682.1,25490.61,25296.47,25087.7,24874.09,24328.83,206.97,120.33,86.64,72.26,66.57,94.28,94.62,-4.95,182.57,22.03,36.37,14.0,760.3,3.03,0.07,193.1,25880.45,25157.55,24434.65,5.75,99.18,51.4,0.67,1,0.1,0.1,0.42,0.13,0.13,0.17,1,1,2.83,2.26,1.19,1.47
19,2025-10-23 05:30:00,26057.2,26104.2,25862.45,25891.4,1761177600,25779.66,25506.18,25193.65,25011.12,25018.91,24260.46,25751.87,25563.48,25353.13,25119.21,24894.24,24344.38,227.84,141.83,86.01,72.69,66.9,91.05,93.33,-15.69,164.0,24.1,39.35,12.77,845.25,3.37,0.09,196.57,25984.25,25193.65,24403.05,6.28,94.13,62.07,0.82,1,0.09,0.09,0.93,0.64,0.18,0.11,1,1,2.77,2.12,1.2,1.61
20,2025-10-24 05:30:00,25935.1,25944.15,25718.2,25795.15,1761264000,25821.63,25567.52,25230.56,25035.32,25029.7,24269.41,25766.29,25605.6,25395.22,25145.72,24912.08,24358.81,233.92,160.25,73.67,67.92,64.03,84.7,90.01,-25.28,115.66,24.97,36.15,16.92,613.35,2.44,0.1,198.67,26060.15,25230.56,24400.97,6.58,84.03,68.5,0.91,1,-0.37,0.37,0.88,0.54,0.04,0.3,1,1,2.24,1.57,1.15,1.69
21,2025-10-27 05:30:00,25843.2,26005.95,25827.0,25966.05,1761523200,25872.87,25635.59,25284.32,25064.9,25043.93,24281.16,25832.88,25671.14,25449.59,25177.89,24932.95,24374.8,249.65,178.13,71.52,71.49,66.7,82.14,85.96,-12.61,118.49,25.97,35.64,15.64,680.7,2.69,0.11,199.54,26157.11,25284.32,24411.53,6.9,89.05,73.65,0.95,1,0.66,0.66,0.69,0.47,0.15,0.06,1,1,2.7,2.03,1.17,1.77
