open,high,low,close,volume,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
46133.4,46149.8,46105.4,46135.1,0,1694764200,46122.96,46106.63,46146.42,46142.51,46049.3,45904.19,46124.55,46122.68,46133.56,46118.89,46049.35,45904.19,-10.68,-9.2,-1.47,49.92,50.89,44.39,39.51,-49.76,-21.38,24.55,23.22,25.64,92.2,0.2,-0.0,41.72,46271.44,46146.42,46021.4,0.54,45.47,-7.41,0.47,-1,0.01,0.01,0.1,0.0,0.03,0.06,-1,-1,-0.02,0.0,0.05,0.14
46133.9,46164.9,46133.8,46150.7,0,1694764500,46133.8,46112.82,46142.64,46143.69,46050.94,45907.85,46133.27,46127.77,46135.19,46120.13,46051.36,45906.65,-7.83,-8.93,1.1,52.79,52.69,59.0,47.66,-15.17,8.53,22.84,24.59,24.25,61.9,0.13,-0.0,40.96,46262.24,46142.64,46023.05,0.52,53.37,-6.09,0.34,-1,0.03,0.03,0.07,0.04,0.03,0.0,-1,-1,0.02,0.03,0.05,0.13
46148.9,46151.1,46137.1,46140.4,0,1694764800,46138.04,46118.87,46138.53,46143.9,46052.39,45911.17,46135.64,46130.07,46135.69,46120.93,46053.12,45908.97,-6.33,-8.41,2.08,50.72,51.38,70.91,58.1,-22.34,5.47,21.26,23.96,23.63,60.5,0.13,-0.0,39.04,46252.35,46138.53,46024.71,0.49,50.82,-4.86,0.24,-1,-0.02,0.02,0.03,0.02,0.0,0.01,-1,-1,0.0,0.01,0.05,0.13
46140.7,46143.8,46091.9,46095.8,0,1694765100,46130.78,46118.39,46132.56,46143.56,46053.31,45914.22,46122.36,46123.84,46131.89,46119.94,46053.96,45910.83,-8.64,-8.45,-0.18,42.88,46.16,70.57,66.83,-50.77,-39.08,20.83,21.74,29.52,-4.8,-0.01,-0.0,39.96,46242.11,46132.56,46023.01,0.47,33.22,-4.26,0.2,-1,-0.1,0.1,0.11,0.1,0.01,0.01,-1,-1,-0.08,-0.08,0.05,0.12
46096.4,46113.6,46082.2,46104.3,0,1694765400,46125.26,46118.88,46126.6,46144.02,46054.83,45917.97,46116.34,46120.28,46129.26,46119.33,46054.96,45912.76,-9.67,-8.7,-0.97,44.64,47.24,60.79,67.42,-44.53,-51.09,20.64,20.5,29.59,4.9,0.01,-0.0,39.35,46228.44,46126.6,46024.77,0.44,39.05,-3.22,0.13,-1,0.02,0.02,0.07,0.02,0.02,0.03,-1,-1,-0.05,-0.05,0.05,0.11
46103.3,46134.9,46103.0,46115.8,0,1694765700,46121.4,46122.18,46118.65,46145.18,46056.5,45921.91,46116.16,46119.47,46127.98,46119.19,46056.17,45914.78,-9.45,-8.85,-0.6,47.01,48.69,52.95,61.44,-45.85,-6.88,19.81,23.22,27.86,33.0,0.07,-0.0,38.81,46194.42,46118.65,46042.88,0.33,48.12,-1.04,0.02,-1,0.02,0.02,0.07,0.03,0.04,0.0,1,-1,-0.01,-0.03,0.04,0.08
46116.8,46121.1,46098.1,46116.1,0,1694766000,46114.48,46124.14,46112.65,46145.43,46058.23,45925.89,46116.14,46118.86,46126.85,46119.07,46057.35,45916.78,-9.15,-8.91,-0.24,47.08,48.73,53.77,55.84,-48.32,-6.79,19.17,22.21,27.57,19.6,0.04,-0.0,37.68,46165.94,46112.65,46059.36,0.23,53.24,0.78,0.03,1,0.0,0.0,0.05,0.0,0.01,0.04,1,-1,0.01,-0.02,0.04,0.06
46114.7,46154.8,46105.6,46146.8,0,1694766300,46115.76,46126.9,46112.87,46146.8,46060.09,45929.82,46126.36,46123.94,46128.75,46120.16,46059.12,45919.07,-6.36,-8.4,2.04,53.27,52.57,62.62,56.45,-17.99,72.23,17.99,26.43,25.05,27.6,0.06,-0.0,38.51,46166.67,46112.87,46059.06,0.23,81.54,1.74,0.14,1,0.07,0.07,0.11,0.07,0.02,0.02,1,-1,0.07,0.04,0.04,0.06
46143.6,46166.9,46135.4,46158.1,0,1694766600,46128.22,46129.5,46113.59,46148.41,46062.11,45933.8,46136.94,46130.15,46131.54,46121.65,46061.08,45921.45,-3.2,-7.36,4.16,55.34,53.9,75.04,63.81,-8.58,119.95,17.2,27.14,23.57,26.0,0.06,-0.0,38.01,46169.38,46113.59,46057.8,0.24,89.89,2.87,0.35,1,0.02,0.02,0.07,0.03,0.02,0.02,1,-1,0.1,0.06,0.04,0.06
46157.1,46201.9,46154.3,46184.1,0,1694766900,46144.18,46134.72,46116.06,46150.48,46064.43,45938.15,46152.66,46139.96,46136.55,46124.1,46063.52,45924.06,1.39,-5.61,7.0,59.76,56.83,86.83,74.83,-12.94,181.36,17.29,31.22,21.5,52.2,0.11,-0.0,38.69,46179.27,46116.06,46052.86,0.27,103.82,4.21,0.59,1,0.06,0.06,0.1,0.06,0.04,0.01,1,-1,0.15,0.1,0.06,0.07
46186.2,46197.9,46154.9,46197.0,0,1694767200,46160.42,46140.91,46123.77,46152.39,46066.53,45942.22,46167.44,46150.33,46142.31,46126.95,46066.16,45926.78,5.99,-3.29,9.28,61.78,58.22,91.46,84.44,-4.09,165.24,17.37,28.76,19.81,61.9,0.13,-0.0,39.0,46186.99,46123.77,46060.55,0.27,107.92,4.21,0.59,1,0.03,0.03,0.09,0.02,0.0,0.07,1,-1,0.16,0.12,0.07,0.07
46196.9,46219.4,46185.4,46209.3,0,1694767500,46179.06,46146.77,46129.8,46154.63,46068.71,45946.33,46181.39,46161.05,46148.69,46130.18,46069.0,45929.59,10.51,-0.53,11.04,63.66,59.52,91.87,90.06,-7.36,190.95,17.92,30.92,18.56,58.6,0.13,-0.0,38.64,46201.0,46129.8,46058.59,0.31,105.83,4.88,0.63,1,0.03,0.03,0.07,0.03,0.02,0.02,1,-1,0.17,0.13,0.09,0.08
46209.4,46209.6,46172.9,46194.3,0,1694767800,46188.56,46152.16,46135.52,46156.53,46071.03,45950.47,46185.7,46167.1,46153.03,46132.7,46071.48,45932.22,12.74,2.12,10.62,59.81,57.24,90.08,91.14,-18.29,140.99,17.99,28.82,19.62,53.9,0.12,0.0,38.5,46208.13,46135.52,46062.9,0.31,90.48,5.01,0.63,1,-0.03,0.03,0.08,0.03,0.0,0.05,1,-1,0.13,0.09,0.09,0.08
46195.5,46212.3,46184.6,46209.6,0,1694768100,46198.86,46163.54,46140.96,46158.88,46073.83,45954.84,46193.66,46174.82,46158.42,46135.71,46074.21,45934.98,15.56,4.81,10.75,62.31,58.92,89.07,90.34,-7.14,141.71,18.13,27.82,18.59,113.8,0.25,0.0,37.73,46218.48,46140.96,46063.45,0.34,94.27,5.52,0.67,1,0.03,0.03,0.06,0.03,0.01,0.02,1,1,0.15,0.11,0.09,0.09
46210.8,46230.9,46198.1,46220.4,0,1694768400,46206.12,46175.15,46147.02,46161.59,46076.76,45958.89,46202.58,46183.11,46164.32,46139.03,46077.11,45937.82,18.45,7.54,10.91,64.02,60.09,89.17,89.44,-7.06,146.9,18.69,29.63,17.42,116.1,0.25,0.0,37.38,46229.35,46147.02,46064.68,0.36,94.57,6.0,0.71,1,0.02,0.02,0.07,0.02,0.02,0.03,1,1,0.16,0.12,0.08,0.09
46219.1,46231.6,46195.9,46216.9,0,1694768700,46210.1,46185.26,46153.72,46163.91,46080.31,45962.89,46207.35,46189.25,46169.33,46142.09,46079.88,45940.6,20.23,10.08,10.15,63.02,59.51,91.99,90.07,-9.84,125.23,19.12,27.6,16.65,101.1,0.22,0.0,37.26,46235.88,46153.72,46071.56,0.36,88.45,5.98,0.71,1,-0.01,0.01,0.08,0.0,0.03,0.05,1,1,0.14,0.1,0.07,0.09
46216.3,46247.1,46203.6,46234.5,0,1694769000,46215.14,46197.1,46160.62,46166.51,46083.99,45966.96,46216.4,46197.48,46175.54,46145.71,46082.94,45943.52,22.8,12.62,10.18,65.89,61.46,91.82,90.99,-7.64,130.71,19.88,28.26,15.28,118.4,0.26,0.0,37.71,46245.53,46160.62,46075.71,0.37,93.5,6.24,0.72,1,0.04,0.04,0.09,0.04,0.03,0.03,1,1,0.16,0.13,0.06,0.09
46235.6,46254.1,46182.1,46208.9,0,1694769300,46218.06,46203.31,46165.1,46168.73,46086.77,45970.74,46213.9,46199.56,46178.71,46148.19,46085.43,45946.16,22.51,14.6,7.91,58.75,57.26,85.41,89.74,-26.29,93.53,19.74,24.64,17.15,62.1,0.13,0.0,40.16,46250.27,46165.1,46079.94,0.37,75.71,6.27,0.72,1,-0.06,0.06,0.16,0.06,0.04,0.06,1,1,0.09,0.07,0.05,0.09
46212.9,46230.2,46206.4,46224.5,0,1694769600,46221.04,46209.95,46169.72,46170.72,46089.34,45974.69,46217.43,46204.09,46183.07,46151.18,46088.19,45948.93,23.27,16.33,6.93,61.49,59.05,82.36,86.53,-18.97,91.98,19.62,23.57,16.4,66.4,0.14,0.01,38.99,46257.22,46169.72,46082.23,0.38,81.3,6.6,0.76,1,0.03,0.03,0.05,0.03,0.01,0.01,1,1,0.12,0.09,0.03,0.1
46225.6,46245.2,46203.8,46224.8,0,1694769900,46221.92,46214.02,46174.37,46172.85,46092.1,45978.55,46219.89,46207.86,46187.05,46154.07,46090.89,45951.68,23.62,17.79,5.83,61.54,59.08,78.65,82.14,-18.78,89.64,19.9,24.53,15.16,40.7,0.09,0.01,39.16,46263.19,46174.37,46085.55,0.38,78.39,6.79,0.78,1,0.0,0.0,0.09,0.0,0.04,0.05,1,1,0.11,0.08,0.03,0.1
46228.1,46310.4,46190.4,46276.8,0,1694770200,46233.9,46222.0,46181.46,46175.32,46095.47,45982.68,46238.86,46220.39,46195.6,46158.88,46094.57,45954.91,27.78,19.79,7.99,69.39,64.54,81.95,80.99,-16.41,133.94,21.49,30.21,12.27,79.8,0.17,0.01,44.93,46278.81,46181.46,46084.1,0.42,98.97,7.63,0.82,1,0.11,0.11,0.26,0.11,0.07,0.08,1,1,0.21,0.18,0.05,0.11
46277.5,46296.9,46240.9,46250.9,0,1694770500,46237.18,46226.16,46186.46,46176.71,46098.54,45986.67,46242.87,46225.94,46200.86,46162.49,46097.67,45957.86,28.65,21.56,7.09,62.54,60.33,76.94,79.18,-34.0,125.87,22.98,27.57,11.2,41.6,0.09,0.01,45.72,46287.23,46186.46,46085.7,0.44,81.97,8.14,0.87,1,-0.06,0.06,0.12,0.06,0.04,0.02,1,1,0.14,0.11,0.05,0.11
46250.8,46255.9,46189.3,46200.3,0,1694770800,46235.46,46226.76,46189.46,46175.92,46100.89,45990.0,46228.68,46221.28,46200.81,46163.97,46099.7,45960.27,24.97,22.24,2.73,51.79,53.21,59.69,72.86,-70.53,45.44,22.49,24.79,17.87,6.0,0.01,0.01,47.22,46288.11,46189.46,46090.81,0.43,55.49,7.61,0.79,1,-0.11,0.11,0.14,0.11,0.01,0.02,1,1,0.02,-0.0,0.05,0.11
46200.4,46238.4,46192.4,46220.6,0,1694771100,46234.68,46227.86,46195.7,46175.46,46103.46,45993.23,46225.99,46221.15,46202.69,46166.19,46102.09,45962.86,23.42,22.48,0.95,55.12,55.43,45.91,60.84,-57.75,44.17,22.04,23.06,16.63,11.0,0.02,0.01,47.13,46285.23,46195.7,46106.17,0.39,63.91,6.57,0.72,1,0.04,0.04,0.1,0.04,0.04,0.02,1,1,0.05,0.04,0.05,0.1
46218.9,46226.1,46169.7,46178.6,0,1694771400,46225.44,46223.68,46199.42,46174.53,46105.66,45996.07,46210.19,46213.42,46200.4,46166.68,46103.61,45965.01,18.59,21.7,-3.11,47.77,50.26,26.01,43.87,-93.67,-12.53,20.92,21.12,18.62,-41.8,-0.09,0.01,47.79,46279.09,46199.42,46119.74,0.34,36.94,4.89,0.5,1,-0.09,0.09,0.12,0.09,0.02,0.02,1,1,-0.05,-0.05,0.06,0.09
46177.0,46188.2,46138.7,46154.1,0,1694771700,46200.9,46217.4,46201.33,46173.27,46107.46,45998.82,46191.49,46202.63,46195.99,46166.19,46104.61,45966.89,12.64,19.89,-7.25,44.07,47.54,19.18,30.37,-91.03,-90.8,19.82,19.56,21.87,-62.8,-0.14,0.01,47.91,46274.44,46201.33,46128.22,0.32,17.7,2.92,0.21,1,-0.05,0.05,0.11,0.05,0.02,0.03,-1,1,-0.1,-0.09,0.08,0.08
46100.9,46135.6,46068.3,46108.3,0,1695008700,46172.38,46204.78,46200.94,46170.58,46108.79,46001.1,46163.76,46185.48,46187.64,46163.92,46104.68,45968.3,4.18,16.75,-12.56,38.13,42.98,10.61,18.6,-83.48,-216.96,20.25,17.19,29.15,-126.2,-0.27,0.01,50.62,46275.93,46200.94,46125.95,0.32,-11.77,0.24,0.0,1,-0.1,0.1,0.15,0.02,0.06,0.07,-1,1,-0.2,-0.17,0.1,0.08
46109.6,46169.9,46102.5,46116.0,0,1695009000,46155.52,46195.49,46199.4,46168.49,46109.88,46003.23,46147.84,46172.85,46180.82,46162.04,46104.91,45969.77,-1.88,13.02,-14.9,39.6,43.93,15.06,14.95,-80.3,-156.24,19.74,20.32,26.44,-92.9,-0.2,0.0,51.82,46279.84,46199.4,46118.96,0.35,-1.84,-1.82,0.07,-1,0.02,0.02,0.15,0.01,0.12,0.02,-1,1,-0.18,-0.14,0.12,0.09
46110.6,46152.3,46088.6,46146.6,0,1695009300,46140.72,46187.7,46198.82,46167.28,46111.54,46005.65,46147.43,46168.08,46177.56,46161.43,46105.73,45971.52,-4.16,9.59,-13.75,45.19,47.57,22.86,16.18,-67.66,-146.93,19.53,18.57,26.05,-77.9,-0.17,0.0,52.67,46280.59,46198.82,46117.06,0.35,18.06,-3.23,0.21,-1,0.07,0.07,0.14,0.08,0.01,0.05,-1,1,-0.11,-0.07,0.12,0.09
46149.6,46155.2,46103.5,46111.8,0,1695009600,46127.36,46176.4,46195.21,46165.15,46112.97,46007.88,46135.55,46157.84,46171.29,46159.49,46105.85,45972.92,-8.68,5.93,-14.62,40.59,44.15,23.34,20.42,-82.03,-137.93,19.25,17.66,24.22,-113.0,-0.24,0.0,52.6,46285.23,46195.21,46105.19,0.39,3.67,-4.71,0.36,-1,-0.08,0.08,0.11,0.08,0.01,0.02,-1,1,-0.18,-0.13,0.13,0.1
46117.8,46146.9,46101.6,46118.5,0,1695009900,46120.24,46160.57,46191.28,46163.26,46114.36,46010.25,46129.87,46150.69,46166.27,46157.88,46106.1,45974.37,-11.59,2.43,-14.02,41.82,44.95,23.68,23.29,-79.26,-121.21,19.03,16.56,22.97,-158.3,-0.34,0.0,52.08,46287.3,46191.28,46095.27,0.42,12.1,-5.77,0.48,-1,0.01,0.01,0.1,0.0,0.06,0.04,-1,-1,-0.16,-0.1,0.11,0.11
46122.5,46164.4,46067.6,46155.1,0,1695010200,46129.6,46150.99,46188.58,46161.84,46116.28,46012.86,46138.28,46151.49,46165.2,46157.77,46107.07,45976.17,-10.82,-0.22,-10.6,48.13,49.13,24.91,23.98,-63.96,-94.02,19.51,14.49,24.49,-95.8,-0.21,-0.0,55.27,46285.46,46188.58,46091.69,0.42,32.72,-6.01,0.51,-1,0.08,0.08,0.21,0.07,0.02,0.12,-1,-1,-0.07,-0.02,0.08,0.11
46156.7,46178.2,46131.4,46139.4,0,1695010500,46134.28,46144.9,46185.83,46160.18,46118.48,46015.22,46138.65,46149.29,46162.75,46157.05,46107.71,45977.79,-11.34,-2.45,-8.9,45.83,47.51,28.78,25.79,-70.43,-54.87,19.53,15.41,22.99,-60.9,-0.13,-0.0,54.67,46284.99,46185.83,46086.67,0.43,26.59,-6.62,0.59,-1,-0.03,0.03,0.1,0.04,0.05,0.02,-1,-1,-0.1,-0.05,0.08,0.11
46134.9,46180.4,46134.9,46146.1,0,1695010800,46134.18,46137.45,46182.66,46158.79,46121.31,46017.7,46141.13,46148.71,46161.16,46156.62,46108.47,45979.47,-11.09,-4.17,-6.91,46.99,48.27,32.65,28.78,-67.67,-43.89,19.47,14.77,21.61,-74.5,-0.16,-0.0,54.01,46282.63,46182.66,46082.68,0.43,31.72,-6.81,0.62,-1,0.01,0.01,0.1,0.02,0.07,0.0,-1,-1,-0.08,-0.03,0.05,0.11
46144.6,46170.3,46118.6,46167.4,0,1695011100,46145.3,46136.33,46180.0,46157.67,46124.53,46020.25,46149.89,46152.11,46161.75,46157.04,46109.64,45981.34,-9.06,-5.15,-3.91,50.62,50.68,35.14,32.19,-56.48,-41.72,19.77,13.76,22.29,-11.2,-0.02,-0.0,53.85,46278.64,46180.0,46081.37,0.43,43.61,-6.43,0.57,-1,0.05,0.05,0.11,0.05,0.01,0.06,-1,-1,-0.03,0.01,0.05,0.11
46165.6,46177.7,46119.8,46128.9,0,1695011400,46147.38,46133.81,46175.6,46154.75,46126.89,46022.43,46142.89,46147.89,46158.63,46155.94,46110.02,45982.8,-10.44,-6.21,-4.23,44.67,46.57,36.14,34.64,-67.45,-51.38,19.8,13.68,20.59,-25.2,-0.05,-0.0,54.14,46275.11,46175.6,46076.1,0.43,26.53,-6.58,0.58,-1,-0.08,0.08,0.13,0.08,0.03,0.02,-1,-1,-0.1,-0.06,0.04,0.11
46130.1,46166.1,46121.4,46160.1,0,1695011700,46148.38,46138.99,46171.88,46153.23,46129.16,46024.82,46148.63,46150.11,46158.77,46156.1,46111.01,45984.57,-8.92,-6.75,-2.17,49.82,50.02,43.41,38.23,-45.84,-36.55,19.83,12.86,19.36,51.8,0.11,-0.0,53.46,46267.81,46171.88,46075.96,0.42,43.86,-5.87,0.5,-1,0.07,0.07,0.1,0.06,0.01,0.02,-1,-1,-0.03,0.0,0.04,0.11
46160.7,46171.5,46133.9,46140.1,0,1695012000,46148.52,46141.4,46168.44,46153.19,46131.27,46027.07,46145.79,46148.29,46156.99,46155.48,46111.59,45986.12,-9.22,-7.24,-1.97,46.81,47.94,44.15,41.23,-54.26,-33.97,19.65,12.94,18.37,24.1,0.05,-0.0,52.33,46263.74,46168.44,46073.15,0.41,35.13,-5.74,0.48,-1,-0.04,0.04,0.08,0.04,0.02,0.01,-1,-1,-0.06,-0.04,0.04,0.11
46141.4,46143.1,46122.9,46133.8,0,1695012300,46146.06,46140.12,46163.91,46152.99,46133.12,46029.2,46141.79,46145.66,46154.78,46154.63,46112.03,45987.59,-9.85,-7.77,-2.08,45.87,47.28,51.6,46.39,-45.11,-55.22,19.77,12.57,19.41,-12.8,-0.03,-0.0,50.03,46256.71,46163.91,46071.11,0.4,33.78,-5.35,0.44,-1,-0.01,0.01,0.04,0.02,0.0,0.02,-1,-1,-0.07,-0.05,0.04,0.1
46134.9,46148.1,46101.9,46130.1,0,1695012600,46138.6,46141.95,46159.18,46152.9,46134.74,46031.28,46137.89,46142.83,46152.43,46153.66,46112.39,45989.0,-10.53,-8.32,-2.21,45.3,46.89,52.01,49.25,-44.59,-63.99,20.4,11.73,21.13,18.3,0.04,-0.0,49.76,46248.67,46159.18,46069.68,0.39,33.76,-4.87,0.39,-1,-0.01,0.01,0.1,0.01,0.03,0.06,-1,-1,-0.06,-0.05,0.03,0.1
46130.4,46134.9,46103.1,46132.6,0,1695012900,46139.34,46143.36,46151.96,46154.69,46136.75,46033.35,46136.13,46140.97,46150.54,46152.84,46112.79,45990.43,-10.74,-8.8,-1.94,45.79,47.2,55.97,53.2,-42.38,-70.13,20.99,11.19,20.14,14.1,0.03,-0.0,48.48,46223.9,46151.96,46080.03,0.31,36.54,-3.4,0.3,-1,0.01,0.01,0.07,0.0,0.0,0.06,-1,-1,-0.04,-0.04,0.03,0.08
46129.6,46153.8,46121.6,46151.2,0,1695013200,46137.56,46142.97,46146.98,46155.94,46138.75,46035.75,46141.15,46142.83,46150.6,46152.77,46113.55,45992.03,-9.3,-8.9,-0.4,49.45,49.51,62.38,56.79,-25.89,-15.45,20.73,13.49,19.16,-3.9,-0.01,-0.0,47.31,46202.82,46146.98,46091.14,0.24,53.78,-1.84,0.15,-1,0.04,0.04,0.07,0.05,0.01,0.02,-1,-1,0.01,0.0,0.03,0.06
