datetime_readable,open,high,low,close,volume,datetime_epoch,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
2025-07-17 09:37:00,57007.9,57023.95,56999.8,57009.2,0,1752725220,57020.99,57026.0,57053.41,57050.38,57098.12,57085.39,57154.1,57135.19,57191.72,57148.47,57122.41,57122.41,-41.46,-32.75,-8.72,29.06,32.19,5.95,6.05,-94.66,-114.21,17.24,18.85,27.05,-131.6,-0.23,-0.0,40.51,57206.85,57098.12,56989.39,0.38,9.11,57262.85,56994.9,0.44,0.03,-8.91,0.89,-1,1,0,0,0,0.0,0.0,0.04,0.0,0.03,0.01,0.0,0.0,-1,-1,-0.16,-0.13,0.07,0.1
2025-07-17 09:39:00,57009.3,57026.05,57000.75,57007.3,0,1752725340,57017.57,57019.77,57047.69,57042.55,57089.0,57077.95,57149.71,57130.18,57189.79,57145.68,57121.81,57121.26,-42.5,-34.7,-7.8,28.81,32.01,5.08,5.97,-95.37,-95.48,17.21,18.36,25.81,-57.2,-0.1,-0.0,39.43,57196.09,57089.0,56981.92,0.38,11.85,57262.85,56994.9,0.45,0.02,-8.76,0.89,-1,1,0,0,1,-0.0,0.0,0.04,0.0,0.03,0.01,0.0,0.0,-1,-1,-0.14,-0.12,0.07,0.1
2025-07-17 09:41:00,57007.5,57040.5,56986.75,57032.35,0,1752725460,57017.27,57023.96,57041.27,57040.69,57082.3,57073.61,57145.51,57126.34,57188.15,57143.44,57121.44,57120.38,-40.82,-35.92,-4.9,36.45,37.05,8.83,6.62,-83.48,-70.31,16.68,19.17,23.36,-64.2,-0.11,-0.0,40.45,57185.9,57082.3,56978.71,0.36,25.89,57262.85,56986.75,0.4,0.08,-8.35,0.86,-1,0,0,0,0,0.04,0.04,0.09,0.04,0.01,0.04,0.0,0.0,-1,-1,-0.09,-0.07,0.06,0.09
2025-07-17 09:43:00,57034.5,57043.7,57008.0,57015.2,0,1752725580,57014.62,57021.04,57031.47,57036.06,57074.98,57068.05,57141.13,57121.98,57186.29,57140.9,57121.14,57119.33,-40.41,-36.82,-3.59,33.78,35.17,12.51,8.81,-83.62,-58.2,16.08,18.52,21.87,-98.0,-0.17,-0.0,40.11,57175.75,57074.98,56974.2,0.35,20.34,57262.85,56986.75,0.43,0.05,-8.05,0.85,-1,0,0,0,0,-0.03,0.03,0.06,0.03,0.02,0.01,0.0,0.0,-1,-1,-0.1,-0.09,0.05,0.09
2025-07-17 09:45:00,57017.15,57027.3,56981.4,57013.55,0,1752725700,57015.52,57018.54,57023.74,57031.97,57067.44,57062.86,57137.09,57117.73,57184.12,57138.37,57121.0,57118.28,-39.77,-37.41,-2.36,33.53,34.99,17.33,12.89,-80.9,-79.01,16.26,17.02,24.79,-77.3,-0.14,-0.0,40.52,57162.75,57067.44,56972.12,0.33,21.73,57262.85,56981.4,0.44,0.06,-7.52,0.83,-1,1,0,0,0,-0.0,0.0,0.08,0.01,0.02,0.06,0.0,0.0,-1,-1,-0.09,-0.09,0.03,0.09
2025-07-17 09:47:00,57012.3,57051.85,57010.85,57047.45,0,1752725820,57023.17,57028.18,57022.08,57034.78,57063.26,57061.39,57133.58,57114.97,57182.42,57136.57,57120.98,57117.58,-36.1,-37.15,1.05,43.03,41.42,24.91,18.25,-60.75,-12.56,15.58,20.12,23.0,-16.6,-0.03,-0.0,40.56,57154.28,57063.26,56972.23,0.32,41.32,57262.85,56981.4,0.38,0.12,-6.8,0.74,-1,0,0,1,0,0.06,0.06,0.07,0.06,0.01,0.0,0.0,0.0,-1,-1,-0.03,-0.02,0.02,0.08
2025-07-17 09:49:00,57047.05,57053.3,57022.75,57041.55,0,1752725940,57030.02,57032.64,57023.8,57036.01,57058.9,57059.5,57130.6,57112.09,57180.48,57134.69,57120.97,57116.82,-33.29,-36.38,3.09,41.91,40.68,31.36,24.53,-64.26,0.54,14.89,19.28,21.74,17.15,0.03,-0.0,39.84,57145.23,57058.9,56972.58,0.3,39.95,57262.85,56981.4,0.39,0.11,-6.08,0.66,-1,0,0,0,0,-0.01,0.01,0.05,0.01,0.01,0.03,0.0,0.0,-1,-1,-0.03,-0.03,0.03,0.08
2025-07-17 09:51:00,57043.2,57074.2,57037.55,57070.6,0,1752726060,57037.67,57045.29,57027.47,57042.3,57056.71,57060.56,57128.43,57110.47,57178.58,57133.42,57121.16,57116.36,-28.39,-34.78,6.39,48.97,45.67,45.7,33.99,-37.88,83.28,14.08,21.77,20.3,36.75,0.06,-0.0,39.61,57139.42,57056.71,56974.0,0.29,58.4,57262.85,56981.4,0.34,0.16,-5.04,0.49,-1,0,0,0,0,0.05,0.05,0.06,0.05,0.01,0.01,0.0,0.0,-1,-1,0.02,0.02,0.04,0.07
2025-07-17 09:53:00,57071.45,57083.75,57051.1,57070.85,0,1752726180,57048.8,57053.81,57031.71,57047.49,57054.83,57061.54,57125.97,57108.91,57176.79,57132.18,57121.39,57115.91,-24.2,-32.66,8.46,49.03,45.71,58.13,45.06,-23.48,134.89,13.61,22.22,19.09,42.4,0.07,-0.0,39.12,57134.41,57054.83,56975.25,0.28,60.06,57262.85,56981.4,0.34,0.16,-4.02,0.34,-1,1,0,0,0,0.0,0.0,0.06,0.0,0.02,0.03,0.0,0.0,-1,-1,0.03,0.02,0.04,0.07
2025-07-17 09:55:00,57072.4,57092.6,57068.05,57085.2,0,1752726300,57063.13,57064.27,57039.32,57054.35,57052.95,57063.79,57123.89,57107.98,57175.4,57131.25,57121.63,57115.6,-19.51,-30.03,10.53,52.34,48.08,77.33,60.38,-6.65,173.74,13.45,22.85,18.21,76.15,0.13,-0.0,38.08,57127.62,57052.95,56978.27,0.26,71.6,57160.45,56981.4,0.13,0.18,-2.51,0.15,-1,0,0,0,0,0.03,0.03,0.04,0.02,0.01,0.01,0.0,0.0,1,-1,0.06,0.04,0.05,0.07
2025-07-17 09:57:00,57087.9,57098.65,57078.65,57093.3,0,1752726420,57072.3,57073.95,57047.74,57061.43,57050.57,57066.6,57122.34,57107.41,57174.42,57130.5,57121.85,57115.38,-14.96,-27.02,12.06,54.16,49.39,88.43,74.63,-4.56,159.44,13.48,23.14,17.51,84.1,0.15,-0.0,36.79,57116.42,57050.57,56984.73,0.23,82.45,57149.7,56981.4,0.1,0.2,-0.54,0.01,-1,0,0,0,0,0.01,0.01,0.04,0.01,0.01,0.02,0.0,0.0,1,-1,0.07,0.05,0.05,0.06
2025-07-17 09:59:00,57098.7,57103.6,57064.1,57072.8,0,1752726540,57078.55,57073.57,57054.28,57063.5,57050.99,57067.19,57120.4,57106.05,57173.08,57129.36,57122.0,57114.96,-12.86,-24.18,11.33,49.07,46.29,87.86,84.54,-25.2,103.3,12.94,21.38,18.98,65.5,0.11,-0.0,36.98,57117.28,57050.99,56984.69,0.23,66.45,57149.7,56981.4,0.13,0.16,-0.01,0.0,-1,0,0,0,1,-0.04,0.04,0.07,0.05,0.01,0.02,0.01,0.0,1,-1,0.04,0.01,0.05,0.06
2025-07-17 10:01:00,57072.05,57083.2,57058.65,57081.4,0,1752726660,57080.71,57076.18,57059.19,57066.75,57050.23,57068.54,57118.51,57105.08,57171.9,57128.41,57122.05,57114.62,-10.38,-21.42,11.04,51.14,47.73,84.02,86.77,-18.17,73.9,12.23,20.34,19.14,49.05,0.09,-0.0,36.09,57114.75,57050.23,56985.71,0.23,74.16,57149.7,56981.4,0.12,0.18,1.15,0.04,1,0,0,0,0,0.02,0.02,0.04,0.02,0.0,0.02,0.0,0.0,1,-1,0.05,0.02,0.05,0.06
2025-07-17 10:03:00,57081.3,57082.05,57062.6,57078.85,0,1752726780,57082.31,57077.07,57065.56,57068.95,57048.51,57069.53,57116.77,57104.05,57170.46,57127.43,57121.79,57114.27,-8.53,-18.84,10.32,50.49,47.34,78.79,83.56,-20.25,63.5,11.57,19.53,18.38,63.65,0.11,-0.0,34.9,57107.85,57048.51,56989.17,0.21,75.56,57125.0,56981.4,0.08,0.17,2.55,0.25,1,0,0,0,0,-0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,1,-1,0.05,0.02,0.04,0.05
2025-07-17 10:05:00,57079.75,57095.8,57064.2,57066.95,0,1752726900,57078.66,57073.7,57070.9,57068.59,57047.32,57069.28,57114.53,57102.6,57168.8,57126.23,57121.63,57113.8,-7.92,-16.66,8.74,47.43,45.48,77.2,80.0,-29.99,58.0,11.48,21.09,17.18,53.4,0.09,-0.0,34.67,57104.11,57047.32,56990.53,0.2,67.28,57103.6,56981.4,0.06,0.15,3.48,0.5,1,0,0,0,0,-0.02,0.02,0.06,0.02,0.03,0.0,0.0,0.0,1,-1,0.03,-0.0,0.03,0.05
2025-07-17 10:07:00,57066.95,57067.35,57016.05,57016.05,0,1752727020,57063.21,57054.48,57067.76,57059.04,57044.92,57064.21,57111.08,57099.21,57166.73,57124.05,57121.3,57112.82,-11.42,-15.61,4.19,37.08,38.68,59.37,71.79,-71.64,-59.27,11.65,18.93,25.02,-31.4,-0.06,-0.0,35.85,57102.73,57044.92,56987.11,0.2,25.03,57103.6,56981.4,0.15,0.06,3.3,0.43,1,0,0,0,0,-0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,1,-1,-0.05,-0.08,0.04,0.05
2025-07-17 10:09:00,57016.75,57026.1,57000.4,57014.6,0,1752727140,57051.57,57041.19,57065.06,57050.96,57044.43,57059.49,57106.99,57095.89,57164.43,57121.88,57121.04,57111.85,-14.15,-15.32,1.17,36.83,38.5,41.84,59.47,-72.83,-109.43,12.24,17.94,26.89,-26.95,-0.05,-0.0,35.13,57103.08,57044.43,56985.77,0.21,24.57,57103.6,56981.4,0.16,0.06,2.54,0.25,1,1,0,0,0,-0.0,0.0,0.05,0.0,0.02,0.02,0.0,0.0,1,-1,-0.05,-0.08,0.05,0.05
2025-07-17 10:11:00,57015.75,57029.8,56989.55,56991.85,0,1752727260,57033.66,57024.74,57057.18,57040.21,57042.33,57053.04,57102.52,57091.81,57161.87,57119.31,57120.73,57110.65,-17.94,-15.84,-2.09,33.11,35.87,21.36,40.86,-91.45,-125.1,13.08,16.49,26.9,-78.75,-0.14,-0.0,35.5,57105.2,57042.33,56979.45,0.22,9.86,57103.6,56981.4,0.2,0.02,1.62,0.09,1,0,0,0,0,-0.04,0.04,0.07,0.04,0.02,0.0,0.0,0.0,-1,-1,-0.09,-0.11,0.06,0.06
2025-07-17 10:13:00,56993.7,57005.95,56980.65,56992.6,0,1752727380,57016.41,57014.03,57049.36,57031.55,57040.54,57047.29,57098.32,57087.92,57159.36,57116.8,57120.37,57109.48,-20.64,-16.8,-3.84,33.35,36.02,15.15,26.12,-90.28,-143.24,14.09,15.63,27.33,-78.25,-0.14,-0.0,34.77,57106.84,57040.54,56974.23,0.23,13.85,57103.6,56980.65,0.19,0.02,0.69,0.01,1,1,0,0,0,0.0,0.0,0.04,0.0,0.02,0.02,0.0,0.0,-1,-1,-0.08,-0.1,0.07,0.06
2025-07-17 10:15:00,56990.6,57004.5,56956.4,56958.5,0,1752727500,56994.72,56995.52,57036.69,57018.27,57038.01,57038.83,57094.18,57082.84,57156.73,57113.66,57119.92,57107.97,-25.25,-18.49,-6.76,28.39,32.37,6.57,14.36,-98.57,-151.92,15.6,14.13,29.55,-126.7,-0.22,-0.0,35.72,57112.3,57038.01,56963.72,0.26,-3.51,57103.6,56956.4,0.25,0.0,-0.97,0.02,-1,0,0,0,0,-0.06,0.06,0.08,0.06,0.02,0.0,0.0,0.0,-1,-1,-0.14,-0.14,0.08,0.07
2025-07-17 10:17:00,56957.15,56964.65,56941.05,56958.0,0,1752727620,56983.11,56983.01,57023.16,57007.31,57035.45,57031.13,57089.67,57077.95,57153.81,57110.58,57119.43,57106.48,-28.61,-20.52,-8.09,28.32,32.32,7.19,9.63,-89.57,-146.48,17.34,13.45,31.26,-135.3,-0.24,-0.0,34.85,57116.73,57035.45,56954.17,0.29,2.36,57103.6,56941.05,0.26,0.03,-2.57,0.13,-1,1,0,0,0,-0.0,0.0,0.04,0.0,0.01,0.03,0.0,0.0,-1,-1,-0.14,-0.13,0.09,0.07
2025-07-17 10:19:00,56957.5,56965.25,56940.9,56955.35,0,1752727740,56971.26,56973.79,57011.42,56997.86,57032.85,57023.92,57084.95,57073.14,57150.95,57107.51,57118.96,57104.98,-31.12,-22.64,-8.49,27.95,32.04,6.91,6.89,-91.12,-120.05,18.91,12.89,29.67,-117.45,-0.21,-0.0,34.1,57120.62,57032.85,56945.08,0.31,5.85,57103.6,56940.9,0.26,0.03,-4.16,0.3,-1,1,0,0,0,-0.0,0.0,0.04,0.0,0.01,0.03,0.0,0.0,-1,-1,-0.14,-0.12,0.09,0.08
2025-07-17 10:21:00,56955.6,56964.7,56935.4,56949.4,0,1752727860,56962.77,56965.66,56998.22,56989.05,57028.7,57016.82,57080.17,57068.29,57147.87,57104.38,57118.51,57103.43,-33.22,-24.75,-8.46,27.08,31.41,9.21,7.77,-91.68,-105.19,20.5,12.09,28.99,-132.0,-0.23,-0.01,33.76,57123.72,57028.7,56933.69,0.33,8.27,57103.6,56935.4,0.27,0.02,-5.36,0.42,-1,0,0,0,0,-0.01,0.01,0.05,0.01,0.02,0.02,0.0,0.0,-1,-1,-0.14,-0.12,0.08,0.09
2025-07-17 10:23:00,56948.4,56975.5,56944.5,56971.25,0,1752727980,56958.5,56967.52,56987.46,56985.82,57026.5,57012.48,57075.73,57064.48,57145.13,57101.74,57118.22,57102.11,-32.73,-26.35,-6.39,35.03,36.28,12.84,9.65,-78.69,-75.34,21.41,13.59,27.08,-107.6,-0.19,-0.01,33.56,57124.65,57026.5,56928.36,0.34,21.85,57103.6,56935.4,0.23,0.06,-6.4,0.56,-1,0,0,1,0,0.04,0.04,0.05,0.04,0.01,0.01,0.0,0.0,-1,-1,-0.1,-0.07,0.07,0.09
2025-07-17 10:25:00,56971.25,56985.8,56970.9,56981.2,0,1752728100,56963.04,56972.08,56978.88,56984.98,57024.89,57009.5,57071.78,57061.21,57142.31,57099.35,57118.08,57100.91,-31.19,-27.32,-3.87,38.33,38.38,18.96,13.67,-72.77,-46.0,21.73,15.42,26.19,-85.75,-0.15,-0.01,32.23,57124.88,57024.89,56924.89,0.35,28.16,57103.6,56935.4,0.21,0.08,-7.25,0.7,-1,0,0,0,0,0.02,0.02,0.03,0.02,0.01,0.0,0.0,0.0,-1,-1,-0.08,-0.05,0.04,0.09
2025-07-17 10:27:00,56982.05,56982.05,56945.5,56948.55,0,1752728220,56961.15,56964.24,56972.13,56978.35,57019.94,57003.7,57067.18,57056.8,57139.22,57096.37,57117.61,57099.4,-32.23,-28.3,-3.93,32.5,34.47,18.91,16.9,-91.8,-70.35,22.7,14.19,29.66,-67.5,-0.12,-0.01,32.54,57124.66,57019.94,56915.23,0.37,15.91,57103.6,56935.4,0.27,0.02,-7.98,0.77,-1,0,0,0,1,-0.06,0.06,0.06,0.06,0.0,0.01,0.0,0.0,-1,-1,-0.13,-0.1,0.04,0.09
2025-07-17 10:29:00,56950.2,56960.6,56930.75,56935.95,0,1752728340,56957.27,56954.81,56964.26,56970.64,57014.66,56997.24,57062.52,57052.06,57136.27,57093.19,57117.06,57097.77,-33.68,-29.38,-4.3,30.57,33.11,12.86,16.91,-96.85,-90.11,23.94,13.25,30.96,-78.65,-0.14,-0.01,32.35,57124.99,57014.66,56904.34,0.39,14.33,57103.6,56930.75,0.29,0.01,-8.84,0.85,-1,0,0,0,0,-0.02,0.02,0.05,0.03,0.02,0.01,0.0,0.0,-1,-1,-0.14,-0.11,0.03,0.1
2025-07-17 10:31:00,56935.95,56978.15,56934.95,56975.25,0,1752728460,56962.44,56961.62,56962.6,56971.48,57009.9,56995.15,57058.59,57049.05,57133.73,57090.85,57116.76,57096.55,-31.3,-29.76,-1.54,42.13,40.79,12.77,14.85,-73.04,-45.12,24.23,15.8,28.08,-16.6,-0.03,-0.01,33.12,57118.36,57009.9,56901.43,0.38,34.03,57103.6,56930.75,0.23,0.08,-8.52,0.82,-1,0,0,0,0,0.07,0.07,0.08,0.07,0.01,0.0,0.0,0.0,-1,-1,-0.06,-0.03,0.03,0.1
2025-07-17 10:33:00,56974.75,56978.15,56944.1,56947.5,0,1752728580,56957.69,56956.92,56958.1,56967.12,57003.73,56990.61,57054.03,57045.06,57131.11,57088.02,57116.32,57095.07,-31.29,-30.07,-1.22,37.39,37.59,14.12,13.25,-87.74,-54.02,24.49,14.64,26.02,-45.1,-0.08,-0.01,33.19,57111.66,57003.73,56895.8,0.38,23.95,57103.6,56930.75,0.27,0.03,-8.45,0.82,-1,0,0,0,0,-0.05,0.05,0.06,0.05,0.01,0.01,0.0,0.0,-1,-1,-0.1,-0.08,0.02,0.1
2025-07-17 10:35:00,56947.0,56954.45,56914.9,56925.6,0,1752728700,56946.57,56946.48,56954.81,56959.57,56995.75,56984.42,57048.81,57040.38,57128.24,57084.8,57115.84,57093.38,-32.67,-30.59,-2.09,34.13,35.29,16.18,14.36,-90.69,-128.37,25.48,13.41,30.04,-32.9,-0.06,-0.01,33.64,57101.99,56995.75,56889.51,0.37,16.99,57103.6,56914.9,0.31,0.02,-8.28,0.81,-1,0,0,0,0,-0.04,0.04,0.07,0.04,0.01,0.02,0.0,0.0,-1,-1,-0.12,-0.1,0.03,0.1
2025-07-17 10:37:00,56925.6,56954.0,56922.05,56947.05,0,1752728820,56946.27,56946.67,56953.71,56957.3,56988.44,56980.86,57044.17,57036.72,57125.77,57082.07,57115.46,57091.92,-31.67,-30.81,-0.87,39.68,39.12,16.52,15.61,-72.02,-91.77,26.39,12.5,27.99,-10.95,-0.02,-0.01,33.52,57086.64,56988.44,56890.23,0.34,28.93,57103.6,56914.9,0.27,0.06,-7.43,0.76,-1,0,0,0,0,0.04,0.04,0.06,0.04,0.01,0.01,0.0,0.0,-1,-1,-0.07,-0.06,0.03,0.09
2025-07-17 10:39:00,56941.65,56947.15,56926.95,56934.75,0,1752728940,56946.03,56942.7,56951.65,56953.2,56981.53,56976.47,57039.07,57032.72,57123.09,57079.15,57114.99,57090.36,-31.51,-30.95,-0.57,37.72,37.77,19.7,17.47,-78.2,-108.01,27.24,11.95,26.75,-20.6,-0.04,-0.01,32.57,57074.3,56981.53,56888.76,0.33,24.79,57095.8,56914.9,0.28,0.03,-6.87,0.73,-1,0,0,0,0,-0.02,0.02,0.04,0.01,0.01,0.01,0.0,0.01,-1,-1,-0.08,-0.07,0.03,0.08
2025-07-17 10:41:00,56936.25,56944.55,56919.4,56944.3,0,1752729060,56939.84,56943.23,56951.14,56951.58,56974.68,56973.41,57034.63,57029.25,57120.35,57076.48,57114.54,57088.91,-30.26,-30.81,0.55,40.19,39.47,27.53,21.25,-67.19,-98.06,28.22,11.28,26.93,-5.1,-0.01,-0.01,32.04,57056.54,56974.68,56892.82,0.29,31.45,57095.8,56914.9,0.27,0.05,-5.82,0.67,-1,0,1,0,0,0.02,0.02,0.04,0.01,0.0,0.03,0.0,0.0,-1,-1,-0.05,-0.05,0.03,0.07
