open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
73415.29,73636.77,73383.79,73633.17,73840.22,73746.29,73888.54,73810.02,73832.49,73751.67,73383.27,73452.86,73025.1,73146.49,72713.94,72713.94,120.71,183.37,-62.67,48.51,52.58,26.1,50.55,-69.08,-153.48,44.82,21.75,30.33,-232.52,-0.31,0.03,163.86,74170.28,73832.49,73494.71,0.92,20.5,74190.31,73383.75,0.76,0.34,5.57,0.04,1,0,0,0,0,0.3,0.3,0.34,0.3,0.0,0.04,0.0,0.0,1,1,-0.27,-0.16,0.3,0.23
73968.62,74208.33,73943.15,74129.69,73842.9,73874.09,73912.09,73868.15,73850.04,73787.67,73410.28,73479.41,73044.27,73165.96,72721.02,72728.03,137.33,174.17,-36.83,61.4,62.24,41.73,38.41,-9.54,104.53,43.27,38.25,23.88,235.52,0.32,0.03,193.24,74210.53,73850.04,73489.54,0.98,88.79,74208.33,73383.75,0.11,1.01,8.97,0.08,1,0,0,0,0,0.67,0.67,0.36,0.22,0.11,0.03,0.46,0.0,-1,1,0.38,0.46,0.32,0.25
74138.55,74254.62,74040.46,74092.07,73829.02,73946.75,73933.64,73908.86,73867.91,73816.66,73435.39,73503.43,73061.16,73184.3,72728.96,72741.6,145.8,168.49,-22.7,60.17,61.25,67.57,45.14,-18.67,106.03,41.99,36.94,22.01,215.5,0.29,0.03,194.73,74239.03,73867.91,73496.78,1.0,80.2,74254.62,73383.75,0.22,0.96,10.6,0.11,1,0,0,0,0,-0.05,0.05,0.29,0.06,0.16,0.07,0.01,0.0,-1,1,0.3,0.37,0.33,0.26
74090.84,74221.64,74076.3,74220.3,73897.95,74037.93,73965.46,73965.48,73888.7,73855.11,73461.92,73531.55,73077.88,73204.82,72736.84,72756.31,160.99,166.99,-6.0,62.9,63.34,89.29,66.2,-3.94,108.1,40.8,34.94,20.81,318.22,0.43,0.03,191.2,74288.74,73888.7,73488.66,1.08,91.45,74254.62,73383.75,0.05,1.13,14.63,0.18,1,0,0,1,0,0.17,0.17,0.2,0.17,0.0,0.02,0.0,0.0,1,1,0.45,0.49,0.35,0.28
74215.4,74234.25,74117.88,74151.05,74045.26,74075.64,73985.41,73999.22,73905.49,73883.29,73485.64,73555.84,73092.52,73223.55,72744.89,72770.19,165.54,166.7,-1.16,60.49,61.46,88.5,81.79,-11.89,90.16,39.74,33.86,19.88,199.52,0.27,0.03,185.86,74319.73,73905.49,73491.26,1.12,79.64,74254.62,73383.75,0.14,1.03,17.22,0.23,1,0,0,0,0,-0.09,0.09,0.16,0.09,0.03,0.04,0.0,0.01,1,1,0.33,0.36,0.36,0.29
74149.82,74184.52,74104.81,74132.01,74145.02,74094.43,73992.62,74023.37,73923.61,73906.98,73509.57,73578.43,73106.02,73241.54,72752.07,72783.74,165.7,166.5,-0.8,59.81,60.93,90.03,89.27,-14.08,68.4,38.67,32.78,19.77,72.12,0.1,0.03,178.28,74344.14,73923.61,73503.08,1.14,74.78,74254.62,73383.75,0.17,1.01,18.31,0.25,1,0,0,0,0,-0.03,0.03,0.11,0.02,0.05,0.04,0.0,0.0,1,1,0.28,0.3,0.36,0.29
74130.01,74158.53,74093.82,74116.69,74142.42,74101.85,73992.66,74040.33,73946.46,73926.95,73532.06,73599.54,73120.21,73258.87,72759.76,72797.01,162.71,165.74,-3.03,59.24,60.5,86.06,88.2,-15.84,54.13,37.6,31.89,19.69,0.39,0.0,0.03,170.17,74356.69,73946.46,73536.23,1.11,70.75,74254.62,73383.75,0.19,0.99,16.91,0.23,1,0,0,0,0,-0.02,0.02,0.09,0.02,0.04,0.03,0.0,0.0,1,1,0.23,0.26,0.36,0.28
74114.09,74128.28,74034.68,74064.12,74136.83,74089.27,73982.92,74044.66,73965.75,73940.01,73554.02,73617.76,73133.85,73274.82,72767.12,72809.61,154.32,163.46,-9.14,57.2,58.98,82.74,86.28,-21.87,29.28,36.16,30.59,21.46,-97.38,-0.13,0.03,164.7,74359.7,73965.75,73571.8,1.07,62.49,74254.62,73383.75,0.26,0.92,14.35,0.18,1,0,0,0,0,-0.07,0.07,0.13,0.07,0.02,0.04,0.0,0.0,1,1,0.13,0.17,0.36,0.27
74063.16,74078.28,73988.99,74068.85,74106.54,74082.47,74002.25,74049.06,73982.31,73952.28,73575.76,73635.45,73147.19,73290.54,72775.3,72822.14,146.37,160.04,-13.67,57.34,59.08,80.32,83.04,-21.33,12.6,34.5,29.37,22.65,193.21,0.26,0.03,159.31,74364.16,73982.31,73600.46,1.03,61.33,74254.62,73383.75,0.25,0.92,12.22,0.14,1,1,0,0,0,0.01,0.01,0.12,0.01,0.01,0.1,0.0,0.0,1,1,0.12,0.16,0.35,0.26
74064.87,74110.22,74049.83,74080.76,74092.49,74081.9,74068.87,74054.82,73990.33,73964.52,73597.29,73652.91,73160.12,73306.19,72783.32,72834.67,139.42,155.92,-16.5,57.72,59.33,78.94,80.67,-19.96,26.58,33.14,30.04,22.01,666.25,0.91,0.03,152.24,74373.38,73990.33,73607.28,1.04,61.8,74254.62,73383.75,0.23,0.94,12.65,0.15,1,0,0,0,0,0.02,0.02,0.08,0.02,0.04,0.02,0.0,0.01,1,1,0.12,0.16,0.22,0.27
