datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month
2022-03-17 12:55:00,36508.5,36521.9,36470.9,36496.4,131.87,69.39,91.4,92.42,270.01,4.77,265.24,37.0,35793.35,34539.88,36156.55,35981.64,36227.82,36474.01,51.0,12.1,13.4,25.5,12,3,3
2022-03-17 13:15:00,36496.8,36550.1,36462.5,36498.9,128.71,69.47,90.09,91.06,258.61,-5.3,263.91,37.14,35821.02,34559.37,36203.45,36014.22,36253.64,36493.07,87.6,2.1,51.2,34.3,13,3,3
2022-03-17 13:35:00,36497.0,36526.9,36424.3,36521.9,126.84,70.2,85.81,89.1,248.56,-12.28,260.84,36.86,35848.5,34578.9,36245.5,36043.02,36279.19,36515.36,102.6,24.9,5.0,72.7,13,3,3
2022-03-17 13:55:00,36521.7,36611.9,36496.8,36541.1,126.0,70.82,79.55,85.15,239.39,-17.16,256.55,37.04,35875.66,34598.42,36290.43,36068.54,36304.13,36539.73,115.1,19.4,70.8,24.9,13,3,3
2022-03-17 14:15:00,36542.8,36577.6,36520.9,36575.9,121.05,71.97,77.41,80.92,232.25,-19.44,251.69,37.2,35903.12,34618.1,36340.17,36106.06,36330.02,36553.98,56.7,33.1,1.7,21.9,14,3,3
2022-03-17 14:35:00,36575.2,36583.0,36451.7,36498.8,121.79,65.79,65.3,74.08,217.86,-27.06,244.93,36.56,35926.48,34636.81,36384.95,36118.45,36346.09,36573.73,131.3,76.4,7.8,47.1,14,3,3
2022-03-17 14:55:00,36497.1,36521.6,36369.7,36407.2,123.94,59.27,46.87,63.19,196.8,-38.5,235.3,35.13,35945.34,34654.43,36422.16,36117.02,36351.91,36586.8,151.9,89.9,24.5,37.5,14,3,3
2022-03-17 15:15:00,36409.4,36458.4,36354.5,36388.6,122.5,58.01,23.58,45.25,176.57,-46.98,223.56,33.65,35962.72,34671.68,36453.86,36123.09,36355.4,36587.72,103.9,20.8,49.0,34.1,15,3,3
2022-03-21 09:15:00,36545.9,36600.2,36176.0,36212.4,144.05,47.7,12.36,27.6,144.65,-63.12,207.78,31.73,35972.51,34687.02,36480.01,36050.8,36341.78,36632.77,424.2,333.5,54.3,36.4,9,0,3
2022-03-21 09:35:00,36212.4,36278.4,36132.8,36137.4,144.17,44.1,7.52,14.49,112.02,-76.61,188.62,30.25,35978.98,34701.45,36467.64,36031.31,36322.32,36613.33,145.6,75.0,66.0,4.6,9,0,3
2022-03-21 09:55:00,36140.0,36217.9,36111.4,36155.0,141.47,45.15,6.01,8.63,86.57,-81.64,168.21,29.03,35985.88,34715.91,36454.55,36022.8,36306.38,36589.96,106.5,15.0,62.9,28.6,9,0,3
2022-03-21 10:15:00,36155.5,36159.6,36094.9,36125.1,135.99,43.65,5.17,6.23,63.27,-83.96,147.22,28.02,35991.34,34729.93,36434.34,36020.22,36289.12,36558.02,64.7,30.4,4.1,30.2,10,0,3
2022-03-21 10:35:00,36126.6,36210.6,36109.9,36155.5,133.47,45.62,8.76,6.65,46.71,-80.41,127.12,26.58,35997.78,34744.12,36417.2,36013.92,36276.4,36538.86,100.7,28.9,55.1,16.7,10,0,3
2022-03-21 10:55:00,36154.9,36294.7,36154.4,36232.6,133.96,50.36,14.73,9.55,39.36,-70.21,109.57,24.87,36006.98,34758.93,36405.3,36008.03,36272.22,36536.42,140.3,77.7,62.1,0.5,10,0,3
2022-03-21 11:15:00,36233.1,36288.1,36219.7,36261.1,129.28,52.02,23.5,15.66,35.42,-59.32,94.74,23.29,36016.95,34773.88,36393.97,36019.1,36271.16,36523.23,68.4,28.0,27.0,13.4,11,0,3
2022-03-21 11:35:00,36261.5,36266.4,36151.4,36169.8,128.26,46.63,24.42,20.89,24.65,-56.07,80.72,22.05,36022.94,34787.76,36374.23,36011.55,36261.51,36511.47,115.0,91.7,4.9,18.4,11,0,3
2022-03-21 11:55:00,36170.4,36202.8,36132.7,36141.1,124.1,45.05,18.52,22.15,13.64,-53.66,67.31,21.07,36027.58,34801.23,36352.3,36010.54,36250.04,36489.55,70.1,29.3,32.4,8.4,11,0,3
2022-03-21 12:15:00,36139.4,36191.1,36059.4,36062.1,124.64,40.94,7.97,16.97,-1.44,-55.0,53.56,20.76,36028.93,34813.78,36330.68,35990.36,36232.14,36473.92,131.7,77.3,51.7,2.7,12,0,3
2022-03-21 12:35:00,36061.4,36065.4,35901.2,35950.9,127.47,35.96,5.52,10.67,-22.11,-60.53,38.42,21.53,36025.87,34825.09,36301.9,35955.32,36205.36,36455.39,164.2,110.5,4.0,49.7,12,0,3
2022-03-21 12:55:00,35951.5,35979.9,35900.2,35945.2,124.06,35.72,4.68,6.06,-38.51,-61.55,23.04,22.25,36022.71,34836.24,36273.85,35939.18,36180.58,36421.98,79.7,6.3,28.4,45.0,12,0,3
2022-03-21 13:15:00,35948.2,36030.0,35911.7,36027.6,123.65,41.76,10.58,6.92,-44.34,-53.91,9.56,22.35,36022.9,34848.09,36250.41,35925.07,36166.01,36406.95,118.3,79.4,2.4,36.5,13,0,3
2022-03-21 13:35:00,36026.8,36072.3,35990.1,36005.1,120.69,40.64,13.2,9.49,-50.2,-47.81,-2.39,21.97,36022.2,34859.6,36225.72,35917.03,36150.69,36384.34,82.2,21.7,45.5,15.0,13,0,3
2022-03-21 13:55:00,36003.3,36158.2,35990.8,36109.8,124.02,47.69,28.77,17.52,-45.87,-34.78,-11.09,20.76,36025.64,34872.04,36205.11,35903.51,36146.79,36390.08,167.4,106.5,48.4,12.5,13,0,3
2022-03-21 14:15:00,36110.4,36126.5,36008.9,36018.0,123.56,42.88,32.66,24.88,-49.28,-30.55,-18.73,19.63,36025.34,34883.44,36178.96,35892.01,36134.53,36377.04,117.6,92.4,16.1,9.1,14,0,3
