datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-07-26 13:15:00,36525.9,36577.4,36334.1,36349.9,354.12,65.95,79.02,84.16,552.41,30.97,521.44,45.73,35128.5,35144.36,35696.04,35163.96,35868.19,36572.42,243.3,176.0,51.5,15.8,13,1,7,4.0,0.0,3.0
2022-07-27 09:15:00,36370.6,36759.7,36248.6,36716.6,365.33,70.66,78.46,80.53,552.22,24.62,527.6,46.65,35190.78,35160.01,35787.57,35214.48,35948.99,36683.5,511.1,346.0,43.1,122.0,9,2,7,4.0,0.0,4.0
2022-07-27 13:15:00,36716.8,36808.3,36654.9,36795.4,350.2,71.57,81.17,79.55,552.07,19.58,532.49,47.57,35253.71,35176.28,35886.39,35335.83,36029.6,36723.38,153.4,78.6,12.9,61.9,13,2,7,4.0,0.0,3.0
2022-07-28 09:15:00,37102.4,37350.5,37028.5,37331.4,364.83,76.83,90.83,83.48,588.41,44.74,543.68,49.02,35335.19,35197.72,36017.32,35420.15,36153.58,36887.02,322.0,229.0,19.1,73.9,9,3,7,4.0,0.0,7.0
2022-07-28 13:15:00,37329.0,37414.4,37273.7,37336.2,348.82,76.87,94.19,88.73,610.57,53.51,557.05,50.43,35413.66,35219.0,36150.97,35575.83,36266.21,36956.6,140.7,7.2,78.2,55.3,13,3,7,4.0,0.0,6.0
2022-07-29 09:15:00,37717.3,37754.6,37221.1,37501.5,362.01,78.31,93.48,92.83,634.15,61.68,572.47,52.03,35495.54,35241.72,36295.98,35657.61,36383.86,37110.11,533.5,215.8,37.3,280.4,9,4,7,4.0,0.0,8.0
2022-07-29 13:15:00,37500.6,37532.6,37340.1,37486.0,349.9,77.82,89.02,92.23,644.17,57.36,586.81,53.52,35573.6,35264.04,36435.03,35795.08,36488.82,37182.58,192.5,14.6,32.0,145.9,13,4,7,4.0,0.0,7.0
2022-08-01 09:15:00,37594.1,37835.9,37407.2,37811.2,355.53,80.55,90.25,90.92,670.62,67.04,603.57,55.13,35661.34,35289.39,36570.66,35905.43,36614.76,37324.1,428.7,217.1,24.7,186.9,9,0,8,4.0,0.0,14.0
2022-08-01 13:15:00,37803.8,37939.6,37770.4,37867.1,342.22,80.99,93.31,90.86,688.15,67.66,620.49,56.69,35747.84,35315.04,36696.32,36060.03,36734.04,37408.05,169.2,63.3,72.5,33.4,13,0,8,4.0,0.0,13.0
2022-08-02 09:15:00,37767.7,38026.2,37632.3,37901.8,345.91,81.27,95.77,93.11,696.82,61.06,635.76,57.43,35832.31,35340.78,36819.06,36160.4,36845.25,37530.1,393.9,134.1,124.4,135.4,9,1,8,4.0,0.0,12.0
2022-08-02 13:15:00,37903.1,38179.9,37859.9,37876.3,344.06,80.33,91.0,93.36,693.64,46.3,647.33,58.27,35912.47,35366.01,36927.47,36262.87,36943.44,37624.02,320.0,26.8,276.8,16.4,13,1,8,4.0,0.0,11.0
2022-08-03 09:15:00,37954.6,38068.6,37692.9,37876.0,346.32,80.32,87.18,91.32,683.21,28.7,654.51,58.21,35989.47,35390.98,37021.39,36344.94,37032.26,37719.58,375.7,78.6,114.0,183.1,9,2,8,4.0,0.0,10.0
2022-08-03 13:15:00,37878.1,38036.2,37719.2,37999.7,344.23,81.52,86.4,88.19,677.13,18.09,659.03,58.16,36068.3,35416.94,37126.83,36442.16,37124.4,37806.64,317.0,121.6,36.5,158.9,13,2,8,2.0,0.0,1.0
2022-08-04 09:15:00,38111.1,38231.9,37249.5,37659.1,389.81,69.08,82.02,85.2,637.47,-17.25,654.72,56.05,36130.69,35439.25,37199.58,36370.93,37175.32,37979.71,982.4,452.0,120.8,409.6,9,3,8,4.0,0.0,8.0
2022-08-04 13:15:00,37660.0,37836.8,37522.8,37687.9,384.4,69.5,78.12,82.18,601.44,-42.63,644.06,54.09,36191.76,35461.62,37272.67,36436.55,37224.14,38011.73,314.0,27.9,148.9,137.2,13,3,8,4.0,0.0,7.0
2022-08-05 09:15:00,37868.2,38150.4,37779.9,37950.9,389.98,73.12,75.29,78.48,587.33,-45.39,632.72,52.91,36260.74,35486.39,37335.57,36492.68,37293.36,38094.03,370.5,82.7,199.5,88.3,9,4,8,4.0,0.0,6.0
2022-08-05 13:15:00,37947.2,38033.4,37825.1,37907.2,377.0,71.6,75.92,76.44,566.1,-53.29,619.39,51.8,36325.3,35510.48,37394.08,36587.72,37351.82,38115.92,208.3,40.0,86.2,82.1,13,4,8,4.0,0.0,5.0
2022-08-08 09:15:00,37847.4,38247.4,37681.4,38222.1,390.5,75.55,84.24,78.49,568.13,-41.01,609.14,51.18,36399.69,35537.46,37473.4,36635.56,37434.7,38233.84,566.0,374.7,25.3,166.0,9,0,8,4.0,0.0,6.0
2022-08-08 13:15:00,38221.4,38302.4,38160.4,38246.2,372.75,75.83,88.45,82.87,565.17,-35.17,600.35,50.7,36472.1,35564.42,37552.31,36761.91,37511.98,38262.06,142.0,24.8,56.2,61.0,13,0,8,4.0,0.0,5.0
2022-08-10 09:15:00,38298.9,38402.9,38155.3,38307.1,363.81,76.55,94.68,89.12,561.27,-31.26,592.53,50.44,36544.06,35591.7,37641.48,36861.9,37587.71,38313.52,247.6,8.2,95.8,143.6,9,2,8,4.0,0.0,4.0
2022-08-10 13:15:00,38303.0,38356.4,38207.5,38277.0,348.46,75.35,91.86,91.66,549.42,-34.49,583.91,50.19,36612.02,35618.42,37737.84,36968.32,37653.36,38338.4,148.9,26.0,53.4,69.5,13,2,8,4.0,0.0,3.0
2022-08-11 09:15:00,38712.9,38911.8,38648.9,38896.2,368.91,81.7,93.28,93.27,583.27,-0.51,583.78,50.82,36701.6,35651.04,37846.82,37031.01,37771.72,38512.44,262.9,183.3,15.6,64.0,9,3,8,4.0,0.0,9.0
2022-08-11 13:15:00,38893.0,38932.1,38813.1,38835.1,351.06,79.52,94.13,93.09,598.27,11.59,586.68,51.42,36785.26,35682.72,37948.8,37180.16,37873.0,38565.83,119.0,57.9,39.1,22.0,13,3,8,4.0,0.0,7.0
2022-08-12 09:15:00,38942.4,39058.1,38739.9,39019.5,348.71,81.16,97.05,94.82,617.91,24.98,592.92,52.15,36872.88,35715.92,38033.2,37294.73,37982.19,38669.65,318.2,77.1,38.6,202.5,9,4,8,4.0,0.0,8.0
2022-08-12 13:15:00,39018.6,39088.9,38956.9,39052.4,333.23,81.44,96.71,95.96,628.88,28.76,600.12,52.86,36958.35,35749.12,38119.02,37436.98,38084.11,38731.24,132.0,33.8,36.5,61.7,13,4,8,4.0,0.0,7.0
2022-08-16 09:15:00,39284.1,39444.6,39143.1,39147.4,337.45,82.27,94.11,95.96,637.89,30.22,607.67,53.93,37044.2,35782.93,38201.31,37525.18,38185.38,38845.58,301.5,136.7,160.5,4.3,9,1,8,2.0,0.0,8.0
2022-08-16 13:15:00,39145.4,39277.4,39119.9,39247.3,324.59,83.13,91.83,94.22,645.65,30.38,615.27,54.8,37130.6,35817.4,38289.38,37659.19,38286.52,38913.84,157.5,101.9,30.1,25.5,13,1,8,2.0,0.0,7.0
2022-08-17 09:15:00,39351.3,39393.6,39202.8,39383.8,315.04,84.25,91.44,92.46,655.25,31.99,623.26,55.74,37218.95,35852.89,38368.0,37787.1,38391.02,38994.94,190.8,32.5,9.8,148.5,9,2,8,2.0,0.0,6.0
2022-08-17 13:15:00,39384.1,39504.5,39306.6,39416.2,306.67,84.51,94.33,92.53,657.9,27.71,630.19,56.73,37305.12,35888.35,38445.46,37904.55,38488.65,39072.76,197.9,32.1,88.3,77.5,13,2,8,2.0,0.0,5.0
2022-08-18 09:15:00,39324.4,39633.8,39291.1,39454.4,309.24,84.83,94.27,93.35,655.52,20.27,635.26,57.79,37389.4,35923.83,38523.09,37986.88,38580.63,39174.38,342.7,130.0,179.4,33.3,9,3,8,2.0,0.0,4.0
2022-08-18 13:15:00,39453.5,39703.7,39400.9,39670.8,308.78,86.54,94.78,94.46,663.45,22.56,640.9,58.84,37478.87,35961.11,38612.82,38089.58,38684.46,39279.34,302.8,217.3,32.9,52.6,13,3,8,2.0,0.0,1.0
