datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-05-17 15:15:00,39597.9,39677.1,39595.8,39672.7,416.35,54.26,92.63,76.37,-180.13,170.31,-350.45,20.32,39908.34,41069.15,39111.38,38439.87,39253.04,40066.2,81.3,74.8,4.4,2.1,15,1,5,2.0,0.0,5.0
2022-05-18 09:15:00,39719.4,40042.1,39673.5,39864.2,412.99,56.77,93.98,88.16,-112.98,189.98,-302.95,20.67,39906.6,41057.16,39121.45,38505.16,39311.24,40117.33,368.6,144.8,177.9,45.9,9,2,5,2.0,0.0,4.0
2022-05-18 11:15:00,39860.0,39967.1,39549.6,39600.8,413.31,52.5,88.55,91.72,-80.09,178.29,-258.38,20.63,39894.61,41042.67,39129.1,38529.98,39338.82,40147.66,417.5,259.2,107.1,51.2,11,2,5,2.0,0.0,3.0
2022-05-18 13:15:00,39610.0,39786.0,39461.3,39485.2,406.98,50.7,79.73,87.42,-62.63,156.6,-219.23,20.35,39878.56,41027.17,39103.74,38559.11,39352.76,40146.42,324.7,124.8,176.0,23.9,13,2,5,2.0,0.0,2.0
2022-05-18 15:15:00,39490.9,39514.2,39446.9,39513.7,382.72,51.15,73.69,80.66,-45.96,138.62,-184.57,20.05,39864.24,41012.11,39074.82,38637.2,39368.09,40098.97,67.3,22.8,0.5,44.0,15,2,5,2.0,0.0,1.0
2022-05-19 09:15:00,38743.0,38888.5,38594.8,38821.1,421.02,41.38,60.2,71.21,-87.63,77.56,-165.19,19.5,39823.34,40990.31,39067.18,38479.69,39316.0,40152.3,293.7,78.1,67.4,148.2,9,3,5,4.0,0.0,6.0
2022-05-19 11:15:00,38821.4,38846.5,38495.9,38518.9,415.99,37.97,43.47,59.12,-143.38,17.44,-160.82,19.17,39772.18,40965.72,39049.16,38416.64,39240.08,40063.52,350.6,302.5,25.1,23.0,11,3,5,4.0,0.0,3.0
2022-05-19 13:15:00,38514.9,38633.8,38387.2,38467.5,403.89,37.4,20.86,41.51,-189.53,-22.97,-166.57,19.08,39721.02,40940.86,39032.3,38374.52,39166.5,39958.49,246.6,47.4,118.9,80.3,13,3,5,4.0,0.0,2.0
2022-05-19 15:15:00,38464.6,38573.8,38463.0,38552.6,382.96,39.02,11.96,25.43,-216.74,-40.14,-176.6,18.99,39675.2,40917.1,39022.61,38370.37,39108.04,39845.7,110.8,88.0,21.2,1.6,15,3,5,4.0,0.0,1.0
2022-05-20 09:15:00,39087.7,39473.8,38948.3,39391.0,421.4,52.13,25.17,19.33,-168.7,6.32,-175.02,18.43,39664.06,40901.92,39042.04,38292.1,39134.98,39977.86,525.5,303.3,82.8,139.4,9,4,5,4.0,0.0,5.0
2022-05-20 11:15:00,39400.3,39647.6,39243.5,39628.8,420.17,55.08,48.56,28.56,-110.18,51.87,-162.05,18.22,39662.67,40889.24,39066.64,38342.44,39182.02,40021.59,404.1,228.5,18.8,156.8,11,4,5,4.0,0.0,17.0
2022-05-20 13:15:00,39625.3,39729.6,39494.7,39644.6,406.93,55.28,70.55,48.09,-61.81,80.19,-142.0,18.17,39661.96,40876.86,39138.3,38421.71,39226.07,40030.43,234.9,19.3,85.0,130.6,13,4,5,4.0,0.0,16.0
2022-05-20 15:15:00,39644.7,39666.9,39543.4,39654.9,386.69,55.42,75.87,64.99,-22.39,95.69,-118.08,18.12,39661.69,40864.7,39213.18,38515.63,39266.91,40018.19,123.5,10.2,12.0,101.3,15,4,5,4.0,0.0,15.0
2022-05-23 09:15:00,39681.2,40094.6,39633.9,40061.8,391.97,60.57,83.55,76.66,41.21,127.44,-86.22,18.83,39677.38,40856.72,39268.14,38575.14,39342.61,40110.1,460.7,380.6,32.8,47.3,9,0,5,4.0,0.0,16.0
2022-05-23 11:15:00,40063.1,40244.4,40063.1,40131.7,377.02,61.4,89.54,82.99,96.15,145.9,-49.75,19.72,39695.2,40849.5,39340.8,38688.6,39417.76,40146.93,181.3,68.6,112.7,0.0,11,0,5,4.0,0.0,15.0
2022-05-23 13:15:00,40119.8,40289.3,39630.4,39642.0,397.15,53.02,85.99,86.36,99.03,119.02,-19.99,19.38,39693.11,40837.48,39386.67,38653.9,39439.12,40224.35,658.9,477.8,169.5,11.6,13,0,5,4.0,0.0,12.0
