datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-05-17 15:15:00,15798.4,15834.6,15793.0,15829.7,161.19,53.47,92.31,74.65,-85.21,65.46,-150.67,20.87,15966.38,16642.52,15625.42,15364.96,15679.94,15994.92,41.6,31.3,4.9,5.4,15,1,5,2.0,0.0,5.0
2022-05-18 09:15:00,15878.2,15982.0,15829.9,15909.5,160.56,56.2,94.28,87.43,-57.89,74.23,-132.12,21.09,15964.15,16635.22,15626.08,15387.81,15701.81,16015.8,152.1,31.3,72.5,48.3,9,2,5,2.0,0.0,4.0
2022-05-18 11:15:00,15910.5,15952.3,15766.0,15791.6,162.4,51.4,87.77,91.46,-45.22,69.52,-114.74,20.83,15957.38,16626.83,15625.65,15390.78,15710.36,16029.93,186.3,118.9,41.8,25.6,11,2,5,2.0,0.0,3.0
2022-05-18 13:15:00,15792.5,15865.6,15740.8,15760.7,159.71,50.2,78.03,86.7,-37.25,61.99,-99.24,20.4,15949.67,16618.21,15615.48,15402.24,15715.15,16028.06,124.8,31.8,73.1,19.9,13,2,5,2.0,0.0,2.0
2022-05-18 15:15:00,15760.7,15782.2,15754.4,15781.0,150.29,51.01,72.21,79.34,-28.95,56.23,-85.18,20.01,15943.06,16609.88,15603.77,15433.02,15721.42,16009.83,27.8,20.3,1.2,6.3,15,2,5,2.0,0.0,1.0
2022-05-19 09:15:00,15431.0,15525.5,15412.5,15492.2,165.88,40.79,58.61,69.62,-45.17,32.01,-77.18,19.61,15925.38,16598.76,15599.18,15368.46,15699.59,16030.72,113.0,61.2,33.3,18.5,9,3,5,4.0,0.0,6.0
2022-05-19 11:15:00,15492.6,15499.2,15365.5,15374.7,163.58,37.49,41.09,57.3,-66.73,8.36,-75.09,19.46,15903.78,16586.58,15591.66,15343.59,15668.65,15993.71,133.7,117.9,6.6,9.2,11,3,5,4.0,0.0,3.0
2022-05-19 13:15:00,15373.8,15426.7,15348.0,15386.7,157.51,38.04,18.91,39.54,-81.9,-5.45,-76.45,19.41,15883.5,16574.64,15585.4,15332.71,15641.8,15950.89,78.7,12.9,40.0,25.8,13,3,5,4.0,0.0,2.0
2022-05-19 15:15:00,15387.0,15423.8,15386.0,15417.9,148.96,39.53,11.48,23.83,-90.37,-11.13,-79.23,19.36,15865.24,16563.13,15581.66,15333.62,15620.48,15907.33,37.8,30.9,5.9,1.0,15,3,5,4.0,0.0,1.0
2022-05-20 09:15:00,15600.5,15762.8,15548.0,15726.9,162.96,51.88,25.63,18.68,-71.32,6.33,-77.65,18.71,15859.82,16554.81,15588.96,15305.38,15630.61,15955.84,214.8,126.4,35.9,52.5,9,4,5,4.0,0.0,16.0
2022-05-20 11:15:00,15727.5,15810.8,15655.0,15803.5,162.45,54.37,47.54,28.22,-49.48,22.54,-72.02,18.34,15857.61,16547.33,15596.05,15323.14,15647.08,15971.01,155.8,76.0,7.3,72.5,11,4,5,4.0,0.0,16.0
2022-05-20 13:15:00,15806.1,15827.3,15736.3,15792.5,157.34,53.93,67.24,46.81,-32.67,31.47,-64.15,18.07,15855.06,16539.82,15621.77,15350.51,15660.93,15971.34,91.0,13.6,21.2,56.2,13,4,5,4.0,0.0,15.0
2022-05-20 15:15:00,15792.1,15817.3,15763.2,15812.8,149.97,54.65,71.76,62.18,-17.52,37.3,-54.82,17.83,15853.4,16532.59,15648.74,15384.24,15675.39,15966.55,54.1,20.7,4.5,28.9,15,4,5,4.0,0.0,14.0
2022-05-23 09:15:00,15828.3,15952.7,15787.3,15943.5,151.07,59.05,79.12,72.7,4.98,47.84,-42.86,18.28,15856.93,16526.73,15669.32,15405.99,15700.92,15995.86,165.4,115.2,9.2,41.0,9,0,5,4.0,0.0,15.0
2022-05-23 11:15:00,15943.8,16002.6,15936.5,15954.4,145.0,59.41,86.63,79.17,23.42,53.03,-29.61,18.92,15860.76,16521.03,15696.42,15445.63,15725.06,16004.5,66.1,10.6,48.2,7.3,11,0,5,4.0,0.0,14.0
2022-05-23 13:15:00,15954.8,16017.3,15744.8,15748.4,154.11,50.52,82.13,82.62,21.17,40.62,-19.45,18.17,15856.35,16513.35,15710.07,15422.56,15727.29,16032.01,272.5,206.4,62.5,3.6,13,0,5,4.0,0.0,10.0
2022-05-23 15:15:00,15747.5,15766.5,15702.8,15720.2,147.65,49.43,69.36,79.37,16.91,29.09,-12.18,17.21,15851.01,16505.45,15720.42,15438.78,15726.61,16014.45,63.7,27.3,19.0,17.4,15,0,5,4.0,0.0,5.0
2022-05-24 09:15:00,15739.3,15856.2,15703.5,15774.3,148.01,51.59,59.71,70.4,17.7,23.9,-6.2,16.8,15848.0,16498.18,15727.76,15441.64,15731.15,16020.66,152.7,35.0,81.9,35.8,9,1,5,4.0,0.0,8.0
2022-05-24 11:15:00,15773.7,15932.7,15761.2,15825.2,149.69,53.59,63.53,64.2,22.18,22.71,-0.52,16.83,15847.11,16491.48,15732.16,15445.51,15740.11,16034.72,171.5,51.5,107.5,12.5,11,1,5,4.0,0.0,8.0
2022-05-24 13:15:00,15825.8,15864.6,15765.1,15795.3,146.11,52.22,67.27,63.51,23.05,18.86,4.19,16.85,15845.08,16484.56,15732.05,15459.87,15745.37,16030.87,99.5,30.5,38.8,30.2,13,1,5,4.0,0.0,7.0
2022-05-24 15:15:00,15796.0,15827.8,15784.4,15827.2,138.77,53.59,69.91,66.91,26.01,17.46,8.55,16.86,15844.38,16478.01,15731.92,15486.58,15753.16,16019.74,43.4,31.2,0.6,11.6,15,1,5,4.0,0.0,6.0
2022-05-25 09:15:00,15904.2,16022.2,15874.7,16020.8,142.79,60.88,79.4,72.2,43.48,27.94,15.54,17.86,15851.29,16473.46,15737.49,15500.32,15778.65,16056.98,147.5,116.6,1.4,29.5,9,2,5,4.0,0.0,8.0
2022-05-25 11:15:00,16020.3,16023.1,15909.3,15936.7,140.72,56.71,84.4,77.9,49.96,27.54,22.42,18.78,15854.64,16468.12,15744.74,15520.2,15793.7,16067.2,113.8,83.6,2.8,27.4,11,2,5,4.0,0.0,5.0
2022-05-25 13:15:00,15937.6,16006.4,15904.2,15916.0,137.96,55.7,84.17,82.66,52.82,24.32,28.5,19.6,15857.05,16462.63,15752.51,15538.43,15805.35,16072.27,102.2,21.6,68.8,11.8,13,2,5,4.0,0.0,4.0
2022-05-25 15:15:00,15916.6,15929.0,15900.8,15914.2,130.12,55.61,72.91,80.49,54.32,20.65,33.67,20.32,15859.29,16457.17,15759.17,15568.85,15815.72,16062.58,28.2,2.4,12.4,13.4,15,2,5,4.0,0.0,3.0
2022-05-26 09:15:00,16035.5,16082.2,15919.5,15946.2,132.83,56.98,67.02,74.7,57.42,19.0,38.42,21.73,15862.7,16452.09,15781.87,15572.79,15828.14,16083.5,162.7,89.3,46.7,26.7,9,3,5,4.0,0.0,2.0
2022-05-26 11:15:00,15945.7,16133.2,15939.6,16132.6,137.17,63.97,76.67,72.2,74.07,28.52,45.55,23.26,15873.28,16448.91,15819.76,15589.22,15857.14,16125.05,193.6,186.9,0.6,6.1,11,3,5,4.0,0.0,3.0
2022-05-26 13:15:00,16132.5,16242.8,16086.0,16229.4,138.57,66.97,87.18,76.96,93.99,38.75,55.24,25.1,15887.25,16446.72,15861.9,15620.33,15892.59,16164.86,156.8,96.9,13.4,46.5,13,3,5,4.0,0.0,4.0
2022-05-26 15:15:00,16229.5,16285.4,16228.9,16274.2,132.71,68.29,98.49,87.44,112.1,45.49,66.61,26.96,15902.42,16445.01,15904.72,15671.84,15928.94,16186.03,56.5,44.7,11.2,0.6,15,3,5,4.0,0.0,5.0
2022-05-27 09:15:00,16336.2,16462.3,16301.3,16424.3,136.67,72.28,96.86,94.18,136.98,56.3,80.68,29.24,15922.89,16444.8,15939.58,15707.67,15976.11,16244.55,161.0,88.1,38.0,34.9,9,4,5,4.0,0.0,4.0
2022-05-27 11:15:00,16424.7,16476.7,16373.4,16470.4,134.28,73.38,97.42,97.59,158.6,62.33,96.27,31.4,15944.36,16445.06,15972.93,15760.64,16023.19,16285.74,103.3,45.7,6.3,51.3,11,4,5,2.0,0.0,27.0
2022-05-27 13:15:00,16469.9,16513.7,16424.8,16464.9,131.04,73.01,95.9,96.73,173.28,61.61,111.67,33.5,15964.77,16445.25,16006.55,15810.78,16065.26,16319.74,88.9,5.0,43.8,40.1,13,4,5,2.0,0.0,26.0
2022-05-27 15:15:00,16465.2,16489.6,16463.4,16478.3,123.55,73.37,95.99,96.44,183.88,57.77,126.11,35.46,15984.91,16445.58,16039.82,15869.36,16104.59,16339.83,26.2,13.1,11.3,1.8,15,4,5,2.0,0.0,21.0
2022-05-30 09:15:00,16658.8,16712.6,16627.9,16707.6,131.46,78.58,96.08,95.99,208.39,65.82,142.57,37.84,16013.25,16448.19,16078.03,15904.56,16162.02,16419.48,84.7,48.8,5.0,30.9,9,0,5,2.0,0.0,7.0
2022-05-30 11:15:00,16709.1,16721.9,16615.6,16677.8,129.67,76.49,96.51,96.19,222.83,64.21,158.62,39.91,16039.31,16450.48,16114.2,15957.96,16211.14,16464.33,106.3,31.3,12.8,62.2,11,0,5,2.0,0.0,6.0
2022-05-30 13:15:00,16678.1,16679.2,16599.8,16620.8,126.08,72.5,93.98,95.52,227.06,54.75,172.31,41.64,16062.12,16452.17,16157.82,16005.96,16250.16,16494.36,79.4,57.3,1.1,21.0,13,0,5,2.0,0.0,8.0
2022-05-30 15:15:00,16620.2,16639.6,16614.5,16633.2,118.86,72.83,90.56,93.68,228.78,45.18,183.6,43.24,16084.51,16453.97,16203.47,16060.92,16286.64,16512.36,25.1,13.0,6.4,5.7,15,0,5,2.0,0.0,4.0
2022-05-31 09:15:00,16518.8,16616.8,16463.6,16589.4,122.49,69.64,86.92,90.49,224.02,32.34,191.69,42.95,16104.31,16455.32,16244.22,16078.94,16315.47,16552.0,153.2,70.6,27.4,55.2,9,1,5,2.0,0.0,14.0
