datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month
2022-06-09 12:15:00,16115.4,16218.8,16083.0,16216.5,130.03,48.37,19.57,18.77,-26.25,-34.17,7.92,16.98,16217.49,16515.91,16316.86,15993.94,16251.22,16508.51,135.8,101.1,2.3,32.4,12,3,6
2022-06-09 15:15:00,16217.2,16232.3,16206.8,16219.4,122.57,48.53,29.08,20.85,-24.59,-26.01,1.42,15.8,16217.56,16512.96,16301.2,16010.55,16248.19,16485.84,25.5,2.2,12.9,10.4,15,3,6
2022-06-10 09:15:00,16027.3,16053.5,15892.5,15921.1,137.16,36.45,25.9,24.85,-46.82,-38.59,-8.23,16.54,16205.94,16507.07,16271.76,15939.77,16217.04,16494.32,161.0,106.2,26.2,28.6,9,4,6
2022-06-10 12:15:00,15921.0,15924.3,15808.7,15861.7,135.62,34.6,18.16,24.38,-68.43,-48.16,-20.27,17.59,16192.44,16500.65,16238.71,15910.31,16183.2,16456.09,115.6,59.3,3.3,53.0,12,4,6
2022-06-10 15:15:00,15860.4,15864.3,15825.0,15834.3,128.74,33.75,6.51,16.86,-86.77,-53.2,-33.57,18.58,16178.39,16494.02,16210.4,15895.59,16149.97,16404.36,39.3,26.1,3.9,9.3,15,4,6
2022-06-13 09:15:00,15482.3,15504.4,15276.1,15334.9,159.42,22.77,6.39,10.35,-139.99,-85.14,-54.85,21.2,16145.32,16482.49,16154.4,15735.86,16072.35,16408.83,228.3,147.4,22.1,58.8,9,0,6
2022-06-13 12:15:00,15335.0,15358.8,15278.7,15353.2,153.75,23.75,5.71,6.2,-178.63,-99.02,-79.61,23.64,16114.25,16471.25,16099.18,15684.16,16003.86,16323.55,80.1,18.2,5.6,56.3,12,0,6
2022-06-13 15:15:00,15352.2,15386.2,15352.2,15380.7,145.2,25.29,7.48,6.53,-204.68,-100.05,-104.62,25.69,16085.48,16460.4,16042.46,15648.79,15944.51,16240.23,34.0,28.5,5.5,0.0,15,0,6
2022-06-14 09:15:00,15230.7,15438.5,15217.2,15390.8,150.63,25.87,10.79,7.99,-221.94,-93.86,-128.09,27.91,16058.24,16449.76,15996.1,15582.06,15891.77,16201.48,221.3,160.1,47.7,13.5,9,1,6
2022-06-14 12:15:00,15390.8,15396.3,15219.5,15277.2,152.5,23.62,10.16,9.48,-242.0,-91.13,-150.87,29.97,16027.61,16438.09,15943.55,15519.35,15833.24,16147.13,176.8,113.6,5.5,57.7,12,1,6
2022-06-14 15:15:00,15276.5,15327.3,15274.4,15301.8,145.39,25.14,9.48,10.14,-253.0,-81.7,-171.3,31.89,15999.15,16426.78,15891.58,15488.56,15782.63,16076.7,52.9,25.3,25.5,2.1,15,1,6
2022-06-15 09:15:00,15283.7,15350.7,15251.7,15337.7,142.07,27.41,8.31,9.32,-255.87,-67.66,-188.21,33.44,15973.21,16415.94,15841.22,15455.33,15740.26,16025.18,99.0,54.0,13.0,32.0,9,2,6
2022-06-15 12:15:00,15337.8,15407.7,15317.4,15335.7,138.38,27.36,10.43,9.41,-255.36,-53.72,-201.64,34.33,15948.21,16405.2,15792.42,15426.74,15701.72,15976.71,90.3,2.1,69.9,18.3,12,2,6
2022-06-15 15:15:00,15334.8,15343.2,15328.7,15336.9,129.53,27.45,11.78,10.17,-251.96,-40.25,-211.7,35.16,15924.24,16394.57,15754.09,15415.42,15666.98,15918.54,14.5,2.1,6.3,6.1,15,2,6
2022-06-16 09:15:00,15461.5,15515.8,15184.2,15223.2,143.96,24.51,9.06,10.42,-255.49,-35.03,-220.46,34.36,15896.74,16382.91,15707.4,15333.95,15624.72,15915.48,331.6,238.3,54.3,39.0,9,3,6
2022-06-16 12:15:00,15223.0,15269.2,14983.0,14999.1,154.12,19.98,5.67,8.84,-273.22,-42.21,-231.01,34.49,15861.54,16369.14,15650.38,15247.55,15565.13,15882.72,286.2,223.9,46.2,16.1,12,3,6
2022-06-16 15:15:00,14998.7,15003.5,14970.9,14988.7,145.44,19.8,2.36,5.7,-284.83,-43.05,-241.78,34.64,15827.32,16355.41,15585.04,15216.68,15510.24,15803.78,32.6,10.0,4.8,17.8,15,3,6
2022-06-17 09:15:00,14882.1,15086.7,14857.3,15012.0,151.44,21.53,6.24,4.76,-288.82,-37.64,-251.18,35.21,15795.34,16342.04,15528.18,15153.5,15462.78,15772.07,229.4,129.9,74.7,24.8,9,4,6
2022-06-17 12:15:00,15012.0,15136.6,14973.1,15030.5,152.3,22.95,14.51,7.71,-287.18,-28.8,-258.38,35.31,15765.35,16328.99,15473.54,15110.64,15421.61,15732.59,163.5,18.5,106.1,38.9,12,4,6
2022-06-17 15:15:00,15028.2,15110.7,15005.2,15104.5,148.96,28.54,26.4,15.72,-276.72,-14.67,-262.05,35.4,15739.43,16316.81,15423.0,15089.96,15391.41,15692.86,105.5,76.3,6.2,23.0,15,4,6
2022-06-20 09:15:00,15117.0,15201.0,14995.3,15166.3,153.01,32.92,36.92,25.94,-260.44,1.29,-261.73,34.69,15716.96,16305.36,15370.48,15058.05,15369.97,15681.9,205.7,49.3,34.7,121.7,9,0,6
2022-06-20 12:15:00,15165.9,15225.0,15089.7,15209.0,151.75,35.84,45.96,36.43,-241.31,16.33,-257.64,33.83,15697.04,16294.45,15319.96,15046.65,15354.64,15662.63,135.3,43.1,16.0,76.2,12,0,6
2022-06-20 15:15:00,15210.4,15234.4,15200.5,15204.5,143.33,35.67,51.02,44.63,-223.93,26.97,-250.9,32.94,15677.72,16283.6,15284.14,15055.23,15340.34,15625.46,33.9,5.9,24.0,4.0,15,0,6
2022-06-21 09:15:00,15328.0,15461.8,15251.2,15429.2,151.47,49.13,64.33,53.77,-189.84,48.85,-238.69,30.78,15667.98,16275.1,15262.51,15041.84,15348.81,15655.78,210.6,101.2,32.6,76.8,9,1,6
2022-06-21 12:15:00,15429.7,15588.2,15424.0,15430.3,152.38,49.19,72.66,62.67,-160.88,62.25,-223.13,29.51,15658.65,16266.7,15242.31,15047.56,15356.57,15665.58,164.2,0.6,157.9,5.7,12,1,6
2022-06-21 15:15:00,15430.6,15447.0,15415.2,15426.8,143.77,49.0,81.05,72.68,-136.63,69.19,-205.83,28.27,15649.56,16258.34,15246.9,15077.62,15363.26,15648.89,31.8,3.8,16.4,11.6,15,1,6
2022-06-22 09:15:00,15368.0,15393.6,15245.2,15309.9,146.47,43.16,72.75,75.49,-125.41,64.34,-189.74,26.52,15636.24,16248.9,15244.74,15065.15,15358.18,15651.2,148.4,58.1,25.6,64.7,9,2,6
2022-06-22 12:15:00,15310.7,15341.7,15242.3,15284.2,143.11,41.98,66.08,73.29,-117.23,58.01,-175.24,24.91,15622.44,16239.3,15239.92,15067.08,15351.13,15635.18,99.4,26.5,31.0,41.9,12,2,6
2022-06-22 15:15:00,15284.0,15286.8,15249.2,15250.8,135.57,40.42,58.06,65.63,-112.16,50.47,-162.62,23.41,15607.86,16229.47,15232.92,15077.41,15341.57,15605.74,37.6,33.2,2.8,1.6,15,2,6
2022-06-23 09:15:00,15300.7,15498.8,15249.4,15397.5,143.7,49.3,62.05,62.06,-95.2,53.94,-149.14,22.79,15599.61,16221.19,15238.93,15060.39,15346.9,15633.41,249.4,96.8,101.3,51.3,9,3,6
2022-06-23 12:15:00,15397.0,15470.7,15179.6,15390.3,154.23,48.91,66.89,62.33,-81.4,54.19,-135.59,21.72,15591.4,16212.92,15243.36,15036.36,15351.03,15665.7,291.1,6.7,73.7,210.7,12,3,6
2022-06-23 15:15:00,15391.5,15411.3,15369.4,15411.3,146.21,50.13,72.69,67.21,-67.99,54.08,-122.07,20.73,15584.34,16204.94,15247.04,15064.09,15356.77,15649.45,41.9,19.8,0.0,22.1,15,3,6
2022-06-24 09:15:00,15500.5,15611.0,15494.8,15528.4,150.03,56.4,76.92,72.17,-47.36,59.77,-107.13,20.91,15582.15,16198.21,15256.67,15070.28,15373.12,15675.96,116.2,27.9,82.6,5.7,9,4,6
2022-06-24 12:15:00,15528.5,15648.5,15521.6,15605.4,148.37,59.97,83.74,77.78,-24.52,66.08,-90.61,21.25,15583.06,16192.31,15270.1,15097.07,15395.24,15693.41,126.9,76.9,43.1,6.9,12,4,6
2022-06-24 15:15:00,15605.2,15607.2,15586.4,15602.0,139.26,59.73,90.55,83.74,-6.62,67.19,-73.81,21.56,15583.8,16186.44,15289.04,15141.19,15414.93,15688.67,20.8,3.2,2.0,15.6,15,4,6
2022-06-27 09:15:00,15826.3,15826.5,15639.5,15656.0,145.35,62.24,86.24,86.85,11.79,68.48,-56.69,22.81,15586.63,16181.16,15321.88,15147.46,15437.89,15728.32,187.0,170.3,0.2,16.5,9,0,6
2022-06-27 12:15:00,15657.5,15725.7,15629.9,15656.2,141.81,62.24,79.67,85.49,26.1,66.23,-40.13,23.89,15589.36,16175.94,15355.26,15177.66,15458.68,15739.7,95.8,1.3,68.2,26.3,12,0,6
2022-06-27 15:15:00,15655.5,15669.5,15633.5,15641.5,134.25,61.05,72.91,79.6,35.83,60.77,-24.94,24.89,15591.41,16170.62,15386.73,15214.98,15476.09,15737.2,36.0,14.0,14.0,8.0,15,0,6
2022-06-28 09:15:00,15548.3,15594.3,15470.3,15551.2,136.89,54.16,67.51,73.36,35.85,48.63,-12.78,24.41,15589.83,16164.46,15412.76,15214.39,15483.25,15752.1,124.0,2.9,43.1,78.0,9,1,6
2022-06-28 12:15:00,15551.0,15607.9,15486.3,15547.7,135.8,53.9,61.92,67.44,35.18,38.37,-3.19,24.05,15588.18,16158.32,15434.92,15222.98,15489.38,15755.8,121.6,3.3,56.9,61.4,12,1,6
2022-06-28 15:15:00,15548.1,15611.3,15543.1,15590.8,130.97,56.6,59.3,62.91,37.69,32.7,4.99,23.72,15588.28,16152.67,15456.15,15245.02,15499.04,15753.07,68.2,42.7,20.5,5.0,15,1,6
2022-06-29 09:15:00,15410.3,15466.0,15389.3,15450.5,136.01,46.97,54.11,58.44,28.03,18.44,9.59,22.21,15582.88,16145.69,15468.22,15226.2,15494.42,15762.64,76.7,40.2,15.5,21.0,9,2,6
2022-06-29 12:15:00,15450.9,15490.0,15399.5,15401.6,132.76,44.14,46.59,53.33,16.25,5.32,10.92,20.97,15575.77,16138.28,15478.08,15225.67,15485.58,15745.49,90.5,49.3,39.1,2.1,12,2,6
2022-06-29 15:15:00,15401.8,15410.0,15383.3,15394.5,125.18,43.73,36.47,45.72,6.26,-3.73,9.99,19.7,15568.66,16130.88,15476.34,15236.66,15476.91,15717.15,26.7,7.3,8.2,11.2,15,2,6
2022-06-30 09:15:00,15358.7,15563.9,15358.7,15452.8,130.9,48.01,29.22,37.43,3.02,-5.58,8.6,19.52,15564.12,16124.14,15477.47,15218.16,15474.61,15731.06,205.2,94.1,111.1,0.0,9,3,6
2022-06-30 12:15:00,15455.5,15541.5,15426.0,15479.4,129.8,49.88,26.38,30.69,2.56,-4.83,7.39,19.35,15560.79,16117.72,15480.1,15221.04,15475.07,15729.09,115.5,23.9,62.1,29.5,12,3,6
2022-06-30 15:15:00,15479.6,15479.6,15423.1,15425.0,124.56,46.22,20.03,25.21,-2.16,-7.64,5.48,19.17,15555.47,16110.83,15485.86,15229.7,15470.3,15710.89,56.5,54.6,0.0,1.9,15,3,6
2022-07-01 09:15:00,15395.9,15481.4,15315.0,15479.5,127.55,50.17,24.04,23.48,-1.49,-5.58,4.09,18.07,15552.49,16104.54,15495.62,15221.8,15471.18,15720.55,166.4,83.6,1.9,80.9,9,4,7
2022-07-01 12:15:00,15480.5,15632.5,15466.0,15619.4,130.33,58.58,35.28,26.45,10.21,4.9,5.31,18.03,15555.11,16099.72,15514.05,15227.95,15485.29,15742.63,166.5,138.9,13.1,14.5,12,4,7
2022-07-01 15:15:00,15618.7,15674.9,15614.5,15631.9,125.34,59.24,56.28,38.53,20.26,11.96,8.3,18.25,15558.12,16095.06,15525.77,15254.92,15499.25,15743.59,60.4,13.2,43.0,4.2,15,4,7
2022-07-04 09:15:00,15600.7,15703.2,15559.6,15692.2,126.64,62.37,77.95,56.5,32.72,19.53,13.18,17.98,15563.38,16091.06,15540.86,15269.21,15517.63,15766.05,143.6,91.5,11.0,41.1,9,0,7
2022-07-04 12:15:00,15692.6,15786.4,15654.2,15781.0,127.04,66.45,91.06,75.09,49.18,28.8,20.38,18.23,15571.92,16087.97,15559.35,15292.77,15542.71,15792.65,132.2,88.4,5.4,38.4,12,0,7
2022-07-04 15:15:00,15780.2,15782.6,15749.0,15763.1,120.37,64.92,97.03,88.68,60.1,31.77,28.33,18.46,15579.41,16084.74,15571.08,15331.17,15563.7,15796.24,33.6,17.1,2.4,14.1,15,0,7
2022-07-05 09:15:00,15855.2,15976.2,15832.7,15970.0,126.99,72.72,97.66,95.25,84.47,44.91,39.55,19.7,15594.73,16083.6,15589.32,15351.42,15602.4,15853.38,143.5,114.8,6.2,22.5,9,1,7
2022-07-05 12:15:00,15969.3,15981.5,15707.2,15734.7,137.51,57.15,85.7,93.46,83.83,35.42,48.41,19.76,15600.22,16080.12,15595.95,15335.67,15615.0,15894.32,274.3,234.6,12.2,27.5,12,1,7
2022-07-05 15:15:00,15737.0,15751.8,15695.3,15702.2,131.72,55.39,73.38,85.58,79.78,25.1,54.68,19.71,15604.22,16076.36,15598.26,15359.82,15623.3,15886.79,56.5,34.8,14.8,6.9,15,1,7
2022-07-06 09:15:00,15745.0,15937.2,15735.4,15895.8,139.1,62.76,69.4,76.16,91.14,29.17,61.97,20.6,15615.65,16074.57,15610.24,15366.1,15649.26,15932.41,201.8,150.8,41.4,9.6,9,2,7
2022-07-06 12:15:00,15895.2,16009.8,15891.2,15985.3,137.64,65.59,80.57,74.45,106.14,35.34,70.81,21.73,15630.15,16073.68,15627.43,15402.48,15681.26,15960.04,118.6,90.1,24.5,4.0,12,2,7
2022-07-06 15:15:00,15981.2,16001.2,15981.2,15995.8,129.23,65.92,93.87,81.28,117.53,37.37,80.15,22.77,15644.49,16072.9,15649.66,15455.18,15711.22,15967.25,20.0,14.6,5.4,0.0,15,2,7
2022-07-07 09:15:00,16109.3,16139.5,16031.7,16081.4,130.27,68.55,95.8,90.08,131.93,41.43,90.51,24.31,15661.62,16072.99,15676.34,15487.45,15746.47,16005.49,107.8,27.9,30.2,49.7,9,3,7
2022-07-07 12:15:00,16081.4,16191.0,16070.8,16168.8,129.55,71.01,96.13,95.27,148.69,46.55,102.15,25.92,15681.51,16073.94,15705.24,15529.44,15786.69,16043.94,120.2,87.4,22.2,10.6,12,3,7
