datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-05-17 15:15:00,16248.1,16284.2,16245.0,16282.6,141.28,56.05,98.68,84.99,-68.42,77.77,-146.2,28.78,16351.03,16958.12,15979.49,15798.91,16076.68,16354.44,39.2,34.5,1.6,3.1,15,1,5,2.0,0.0,5.0
2022-05-18 09:15:00,16318.2,16399.8,16278.4,16332.7,139.86,57.76,95.3,94.6,-41.29,83.93,-125.21,28.53,16350.31,16951.89,15991.48,15826.63,16101.06,16375.49,121.4,14.5,67.1,39.8,9,2,5,2.0,0.0,4.0
2022-05-18 11:15:00,16333.2,16365.3,16211.2,16257.2,140.88,54.32,89.31,94.43,-25.58,79.71,-105.29,27.77,16346.66,16944.98,16003.1,15838.28,16115.93,16393.58,154.1,76.0,32.1,46.0,11,2,5,2.0,0.0,3.0
2022-05-18 13:15:00,16260.4,16354.7,16226.8,16236.2,139.95,53.37,81.15,88.59,-14.65,72.51,-87.16,27.07,16342.33,16937.93,16007.22,15851.82,16127.38,16402.95,127.9,24.2,94.3,9.4,13,2,5,2.0,0.0,2.0
2022-05-18 15:15:00,16235.3,16256.5,16233.5,16256.5,131.6,54.2,77.3,82.59,-4.31,66.28,-70.59,26.41,16338.96,16931.15,16009.94,15885.98,16139.68,16393.38,23.0,21.2,0.0,1.8,15,2,5,2.0,0.0,1.0
2022-05-19 09:15:00,15917.4,15984.8,15903.8,15927.5,147.39,41.28,60.65,73.03,-22.4,38.55,-60.95,25.46,16322.83,16921.16,16014.52,15822.75,16119.47,16416.2,81.0,10.1,57.3,13.6,9,3,5,4.0,0.0,6.0
2022-05-19 11:15:00,15927.7,15928.0,15810.3,15824.6,145.27,38.21,39.87,59.27,-44.52,13.14,-57.67,25.03,16303.29,16910.25,16014.23,15800.51,16091.39,16382.27,117.7,103.1,0.3,14.3,11,3,5,4.0,0.0,3.0
2022-05-19 13:15:00,15823.5,15864.3,15775.2,15783.9,141.26,37.04,14.63,38.38,-64.6,-5.55,-59.05,24.81,16282.92,16899.04,16012.56,15781.95,16062.1,16342.26,89.1,39.6,40.8,8.7,13,3,5,4.0,0.0,2.0
2022-05-19 15:15:00,15784.4,15839.6,15782.6,15828.5,135.24,39.24,7.99,20.83,-76.03,-13.59,-62.45,24.6,16265.1,16888.39,16012.66,15775.53,16039.86,16304.18,57.0,44.1,11.1,1.8,15,3,5,4.0,0.0,1.0
2022-05-20 09:15:00,16043.8,16194.8,16003.8,16179.8,151.74,53.13,25.3,15.97,-56.1,5.08,-61.18,23.5,16261.75,16881.34,16021.55,15744.26,16053.18,16362.11,191.0,136.0,15.0,40.0,9,4,5,4.0,0.0,24.0
2022-05-20 11:15:00,16179.9,16216.2,16116.1,16206.9,148.06,54.01,47.48,26.92,-37.69,18.8,-56.48,22.58,16259.6,16874.63,16028.08,15769.26,16067.82,16366.39,100.1,27.0,9.3,63.8,11,4,5,2.0,0.0,16.0
2022-05-20 13:15:00,16207.5,16281.5,16183.7,16279.5,144.47,56.36,71.54,48.11,-17.03,31.56,-48.59,22.06,16260.38,16868.71,16054.4,15799.22,16087.98,16376.75,97.8,72.0,2.0,23.8,13,4,5,2.0,0.0,14.0
2022-05-20 15:15:00,16279.7,16283.0,16252.8,16278.7,136.3,56.32,76.82,65.28,-0.73,38.29,-39.02,21.57,16261.1,16862.84,16079.98,15839.13,16106.15,16373.16,30.2,1.0,3.3,25.9,15,4,5,2.0,0.0,13.0
2022-05-23 09:15:00,16291.0,16357.3,16207.2,16337.7,137.29,58.33,83.8,77.39,16.77,44.63,-27.86,21.51,16264.1,16857.61,16100.46,15858.02,16128.2,16398.38,150.1,46.7,19.6,83.8,9,0,5,2.0,0.0,9.0
2022-05-23 11:15:00,16337.3,16393.4,16336.4,16352.0,131.55,58.82,87.67,82.77,31.42,47.43,-16.0,21.62,16267.55,16852.58,16127.47,15894.21,16149.51,16404.82,57.0,14.7,41.4,0.9,11,0,5,2.0,0.0,5.0
2022-05-23 13:15:00,16352.5,16414.7,16199.5,16210.4,137.53,52.23,83.49,84.99,31.25,37.8,-6.55,20.72,16265.31,16846.19,16146.88,15883.34,16155.31,16427.29,215.2,142.1,62.2,10.9,13,0,5,2.0,0.0,10.0
2022-05-23 15:15:00,16210.1,16221.5,16185.8,16191.7,130.26,51.41,75.18,82.11,29.27,28.66,0.61,19.79,16262.42,16839.68,16163.24,15905.9,16158.78,16411.65,35.7,18.4,11.4,5.9,15,0,5,2.0,0.0,9.0
2022-05-24 09:15:00,16225.5,16262.8,16117.1,16153.6,131.36,49.7,64.12,74.26,24.34,18.98,5.36,18.45,16258.16,16832.85,16167.02,15901.74,16158.28,16414.83,145.7,71.9,37.3,36.5,9,1,5,1.0,16.0,0.0
2022-05-24 11:15:00,16152.9,16261.3,16144.8,16162.2,130.3,50.1,61.61,66.97,20.89,12.43,8.46,17.2,16254.39,16826.18,16166.52,15904.36,16158.66,16412.96,116.5,9.3,99.1,8.1,11,1,5,1.0,15.0,0.0
2022-05-24 13:15:00,16163.0,16197.8,16078.6,16112.8,129.51,47.73,57.49,61.07,14.01,4.44,9.57,16.37,16248.84,16819.08,16159.75,15901.5,16154.29,16407.08,119.2,50.2,34.8,34.2,13,1,5,1.0,14.0,0.0
2022-05-24 15:15:00,16112.9,16139.5,16112.2,16139.5,122.2,49.13,56.76,58.62,10.59,0.81,9.78,15.6,16244.55,16812.32,16152.6,15918.97,16152.88,16386.79,27.3,26.6,0.0,0.7,15,1,5,1.0,13.0,0.0
2022-05-25 09:15:00,16196.3,16223.3,16114.3,16164.7,121.26,50.48,56.74,57.0,9.79,0.02,9.78,14.74,16241.42,16805.88,16144.2,15921.61,16154.01,16386.4,109.0,31.6,27.0,50.4,9,2,5,2.0,0.0,4.0
2022-05-25 11:15:00,16164.2,16167.5,16035.7,16069.6,122.01,45.57,44.48,52.66,1.48,-6.64,8.12,14.03,16234.68,16798.55,16134.82,15910.6,16145.97,16381.34,131.8,94.6,3.3,33.9,11,2,5,4.0,0.0,7.0
2022-05-25 13:15:00,16070.3,16097.5,16007.0,16027.7,119.76,43.56,27.18,42.8,-8.4,-13.21,4.81,13.57,16226.57,16790.88,16124.39,15904.52,16134.7,16364.9,90.5,42.6,27.2,20.7,13,2,5,4.0,0.0,6.0
2022-05-25 15:15:00,16027.5,16040.6,16021.2,16037.8,112.59,44.2,9.55,27.07,-15.24,-16.04,0.8,13.15,16219.16,16783.38,16113.46,15913.51,16125.48,16337.44,19.4,10.3,2.8,6.3,15,2,5,4.0,0.0,5.0
2022-05-26 09:15:00,16105.0,16129.9,15910.8,15929.3,120.2,39.08,5.43,14.05,-29.07,-23.9,-5.17,13.55,16207.8,16774.89,16113.54,15873.28,16106.79,16340.3,219.1,175.7,24.9,18.5,9,3,5,4.0,0.0,2.0
2022-05-26 11:15:00,15928.2,16094.6,15903.7,16094.2,125.25,48.79,16.17,10.38,-26.43,-17.01,-9.42,13.97,16203.34,16768.11,16127.02,15857.96,16105.59,16353.22,190.9,166.0,0.4,24.5,11,3,5,4.0,0.0,5.0
2022-05-26 13:15:00,16095.7,16186.5,16063.8,16172.2,125.07,52.63,31.17,17.59,-17.83,-6.73,-11.11,13.48,16202.12,16762.18,16146.44,15864.52,16111.94,16359.36,122.7,76.5,14.3,31.9,13,3,5,1.0,6.0,0.0
2022-05-26 15:15:00,16173.0,16204.5,16172.7,16201.5,118.44,54.03,49.37,32.23,-8.56,2.04,-10.6,12.86,16202.1,16756.6,16165.09,15890.46,16120.47,16350.48,31.8,28.5,3.0,0.3,15,3,5,1.0,5.0,0.0
2022-05-27 09:15:00,16296.6,16329.3,16234.7,16253.3,119.11,56.47,64.32,48.28,2.94,10.83,-7.89,12.63,16204.1,16751.6,16168.76,15900.67,16133.12,16365.56,94.6,43.3,32.7,18.6,9,4,5,4.0,0.0,4.0
2022-05-27 11:15:00,16253.8,16324.2,16222.0,16316.9,117.9,59.33,79.17,64.29,16.98,19.9,-2.92,12.3,16208.53,16747.27,16174.26,15920.85,16150.62,16380.4,102.2,63.1,7.3,31.8,11,4,5,4.0,0.0,3.0
2022-05-27 13:15:00,16317.0,16370.6,16288.2,16346.0,115.37,60.6,91.32,78.27,30.12,26.43,3.69,12.35,16213.92,16743.28,16177.59,15945.64,16169.23,16392.82,82.4,29.0,24.6,28.8,13,4,5,4.0,0.0,2.0
2022-05-27 15:15:00,16346.2,16366.8,16343.0,16356.1,108.83,61.06,96.24,88.91,40.87,29.74,11.13,12.4,16219.49,16739.43,16181.46,15980.2,16187.02,16393.85,23.8,9.9,10.7,3.2,15,4,5,4.0,0.0,1.0
2022-05-30 09:15:00,16527.9,16688.7,16506.2,16686.9,124.81,72.35,97.13,94.9,75.22,51.27,23.94,14.36,16237.82,16738.9,16198.92,15984.15,16234.63,16485.11,182.5,159.0,1.8,21.7,9,0,5,2.0,0.0,24.0
2022-05-30 11:15:00,16687.6,16695.5,16637.1,16670.1,120.07,71.22,97.82,97.06,99.93,60.79,39.14,16.2,16254.78,16738.22,16214.82,16038.36,16276.1,16513.86,58.4,17.5,7.9,33.0,11,0,5,2.0,0.0,23.0
2022-05-30 13:15:00,16670.2,16672.9,16612.2,16660.8,115.83,70.56,97.39,97.45,117.41,62.61,54.79,17.65,16270.7,16737.45,16237.34,16086.08,16312.74,16539.41,60.7,9.4,2.7,48.6,13,0,5,2.0,0.0,22.0
2022-05-30 15:15:00,16658.9,16672.7,16652.7,16668.2,108.98,70.79,96.32,97.18,130.36,60.45,69.91,19.0,16286.29,16736.76,16261.17,16137.71,16346.6,16555.49,20.0,9.3,4.5,6.2,15,0,5,2.0,0.0,7.0
2022-05-31 09:15:00,16578.4,16662.3,16521.9,16649.1,111.65,69.28,95.44,96.38,137.49,54.07,83.42,18.88,16300.52,16735.89,16285.94,16158.54,16375.41,16592.27,140.4,70.7,13.2,56.5,9,1,5,2.0,0.0,20.0
2022-05-31 11:15:00,16648.3,16670.9,16601.1,16619.4,108.66,66.89,93.69,95.15,139.15,44.58,94.57,18.83,16313.02,16734.73,16308.8,16189.14,16398.64,16608.15,69.8,28.9,22.6,18.3,11,1,5,2.0,0.0,19.0
2022-05-31 13:15:00,16619.8,16690.8,16556.8,16556.8,110.47,62.04,89.0,92.71,133.86,31.44,102.43,18.35,16322.58,16732.96,16331.0,16198.63,16413.71,16628.78,134.0,63.0,71.0,0.0,13,1,5,4.0,0.0,10.0
2022-05-31 15:15:00,16557.8,16583.6,16532.4,16578.2,106.24,63.03,84.77,89.16,129.91,21.98,107.92,17.67,16332.6,16731.42,16352.94,16225.03,16429.37,16633.72,51.2,20.4,5.4,25.4,15,1,5,4.0,0.0,9.0
2022-06-01 09:15:00,16594.4,16649.2,16537.9,16588.4,106.6,63.52,81.14,84.97,126.14,14.57,111.57,17.55,16342.64,16730.0,16374.12,16238.44,16444.52,16650.6,111.3,6.0,54.8,50.5,9,2,6,2.0,0.0,16.0
2022-06-01 11:15:00,16587.9,16618.5,16543.0,16543.0,104.38,59.74,76.25,80.72,118.13,5.25,112.88,17.44,16350.49,16728.14,16397.8,16253.06,16453.9,16654.74,75.5,44.9,30.6,0.0,11,2,6,4.0,0.0,7.0
2022-06-01 13:15:00,16542.6,16551.8,16438.8,16528.6,104.99,58.55,70.69,76.03,109.36,-2.82,112.17,16.29,16357.48,16726.15,16422.84,16257.78,16461.01,16664.24,113.0,14.0,9.2,89.8,13,2,6,4.0,0.0,6.0
2022-06-01 15:15:00,16529.9,16549.8,16525.9,16540.8,99.2,59.29,64.85,70.6,102.21,-7.97,110.18,15.21,16364.67,16724.3,16447.99,16280.18,16468.61,16657.04,23.9,10.9,9.0,4.0,15,2,6,4.0,0.0,5.0
2022-06-02 09:15:00,16481.7,16586.1,16443.1,16517.5,102.33,57.19,58.76,64.77,93.59,-13.27,106.86,14.79,16370.66,16722.25,16477.4,16275.54,16473.26,16670.99,143.0,35.8,68.6,38.6,9,3,6,4.0,0.0,4.0
2022-06-02 11:15:00,16517.3,16598.9,16509.2,16574.4,101.43,60.84,54.78,59.46,90.31,-13.24,103.55,14.27,16378.65,16720.78,16501.41,16286.92,16482.9,16678.88,89.7,57.1,24.5,8.1,11,3,6,4.0,0.0,3.0
2022-06-02 13:15:00,16575.5,16646.4,16546.2,16631.7,101.34,64.15,59.16,57.57,91.28,-9.82,101.1,13.3,16388.57,16719.89,16524.38,16300.67,16497.07,16693.47,100.2,56.2,14.7,29.3,13,3,6,2.0,0.0,10.0
2022-06-02 15:15:00,16632.7,16641.2,16627.2,16637.4,95.1,64.47,68.93,60.96,91.45,-7.72,99.17,12.39,16398.33,16719.07,16546.18,16330.07,16510.44,16690.8,14.0,4.7,3.8,5.5,15,3,6,2.0,0.0,5.0
2022-06-03 09:15:00,16761.7,16793.8,16710.2,16732.8,99.48,69.41,78.92,69.0,98.16,-0.81,98.97,12.85,16411.45,16719.2,16570.15,16338.64,16531.61,16724.59,83.6,28.9,32.1,22.6,9,4,6,2.0,0.0,4.0
2022-06-03 11:15:00,16732.8,16764.2,16696.1,16718.4,97.24,67.88,80.13,75.99,101.14,1.74,99.4,13.12,16423.48,16719.2,16590.23,16361.84,16549.4,16736.97,68.1,14.4,31.4,22.3,11,4,6,2.0,0.0,3.0
2022-06-03 13:15:00,16717.7,16723.9,16567.9,16577.2,101.43,55.02,66.85,75.3,91.07,-6.67,97.73,12.29,16429.51,16717.78,16601.79,16352.63,16552.05,16751.47,156.0,140.5,6.2,9.3,13,4,6,2.0,0.0,6.0
2022-06-03 15:15:00,16577.0,16607.7,16570.1,16583.6,96.87,55.43,52.85,66.61,82.64,-12.07,94.72,11.53,16435.56,16716.45,16613.16,16367.47,16555.06,16742.64,37.6,6.6,24.1,6.9,15,4,6,2.0,0.0,5.0
2022-06-06 09:15:00,16530.7,16579.2,16444.6,16502.9,99.88,49.3,32.61,50.77,68.67,-20.84,89.51,11.87,16438.2,16714.32,16603.96,16353.89,16550.09,16746.28,134.6,27.8,48.5,58.3,9,0,6,2.0,0.0,8.0
2022-06-06 11:15:00,16502.5,16585.6,16482.2,16561.5,100.14,53.34,31.14,38.86,61.61,-22.32,83.93,12.13,16443.03,16712.8,16598.54,16353.97,16551.17,16748.38,103.4,59.0,24.1,20.3,11,0,6,2.0,0.0,4.0
2022-06-06 13:15:00,16560.7,16610.9,16551.2,16573.2,97.25,54.12,30.16,31.3,56.31,-22.1,78.4,12.08,16448.14,16711.41,16594.15,16363.47,16553.27,16743.07,59.7,12.5,37.7,9.5,13,0,6,2.0,0.0,2.0
2022-06-06 15:15:00,16573.5,16578.6,16557.8,16563.7,91.79,53.34,35.87,32.39,50.75,-22.12,72.87,12.04,16452.67,16709.94,16588.93,16378.58,16554.26,16729.95,20.8,9.8,5.1,5.9,15,0,6,2.0,0.0,1.0
2022-06-07 09:15:00,16469.6,16487.2,16373.2,16374.0,98.84,40.66,24.41,30.15,30.69,-33.74,64.44,13.41,16449.58,16706.6,16575.18,16341.86,16537.1,16732.33,114.0,95.6,17.6,0.8,9,1,6,2.0,0.0,14.0
2022-06-07 11:15:00,16374.0,16416.9,16347.1,16396.4,96.76,42.4,15.47,25.25,16.41,-38.42,54.83,14.84,16447.5,16703.52,16564.02,16333.76,16523.7,16713.64,69.8,22.4,20.5,26.9,11,1,6,2.0,0.0,13.0
2022-06-07 13:15:00,16395.9,16426.5,16374.8,16419.1,93.54,44.19,9.11,16.33,6.85,-38.39,45.24,16.04,16446.38,16700.68,16557.14,16332.04,16513.74,16695.43,51.7,23.2,7.4,21.1,13,1,6,2.0,0.0,11.0
2022-06-07 15:15:00,16418.2,16427.3,16402.9,16404.4,88.61,43.25,13.33,12.64,-1.89,-37.7,35.81,17.15,16444.74,16697.74,16548.45,16334.28,16503.32,16672.36,24.4,13.8,9.1,1.5,15,1,6,2.0,0.0,10.0
2022-06-08 09:15:00,16474.9,16514.3,16293.3,16430.4,98.06,45.45,18.78,13.74,-6.65,-33.97,27.32,18.88,16444.18,16695.08,16540.55,16301.34,16496.38,16691.41,221.0,44.5,39.4,137.1,9,2,6,2.0,0.0,9.0
2022-06-08 11:15:00,16430.3,16484.7,16400.9,16401.2,97.04,43.41,20.59,17.57,-12.63,-31.96,19.33,20.49,16442.49,16692.15,16533.46,16294.89,16487.31,16679.74,83.8,29.1,54.4,0.3,11,2,6,2.0,0.0,8.0
2022-06-08 13:15:00,16401.3,16404.2,16310.0,16362.3,96.84,40.79,21.2,20.19,-20.27,-31.68,11.41,22.5,16439.35,16688.87,16525.14,16283.37,16475.41,16667.45,94.2,39.0,2.9,52.3,13,2,6,2.0,0.0,10.0
2022-06-08 15:15:00,16361.5,16365.8,16335.4,16335.4,92.09,39.04,15.33,19.04,-28.18,-31.67,3.49,24.36,16435.27,16685.35,16514.88,16282.53,16462.07,16641.61,30.4,26.1,4.3,0.0,15,2,6,2.0,0.0,9.0
2022-06-09 09:15:00,16263.8,16393.8,16243.8,16365.8,96.23,42.07,19.22,18.58,-31.62,-28.09,-3.53,26.55,16432.54,16682.17,16507.29,16261.89,16452.9,16643.92,150.0,102.0,28.0,20.0,9,3,6,2.0,0.0,6.0
2022-06-09 11:15:00,16364.5,16420.4,16332.5,16348.0,95.64,40.79,23.8,19.45,-35.38,-25.48,-9.9,28.17,16429.23,16678.85,16495.97,16253.35,16442.91,16632.48,87.9,16.5,55.9,15.5,11,3,6,2.0,0.0,7.0
2022-06-09 13:15:00,16348.1,16479.5,16344.3,16477.6,98.46,52.2,41.77,28.26,-27.58,-14.15,-13.44,28.79,16431.13,16676.85,16488.26,16248.95,16446.22,16643.48,135.2,129.5,1.9,3.8,13,3,6,2.0,0.0,2.0
2022-06-09 15:15:00,16477.7,16492.8,16474.7,16481.8,92.72,52.52,52.3,39.29,-20.83,-5.91,-14.92,29.18,16433.11,16674.91,16480.48,16267.68,16449.6,16631.53,18.1,4.1,11.0,3.0,15,3,6,2.0,0.0,1.0
2022-06-10 09:15:00,16284.0,16324.7,16252.4,16274.8,102.48,38.77,45.93,46.67,-31.81,-13.51,-18.29,30.76,16426.91,16670.93,16457.59,16224.66,16432.96,16641.25,72.3,9.2,40.7,22.4,9,4,6,2.0,0.0,4.0
2022-06-10 11:15:00,16274.6,16275.2,16205.3,16215.4,100.16,35.87,25.79,41.34,-44.79,-21.19,-23.59,32.43,16418.61,16666.39,16432.44,16210.47,16412.24,16614.01,69.9,59.2,0.6,10.1,11,4,6,2.0,0.0,3.0
2022-06-10 13:15:00,16214.8,16235.8,16172.6,16211.9,97.52,35.7,8.01,26.57,-54.73,-24.91,-29.82,34.11,16410.5,16661.87,16414.17,16198.57,16393.16,16587.75,63.2,2.9,21.0,39.3,13,4,6,2.0,0.0,2.0
2022-06-10 15:15:00,16211.3,16215.6,16177.8,16191.5,93.25,34.67,6.77,13.52,-63.52,-26.96,-36.56,35.67,16401.92,16657.19,16394.56,16190.69,16373.95,16557.21,37.8,19.8,4.3,13.7,15,4,6,2.0,0.0,1.0
2022-06-13 09:15:00,15877.5,15886.2,15749.9,15806.4,118.13,21.87,8.14,7.64,-100.4,-51.07,-49.33,38.31,16378.56,16648.72,16359.74,16069.98,16319.9,16569.82,136.3,71.1,8.7,56.5,9,0,6,2.0,0.0,13.0
2022-06-13 11:15:00,15806.8,15820.3,15746.1,15755.8,115.0,20.78,4.73,6.55,-132.19,-66.29,-65.9,40.77,16354.14,16639.84,16319.46,16025.92,16266.18,16506.43,74.2,51.0,13.5,9.7,11,0,6,2.0,0.0,12.0
2022-06-13 13:15:00,15756.3,15778.2,15684.0,15767.8,113.51,21.77,6.34,6.4,-154.63,-70.98,-83.65,43.17,16331.15,16631.16,16279.18,15983.4,16218.71,16454.02,94.2,11.5,10.4,72.3,13,0,6,2.0,0.0,11.0
2022-06-13 15:15:00,15767.8,15805.1,15767.8,15801.0,108.07,24.59,8.7,6.59,-167.8,-67.33,-100.48,45.06,16310.36,16622.9,16241.05,15958.92,16178.93,16398.94,37.3,33.2,4.1,0.0,15,0,6,2.0,0.0,10.0
2022-06-14 09:15:00,15674.2,15852.9,15659.5,15849.1,114.16,28.6,15.86,10.3,-172.37,-57.52,-114.86,47.05,16292.27,16615.2,16214.8,15911.62,16147.52,16383.41,193.4,174.9,3.8,14.7,9,1,6,2.0,0.0,9.0
2022-06-14 11:15:00,15849.9,15858.0,15723.2,15776.4,115.64,26.32,17.08,13.88,-179.79,-51.95,-127.84,48.82,16272.04,16606.86,16183.8,15873.07,16112.17,16351.28,134.8,73.5,8.1,53.2,11,1,6,2.0,0.0,8.0
2022-06-14 13:15:00,15777.7,15805.5,15679.7,15722.5,116.36,24.75,14.78,15.91,-187.85,-48.01,-139.84,50.57,16250.49,16598.06,16148.98,15834.77,16075.06,16315.35,125.8,55.2,27.8,42.8,13,1,6,2.0,0.0,7.0
