datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month
2022-07-26 13:15:00,16552.2,16572.9,16463.3,16466.6,124.36,58.22,70.38,79.78,159.17,0.52,158.65,27.02,16202.38,16525.12,16342.72,16156.41,16399.26,16642.11,109.6,85.6,20.7,3.3,13,1,7
2022-07-27 09:15:00,16475.3,16605.7,16438.8,16593.9,127.4,63.7,66.79,72.74,155.16,-2.8,157.95,26.69,16217.74,16525.81,16372.33,16166.28,16417.8,16669.31,166.9,118.6,11.8,36.5,9,2,7
2022-07-27 13:15:00,16592.8,16653.4,16575.8,16642.8,123.84,65.57,68.61,68.59,154.14,-3.05,157.19,26.7,16234.41,16526.97,16405.68,16196.88,16439.23,16681.57,77.6,50.0,10.6,17.0,13,2,7
2022-07-28 09:15:00,16774.8,16920.4,16746.2,16913.5,134.83,73.66,83.86,73.09,173.19,12.8,160.39,28.03,16261.04,16530.82,16452.73,16212.26,16484.4,16756.53,174.2,138.7,6.9,28.6,9,3,7
2022-07-28 13:15:00,16912.9,16947.7,16869.8,16922.1,130.76,73.87,91.52,81.33,186.82,21.15,165.68,29.38,16286.96,16534.71,16501.44,16265.02,16526.08,16787.14,77.9,9.2,25.6,43.1,13,3,7
2022-07-29 09:15:00,17079.5,17141.8,17018.2,17106.2,137.11,77.93,96.28,90.55,210.06,35.51,174.55,31.28,16319.09,16540.4,16557.77,16303.29,16581.33,16859.38,123.6,26.7,35.6,61.3,9,4,7
2022-07-29 13:15:00,17106.7,17172.8,17061.5,17157.9,135.27,78.92,95.96,94.59,230.0,44.36,185.64,33.14,16351.98,16546.54,16613.02,16363.48,16636.24,16909.01,111.3,51.2,14.9,45.2,13,4,7
2022-08-01 09:15:00,17243.2,17300.7,17154.8,17286.6,136.03,81.18,97.09,96.44,253.27,54.1,199.17,35.22,16388.64,16553.91,16666.4,16423.6,16698.18,16972.76,145.9,43.4,14.1,88.4,9,0,8
2022-08-01 13:15:00,17285.9,17356.2,17276.8,17332.3,131.98,81.92,97.91,96.99,272.26,58.47,213.79,37.28,16425.64,16561.65,16718.94,16495.02,16758.57,17022.12,79.4,46.4,23.9,9.1,13,0,8
2022-08-02 09:15:00,17310.2,17331.3,17215.8,17263.9,130.88,77.03,95.23,96.74,278.57,51.83,226.74,38.53,16458.51,16568.64,16768.52,16546.06,16806.7,17067.34,115.5,46.3,21.1,48.1,9,1,8
