datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month
2022-05-17 15:15:00,54264.3,54399.4,54259.9,54383.4,466.06,55.56,98.21,83.7,-237.28,244.31,-481.59,28.36,54644.87,56679.34,53447.31,52831.64,53746.19,54660.74,139.5,119.1,16.0,4.4,15,1,5
2022-05-18 09:15:00,54554.9,54786.0,54409.5,54540.5,461.53,57.22,94.68,93.74,-150.09,265.21,-415.29,28.14,54640.78,56658.06,53480.9,52917.7,53821.84,54725.98,376.5,14.4,231.1,131.0,9,2,5
2022-05-18 11:15:00,54539.6,54645.5,54130.9,54276.1,465.32,53.58,88.01,93.63,-101.15,251.31,-352.46,27.28,54626.48,56634.36,53512.52,52949.05,53865.1,54781.15,514.6,263.5,105.9,145.2,11,2,5
2022-05-18 13:15:00,54276.4,54610.2,54161.2,54195.7,464.15,52.49,79.17,87.29,-68.07,227.51,-295.59,26.49,54609.58,56610.1,53519.72,52982.26,53896.58,54810.92,449.0,80.7,333.8,34.5,13,2,5
2022-05-18 15:15:00,54192.3,54276.5,54184.7,54262.5,437.56,53.34,74.87,80.68,-36.05,207.62,-243.68,25.75,54595.98,56586.74,53522.2,53086.7,53931.44,54776.17,91.8,70.2,14.0,7.6,15,2,5
2022-05-19 09:15:00,53070.3,53356.0,53053.8,53185.2,492.64,40.68,57.98,70.67,-96.5,117.75,-214.24,25.0,54540.65,56552.89,53530.33,52865.85,53860.36,54854.88,302.2,114.9,170.8,16.5,9,3,5
2022-05-19 11:15:00,53187.5,53187.5,52802.4,52840.2,484.96,37.6,37.0,56.62,-170.27,35.18,-205.45,24.67,54473.96,56515.94,53521.52,52790.06,53763.2,54736.36,385.1,347.3,0.0,37.8,11,3,5
2022-05-19 13:15:00,52843.5,52967.9,52669.5,52705.0,471.63,36.43,12.33,35.77,-236.92,-25.17,-211.74,24.56,54404.6,56478.02,53508.92,52725.12,53662.42,54599.74,298.4,138.5,124.4,35.5,13,3,5
2022-05-19 15:15:00,52697.8,52893.8,52696.8,52844.9,452.02,38.55,6.54,18.62,-275.27,-50.82,-224.45,24.45,54343.43,56441.88,53503.09,52699.0,53584.56,54470.13,197.0,147.1,48.9,1.0,15,3,5
2022-05-20 09:15:00,53514.0,54051.9,53403.3,54003.6,505.94,52.64,24.33,14.4,-209.75,11.76,-221.51,23.28,54330.1,56417.62,53527.38,52593.34,53624.48,54655.6,648.6,489.6,48.3,110.7,9,4,5
2022-05-20 11:15:00,54003.5,54144.6,53802.8,54111.9,494.22,53.71,46.49,25.79,-147.39,59.29,-206.69,22.33,54321.54,56394.67,53545.13,52672.86,53670.9,54668.92,341.8,108.4,32.7,200.7,11,4,5
2022-05-20 13:15:00,54111.9,54381.4,54034.8,54372.9,483.67,56.27,70.56,47.13,-76.03,104.52,-180.56,21.8,54323.56,56374.56,53629.04,52768.76,53737.76,54706.76,346.6,261.0,8.5,77.1,13,4,5
2022-05-20 15:15:00,54374.4,54391.9,54280.5,54387.0,457.08,56.41,76.59,64.55,-18.13,129.94,-148.07,21.33,54326.04,56354.78,53710.38,52901.65,53799.58,54697.52,111.4,12.6,4.9,93.9,15,4,5
2022-05-23 09:15:00,54459.9,54719.2,54191.6,54662.9,462.12,59.17,85.27,77.47,49.44,158.01,-108.57,21.39,54339.26,56337.94,53779.52,52968.9,53881.8,54794.72,527.6,203.0,56.3,268.3,9,0,5
2022-05-23 11:15:00,54666.4,54849.0,54661.9,54712.0,442.48,59.66,89.68,83.85,105.74,171.45,-65.71,21.62,54353.88,56321.76,53871.36,53099.26,53960.87,54822.48,187.1,45.6,137.0,4.5,11,0,5
2022-05-23 13:15:00,54707.9,54931.3,54251.0,54292.1,459.46,53.73,86.55,87.17,115.15,144.69,-29.53,20.93,54351.46,56301.57,53941.1,53083.29,53992.42,54901.54,680.3,415.8,223.4,41.1,13,0,5
2022-05-23 15:15:00,54292.7,54324.5,54202.2,54216.7,435.38,52.71,77.95,84.73,115.2,115.78,-0.59,20.18,54346.17,56280.82,53999.8,53167.94,54013.78,54859.62,122.3,76.0,31.8,14.5,15,0,5
2022-05-24 09:15:00,54307.6,54463.1,54021.3,54137.1,435.84,51.61,68.34,77.61,107.57,86.52,21.04,19.1,54337.97,56259.5,54020.18,53176.08,54025.52,54874.96,441.8,170.5,155.5,115.8,9,1,5
2022-05-24 11:15:00,54137.4,54524.4,54116.4,54177.8,433.85,52.16,66.66,70.99,103.61,66.05,37.56,18.21,54331.69,56238.78,54028.88,53193.78,54040.02,54886.28,408.0,40.4,346.6,21.0,11,1,5
2022-05-24 13:15:00,54177.1,54303.9,53886.3,54001.0,432.69,49.51,63.48,66.16,85.23,38.14,47.09,16.94,54318.72,56216.52,54015.42,53191.11,54036.31,54881.51,417.6,176.1,126.8,114.7,13,1,5
2022-05-24 15:15:00,53999.8,54095.5,53999.8,54083.5,408.62,50.77,62.69,64.28,76.43,23.48,52.96,15.76,54309.5,56195.29,54000.43,53257.87,54040.8,54823.74,95.7,83.7,12.0,0.0,15,1,5
2022-05-25 09:15:00,54254.1,54379.6,54016.5,54198.1,405.37,52.53,62.86,63.01,77.82,19.89,57.93,15.23,54305.12,56175.42,53983.31,53278.26,54055.78,54833.31,363.1,56.0,125.5,181.6,9,2,5
2022-05-25 11:15:00,54198.9,54205.4,53783.3,53868.0,406.56,47.27,53.37,59.64,51.68,-5.0,56.68,14.18,54287.98,56152.46,53962.9,53254.02,54037.9,54821.78,422.1,330.9,6.5,84.7,11,2,5
2022-05-25 13:15:00,53872.1,53985.9,53683.2,53746.1,399.14,45.46,34.21,50.15,20.89,-28.63,49.52,13.36,54266.74,56128.52,53940.42,53243.22,54010.11,54776.99,302.7,126.0,113.8,62.9,13,2,5
2022-05-25 15:15:00,53750.4,53805.4,53734.2,53793.4,375.72,46.32,14.76,34.12,0.3,-39.38,39.68,12.59,54248.17,56105.28,53916.97,53282.06,53989.47,54696.88,71.2,43.0,12.0,16.2,15,2,5
2022-05-26 09:15:00,53950.8,54102.4,53456.6,53521.5,395.01,42.21,6.09,18.35,-37.53,-61.76,24.24,12.23,54219.68,56079.57,53933.78,53181.86,53944.9,54707.94,645.8,429.3,151.6,64.9,9,3,5
2022-05-26 11:15:00,53519.7,54006.8,53425.2,54006.7,408.34,50.63,17.28,12.71,-28.03,-41.81,13.78,11.81,54211.32,56058.94,53992.11,53149.64,53950.79,54751.94,581.6,487.0,0.1,94.5,11,3,5
2022-05-26 13:15:00,54010.5,54301.8,53905.2,54228.2,407.5,53.94,32.11,18.49,-2.6,-13.1,10.51,12.1,54211.98,56040.73,54068.27,53176.81,53977.2,54777.6,396.6,217.7,73.6,105.3,13,3,5
2022-05-26 15:15:00,54237.6,54346.2,54237.6,54328.6,386.82,55.39,50.64,33.34,25.37,11.89,13.48,12.46,54216.56,56023.69,54142.46,53264.02,54010.67,54757.32,108.6,91.0,17.6,0.0,15,3,5
2022-05-27 09:15:00,54671.5,54791.8,54464.3,54530.1,392.28,58.25,64.72,49.15,63.06,39.66,23.4,13.68,54228.86,56008.83,54168.78,53296.38,54060.14,54823.9,327.5,141.4,120.3,65.8,9,4,5
2022-05-27 11:15:00,54528.9,54779.9,54449.3,54755.8,387.87,61.24,79.4,64.92,109.88,69.19,40.69,14.76,54249.52,55996.36,54200.98,53372.4,54126.4,54880.39,330.6,226.9,24.1,79.6,11,4,5
2022-05-27 13:15:00,54761.9,54934.5,54671.8,54855.1,378.93,62.51,90.99,78.37,153.23,90.03,63.2,16.05,54273.26,55985.01,54225.08,53463.57,54195.8,54928.02,262.7,93.2,79.4,90.1,13,4,5
2022-05-27 15:15:00,54856.8,54936.6,54847.6,54891.7,358.22,62.99,96.38,88.92,188.37,100.13,88.23,17.25,54297.52,55974.13,54250.32,53582.64,54262.08,54941.52,89.0,34.9,44.9,9.2,15,4,5
2022-05-30 09:15:00,55507.8,56051.4,55466.3,56042.9,415.47,74.22,97.15,94.84,305.58,173.88,131.7,19.9,54365.96,55974.81,54319.32,53596.04,54431.68,55267.3,585.1,535.1,8.5,41.5,9,0,5
2022-05-30 11:15:00,56047.4,56082.6,55871.4,55976.5,400.88,72.85,97.57,97.03,388.64,205.55,183.09,22.39,54429.12,55974.83,54382.54,53782.52,54578.8,55375.08,211.2,70.9,35.2,105.1,11,0,5
2022-05-30 13:15:00,55975.7,55981.8,55776.9,55918.9,386.88,71.61,96.51,97.08,444.69,209.28,235.41,24.37,54487.54,55974.28,54463.88,53946.96,54706.43,55465.9,204.9,56.8,6.1,142.0,13,0,5
2022-05-30 15:15:00,55922.0,55971.4,55894.8,55966.4,364.72,72.03,95.16,96.41,487.32,201.53,285.79,26.21,54545.54,55974.2,54551.37,54124.7,54826.42,55528.15,76.6,44.4,5.0,27.2,15,0,5
2022-05-31 09:15:00,55622.0,55890.7,55386.5,55834.1,380.09,68.96,93.37,95.01,504.62,175.06,329.56,26.22,54596.07,55972.8,54636.22,54177.04,54922.4,55667.75,504.2,212.1,56.6,235.5,9,1,5
2022-05-31 11:15:00,55837.9,55896.6,55647.4,55689.0,370.74,65.65,90.49,93.01,500.84,137.03,363.81,26.24,54638.94,55969.98,54711.78,54273.58,54995.4,55717.24,249.2,148.9,58.7,41.6,11,1,5
2022-05-31 13:15:00,55699.1,55925.6,55471.5,55471.5,376.69,60.93,84.28,89.38,474.83,88.81,386.02,25.71,54671.58,55965.02,54785.3,54301.16,55040.75,55780.33,454.1,227.6,226.5,0.0,13,1,5
2022-05-31 15:15:00,55475.5,55537.2,55369.1,55531.3,361.79,61.74,78.96,84.58,453.8,54.23,399.57,24.92,54705.3,55960.7,54857.7,54386.3,55087.47,55788.64,168.1,55.8,5.9,106.4,15,1,5
2022-06-01 09:15:00,55588.3,55791.5,55407.5,55617.1,363.38,62.94,75.48,79.57,439.01,31.55,407.46,24.72,54741.06,55957.28,54928.64,54430.38,55137.91,55845.44,384.0,28.8,174.4,180.8,9,2,6
2022-06-01 11:15:00,55613.1,55719.2,55471.3,55471.3,355.13,59.54,70.67,75.04,410.78,2.65,408.12,24.54,54769.69,55952.44,55008.81,54482.3,55169.66,55857.02,247.9,141.8,106.1,0.0,11,2,6
2022-06-01 13:15:00,55473.2,55489.9,55091.4,55386.6,358.23,57.59,64.91,70.36,377.22,-24.72,401.94,23.21,54793.88,55946.82,55090.84,54492.52,55190.32,55888.13,398.5,86.6,16.7,295.2,13,2,6
2022-06-01 15:15:00,55388.6,55461.0,55385.3,55450.6,338.05,58.69,58.39,64.66,351.74,-40.16,391.9,21.98,54819.64,55941.88,55173.7,54569.34,55215.11,55860.88,75.7,62.0,10.4,3.3,15,2,6
2022-06-02 09:15:00,55382.4,55645.9,55135.1,55438.2,350.39,58.37,53.47,58.92,326.78,-52.1,378.88,20.68,54843.9,55936.86,55269.53,54554.8,55236.36,55917.92,510.8,55.8,207.7,247.3,9,3,6
2022-06-02 11:15:00,55437.3,55716.1,55419.1,55626.1,346.57,61.73,52.32,54.73,318.49,-48.31,366.8,19.27,54874.57,55933.78,55350.5,54600.26,55273.48,55946.7,297.0,188.8,90.0,18.2,11,3,6
2022-06-02 13:15:00,55628.3,55891.9,55536.2,55830.2,347.23,65.03,58.77,54.85,324.64,-33.73,358.37,18.31,54912.04,55932.74,55430.6,54649.64,55326.5,56003.36,355.7,201.9,61.7,92.1,13,3,6
2022-06-02 15:15:00,55832.9,55857.3,55806.4,55856.6,326.06,65.45,71.47,60.85,327.87,-24.4,352.27,17.43,54949.08,55931.99,55507.0,54754.89,55376.98,55999.08,50.9,23.7,0.7,26.5,15,3,6
2022-06-03 09:15:00,56245.6,56432.6,56200.7,56274.4,343.91,71.26,82.89,71.04,359.99,6.18,353.81,17.98,55001.06,55935.4,55594.22,54789.89,55462.45,56135.01,231.9,28.8,158.2,44.9,9,4,6
2022-06-03 11:15:00,56273.7,56388.5,56164.6,56244.2,335.34,70.34,86.7,80.36,378.65,19.87,358.78,18.37,55049.81,55938.46,55668.64,54885.75,55536.9,56188.06,223.9,29.5,114.8,79.6,11,4,6
2022-06-03 13:15:00,56243.8,56260.9,55719.4,55741.5,350.07,57.11,74.21,81.27,348.85,-7.95,356.8,17.38,55076.94,55936.51,55712.96,54864.1,55556.38,56248.67,541.5,502.3,17.1,22.1,13,4,6
2022-06-03 15:15:00,55746.0,55861.2,55722.1,55779.9,335.0,57.76,61.92,74.28,324.59,-25.77,350.35,16.46,55104.5,55934.95,55757.36,54924.83,55577.68,56230.52,139.1,33.9,81.3,23.9,15,4,6
