datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-06-09 12:15:00,54950.8,55321.9,54823.1,55316.8,398.86,51.76,24.45,19.27,7.99,-106.18,114.17,20.62,55111.0,56216.08,55458.04,54462.94,55255.28,56047.64,498.8,366.0,5.1,127.7,12,3,6,2.0,0.0,2.0
2022-06-09 15:15:00,55313.1,55366.8,55305.5,55337.4,374.75,52.1,36.43,25.15,16.11,-78.45,94.56,20.64,55119.88,56207.34,55444.1,54534.54,55263.1,55991.67,61.3,24.3,29.4,7.6,15,3,6,2.0,0.0,1.0
2022-06-10 09:15:00,54760.2,54780.8,54424.0,54508.1,413.22,40.06,30.67,30.52,-43.87,-110.74,66.87,22.05,55095.89,56190.42,55400.18,54358.04,55191.2,56024.36,356.8,252.1,20.6,84.1,9,4,6,2.0,0.0,3.0
2022-06-10 12:15:00,54508.1,54510.6,54206.0,54336.6,405.47,38.09,19.34,28.81,-104.04,-136.73,32.69,23.63,55066.12,56171.98,55344.48,54297.98,55109.81,55921.64,304.6,171.5,2.5,130.6,12,4,6,2.0,0.0,2.0
2022-06-10 15:15:00,54336.2,54346.9,54226.4,54275.0,385.11,37.39,6.04,18.68,-154.91,-150.08,-4.83,25.1,55035.09,56153.1,55280.02,54272.84,55030.3,55787.77,120.5,61.2,10.7,48.6,15,4,6,2.0,0.0,1.0
2022-06-13 09:15:00,53184.6,53207.5,52735.0,52892.4,467.6,25.8,5.86,10.41,-303.3,-238.77,-64.53,27.77,54951.06,56120.66,55133.13,53848.04,54826.7,55805.35,472.5,292.2,22.9,157.4,9,0,6,2.0,0.0,10.0
2022-06-13 12:15:00,52897.3,52933.8,52527.1,52821.4,463.25,25.36,6.57,6.16,-421.76,-285.79,-135.97,30.38,54867.54,56087.83,54981.37,53672.8,54635.72,55598.64,406.7,75.9,36.5,294.3,12,0,6,2.0,0.0,9.0
2022-06-13 15:15:00,52823.4,52951.9,52823.4,52931.8,439.48,27.41,9.81,7.41,-500.96,-291.99,-208.97,32.76,54791.64,56056.43,54809.36,53577.36,54473.44,55369.51,128.5,108.4,20.1,0.0,15,0,6,2.0,0.0,8.0
2022-06-14 09:15:00,52495.9,53095.3,52459.5,52973.1,453.51,28.21,13.82,10.07,-554.01,-276.03,-277.98,35.19,54720.32,56025.75,54670.94,53398.72,54330.54,55262.38,635.8,477.2,122.2,36.4,9,1,6,2.0,0.0,7.0
2022-06-14 12:15:00,52973.4,52991.8,52502.9,52667.9,456.03,25.95,12.77,12.13,-613.6,-268.5,-345.1,37.44,54639.83,55992.34,54515.34,53235.99,54172.2,55108.42,488.9,305.5,18.4,165.0,12,1,6,2.0,0.0,6.0
2022-06-14 15:15:00,52674.2,52782.3,52654.0,52731.3,432.63,27.25,11.23,12.61,-648.24,-242.51,-405.73,39.54,54564.99,55959.89,54368.42,53163.48,54034.98,54906.46,128.3,57.1,51.0,20.2,15,1,6,2.0,0.0,5.0
2022-06-15 09:15:00,52650.4,52819.8,52538.5,52705.0,421.82,27.04,8.27,10.76,-670.09,-211.49,-458.6,41.56,54492.04,55927.5,54218.3,53066.24,53908.31,54750.38,281.3,54.6,114.8,111.9,9,2,6,2.0,0.0,4.0
2022-06-15 12:15:00,52704.9,52867.7,52493.4,52533.9,418.42,25.64,6.78,8.76,-693.22,-187.7,-505.53,43.26,54415.26,55893.74,54062.24,52944.24,53777.41,54610.58,374.3,171.0,162.8,40.5,12,2,6,2.0,0.0,3.0
2022-06-15 15:15:00,52535.8,52556.9,52501.1,52520.0,392.52,25.52,4.36,6.47,-704.56,-159.22,-545.33,44.85,54340.94,55860.17,53937.59,52893.21,53657.66,54422.1,55.8,15.8,21.1,18.9,15,2,6,2.0,0.0,2.0
2022-06-16 09:15:00,53018.9,53142.5,52106.3,52197.5,438.5,22.94,2.48,4.54,-731.13,-148.64,-582.49,44.28,54256.88,55823.72,53791.26,52629.58,53518.6,54407.61,1036.2,821.4,123.6,91.2,9,3,6,2.0,0.0,3.0
2022-06-16 12:15:00,52196.3,52333.8,51433.8,51490.5,471.46,18.51,2.19,3.01,-800.02,-174.02,-626.0,44.55,54148.39,55780.6,53611.39,52349.67,53325.44,54301.22,900.0,705.8,137.5,56.7,12,3,6,4.0,0.0,8.0
2022-06-16 15:15:00,51492.6,51506.9,51425.5,51473.9,443.6,18.42,2.02,2.23,-846.2,-176.16,-670.04,44.8,54043.51,55737.76,53419.59,52250.76,53149.1,54047.46,81.4,18.7,14.3,48.4,15,3,6,4.0,0.0,7.0
2022-06-17 09:15:00,51182.0,51634.1,50921.2,51220.0,462.84,17.05,4.0,2.74,-892.99,-178.36,-714.63,45.53,53932.78,55692.8,53235.58,52016.8,52965.38,53913.96,712.9,38.0,414.1,260.8,9,4,6,4.0,0.0,6.0
2022-06-17 12:15:00,51219.1,51652.8,51161.4,51266.3,464.88,18.24,8.46,4.83,-915.78,-160.92,-754.86,46.15,53828.22,55648.76,53057.58,51851.72,52803.56,53755.4,491.4,47.2,386.5,57.7,12,4,6,4.0,0.0,5.0
2022-06-17 15:15:00,51260.0,51493.6,51205.9,51488.4,452.22,23.88,16.45,9.64,-905.48,-120.5,-784.99,46.72,53736.46,55607.36,52884.36,51762.32,52678.31,53594.3,287.7,228.4,5.2,54.1,15,4,6,4.0,0.0,4.0
2022-06-20 09:15:00,51470.0,51633.5,51062.9,51543.8,460.68,25.27,22.89,15.93,-882.68,-78.15,-804.52,47.4,53650.48,55566.92,52695.72,51632.82,52570.26,53507.7,570.6,73.8,89.7,407.1,9,0,6,4.0,0.0,3.0
