,open,high,low,close,volume,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
0,25443.65,25446.45,25427.35,25432.15,0,25460.87,25454.17,25472.5,25466.45,25483.14,25477.36,25501.95,25495.01,25517.1,25510.39,25530.33,25530.33,-12.4,-7.86,-4.54,25.3,30.56,4.87,19.42,-93.51,-224.99,21.23,13.23,40.74,-57.2,-0.22,-0.0,14.46,25517.94,25483.14,25448.33,0.27,-23.24,25503.95,25427.35,0.28,0.02,-2.37,0.62,-1,0,0,0,0,-0.05,0.05,0.08,0.05,0.01,0.02,0.0,0.0,-1,-1,-0.2,-0.18,0.08,0.07
1,25431.85,25432.3,25404.2,25405.35,0,25444.92,25437.9,25464.02,25455.34,25478.51,25470.5,25498.24,25491.49,25515.94,25508.31,25529.3,25529.09,-16.59,-9.61,-6.98,20.04,25.95,3.18,8.53,-98.76,-222.94,24.0,11.51,46.15,-84.8,-0.33,-0.0,15.43,25526.38,25478.51,25430.63,0.38,-26.4,25503.95,25404.2,0.39,0.0,-3.25,0.61,-1,0,0,0,0,-0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,-1,-1,-0.29,-0.26,0.11,0.1
2,25405.15,25415.85,25389.55,25408.95,0,25430.76,25428.25,25455.54,25446.91,25474.24,25464.64,25494.7,25488.26,25514.76,25506.34,25528.17,25527.89,-19.4,-11.57,-7.83,22.37,27.49,8.59,5.55,-81.95,-177.61,26.9,10.18,47.26,-84.8,-0.33,-0.0,16.21,25530.25,25474.24,25418.23,0.44,-8.28,25503.95,25389.55,0.37,0.08,-3.99,0.67,-1,0,0,0,0,0.01,0.01,0.1,0.01,0.03,0.06,0.0,0.0,-1,-1,-0.26,-0.22,0.12,0.11
3,25408.55,25417.4,25405.95,25415.6,0,25421.26,25424.03,25448.64,25441.21,25470.52,25459.97,25491.63,25485.41,25513.71,25504.54,25527.08,25526.78,-20.85,-13.42,-7.42,26.64,30.31,14.61,8.79,-75.45,-119.28,29.44,10.35,44.83,-69.05,-0.27,-0.0,15.87,25531.51,25470.52,25409.53,0.48,4.98,25503.95,25389.55,0.35,0.1,-4.58,0.75,-1,0,0,0,0,0.03,0.03,0.05,0.03,0.01,0.01,0.0,0.0,-1,-1,-0.22,-0.17,0.12,0.12
4,25415.85,25417.65,25384.6,25396.8,0,25411.77,25414.95,25440.58,25433.14,25465.87,25453.95,25488.63,25481.93,25512.37,25502.41,25526.02,25525.48,-23.24,-15.39,-7.86,22.82,27.18,17.86,13.69,-89.01,-121.56,32.23,8.92,47.56,-80.6,-0.32,-0.0,17.1,25534.04,25465.87,25397.71,0.54,-0.67,25503.95,25384.6,0.42,0.05,-5.33,0.81,-1,0,0,0,1,-0.07,0.07,0.13,0.08,0.01,0.05,0.0,0.0,-1,-1,-0.27,-0.22,0.13,0.14
5,25397.35,25400.7,25383.95,25398.75,0,25405.09,25409.55,25432.98,25426.89,25460.9,25448.7,25485.49,25478.67,25511.14,25500.36,25525.03,25524.22,-24.7,-17.25,-7.45,24.04,27.99,16.26,16.25,-86.75,-110.14,34.82,8.3,44.49,-75.95,-0.3,-0.0,17.07,25533.28,25460.9,25388.52,0.57,7.07,25503.95,25383.95,0.41,0.06,-5.78,0.85,-1,1,0,0,0,0.01,0.01,0.07,0.01,0.01,0.05,0.0,0.0,-1,-1,-0.24,-0.2,0.13,0.15
6,25398.45,25407.15,25393.55,25394.9,0,25403.0,25404.67,25423.96,25421.07,25455.67,25443.57,25482.67,25475.38,25509.84,25498.27,25524.05,25522.93,-25.87,-18.97,-6.89,23.26,27.36,11.35,15.16,-90.2,-86.96,36.6,10.56,41.93,-90.2,-0.35,-0.0,16.82,25531.18,25455.67,25380.15,0.59,9.76,25501.35,25383.95,0.42,0.04,-6.11,0.87,-1,0,0,0,0,-0.02,0.02,0.05,0.01,0.03,0.01,0.0,0.0,-1,-1,-0.24,-0.19,0.12,0.15
7,25395.4,25408.4,25387.75,25408.05,0,25402.82,25405.8,25416.79,25418.7,25451.47,25440.19,25479.96,25472.74,25508.77,25496.48,25523.24,25521.79,-25.44,-20.27,-5.17,31.44,32.8,15.26,14.29,-77.26,-71.49,38.4,9.64,40.73,-71.7,-0.28,-0.01,17.1,25527.76,25451.47,25375.17,0.6,21.55,25497.05,25383.95,0.35,0.09,-6.21,0.88,-1,0,0,0,0,0.05,0.05,0.08,0.05,0.0,0.03,0.0,0.0,-1,-1,-0.17,-0.13,0.09,0.15
8,25407.7,25408.6,25397.25,25403.4,0,25400.38,25405.0,25410.82,25415.92,25446.89,25436.69,25477.22,25470.02,25507.65,25494.64,25522.44,25520.61,-25.18,-21.25,-3.93,30.21,31.91,16.96,14.52,-81.65,-59.49,40.04,9.26,38.75,-59.7,-0.23,-0.01,16.69,25523.18,25446.89,25370.6,0.6,21.5,25497.05,25383.95,0.37,0.08,-6.21,0.88,-1,0,0,0,0,-0.02,0.02,0.04,0.02,0.0,0.02,0.0,0.0,-1,-1,-0.17,-0.13,0.06,0.15
9,25403.85,25414.85,25402.85,25413.4,0,25403.7,25407.8,25407.73,25415.46,25442.98,25434.47,25474.8,25467.8,25506.6,25493.03,25521.71,25519.55,-23.9,-21.78,-2.12,35.99,35.83,22.96,18.39,-72.22,-37.16,40.92,11.51,36.72,-30.85,-0.12,-0.01,16.35,25517.7,25442.98,25368.26,0.59,30.21,25495.65,25383.95,0.32,0.12,-5.99,0.85,-1,0,0,0,0,0.04,0.04,0.05,0.04,0.01,0.0,0.0,0.0,-1,-1,-0.12,-0.08,0.04,0.15
