datetime,open,high,low,close,volume
1601264700,283.1,293.6,282.1,289.8,3307478
1601275500,289.8,292.8,287.1,291.75,1372870
1601286300,291.6,302.05,291.55,300.3,1179864
1601351100,299.9,307.0,292.7,295.0,6586869
1601361900,295.0,299.0,292.15,298.6,2965612
1601372700,298.7,299.65,297.25,297.85,672357
1601437500,300.0,304.7,295.2,296.9,3824809
1601448300,296.9,299.35,295.55,296.9,1475005
1601459100,297.1,297.8,295.1,295.7,302019
1601523900,299.8,302.0,296.0,300.6,2098236
1601534700,300.6,305.7,299.05,304.35,3189371
1601545500,304.35,311.95,304.2,310.0,1609677
1601869500,311.5,314.8,307.35,312.1,4199897
1601880300,312.2,334.5,311.9,325.15,14846320
1601891100,325.2,327.9,324.95,327.85,904079
1601955900,329.4,331.15,322.3,324.1,3837171
1601966700,323.9,328.9,320.3,326.9,3409952
1601977500,326.95,327.35,325.05,325.85,429393
1602042300,325.15,335.6,323.25,327.3,4899694
1602053100,327.3,332.5,327.0,330.3,2882140
1602063900,330.4,331.0,327.0,327.45,431570
1602128700,329.0,329.8,322.3,323.5,1858475
1602139500,323.5,324.5,315.1,315.8,1418323
1602150300,315.85,319.4,310.5,317.35,836327
1602215100,318.8,322.05,317.25,318.15,1271857
1602225900,318.15,318.8,313.0,313.8,831948
1602236700,314.0,316.7,310.5,314.1,351061
1602474300,315.0,322.7,314.0,316.25,1496698
1602485100,316.25,318.45,313.0,314.9,830252
1602495900,315.1,316.2,313.65,315.5,216089
1602560700,315.5,316.8,312.25,313.15,649237
1602571500,313.15,314.3,309.75,314.3,603067
1602582300,314.15,315.0,314.0,314.5,193683
1602647100,312.95,314.8,310.05,311.35,511335
1602657900,311.35,315.7,311.0,313.2,728544
1602668700,313.2,314.7,311.4,314.35,271876
1602733500,315.0,325.85,313.65,320.35,3204983
1602744300,320.35,321.2,306.5,307.5,1414378
1602755100,307.5,308.0,305.35,308.0,330534
1602819900,309.25,313.95,307.3,310.45,1043882
1602830700,310.45,311.0,306.1,307.0,603341
1602841500,307.0,307.9,305.35,307.8,211664
1603079100,309.9,317.0,309.35,312.1,2142065
1603089900,312.1,319.25,311.1,315.75,958332
1603100700,315.8,318.75,315.6,317.95,216805
1603165500,315.3,327.45,313.5,325.55,4477520
1603176300,325.55,327.85,321.2,322.4,2237642
1603187100,322.45,322.75,319.65,320.0,471906
1603251900,322.0,324.7,317.05,321.9,1740743
1603262700,321.9,321.95,306.0,313.3,2842498
1603273500,313.45,313.45,310.1,310.5,399737
1603338300,311.0,314.8,309.0,312.7,1432092
1603349100,312.7,314.0,310.25,311.9,750929
1603359900,311.65,312.5,310.5,311.3,187637
1603424700,314.0,321.25,313.3,317.8,2314716
1603435500,318.05,322.45,314.7,315.35,1558332
1603446300,315.5,315.8,314.5,314.65,264881
1603683900,318.0,318.7,309.5,310.5,2923375
1603694700,310.55,311.1,306.55,308.45,1074966
1603705500,308.4,308.75,305.05,306.15,377585
1603770300,308.0,311.8,303.0,311.7,1903124
1603781100,311.75,315.0,308.5,314.75,1410295
1603791900,314.75,315.35,313.3,314.2,223570
1603856700,313.8,315.9,309.85,313.85,1136913
1603867500,313.85,319.6,311.0,318.55,1630013
1603878300,318.65,320.8,317.65,318.2,321445
1603943100,315.4,326.5,313.2,325.35,3926220
1603953900,325.35,328.4,321.75,327.7,2246981
1603964700,327.7,332.35,327.65,331.7,714208
1604029500,331.05,347.5,329.65,339.55,8731943
1604040300,339.5,343.2,330.9,340.1,5014045
1604051100,340.1,341.0,335.7,335.7,447560
1604288700,339.1,344.3,333.05,340.55,2731710
1604299500,340.6,343.0,337.55,340.5,1239030
1604310300,340.5,341.85,339.8,340.25,272162
1604375100,344.0,349.6,340.15,345.05,2474216
1604385900,345.05,346.45,342.0,345.0,1281006
1604396700,344.95,346.25,344.65,344.9,305513
1604461500,342.6,350.45,338.65,341.15,2001981
1604472300,341.15,359.5,337.5,352.0,7239543
1604483100,351.7,352.75,349.1,350.0,451122
1604547900,353.0,354.95,345.25,346.85,2993078
1604558700,346.85,353.75,346.35,353.75,1811631
1604569500,353.75,354.8,351.25,351.25,540708
1604634300,352.0,353.85,345.05,348.2,2075001
1604645100,348.2,352.95,346.0,352.75,1299706
1604655900,352.65,353.5,350.5,350.5,480438
1604893500,354.0,362.25,351.85,360.55,2820965
1604904300,360.6,364.7,355.9,356.05,3112048
1604915100,356.0,358.0,355.8,356.8,334635
1604979900,358.1,361.75,353.2,356.4,2156989
1604990700,356.4,359.85,353.65,359.45,1120080
1605001500,359.55,360.75,359.0,360.15,295243
1605066300,359.2,362.7,354.05,357.4,1714903
1605077100,357.35,360.5,354.55,360.15,877438
1605087900,360.15,361.5,358.6,361.0,270643
1605152700,358.2,369.5,358.0,363.3,2598779
1605163500,363.3,366.0,361.4,365.65,1264894
1605174300,365.65,367.25,364.8,365.3,328199
1605239100,364.0,371.65,362.05,367.35,1683780
1605249900,367.35,370.25,365.15,368.5,916939
1605260700,368.7,368.95,367.8,368.4,178754
1605357900,369.8,372.85,369.5,369.85,614542
1605584700,372.0,379.75,371.0,376.6,2155431
1605595500,376.6,401.95,375.7,394.4,7787855
1605606300,394.4,394.8,392.15,393.25,540988
1605671100,393.95,404.7,387.4,393.7,6183038
1605681900,393.5,395.65,389.7,395.0,1913383
1605692700,395.0,396.15,392.0,392.0,532371
1605757500,390.0,398.5,388.05,394.6,4748568
1605768300,394.6,395.95,377.8,385.6,2634021
1605779100,385.75,386.15,383.3,384.65,242732
1605843900,385.1,402.0,385.0,391.95,3844027
1605854700,392.0,394.15,388.15,389.1,1295499
1605865500,388.9,389.65,386.25,386.6,341161
1606103100,390.1,393.7,383.1,386.45,1559869
1606113900,386.45,413.7,385.25,412.3,4919034
1606124700,412.2,412.5,404.55,406.95,780735
