datetime,open,high,low,close,volume
1601264700,327.8,342.45,327.8,341.05,2486403
1601271900,341.05,343.2,338.35,340.8,834484
1601279100,340.8,341.5,338.55,338.75,673986
1601286300,339.0,340.8,338.15,340.8,252757
1601351100,343.4,346.4,338.8,340.3,1626521
1601358300,340.3,342.5,338.05,338.9,552444
1601365500,338.9,343.2,336.9,341.35,975049
1601372700,341.45,342.05,338.8,340.0,325734
1601437500,340.55,341.25,330.0,337.45,700948
1601444700,337.4,340.65,333.4,337.7,757815
1601451900,337.7,341.55,331.45,339.7,939470
1601459100,339.7,346.55,339.65,344.4,356741
1601523900,345.5,353.4,344.5,350.75,1441922
1601531100,350.75,351.85,349.05,349.95,298278
1601538300,349.95,354.9,349.55,352.75,1036768
1601545500,352.55,354.6,351.65,353.8,221667
1601869500,355.9,358.0,350.2,353.7,10511103
1601876700,353.7,355.1,349.3,349.85,604314
1601883900,349.85,352.5,348.45,351.4,529085
1601891100,351.35,352.2,348.5,349.5,231334
1601955900,356.0,364.0,354.85,361.8,4124195
1601963100,361.8,361.8,359.15,361.0,757582
1601970300,361.0,364.5,360.2,363.0,2212146
1601977500,363.15,363.9,362.35,362.5,368637
1602042300,362.55,368.75,360.1,361.6,2260501
1602049500,361.6,363.15,360.45,361.5,721625
1602056700,361.5,362.5,360.0,360.7,743815
1602063900,360.65,361.35,359.0,360.0,291992
1602128700,359.8,362.8,356.7,357.9,1837507
1602135900,357.9,358.9,356.35,358.7,402966
1602143100,358.7,360.45,356.9,359.45,611666
1602150300,359.45,360.5,359.1,359.15,181534
1602215100,361.0,362.45,356.2,357.4,842069
1602222300,357.4,359.55,357.0,357.5,382108
1602229500,357.5,358.55,355.15,357.6,627889
1602236700,357.6,357.65,356.3,357.0,131465
1602474300,359.1,362.85,355.45,357.0,1823625
1602481500,356.95,359.0,355.05,357.75,504592
1602488700,357.75,358.1,355.25,357.0,997586
1602495900,357.4,359.65,357.1,358.95,296654
1602560700,357.65,358.65,355.0,356.75,849314
1602567900,356.75,357.0,353.4,353.8,462481
1602575100,353.95,354.95,348.5,351.05,896174
1602582300,351.05,351.15,348.4,348.6,203190
1602647100,349.1,349.35,344.7,347.0,741875
1602654300,347.0,348.6,346.0,346.6,442817
1602661500,346.5,349.0,346.05,348.9,717260
1602668700,348.9,351.2,348.85,350.95,459432
1602733500,350.6,353.85,346.25,347.9,1386632
1602740700,347.9,351.0,347.6,347.95,364274
