datetime,open,high,low,close,volume
1601264700,420.0,422.25,418.05,422.0,895678
1601265000,422.1,424.15,422.1,423.15,527324
1601265300,423.0,424.15,422.3,422.6,305384
1601265600,422.55,425.15,422.5,424.7,509850
1601265900,424.45,425.5,424.05,425.1,289392
1601266200,425.1,425.5,424.25,424.75,278493
1601266500,424.75,426.0,424.1,425.5,335261
1601266800,425.35,428.25,425.3,428.2,550272
1601267100,428.05,428.35,426.25,426.3,319618
1601267400,426.4,426.95,425.2,425.4,249320
1601267700,425.35,426.3,425.1,426.05,152694
1601268000,426.15,427.0,425.4,425.5,148549
1601268300,425.5,426.0,423.65,424.0,308833
1601268600,423.95,424.8,423.45,424.35,173451
1601268900,424.3,425.3,424.1,425.15,103622
1601269200,425.15,426.0,425.0,425.0,101016
1601269500,425.05,426.5,425.0,426.2,107908
1601269800,426.2,426.75,425.8,426.25,129343
1601270100,426.2,429.4,425.65,428.25,484716
1601270400,428.4,430.8,428.2,429.5,578658
1601270700,429.35,430.65,429.15,430.15,366029
1601271000,430.35,431.8,430.15,431.6,279744
1601271300,431.9,432.8,431.2,432.7,402013
1601271600,432.7,433.3,431.65,432.45,320498
1601271900,432.25,432.45,431.0,431.3,207421
1601272200,431.3,432.5,431.25,432.15,144143
1601272500,432.05,434.4,432.0,434.05,383404
1601272800,434.05,434.75,433.6,433.85,275669
1601273100,434.05,434.2,432.9,433.9,192535
1601273400,433.8,433.9,432.75,432.9,142499
1601273700,432.7,433.6,432.2,432.6,157803
1601274000,432.6,433.25,431.45,432.3,146544
1601274300,432.3,433.5,432.1,433.05,118162
1601274600,433.1,433.9,432.65,433.4,110293
1601274900,433.55,434.2,433.4,433.9,148786
1601275200,433.9,433.9,433.35,433.5,74061
1601275500,433.5,433.85,432.55,433.0,122464
1601275800,433.0,433.1,432.2,432.45,103444
1601276100,432.3,433.35,432.0,432.65,164007
1601276400,432.65,433.0,431.6,431.8,127496
1601276700,431.75,432.5,431.5,431.85,159810
1601277000,431.85,432.25,430.45,431.3,260687
1601277300,431.3,432.45,430.7,432.4,177367
1601277600,432.3,432.5,431.35,432.0,109383
1601277900,431.85,434.0,431.45,433.55,193576
1601278200,433.55,435.3,433.55,434.95,424948
1601278500,434.95,435.85,434.5,434.75,261470
1601278800,434.75,436.45,434.15,436.1,306920
1601279100,436.1,436.15,434.85,435.6,195519
1601279400,435.6,435.6,434.65,435.15,139618
1601279700,435.1,437.4,435.1,436.9,415806
1601280000,436.95,436.95,435.65,436.25,279697
1601280300,436.25,436.8,435.75,436.8,130023
1601280600,436.75,437.25,436.5,436.7,181730
1601280900,436.55,436.7,435.85,436.25,125011
1601281200,436.05,437.0,435.6,436.65,167359
1601281500,436.65,437.7,436.55,436.85,184697
1601281800,436.7,437.75,436.65,437.2,148762
1601282100,437.2,437.5,435.95,436.2,183116
1601282400,436.05,436.8,434.65,436.8,305677
1601282700,436.65,437.5,435.95,436.15,116203
1601283000,436.2,437.25,436.1,436.2,86684
1601283300,436.2,436.9,435.55,436.75,178298
1601283600,436.75,439.4,436.55,438.9,478617
1601283900,439.0,439.45,438.05,438.35,246769
1601284200,438.2,439.45,437.6,439.4,301121
1601284500,439.3,439.5,438.3,438.3,236835
1601284800,438.6,439.15,438.4,438.7,137923
1601285100,438.65,438.7,437.5,438.4,256777
1601285400,438.35,440.6,438.0,439.8,521913
1601285700,439.75,440.0,438.7,439.3,252366
1601286000,439.15,439.75,438.6,439.45,417200
1601286300,439.25,439.35,438.5,439.3,498559
1601286600,439.15,440.25,438.0,438.5,480838
1601286900,438.45,439.2,437.9,438.95,262258
1601351100,442.4,443.3,438.1,440.0,811168
1601351400,439.85,442.0,439.85,440.6,559314
1601351700,440.5,440.6,436.95,436.95,630116
1601352000,437.05,437.05,433.9,434.25,731893
1601352300,434.3,435.15,433.15,434.65,395270
1601352600,434.65,436.25,434.5,435.2,290360
1601352900,435.15,435.3,433.5,433.7,228810
1601353200,433.9,433.9,431.5,432.5,446072
1601353500,432.3,432.65,430.8,431.55,319630
1601353800,431.5,431.5,430.3,430.95,277581
1601354100,431.0,431.9,430.2,430.2,227389
1601354400,430.2,432.0,430.2,431.7,143631
1601354700,431.7,433.3,431.3,433.1,278602
1601355000,433.35,434.35,432.5,433.85,319605
1601355300,434.0,434.15,432.0,432.65,237562
1601355600,432.45,434.2,432.4,433.5,306488
1601355900,433.55,433.55,431.25,431.6,152079
1601356200,431.35,432.2,431.3,431.9,136316
1601356500,431.6,431.85,429.55,429.65,595364
1601356800,429.65,430.5,429.25,429.65,253282
1601357100,429.65,430.5,429.3,429.4,165198
1601357400,429.45,429.9,427.85,428.6,313750
1601357700,428.5,429.35,428.0,428.5,232326
1601358000,428.45,429.5,428.0,429.5,180035
1601358300,429.4,429.85,429.0,429.6,104417
1601358600,429.65,430.2,428.6,429.8,164248
1601358900,429.8,430.4,429.7,430.15,125762
1601359200,430.15,430.15,429.5,429.9,99448
1601359500,429.8,431.85,429.05,431.55,208105
1601359800,431.55,432.3,431.05,431.15,231049
1601360100,431.1,431.4,430.2,430.35,110991
1601360400,430.6,430.6,429.5,430.15,111317
1601360700,430.15,430.15,429.5,429.8,82361
1601361000,429.8,430.3,429.55,430.1,83172
1601361300,430.35,430.6,429.0,429.2,109931
1601361600,429.2,429.25,428.1,428.3,260826
1601361900,428.3,428.75,427.5,427.75,242622
1601362200,427.75,429.45,427.7,428.85,272232
1601362500,428.85,429.9,428.45,428.7,184692
1601362800,428.7,429.1,428.15,428.9,98154
1601363100,428.9,428.9,427.6,427.75,187798
1601363400,427.65,428.1,427.15,427.45,172353
1601363700,427.45,427.5,426.3,426.65,259860
1601364000,426.65,428.4,426.35,427.75,217574
1601364300,427.75,428.8,426.9,427.0,276185
1601364600,426.9,427.45,426.5,427.0,128512
1601364900,427.0,427.3,426.8,427.0,92424
1601365200,427.0,427.0,426.1,426.4,166712
1601365500,426.4,426.65,425.65,426.35,237352
1601365800,426.2,426.3,425.5,425.9,186832
1601366100,425.7,426.9,425.65,426.15,136545
1601366400,426.15,426.15,424.8,425.35,339467
1601366700,425.35,425.85,425.0,425.1,133608
1601367000,425.1,426.15,424.85,426.1,217760
1601367300,426.05,427.65,425.65,427.15,270020
1601367600,427.15,428.4,427.0,428.25,256843
1601367900,428.45,428.5,427.3,428.35,204034
1601368200,428.35,428.85,427.5,427.75,237036
1601368500,427.85,428.55,426.6,426.65,185765
1601368800,426.8,427.65,426.65,427.4,93267
1601369100,427.4,430.5,427.05,429.95,566833
1601369400,429.95,430.8,429.45,430.2,253152
1601369700,430.2,431.5,430.05,430.7,276600
1601370000,430.7,432.0,430.6,430.95,342750
1601370300,431.15,431.15,429.8,430.1,198173
1601370600,430.3,431.0,429.7,429.8,168124
1601370900,429.8,429.95,429.15,429.85,205440
1601371200,429.7,430.5,426.9,427.0,370764
1601371500,427.05,427.2,425.2,425.25,437955
1601371800,425.25,426.9,425.0,426.6,402238
1601372100,426.55,428.0,425.9,426.7,375687
1601372400,426.75,427.95,425.85,427.8,443148
1601372700,427.7,428.45,426.65,427.05,483947
1601373000,426.8,427.95,425.45,427.2,520538
1601373300,427.2,427.45,426.5,426.9,198758
1601437500,427.0,428.1,422.0,423.9,851214
1601437800,424.1,424.9,421.55,422.1,663372
1601438100,422.0,423.05,421.0,421.3,469932
1601438400,421.2,422.4,420.4,422.0,434626
1601438700,422.0,422.35,420.55,422.1,335271
1601439000,422.25,422.4,421.0,421.1,194696
1601439300,421.1,421.6,420.0,420.3,324226
1601439600,420.3,420.8,419.85,420.4,299263
1601439900,420.3,421.1,419.55,419.95,212884
1601440200,419.8,419.9,418.75,418.85,350814
1601440500,418.85,420.4,418.85,419.85,252787
1601440800,419.85,419.85,418.85,418.9,187237
1601441100,419.0,420.0,418.75,419.7,186126
1601441400,419.7,420.75,419.05,420.65,194597
1601441700,420.65,425.0,419.8,422.75,673747
1601442000,422.9,424.05,422.2,422.6,433227
1601442300,422.25,423.65,421.65,423.65,319493
1601442600,423.75,424.75,423.0,423.2,301589
1601442900,423.2,424.0,423.0,423.45,170888
1601443200,423.45,424.7,423.0,424.2,223805
1601443500,424.2,426.0,424.2,425.6,399565
1601443800,425.6,426.2,423.6,424.1,409954
1601444100,424.1,424.75,423.4,424.2,200340
1601444400,424.2,424.6,423.6,423.8,76268
1601444700,423.9,424.6,422.95,423.15,139387
1601445000,423.25,423.25,421.75,422.0,225253
1601445300,422.1,422.8,419.95,419.95,345523
1601445600,419.9,421.0,419.65,420.75,295175
1601445900,420.7,421.55,420.05,420.1,175862
1601446200,420.15,421.3,419.8,420.15,146089
1601446500,420.15,421.0,419.75,420.75,168878
1601446800,420.5,420.95,419.8,420.05,119955
1601447100,420.05,421.6,419.6,421.15,147180
1601447400,421.3,422.15,420.8,421.65,191230
1601447700,421.8,422.4,421.1,421.7,114662
1601448000,421.7,422.85,420.8,420.8,175474
1601448300,420.9,421.0,420.05,420.05,158176
1601448600,420.15,421.6,420.0,421.15,126297
1601448900,421.3,421.35,420.4,421.15,71427
1601449200,421.0,422.3,420.3,421.75,174985
1601449500,421.75,422.3,421.15,422.3,98822
1601449800,422.3,422.55,421.15,421.5,99602
1601450100,421.65,422.65,420.85,422.3,143237
1601450400,422.3,422.5,421.4,421.9,84647
1601450700,422.2,422.2,420.9,421.35,99579
1601451000,421.2,422.85,421.2,422.7,146052
1601451300,422.7,422.9,421.7,422.0,118657
1601451600,422.0,422.0,421.1,421.3,80139
1601451900,421.35,421.95,420.9,421.75,75065
1601452200,421.65,421.8,421.1,421.4,43408
1601452500,421.4,421.8,419.65,420.35,256013
1601452800,420.3,421.7,419.65,421.3,168311
1601453100,421.35,421.5,420.5,421.35,72647
1601453400,421.25,421.4,420.55,421.05,74714
1601453700,421.05,422.8,420.7,422.2,204674
1601454000,422.25,423.45,421.85,423.0,274749
1601454300,423.0,423.5,422.65,422.85,209931
1601454600,423.0,423.65,422.15,423.35,200667
1601454900,423.2,424.5,422.75,424.45,266065
1601455200,424.4,424.8,423.3,424.8,280504
1601455500,424.6,425.3,423.8,424.0,335726
1601455800,424.0,424.25,422.8,423.1,212803
1601456100,423.15,424.45,423.0,424.45,178752
1601456400,424.45,425.6,424.2,425.0,375045
1601456700,425.0,425.2,424.1,424.2,191871
1601457000,424.4,424.95,422.8,423.7,251250
1601457300,423.75,424.35,423.2,424.2,116581
1601457600,424.0,424.0,422.65,423.0,192212
1601457900,423.0,423.7,422.35,423.0,203506
1601458200,422.95,424.85,422.65,424.65,432066
1601458500,424.65,424.95,424.35,424.9,356771
1601458800,424.9,425.75,424.5,425.2,559536
1601459100,425.2,425.75,424.75,425.3,488518
1601459400,425.35,425.8,423.5,423.65,417940
1601459700,423.65,424.0,423.05,424.0,206136
1601523900,430.2,432.65,427.4,432.6,985936
1601524200,432.55,435.25,432.55,434.45,994522
1601524500,434.5,435.9,434.25,435.35,635123
1601524800,435.3,436.5,434.7,436.3,466023
1601525100,436.35,437.0,435.5,435.8,412465
1601525400,435.8,435.95,434.0,435.45,485423
1601525700,435.5,436.15,434.85,435.4,264122
1601526000,435.5,436.5,435.35,435.8,249579
1601526300,435.75,435.95,434.75,435.35,203521
1601526600,435.35,438.55,435.25,438.15,570827
1601526900,438.0,439.35,437.7,438.85,540305
1601527200,438.85,439.1,437.65,438.0,304356
1601527500,438.0,438.7,436.8,436.9,257471
1601527800,436.95,438.0,436.85,437.75,176608
1601528100,437.65,438.85,437.6,437.75,197655
1601528400,437.75,438.05,437.3,437.6,113818
1601528700,437.7,439.0,436.9,438.9,231273
1601529000,438.7,440.0,438.7,439.1,547318
1601529300,439.3,439.8,438.7,439.3,207170
1601529600,439.3,439.35,438.5,438.8,167295
1601529900,438.85,439.1,438.3,438.6,93662
1601530200,438.6,439.75,437.8,439.4,236341
1601530500,439.4,439.75,438.6,439.4,196503
1601530800,439.15,439.5,438.45,439.5,107281
1601531100,439.5,439.5,438.25,438.3,188246
1601531400,438.3,438.7,438.0,438.6,119010
1601531700,438.6,438.7,437.85,438.1,103585
1601532000,438.35,439.45,438.1,438.8,171985
1601532300,439.0,439.8,438.8,439.55,154786
1601532600,439.55,440.0,439.1,439.2,225120
1601532900,439.1,439.5,438.65,438.95,84097
1601533200,438.85,439.0,438.55,438.8,90766
1601533500,438.8,439.4,438.4,438.85,112071
1601533800,439.0,439.7,438.4,439.4,167617
1601534100,439.5,441.4,439.5,440.95,512967
1601534400,440.95,441.2,440.55,440.7,170717
1601534700,440.65,441.1,440.1,440.3,182529
1601535000,440.05,440.45,439.8,439.85,246066
1601535300,439.85,440.6,439.85,440.3,85524
1601535600,440.25,440.35,439.75,440.15,110567
1601535900,440.05,441.9,440.05,441.1,224812
1601536200,441.25,441.9,440.85,441.1,215022
1601536500,441.05,441.55,440.8,441.35,116450
1601536800,441.3,441.55,441.0,441.25,92997
1601537100,441.25,441.35,440.7,440.8,104292
1601537400,440.8,440.8,439.9,440.15,158355
1601537700,440.3,440.75,439.05,440.35,269349
1601538000,440.35,440.6,439.6,440.1,77480
1601538300,440.05,440.45,439.75,440.1,76879
1601538600,440.05,440.1,439.3,439.3,141750
1601538900,439.35,440.0,438.5,439.85,238416
1601539200,439.7,440.35,439.5,440.3,124109
1601539500,440.2,440.8,439.9,440.45,117869
1601539800,440.5,441.5,440.2,441.45,206943
1601540100,441.3,442.0,440.85,441.95,332881
1601540400,442.15,442.35,440.7,441.05,177096
1601540700,441.0,441.7,440.55,441.45,156275
1601541000,441.35,442.15,441.25,441.65,338815
1601541300,441.8,441.95,440.9,441.05,165484
1601541600,440.95,442.95,440.95,442.7,425549
1601541900,442.65,445.3,442.65,445.1,1023696
1601542200,445.0,445.05,443.65,444.35,500164
1601542500,444.45,444.6,443.0,443.1,287825
1601542800,443.0,443.45,442.2,442.7,290262
1601543100,442.7,444.0,442.2,443.6,281902
1601543400,443.6,443.7,442.8,443.0,120701
1601543700,443.0,445.0,442.85,444.9,415205
1601544000,444.9,445.0,443.7,444.15,226459
1601544300,444.0,444.9,443.8,444.25,213664
1601544600,444.35,445.0,443.7,444.45,411141
1601544900,444.4,444.5,443.25,443.65,282191
1601545200,443.7,445.0,443.5,444.9,503210
1601545500,444.65,444.75,443.6,443.85,489945
1601545800,443.7,444.5,440.85,440.95,576639
1601546100,441.0,442.55,440.85,442.05,306329
1601869500,444.05,451.5,444.0,450.55,1756277
1601869800,450.6,455.15,450.0,453.55,1529760
1601870100,453.4,453.65,450.8,452.1,773016
1601870400,452.05,455.85,452.05,454.2,819474
1601870700,454.0,454.25,452.2,452.9,473462
1601871000,452.85,454.2,452.5,453.95,371727
1601871300,453.8,454.4,453.0,453.35,370681
1601871600,453.35,453.6,451.6,452.0,449980
1601871900,452.1,453.5,452.0,453.4,221879
1601872200,453.35,455.4,453.25,454.9,617324
1601872500,454.8,456.45,454.8,455.2,530341
1601872800,455.25,455.3,453.3,454.05,227877
1601873100,454.05,454.25,453.25,453.85,148200
1601873400,453.75,454.0,447.9,449.9,977524
1601873700,449.75,450.7,449.2,450.0,374420
1601874000,450.2,450.8,449.3,449.9,234494
1601874300,449.7,450.85,449.3,450.6,230430
1601874600,450.6,451.0,449.85,450.55,131189
1601874900,450.7,450.8,449.25,449.6,129239
1601875200,449.75,450.3,449.25,449.3,108167
1601875500,449.5,449.5,447.15,447.85,363767
1601875800,447.8,448.3,447.5,448.0,188514
