datetime,open,high,low,close,volume
1601264700,420.0,425.15,418.05,424.7,2238236
1601265900,424.45,428.25,424.05,428.2,1453418
1601267100,428.05,428.35,425.1,425.5,870181
1601268300,425.5,426.0,423.45,425.0,686922
1601269500,425.05,430.8,425.0,429.5,1300625
1601270700,429.35,433.3,429.15,432.45,1368284
1601271900,432.25,434.75,431.0,433.85,1010637
1601273100,434.05,434.2,431.45,432.3,639381
1601274300,432.3,434.2,432.1,433.5,451302
1601275500,433.5,433.85,431.6,431.8,517411
1601276700,431.75,432.5,430.45,432.0,707247
1601277900,431.85,436.45,431.45,436.1,1186914
1601279100,436.1,437.4,434.65,436.25,1030640
1601280300,436.25,437.25,435.6,436.65,604123
1601281500,436.65,437.75,434.65,436.8,822252
1601282700,436.65,439.4,435.55,438.9,859802
1601283900,439.0,439.5,437.6,438.7,922648
1601285100,438.65,440.6,437.5,439.45,1448256
1601286300,439.25,440.25,437.9,438.95,1241655
1601351100,442.4,443.3,433.9,434.25,2732491
1601352300,434.3,436.25,431.5,432.5,1360512
1601353500,432.3,432.65,430.2,431.7,968231
1601354700,431.7,434.35,431.3,433.5,1142257
1601355900,433.55,433.55,429.25,429.65,1137041
1601357100,429.65,430.5,427.85,429.5,891309
1601358300,429.4,430.4,428.6,429.9,493875
1601359500,429.8,432.3,429.05,430.15,661462
1601360700,430.15,430.6,428.1,428.3,536290
1601361900,428.3,429.9,427.5,428.9,797700
1601363100,428.9,428.9,426.3,427.75,837585
1601364300,427.75,428.8,426.1,426.4,663833
1601365500,426.4,426.9,424.8,425.35,900196
1601366700,425.35,428.4,424.85,428.25,878231
1601367900,428.45,428.85,426.6,427.4,720102
1601369100,427.4,432.0,427.05,430.95,1439335
1601370300,431.15,431.15,426.9,427.0,942501
1601371500,427.05,428.0,425.0,427.8,1659028
1601372700,427.7,428.45,425.45,426.9,1203243
1601437500,427.0,428.1,420.4,422.0,2419144
1601438700,422.0,422.4,419.85,420.4,1153456
1601439900,420.3,421.1,418.75,418.9,1003722
1601441100,419.0,425.0,418.75,422.6,1487697
1601442300,422.25,424.75,421.65,424.2,1015775
1601443500,424.2,426.2,423.4,423.8,1086127
1601444700,423.9,424.6,419.65,420.75,1005338
1601445900,420.7,421.55,419.75,420.05,610784
1601447100,420.05,422.85,419.6,420.8,628546
1601448300,420.9,422.3,420.0,421.75,530885
1601449500,421.75,422.65,420.85,421.9,426308
1601450700,422.2,422.9,420.9,421.3,444427
1601451900,421.35,421.95,419.65,421.3,542797
1601453100,421.35,423.45,420.5,423.0,626784
1601454300,423.0,424.8,422.15,424.8,957167
1601455500,424.6,425.6,422.8,425.0,1102326
1601456700,425.0,425.2,422.65,423.0,751914
1601457900,423.0,425.75,422.35,425.2,1551879
1601459100,425.2,425.8,423.05,424.0,1112594
1601523900,430.2,436.5,427.4,436.3,3081604
1601525100,436.35,437.0,434.0,435.8,1411589
1601526300,435.75,439.35,434.75,438.0,1619009
