datetime,open,high,low,close,volume
1601264700,188.5,195.28,187.85,192.3,9334888
1601279100,192.3,194.15,190.83,192.0,4899714
1601351100,197.0,197.0,189.08,190.2,11660620
1601365500,190.18,196.0,189.55,195.75,5781630
1601437500,193.75,197.25,177.63,177.9,50700854
1601451900,177.78,179.2,174.4,175.95,36408950
1601523900,179.0,180.78,173.75,175.95,24284668
1601538300,175.93,177.23,174.75,176.25,8071254
1601869500,176.65,179.23,175.5,178.2,9885938
1601883900,178.2,178.53,176.55,176.9,3206964
1601955900,178.35,180.2,175.5,176.15,9161710
1601970300,176.15,176.63,175.1,175.7,4591962
1602042300,176.5,176.85,172.2,172.45,13294676
1602056700,172.5,173.3,170.5,171.13,7222688
1602128700,172.45,172.5,169.2,169.85,13309136
1602143100,169.78,170.38,168.8,170.0,5841434
1602215100,170.25,175.1,169.8,174.05,20611890
1602229500,173.95,174.95,172.13,172.63,6221204
1602474300,173.5,174.9,171.4,171.88,6270268
1602488700,171.88,172.65,170.23,170.4,3307152
1602560700,171.2,171.85,169.03,169.8,7063108
1602575100,169.8,170.63,169.0,169.03,3484072
1602647100,168.88,169.45,164.3,164.9,9451842
1602661500,164.9,167.13,164.25,166.05,6696924
1602733500,167.0,169.35,166.0,166.65,5714888
1602747900,166.73,167.0,162.5,162.65,5076262
1602819900,164.45,170.2,163.75,169.1,15990364
1602834300,169.0,171.7,168.2,170.2,10893958
1603079100,172.0,173.85,170.53,172.88,11172388
1603093500,172.9,173.9,172.4,173.45,3542646
1603165500,172.98,174.88,170.83,171.23,7158264
1603179900,171.08,172.2,170.83,171.83,3305840
1603251900,180.25,181.53,174.35,176.0,25041126
1603266300,176.0,176.1,172.55,175.2,8765648
1603338300,174.35,175.4,172.0,173.08,6247706
1603352700,173.08,175.2,172.5,174.88,5383392
1603424700,174.95,177.68,174.75,176.75,7305872
1603439100,176.75,176.93,175.1,175.35,2765960
1603683900,175.78,176.85,171.75,172.93,7080160
1603698300,172.93,173.55,171.28,173.03,3066888
1603770300,173.0,174.4,171.03,174.13,5644730
1603784700,174.13,174.95,173.5,173.95,3047928
1603856700,174.13,174.8,171.75,172.35,4957706
1603871100,172.35,173.13,171.23,172.75,2772002
1603943100,172.0,173.6,170.25,171.18,5543774
1603957500,171.1,173.75,169.1,171.3,9155498
1604029500,172.43,179.73,171.75,178.43,24224866
1604043900,178.45,178.98,176.58,176.78,9379030
1604288700,176.9,177.33,173.0,173.88,5594996
1604303100,173.93,174.6,172.38,173.5,3061284
1604375100,174.25,178.25,174.25,177.9,8427936
1604389500,177.85,177.95,174.73,175.5,4885870
