datetime,open,high,low,close,volume
1601264700,188.5,191.85,187.85,190.83,1646870
1601265900,190.78,190.95,189.28,190.5,621768
1601267100,190.43,192.25,190.43,191.78,898260
1601268300,191.78,194.45,191.18,192.98,2393544
1601269500,192.95,193.75,192.65,192.7,664106
1601270700,192.75,194.25,192.68,193.83,425050
1601271900,193.85,195.28,193.55,194.2,770508
1601273100,194.2,194.73,193.23,193.48,392352
1601274300,193.35,193.68,192.83,193.4,229456
1601275500,193.4,193.88,192.65,192.95,327770
1601276700,192.95,192.98,191.58,192.28,458984
1601277900,192.28,193.33,192.13,192.3,506220
1601279100,192.3,192.3,190.83,191.4,620194
1601280300,191.4,192.13,191.15,191.93,380064
1601281500,191.95,192.25,191.3,191.65,534016
1601282700,191.75,194.08,191.53,193.93,912832
1601283900,194.1,194.15,192.73,193.2,672976
1601285100,193.2,193.55,192.3,192.43,862878
1601286300,192.4,192.75,192.0,192.0,916754
1601351100,197.0,197.0,192.13,192.4,4066624
1601352300,192.35,193.83,191.25,191.9,1541550
1601353500,191.9,192.33,191.0,191.3,893758
1601354700,191.3,192.95,191.2,192.7,723498
1601355900,192.7,193.4,191.4,191.63,739086
1601357100,191.75,192.35,191.1,191.53,418430
1601358300,191.53,191.95,191.08,191.38,1101700
1601359500,191.38,192.3,191.25,192.08,323636
1601360700,192.1,192.25,191.58,191.78,190178
1601361900,191.78,192.0,191.48,191.65,146748
1601363100,191.65,191.73,189.08,189.88,1185648
1601364300,190.05,190.45,189.8,190.2,329764
1601365500,190.18,190.6,189.55,190.05,338952
1601366700,190.05,190.93,189.55,190.83,345926
1601367900,190.83,191.28,190.5,191.2,422154
1601369100,191.2,192.0,190.78,191.8,551496
1601370300,191.85,193.0,191.73,192.3,1124610
1601371500,192.23,193.95,191.38,193.95,1624816
1601372700,193.83,196.0,192.5,195.75,1373676
1601437500,193.75,197.25,193.25,193.85,4781562
1601438700,193.75,193.78,189.25,189.5,3465536
1601439900,189.53,190.3,186.73,187.48,3805434
1601441100,187.45,187.48,183.8,185.7,6165748
1601442300,185.7,186.03,182.9,183.43,6186910
1601443500,183.5,184.13,181.75,182.73,5072234
1601444700,182.7,182.7,180.78,181.88,4318600
1601445900,181.88,181.9,179.0,179.28,5131926
1601447100,179.2,180.55,178.73,180.5,3003464
1601448300,180.48,181.43,179.88,180.75,3056998
1601449500,180.75,181.0,179.4,180.15,1757168
1601450700,180.03,180.05,177.63,177.9,3955274
1601451900,177.78,178.73,177.6,178.6,2887996
1601453100,178.6,179.2,176.78,176.9,4108032
1601454300,176.93,177.33,175.5,176.15,5221188
1601455500,176.15,177.28,175.3,175.6,4850932
1601456700,175.55,176.4,174.4,176.33,6844744
1601457900,176.35,177.8,176.05,176.3,6846846
1601459100,176.33,177.23,175.43,175.95,5649212
1601523900,179.0,179.5,177.0,179.13,5125916
1601525100,179.1,180.78,178.15,178.5,3698706
1601526300,178.5,178.65,176.15,176.45,2524030
1601527500,176.3,176.45,173.75,175.23,4068252
1601528700,175.25,176.73,175.23,176.0,1460730
1601529900,176.1,177.2,175.68,177.2,969410
1601531100,177.23,178.8,176.53,177.98,2661994
1601532300,178.0,178.35,177.05,177.18,1295800
1601533500,177.13,177.83,176.75,177.0,722932
1601534700,177.0,177.35,176.53,176.65,645626
1601535900,176.7,177.38,176.55,177.18,433316
1601537100,177.18,177.23,175.88,175.95,677956
1601538300,175.93,176.45,175.75,176.0,694972
1601539500,175.93,176.48,175.15,175.33,1144578
1601540700,175.33,175.58,174.75,175.03,1184494
1601541900,175.05,175.95,175.0,175.53,808636
1601543100,175.53,176.8,175.0,176.38,1112828
1601544300,176.38,177.23,176.05,176.75,1565486
1601545500,176.75,176.78,176.0,176.25,1560260
1601869500,176.65,177.85,175.75,176.68,2087772
1601870700,176.68,177.6,175.5,177.48,1345908
1601871900,177.38,178.18,177.1,177.75,1283596
1601873100,177.75,178.55,177.55,177.73,932400
1601874300,177.6,178.0,177.38,177.75,381590
1601875500,177.75,178.45,177.68,178.28,523776
1601876700,178.2,178.4,177.18,177.6,527394
1601877900,177.6,177.95,177.25,177.45,464358
1601879100,177.45,178.25,177.05,178.03,418298
1601880300,178.08,178.25,177.58,177.9,238642
1601881500,177.9,179.23,177.88,179.05,1082794
1601882700,179.05,179.08,177.9,178.2,599410
1601883900,178.2,178.53,177.15,177.48,550680
1601885100,177.45,177.78,176.85,177.38,520668
1601886300,177.38,177.83,177.35,177.73,193854
1601887500,177.7,177.95,176.95,177.23,290594
1601888700,177.3,177.5,176.85,176.95,257610
1601889900,176.95,177.5,176.55,177.4,612074
1601891100,177.43,177.5,176.73,176.9,781484
1601955900,178.35,178.75,177.1,178.38,1229724
1601957100,178.38,178.6,177.7,178.45,502900
1601958300,178.45,180.2,178.3,179.05,2011834
1601959500,179.0,179.13,177.83,178.15,777464
1601960700,178.05,178.6,177.9,178.18,363344
1601961900,178.18,178.3,177.6,177.85,346868
1601963100,177.85,177.88,176.63,177.0,894400
1601964300,177.0,177.45,176.7,176.75,445348
1601965500,176.75,177.13,176.1,176.3,597556
1601966700,176.3,176.63,175.5,176.13,1103770
1601967900,176.1,176.33,175.83,176.05,455464
1601969100,176.03,176.4,175.65,176.15,433038
1601970300,176.15,176.2,175.68,175.8,372328
1601971500,175.8,175.8,175.18,175.4,681896
1601972700,175.45,175.8,175.1,175.2,475946
