datetime,open,high,low,close,volume
1601264700,586.17,595.0,582.0,592.14,1205960
1601266500,592.14,597.2,590.71,595.8,614830
1601268300,596.1,596.2,592.1,592.99,338210
1601270100,592.74,598.1,592.5,597.3,446670
1601271900,597.3,598.9,595.23,596.5,367370
1601273700,596.23,598.1,593.5,597.1,326130
1601275500,597.19,598.29,594.36,596.42,384200
1601277300,596.04,602.0,595.71,601.32,949050
1601279100,601.32,604.0,600.6,602.33,472370
1601280900,602.1,602.8,599.24,601.5,411940
1601282700,601.5,603.0,599.54,601.0,323390
1601284500,601.0,601.5,598.86,599.1,477090
1601286300,599.27,599.8,596.0,599.13,395890
1601351100,603.17,604.95,593.34,598.1,1229050
1601352900,598.0,598.29,588.0,593.24,842300
1601354700,593.24,596.8,592.07,593.82,396150
1601356500,593.82,594.24,585.1,587.1,576110
1601358300,587.1,591.0,585.1,589.9,348630
1601360100,589.71,590.0,587.02,587.76,249300
1601361900,587.64,588.7,583.93,584.5,311290
1601363700,584.79,587.02,583.26,584.72,251860
1601365500,584.72,586.9,584.0,586.15,138070
1601367300,586.33,590.5,586.0,589.66,435350
1601369100,589.66,593.0,589.48,591.09,450390
1601370900,591.09,591.09,586.35,589.38,578570
1601372700,589.31,589.8,583.48,584.43,526980
1601437500,588.5,590.37,582.56,584.39,665860
1601439300,584.39,585.67,582.0,584.49,288040
1601441100,584.49,592.9,584.26,590.71,521060
1601442900,590.77,591.19,588.01,589.92,256890
1601444700,589.8,590.79,585.21,586.6,294350
1601446500,586.6,588.3,585.02,586.45,212400
1601448300,586.45,588.0,585.24,587.25,162740
1601450100,587.25,588.31,585.52,585.78,97950
1601451900,585.78,587.71,584.15,586.1,190670
1601453700,586.1,587.6,584.0,587.45,216360
1601455500,587.45,589.0,584.38,585.08,219770
1601457300,585.0,586.8,583.51,585.73,330810
1601459100,585.8,585.9,583.79,585.1,295820
1601523900,590.7,601.83,589.51,598.5,1155610
1601525700,598.5,606.0,597.09,603.78,946460
1601527500,603.78,606.9,602.12,605.49,734370
1601529300,605.49,605.5,602.4,603.0,350030
1601531100,603.12,606.0,602.59,604.7,262710
1601532900,604.7,605.3,603.17,603.9,207290
1601534700,603.9,605.73,603.1,604.6,163790
1601536500,604.6,605.49,603.4,603.79,214400
1601538300,603.79,604.83,602.5,604.83,290630
1601540100,604.9,605.2,603.75,604.49,222360
1601541900,604.69,610.48,604.11,605.38,1200200
1601543700,605.38,607.5,604.75,606.16,617520
1601545500,606.45,606.45,604.01,605.0,432660
1601869500,609.0,616.95,609.0,611.8,1075010
1601871300,611.8,612.8,600.79,603.0,908660
1601873100,602.7,603.74,598.1,603.46,537010
1601874900,603.74,605.34,599.0,599.79,584820
1601876700,599.8,601.0,595.5,596.1,465340
1601878500,596.1,597.87,593.2,596.0,603250
1601880300,596.0,597.5,594.41,594.8,305050
1601882100,594.8,596.5,594.0,594.15,260180
1601883900,594.21,596.5,592.4,595.01,380740
1601885700,595.01,597.17,594.42,595.0,290650
1601887500,595.04,595.92,594.01,594.18,203980
1601889300,594.17,595.17,585.78,588.8,1231260
1601891100,588.96,589.5,587.01,588.7,516500
1601955900,595.7,597.92,589.21,591.7,1105940
1601957700,591.7,594.0,590.21,591.43,372030
1601959500,591.43,594.58,589.0,594.1,387490
1601961300,594.12,595.4,593.0,594.17,236800
1601963100,594.17,599.4,594.17,597.46,521140
1601964900,597.46,601.8,594.7,595.29,761420
1601966700,595.26,596.1,592.98,593.61,498610
1601968500,593.6,595.16,592.5,594.61,215220
1601970300,594.61,595.2,591.9,593.65,191640
1601972100,593.65,595.79,593.2,595.04,213020
1601973900,595.0,598.0,594.53,597.42,503110
1601975700,597.42,600.99,597.03,600.35,694700
1601977500,600.49,600.68,598.29,599.3,338100
1602042300,592.0,592.0,582.0,588.0,1599490
1602044100,588.14,593.8,586.76,589.3,855340
1602045900,589.3,592.28,588.71,590.0,258830
1602047700,590.57,591.88,587.01,588.0,391510
1602049500,588.0,588.85,586.04,587.0,262370
1602051300,587.0,589.5,586.65,588.29,139910
