datetime,open,high,low,close,volume
1601264700,586.17,598.1,582.0,597.3,2605670
1601271900,597.3,602.0,593.5,601.32,2026750
1601279100,601.32,604.0,598.86,599.1,1684790
1601286300,599.27,599.8,596.0,599.13,395890
1601351100,603.17,604.95,585.1,587.1,3043610
1601358300,587.1,591.0,583.26,584.72,1161080
1601365500,584.72,593.0,584.0,589.38,1602380
1601372700,589.31,589.8,583.48,584.43,526980
1601437500,588.5,592.9,582.0,589.92,1731850
1601444700,589.8,590.79,585.02,585.78,767440
1601451900,585.78,589.0,583.51,585.73,957610
1601459100,585.8,585.9,583.79,585.1,295820
1601523900,590.7,606.9,589.51,603.0,3186470
1601531100,603.12,606.0,602.59,603.79,848190
1601538300,603.79,610.48,602.5,606.16,2330710
1601545500,606.45,606.45,604.01,605.0,432660
1601869500,609.0,616.95,598.1,599.79,3105500
1601876700,599.8,601.0,593.2,594.15,1633820
1601883900,594.21,597.17,585.78,588.8,2106630
1601891100,588.96,589.5,587.01,588.7,516500
1601955900,595.7,597.92,589.0,594.17,2102260
1601963100,594.17,601.8,592.5,594.61,1996390
1601970300,594.61,600.99,591.9,600.35,1602470
1601977500,600.49,600.68,598.29,599.3,338100
1602042300,592.0,593.8,582.0,588.0,3105170
1602049500,588.0,592.18,586.04,588.99,966270
1602056700,588.99,590.99,586.0,590.61,1335100
1602063900,590.41,592.97,590.01,592.0,379960
1602128700,595.0,603.32,593.0,595.7,2610290
1602135900,595.7,595.71,588.2,589.5,1491210
1602143100,589.5,592.0,585.23,587.43,1328660
1602150300,587.52,588.42,585.48,587.5,454260
1602215100,588.5,601.4,587.5,599.2,3096560
1602222300,599.03,599.25,587.0,587.88,1746880
1602229500,587.88,592.24,587.58,591.72,1494070
1602236700,591.72,592.2,590.88,592.0,251390
1602474300,596.75,600.0,590.26,592.9,1749040
1602481500,592.9,594.3,589.1,591.59,797670
1602488700,591.59,592.2,589.16,591.9,1088420
1602495900,591.6,592.2,589.76,590.4,368160
1602560700,590.0,591.45,585.91,588.33,1449340
1602567900,588.33,588.8,582.5,585.27,885500
1602575100,585.27,587.45,583.3,587.4,1008290
1602582300,587.2,588.59,585.63,587.0,299250
1602647100,587.0,603.0,585.51,598.63,4039660
1602654300,598.63,601.2,595.2,600.0,1685010
1602661500,600.1,611.0,599.13,610.1,3561860
1602668700,610.17,614.5,609.57,610.6,1001940
1602733500,612.5,616.8,603.35,606.6,3619240
1602740700,606.6,606.71,594.5,597.54,1587080
1602747900,597.54,598.51,588.97,589.87,2127800
1602755100,589.75,590.6,588.01,589.5,463250
1602819900,593.97,597.5,588.0,594.46,2152140
