datetime,open,high,low,close,volume
1601264700,31.33,32.07,31.28,31.93,4795935
1601267400,31.93,32.3,31.9,32.22,3056241
1601270100,32.22,32.37,32.08,32.15,1629585
1601272800,32.17,32.47,32.05,32.43,2250714
1601275500,32.43,32.47,32.18,32.3,1469799
1601278200,32.3,32.48,32.27,32.47,1347489
1601280900,32.47,32.77,32.38,32.7,2559564
1601283600,32.7,32.77,32.28,32.43,3280422
1601286300,32.43,32.63,32.4,32.62,1426995
1601351100,32.9,33.1,32.12,32.22,8079144
1601353800,32.22,32.48,32.07,32.2,1626702
1601356500,32.2,32.22,31.73,31.9,2970864
1601359200,31.9,32.18,31.85,31.97,5304117
1601361900,31.97,32.05,31.6,31.68,1551573
1601364600,31.7,31.83,31.67,31.83,774432
1601367300,31.83,32.03,31.78,31.97,1565475
1601370000,31.97,32.15,31.78,31.98,3365511
1601372700,31.98,32.12,31.9,31.93,1968219
1601437500,32.0,32.15,31.52,31.53,2642013
1601440200,31.53,31.8,31.45,31.67,1445325
1601442900,31.67,31.75,31.5,31.53,742332
1601445600,31.5,31.58,31.3,31.5,1503453
1601448300,31.5,31.63,31.38,31.42,2942184
1601451000,31.42,31.75,31.37,31.7,1200819
1601453700,31.7,31.78,31.6,31.68,778467
1601456400,31.68,32.07,31.57,32.0,2089578
1601459100,32.0,32.07,31.73,31.82,814776
1601523900,32.08,32.53,32.08,32.4,2564322
1601526600,32.42,32.47,32.1,32.12,1162701
1601529300,32.12,32.17,31.83,32.0,1641801
1601532000,32.0,32.05,31.85,31.87,644286
1601534700,31.88,32.0,31.85,31.87,674202
1601537400,31.85,31.87,31.7,31.82,1186959
1601540100,31.8,31.85,31.67,31.85,1266945
1601542800,31.85,32.13,31.82,32.0,2288184
1601545500,32.03,32.1,31.93,32.0,1180299
1601869500,32.13,32.23,31.75,31.78,2253162
1601872200,31.78,31.85,31.62,31.73,1254363
1601874900,31.73,31.77,31.6,31.67,765579
1601877600,31.67,31.87,31.53,31.82,1166646
1601880300,31.85,32.15,31.83,31.98,1659480
1601883000,31.98,31.98,31.7,31.88,1242972
1601885700,31.88,32.1,31.88,32.08,1168062
1601888400,32.08,32.17,31.92,32.12,1493895
1601891100,32.12,32.13,32.0,32.03,761817
1601955900,32.2,32.32,31.88,32.07,6959289
1601958600,32.07,32.33,31.93,31.97,5429049
1601961300,31.97,32.05,31.83,31.92,918144
1601964000,31.92,32.02,31.85,31.9,439662
1601966700,31.9,31.9,31.6,31.72,1560321
1601969400,31.72,31.77,31.55,31.72,1185252
1601972100,31.72,31.8,31.68,31.78,602265
1601974800,31.78,31.93,31.75,31.9,1082400
1601977500,31.92,32.05,31.88,31.92,982323
1602042300,31.95,32.15,31.8,31.93,2635674
1602045000,31.93,32.03,31.67,31.7,1944810
