datetime,open,high,low,close,volume
1601264700,31.33,31.55,31.28,31.47,676584
1601265000,31.53,31.83,31.53,31.83,457479
1601265300,31.83,31.9,31.68,31.87,1454769
1601265600,31.85,32.07,31.85,32.03,674709
1601265900,32.02,32.05,31.93,31.98,349713
1601266200,32.0,32.02,31.82,31.85,373542
1601266500,31.85,31.9,31.72,31.87,352836
1601266800,31.87,31.88,31.8,31.87,293229
1601267100,31.88,31.98,31.87,31.93,163074
1601267400,31.93,31.98,31.9,31.97,161238
1601267700,31.97,32.3,31.93,32.2,1189977
1601268000,32.2,32.23,32.12,32.12,339333
1601268300,32.12,32.12,32.0,32.02,293694
1601268600,32.02,32.1,32.02,32.08,213414
1601268900,32.08,32.1,32.0,32.0,140430
1601269200,32.0,32.02,31.92,32.0,154683
1601269500,32.0,32.17,31.98,32.15,316044
1601269800,32.15,32.22,32.13,32.22,247428
1601270100,32.22,32.37,32.17,32.28,576096
1601270400,32.27,32.28,32.18,32.18,156135
1601270700,32.18,32.22,32.12,32.13,171579
1601271000,32.13,32.15,32.08,32.1,170112
1601271300,32.1,32.23,32.1,32.23,105558
1601271600,32.23,32.27,32.18,32.2,182118
1601271900,32.2,32.22,32.1,32.13,132597
1601272200,32.13,32.17,32.12,32.13,79809
1601272500,32.15,32.2,32.13,32.15,55581
1601272800,32.17,32.18,32.12,32.12,103200
1601273100,32.13,32.18,32.1,32.12,100944
1601273400,32.12,32.27,32.12,32.17,206568
1601273700,32.17,32.22,32.05,32.17,581406
1601274000,32.17,32.25,32.12,32.13,218949
1601274300,32.13,32.22,32.13,32.2,87774
1601274600,32.2,32.3,32.13,32.28,169785
1601274900,32.28,32.42,32.27,32.38,420990
1601275200,32.37,32.47,32.35,32.43,361098
1601275500,32.43,32.45,32.37,32.43,232785
1601275800,32.43,32.47,32.37,32.38,146070
1601276100,32.38,32.42,32.33,32.37,126717
1601276400,32.37,32.43,32.28,32.32,198675
1601276700,32.32,32.37,32.25,32.25,260745
1601277000,32.25,32.32,32.18,32.23,211758
1601277300,32.23,32.32,32.22,32.28,82647
1601277600,32.28,32.32,32.22,32.22,64845
1601277900,32.22,32.33,32.22,32.3,145557
1601278200,32.3,32.37,32.27,32.37,111234
1601278500,32.37,32.43,32.32,32.38,204861
1601278800,32.38,32.43,32.33,32.37,167988
1601279100,32.37,32.4,32.33,32.4,95988
1601279400,32.4,32.4,32.33,32.37,71835
1601279700,32.35,32.38,32.33,32.37,107856
1601280000,32.37,32.38,32.28,32.3,127596
1601280300,32.3,32.45,32.28,32.42,200613
1601280600,32.42,32.48,32.4,32.47,259518
1601280900,32.47,32.48,32.4,32.43,96738
1601281200,32.43,32.47,32.38,32.45,107676
1601281500,32.45,32.57,32.43,32.53,347331
1601281800,32.53,32.58,32.52,32.57,203346
1601282100,32.57,32.6,32.53,32.6,241761
1601282400,32.6,32.73,32.55,32.68,795858
1601282700,32.68,32.73,32.63,32.68,168450
1601283000,32.68,32.77,32.65,32.67,399387
1601283300,32.67,32.72,32.62,32.7,199017
1601283600,32.7,32.77,32.65,32.7,356595
1601283900,32.68,32.7,32.57,32.58,275472
1601284200,32.58,32.58,32.48,32.53,301953
1601284500,32.52,32.53,32.43,32.47,381258
1601284800,32.48,32.5,32.4,32.45,419091
1601285100,32.45,32.47,32.28,32.37,373524
1601285400,32.37,32.5,32.33,32.48,351015
1601285700,32.47,32.57,32.45,32.55,364467
1601286000,32.55,32.58,32.43,32.43,457047
1601286300,32.43,32.48,32.4,32.45,553359
1601286600,32.45,32.52,32.42,32.5,580734
1601286900,32.5,32.63,32.48,32.62,292902
1601351100,32.9,33.1,32.68,32.7,2560695
1601351400,32.72,32.9,32.53,32.85,1282005
1601351700,32.85,32.87,32.67,32.68,572013
1601352000,32.68,32.7,32.5,32.5,1081536
