datetime,open,high,low,close,volume
1601264700,446.0,447.65,434.05,441.4,11242445
1601275500,441.4,446.8,439.0,443.6,8482464
1601286300,443.6,444.1,442.0,442.4,1278718
1601351100,444.0,444.55,431.65,434.65,7854917
1601361900,434.65,440.0,429.5,436.15,8982272
1601372700,436.2,436.75,434.5,435.6,993763
1601437500,438.0,440.4,429.55,430.8,11931221
1601448300,430.8,431.15,418.15,420.9,12585209
1601459100,421.0,421.7,419.1,419.7,2606980
1601523900,426.0,432.95,423.65,432.1,8008615
1601534700,432.1,434.6,429.35,431.65,4518356
1601545500,431.5,432.6,430.4,430.55,785472
1601869500,432.35,437.5,427.05,429.8,8091849
1601880300,429.75,430.65,423.6,425.2,5896840
1601891100,425.3,425.75,423.0,424.0,972429
1601955900,427.0,430.0,424.5,427.0,4505995
1601966700,426.85,428.8,423.1,428.5,5073078
1601977500,428.0,428.75,427.0,427.6,1268112
1602042300,427.8,431.75,421.7,423.0,5233275
1602053100,423.0,425.6,421.5,422.95,3926685
1602063900,422.95,424.0,421.1,423.2,1014277
1602128700,426.0,435.5,419.1,427.5,9289159
1602139500,427.5,428.95,422.65,424.75,6558451
1602150300,424.6,425.15,423.55,425.15,837772
1602215100,428.0,435.0,424.25,425.5,13193553
1602225900,425.55,426.9,423.3,425.4,5977938
1602236700,425.25,425.5,424.0,424.75,1369489
1602474300,428.0,430.6,421.35,421.5,5191646
1602485100,421.55,422.5,414.3,416.7,6224423
1602495900,416.7,416.8,411.85,413.0,2616034
1602560700,421.15,427.5,415.85,423.45,17414089
1602571500,423.45,423.5,413.1,415.7,8907323
1602582300,415.5,416.2,414.35,416.0,1336726
1602647100,416.4,419.5,411.3,414.5,8233326
1602657900,414.5,416.35,412.7,413.1,4460848
1602668700,413.1,413.5,412.35,412.6,1390484
1602733500,413.4,415.5,402.75,403.8,10648368
1602744300,403.95,404.1,395.0,399.35,15000206
1602755100,399.35,400.1,398.0,398.9,2174956
1602819900,404.45,407.3,398.35,399.85,13516083
1602830700,400.0,406.8,398.5,401.8,8917718
1602841500,401.8,402.5,400.75,402.1,866243
1603079100,403.55,404.65,395.3,399.35,7623691
1603089900,399.25,399.8,394.0,397.3,8288258
1603100700,397.2,397.8,396.0,396.05,990262
1603165500,397.7,413.2,396.95,411.7,14806216
1603176300,411.7,412.45,404.25,405.25,9822988
1603187100,405.45,405.65,404.2,405.65,1258215
1603251900,405.7,415.5,403.55,414.6,10893181
1603262700,414.6,420.0,410.0,419.95,11206959
1603273500,420.0,420.2,418.3,419.5,1363070
1603338300,419.0,427.6,418.0,427.4,13258120
1603349100,427.35,431.1,424.05,430.95,11506168
1603359900,430.95,432.35,430.25,431.0,1706779
1603424700,434.9,437.6,427.3,433.45,10016892
1603435500,433.5,436.85,432.5,434.5,6970950
1603446300,434.5,435.0,433.2,434.0,1103591
1603683900,434.35,439.45,428.0,429.8,6598545
1603694700,429.8,434.9,428.75,434.65,4444614
1603705500,434.75,435.0,433.5,433.9,664183
1603770300,434.05,438.9,429.05,431.4,6362304
1603781100,431.4,436.8,427.5,432.8,5574947
1603791900,432.8,433.6,431.6,433.0,807342
1603856700,446.0,488.0,442.0,455.75,98135565
1603867500,455.95,457.15,446.2,453.0,21407540
1603878300,453.0,453.55,447.5,447.6,3512130
1603943100,447.7,457.1,445.45,453.55,14515477
1603953900,453.3,454.5,445.0,450.75,9121715
1603964700,450.75,450.95,449.7,450.15,1332291
