datetime,open,high,low,close,volume
1601264700,772.1,775.1,756.15,758.3,2312022
1601271900,758.3,773.4,755.6,768.5,3588375
1601279100,768.5,778.0,767.0,774.95,2903211
1601286300,775.15,776.8,772.1,772.9,471224
1601351100,777.6,786.0,762.6,764.75,3179338
1601358300,764.75,767.2,759.3,760.4,1187863
1601365500,760.4,769.0,759.05,763.0,1772700
1601372700,763.0,763.0,759.8,760.45,435009
1601437500,762.35,794.9,761.05,786.25,7848444
1601444700,786.3,787.95,774.5,776.85,3543370
1601451900,776.8,778.9,771.5,774.25,2166050
1601459100,774.45,778.0,773.2,775.5,769671
1601523900,779.8,781.0,765.75,770.75,3008551
1601531100,770.95,778.9,770.1,773.0,1417803
1601538300,773.0,774.0,769.2,772.85,1073010
1601545500,772.55,776.5,771.05,775.55,347268
1601869500,776.0,778.8,762.05,775.35,2845902
1601876700,775.1,779.5,767.15,768.0,1510441
1601883900,768.15,780.9,767.25,777.5,1968021
1601891100,777.4,784.05,776.85,781.95,460012
1601955900,782.0,788.0,777.0,777.85,2491764
1601963100,777.8,783.45,777.8,782.9,923366
1601970300,782.9,784.8,779.35,781.0,1024616
1601977500,781.4,781.5,778.0,779.1,340669
1602042300,780.0,790.65,772.2,773.9,3477414
1602049500,773.9,776.0,771.0,773.9,1079645
1602056700,773.95,777.0,772.5,774.4,991507
1602063900,774.45,775.0,771.65,774.55,531095
1602128700,775.0,792.0,774.9,783.85,2921324
1602135900,783.85,799.6,782.5,797.3,2105167
1602143100,797.35,813.65,795.1,809.9,5963148
1602150300,809.9,815.6,809.8,812.1,1022909
1602215100,813.0,825.0,805.25,809.1,7350272
1602222300,809.2,815.55,803.3,805.7,1841955
1602229500,805.85,809.0,800.35,803.2,1621826
1602236700,803.2,806.8,801.0,804.65,832884
1602474300,805.0,812.5,800.15,808.75,2554253
1602481500,808.5,813.7,806.25,806.55,1512313
1602488700,806.55,816.35,802.95,816.3,2015875
1602495900,816.3,819.75,815.5,817.65,524393
1602560700,810.0,829.05,804.25,819.6,6513455
1602567900,820.0,821.65,802.2,806.25,3452910
1602575100,806.25,808.5,785.4,785.65,2747346
1602582300,785.3,786.4,778.5,784.5,1206386
1602647100,788.8,794.55,778.0,782.45,3658613
1602654300,782.4,785.95,766.8,770.95,2269543
1602661500,770.95,784.35,769.4,782.9,2097421
1602668700,782.85,783.45,778.35,780.15,635333
1602733500,780.65,786.45,774.35,784.6,2264920
1602740700,784.65,788.0,775.05,776.15,1524981
1602747900,776.25,777.15,762.9,768.1,2088328
1602755100,768.0,771.8,766.2,768.05,398389
1602819900,766.95,783.85,758.4,783.0,4903404
1602827100,783.0,786.85,778.5,782.85,1982397
1602834300,782.85,787.5,780.25,782.5,1710353
1602841500,782.2,785.0,780.6,780.6,482666
1603079100,783.0,784.1,767.55,769.15,1702751
1603086300,769.1,772.75,764.2,765.0,946576
1603093500,765.0,767.5,762.45,764.7,1202848
1603100700,765.05,765.05,762.15,764.0,488241
1603165500,765.0,774.7,756.3,768.85,3568147
1603172700,768.8,768.85,762.55,763.25,1054016
1603179900,763.1,768.3,762.2,763.4,1089319
1603187100,763.4,765.0,762.5,763.25,308027
1603251900,771.8,771.8,760.05,761.0,2721151
1603259100,761.0,769.65,759.15,768.25,1443646
1603266300,768.15,769.85,756.5,767.25,2363168
1603273500,767.15,769.0,766.95,768.45,389570
1603338300,765.0,769.85,744.0,750.3,3671468
1603345500,750.25,762.0,749.1,756.45,2756170
1603352700,756.2,759.95,752.6,758.5,1493862
1603359900,758.6,760.6,756.95,759.0,498499
