datetime,open,high,low,close,volume
1601264700,772.1,775.1,761.0,764.5,725624
1601265600,764.4,765.95,763.5,765.5,234644
1601266500,765.5,766.0,762.0,765.0,229693
1601267400,765.0,765.55,762.05,765.05,153623
1601268300,765.25,765.5,762.6,763.9,121383
1601269200,763.85,764.7,762.6,763.9,120608
1601270100,763.9,764.25,758.2,759.45,381587
1601271000,759.45,759.8,756.15,758.3,344860
1601271900,758.3,761.35,755.6,760.3,392579
1601272800,760.5,761.25,758.2,761.05,186034
1601273700,761.25,766.95,758.15,765.7,588102
1601274600,765.7,770.3,765.25,767.8,777749
1601275500,768.25,773.4,767.65,772.0,650787
1601276400,772.0,773.4,765.15,767.1,497085
1601277300,767.0,771.65,767.0,770.8,332509
1601278200,770.75,771.1,767.15,768.5,163530
1601279100,768.5,769.0,767.0,768.0,125131
1601280000,767.75,772.0,767.0,769.9,275707
1601280900,769.9,773.95,769.75,773.35,454393
1601281800,773.35,776.85,772.5,776.85,578782
1601282700,776.6,778.0,773.0,775.0,503118
1601283600,775.25,775.25,771.45,773.45,250267
1601284500,773.45,776.8,773.4,775.4,346471
1601285400,775.25,777.15,774.0,774.95,369342
1601286300,775.15,776.8,772.1,772.9,471224
1601351100,777.6,786.0,771.15,781.0,855118
1601352000,781.0,781.2,774.45,779.3,518734
1601352900,779.3,780.8,772.1,774.05,393859
1601353800,774.05,775.1,770.3,774.0,270046
1601354700,774.0,774.2,769.25,770.3,288363
1601355600,770.8,773.5,767.7,769.4,279408
1601356500,769.4,769.45,762.6,765.6,395056
1601357400,765.5,767.4,763.0,764.75,178754
1601358300,764.75,764.75,761.25,763.65,159768
1601359200,763.65,767.2,762.4,765.75,224934
1601360100,765.75,765.75,763.0,763.95,113296
1601361000,763.95,764.9,763.2,764.0,96468
1601361900,764.0,766.5,763.2,765.75,145000
1601362800,765.8,766.0,763.2,763.55,102002
1601363700,763.75,763.8,760.45,761.65,189435
1601364600,761.65,762.0,759.3,760.4,156960
1601365500,760.4,762.8,760.1,761.9,89497
1601366400,761.9,762.4,759.05,762.0,107411
1601367300,762.0,766.0,761.5,765.0,345694
1601368200,765.2,767.6,764.55,766.0,243852
1601369100,766.0,768.5,766.0,767.45,147934
1601370000,767.4,769.0,766.45,767.1,177022
1601370900,767.0,767.5,763.5,763.8,262590
1601371800,763.8,765.2,762.0,763.0,398700
1601372700,763.0,763.0,759.8,760.45,435009
1601437500,762.35,778.5,761.05,777.85,1029607
1601438400,777.5,789.95,775.65,786.75,1881494
1601439300,786.5,788.5,778.65,782.0,1146521
1601440200,781.95,785.25,779.65,782.55,546873
1601441100,783.15,794.2,783.15,790.65,1471527
1601442000,791.0,791.5,786.7,787.35,578148
1601442900,787.35,794.9,787.2,791.0,759400
1601443800,790.6,790.7,785.65,786.25,434874
1601444700,786.3,787.95,782.6,782.9,624022
1601445600,782.8,785.2,780.75,781.9,450939
1601446500,781.6,783.65,779.05,783.4,538686
1601447400,783.4,784.8,781.5,782.8,306095
