datetime,open,high,low,close,volume
1601264700,117.9,121.0,117.9,120.85,2998495
1601267400,120.8,121.3,119.9,120.35,1534044
1601270100,120.35,120.9,120.2,120.7,934116
1601272800,120.7,120.95,120.4,120.9,531002
1601275500,120.9,121.0,120.05,120.35,634779
1601278200,120.3,120.6,119.6,119.9,617093
1601280900,119.95,120.5,119.85,120.2,462720
1601283600,120.2,120.4,119.8,120.1,835902
1601286300,120.0,120.15,119.8,120.0,861380
1601351100,121.15,121.55,118.15,119.0,3104096
1601353800,119.0,119.4,118.8,119.1,685768
1601356500,119.1,119.6,118.6,119.15,2156879
1601359200,119.15,119.3,118.85,118.9,356810
1601361900,118.9,119.15,117.95,118.3,892541
1601364600,118.3,118.45,117.95,118.05,373686
1601367300,118.05,118.6,118.0,118.5,502581
1601370000,118.5,118.65,117.6,117.9,2134021
1601372700,117.9,118.05,117.15,117.35,1829581
1601437500,117.0,117.1,115.55,115.65,3359487
1601440200,115.65,115.9,115.15,115.25,2358524
1601442900,115.25,115.65,114.8,115.15,1609637
1601445600,115.1,115.25,114.65,115.25,1458360
1601448300,115.25,115.65,115.1,115.5,769494
1601451000,115.4,115.6,115.1,115.6,663627
1601453700,115.55,115.8,115.1,115.4,751220
1601456400,115.4,116.25,115.2,116.1,1949262
1601459100,116.15,116.3,115.85,115.95,1063170
1601523900,117.1,117.6,116.35,117.3,2177472
1601526600,117.3,117.85,117.2,117.45,770382
1601529300,117.45,118.2,116.85,117.95,1201553
1601532000,117.95,119.7,117.75,119.0,1613048
1601534700,119.1,119.35,118.2,118.8,865491
1601537400,118.8,118.85,117.8,118.05,615034
1601540100,118.05,118.05,117.25,117.3,864623
1601542800,117.3,117.6,116.95,117.45,1036645
1601545500,117.35,117.45,116.8,117.0,799078
1601869500,117.95,119.5,117.55,118.75,2058411
1601872200,118.75,118.75,117.9,118.1,854594
1601874900,118.1,118.6,118.05,118.45,523454
1601877600,118.4,118.6,117.65,118.4,884567
1601880300,118.5,118.9,118.35,118.5,951840
1601883000,118.5,118.65,118.0,118.55,779121
1601885700,118.55,118.65,118.2,118.65,504211
1601888400,118.65,118.8,118.3,118.5,925183
1601891100,118.5,118.55,118.2,118.4,620050
1601955900,119.35,119.35,117.3,117.7,2318372
1601958600,117.7,117.9,117.35,117.65,828128
1601961300,117.65,118.05,117.45,117.5,825456
1601964000,117.5,117.55,116.8,116.95,1821426
1601966700,116.95,117.05,116.75,117.0,1021896
1601969400,117.0,117.0,116.5,116.75,931660
1601972100,116.75,116.8,116.3,116.5,1207835
1601974800,116.5,117.0,116.45,116.8,1305068
1601977500,116.8,117.0,116.65,116.8,926123
1602042300,117.1,117.2,115.05,115.55,2798691
1602045000,115.55,116.2,115.45,115.9,932629
1602047700,115.9,115.9,115.1,115.4,1012320
1602050400,115.4,115.65,115.1,115.1,671495
1602053100,115.1,115.25,114.6,114.8,1937188
1602055800,114.8,114.9,114.65,114.75,590147
1602058500,114.75,114.75,114.5,114.7,1131865
1602061200,114.7,114.8,114.4,114.6,1528201
1602063900,114.55,114.6,114.25,114.55,1320709
1602128700,114.7,115.0,113.05,113.2,3671520
1602131400,113.2,113.5,112.65,113.45,2281604
1602134100,113.45,114.2,113.35,114.0,1447887
1602136800,114.0,114.35,113.75,114.15,848027
1602139500,114.15,114.15,113.6,113.8,584284
1602142200,113.8,114.0,113.7,113.95,256858
1602144900,113.9,114.0,113.4,113.6,622395
1602147600,113.6,113.65,113.2,113.35,1139413
1602150300,113.45,113.5,113.15,113.5,791919
1602215100,113.35,113.5,112.3,112.85,3206371
1602217800,112.9,114.1,112.7,113.75,1956266
1602220500,113.75,114.2,113.1,114.1,2139845
1602223200,114.1,115.0,113.9,114.65,1474265
1602225900,114.65,115.9,114.6,115.65,1892149
1602228600,115.65,115.7,114.8,114.85,1171789
1602231300,114.85,115.1,114.1,114.1,1500646
1602234000,114.15,115.0,114.05,114.85,1674546
1602236700,114.8,115.3,114.75,115.25,866663
1602474300,115.3,115.5,113.75,113.8,2172278
1602477000,113.8,113.9,113.35,113.5,859381
1602479700,113.5,113.6,112.8,113.1,1394841
1602482400,113.1,113.7,113.05,113.1,643245
1602485100,113.1,113.7,113.0,113.3,482050
1602487800,113.3,113.45,113.0,113.45,491441
1602490500,113.45,113.6,113.15,113.2,462823
1602493200,113.25,113.5,113.2,113.25,740549
1602495900,113.25,113.3,112.95,113.25,685033
1602560700,113.3,114.65,112.35,114.05,3871549
1602563400,114.05,114.3,113.5,113.55,1691461
1602566100,113.6,113.85,113.5,113.55,386675
1602568800,113.55,113.85,113.45,113.65,398043
1602571500,113.6,113.65,113.0,113.15,602658
