datetime,open,high,low,close,volume
1601264700,117.9,121.3,117.9,120.9,5997657
1601275500,120.9,121.0,119.6,120.1,2550494
1601286300,120.0,120.15,119.8,120.0,861380
1601351100,121.15,121.55,118.15,118.9,6303553
1601361900,118.9,119.15,117.6,117.9,3902829
1601372700,117.9,118.05,117.15,117.35,1829581
1601437500,117.0,117.1,114.65,115.25,8786008
1601448300,115.25,116.25,115.1,116.1,4133603
1601459100,116.15,116.3,115.85,115.95,1063170
1601523900,117.1,119.7,116.35,119.0,5762455
1601534700,119.1,119.35,116.95,117.45,3381793
1601545500,117.35,117.45,116.8,117.0,799078
1601869500,117.95,119.5,117.55,118.4,4321026
1601880300,118.5,118.9,118.0,118.5,3160355
1601891100,118.5,118.55,118.2,118.4,620050
1601955900,119.35,119.35,116.8,116.95,5793382
1601966700,116.95,117.05,116.3,116.8,4466459
1601977500,116.8,117.0,116.65,116.8,926123
1602042300,117.1,117.2,115.05,115.1,5415135
1602053100,115.1,115.25,114.4,114.6,5187401
1602063900,114.55,114.6,114.25,114.55,1320709
1602128700,114.7,115.0,112.65,114.15,8249038
1602139500,114.15,114.15,113.2,113.35,2602950
1602150300,113.45,113.5,113.15,113.5,791919
1602215100,113.35,115.0,112.3,114.65,8776747
1602225900,114.65,115.9,114.05,114.85,6239130
1602236700,114.8,115.3,114.75,115.25,866663
1602474300,115.3,115.5,112.8,113.1,5069745
1602485100,113.1,113.7,113.0,113.25,2176863
1602495900,113.25,113.3,112.95,113.25,685033
1602560700,113.3,114.65,112.35,113.65,6347728
1602571500,113.6,114.05,113.0,114.0,2604750
1602582300,114.0,114.2,113.7,114.15,738057
1602647100,113.2,113.95,109.6,110.15,11092121
1602657900,110.05,110.9,109.8,110.55,6512880
1602668700,110.5,110.7,110.45,110.65,2007205
1602733500,110.85,112.7,109.55,111.15,9567303
1602744300,111.15,112.2,110.2,110.55,5281877
1602755100,110.55,110.9,110.45,110.6,600418
1602819900,111.3,111.45,109.6,109.9,6072070
1602830700,109.9,111.65,109.75,111.5,4861417
1602841500,111.5,112.75,111.1,112.5,1287476
1603079100,112.5,114.65,111.25,112.7,9909189
1603089900,112.7,114.7,112.65,114.65,6733857
1603100700,114.7,115.35,114.5,115.3,1438412
1603165500,115.1,116.15,113.3,113.3,11286358
1603176300,113.35,114.1,113.1,113.7,4157561
1603187100,113.65,113.75,113.45,113.6,1065210
1603251900,113.65,116.9,113.55,116.85,12754901
1603262700,116.85,116.85,114.4,115.15,6839021
1603273500,115.1,115.4,114.8,115.4,804713
1603338300,115.0,115.5,114.1,114.7,5404708
1603349100,114.7,115.6,114.3,115.6,5196452
1603359900,115.55,116.7,115.55,116.5,3028846
1603424700,116.8,118.2,116.2,117.9,7651604
1603435500,117.9,118.15,117.4,117.8,3374764
1603446300,117.75,117.85,117.65,117.7,826820
1603683900,117.9,117.9,114.8,114.9,5728465
1603694700,114.9,115.1,114.2,114.7,4325184
1603705500,114.7,114.75,114.25,114.45,1169297
1603770300,114.2,115.15,112.85,114.9,6502181
1603781100,114.9,114.95,113.65,113.7,3341945
1603791900,113.75,114.0,113.5,113.65,1121806
1603856700,113.95,114.0,112.65,113.55,4532702
1603867500,113.6,113.65,112.6,112.75,4103146
1603878300,112.7,112.8,112.4,112.45,695168
1603943100,112.0,112.45,110.75,111.35,6566362
1603953900,111.35,111.5,110.55,110.85,3906231
1603964700,110.9,111.1,110.75,111.0,920438
1604029500,111.6,115.2,111.05,112.95,10877507
1604040300,112.95,114.4,112.7,114.25,5648189
1604051100,114.2,114.7,114.2,114.65,1225722
1604288700,114.6,115.55,113.55,115.1,5550599
1604299500,115.1,116.3,115.0,115.75,6417982
1604310300,115.75,115.85,115.5,115.6,757879
1604375100,115.6,117.25,115.6,116.2,5927469
1604385900,116.2,117.1,115.9,116.75,5284201
1604396700,116.75,117.0,116.25,116.55,1090209
1604461500,116.5,116.5,114.7,115.0,3161832
1604472300,115.05,115.2,113.7,114.65,3467642
1604483100,114.65,115.1,114.35,115.0,734422
1604547900,116.35,118.2,115.25,117.45,6515433
1604558700,117.45,120.15,117.4,120.0,6209735
1604569500,120.05,120.6,119.85,120.3,2145086
1604634300,120.25,121.2,118.3,119.0,6625317
1604645100,118.95,122.4,118.7,122.0,10647421
1604655900,122.0,122.0,121.1,121.35,1573333
1604893500,122.9,122.9,120.65,121.4,8698341
1604904300,121.4,122.2,121.25,121.7,4996399
1604915100,121.65,121.95,121.5,121.85,1175310
1604979900,122.25,124.0,121.0,123.9,8411566
1604990700,123.9,125.4,123.25,124.6,6346577
1605001500,124.6,125.15,124.45,124.9,1018297
1605066300,126.0,126.2,123.55,124.45,9977350
1605077100,124.5,126.0,124.2,126.0,5471499
1605087900,125.95,126.15,125.7,126.05,1222887
1605152700,126.05,126.5,121.0,123.0,22229571
1605163500,122.95,123.4,121.8,121.9,10568266
1605174300,121.9,122.55,121.85,122.45,2829452
1605239100,122.5,125.25,121.2,124.7,12731835
1605249900,124.7,126.1,124.35,125.95,8903148
1605260700,125.95,126.35,125.6,125.9,1687725
1605357900,127.35,127.5,126.55,127.05,3256444
1605584700,128.3,129.3,127.2,127.6,12387373
1605595500,127.55,129.0,127.55,128.65,6558546
1605606300,128.7,128.95,128.55,128.65,1346906
1605671100,128.75,128.75,125.85,126.4,9424716
1605681900,126.35,128.85,126.3,128.25,8131184
1605692700,128.3,128.4,128.0,128.4,1332650
1605757500,121.75,123.9,120.85,123.35,17588558
1605768300,123.3,124.3,121.8,121.95,9917695
1605779100,121.95,122.2,121.7,122.2,1505722
1605843900,123.3,123.5,120.15,121.0,9652613
1605854700,121.05,122.1,120.5,121.55,6372155
1605865500,121.6,121.6,120.95,121.3,1494145
1606103100,121.25,122.3,119.75,121.95,9789553
1606113900,121.95,123.45,121.75,122.6,6246441
1606124700,122.6,123.05,122.5,122.8,1166868
1606189500,123.75,124.6,123.15,123.45,9013454
1606200300,123.45,124.0,123.0,123.3,7546972
1606211100,123.25,123.4,122.8,123.25,1563800
1606275900,123.95,125.35,123.25,124.9,10797208
1606286700,124.95,126.75,124.0,124.05,10637749
1606297500,124.1,124.1,123.65,123.85,1346367
1606362300,124.6,125.0,123.35,123.85,4947183
1606373100,123.85,125.35,123.8,125.2,7580214
1606383900,125.15,125.3,124.9,125.3,1143182
1606448700,125.45,126.5,125.0,125.55,7018093
1606459500,125.55,127.4,125.2,125.3,13945098
1606470300,125.25,125.65,125.0,125.35,4305097
1606794300,126.0,127.0,124.7,126.45,5414402
1606805100,126.4,126.8,126.05,126.4,2831876
1606815900,126.4,126.65,126.15,126.3,675138
1606880700,127.0,128.25,126.4,127.85,6624224
1606891500,127.9,129.8,126.8,129.4,10373148
1606902300,129.4,131.15,129.0,130.6,4005337
1606967100,131.35,131.85,129.25,131.15,12853431
1606977900,131.25,133.8,130.65,133.5,10964383
1606988700,133.5,134.0,133.2,133.5,1937546
1607053500,134.2,134.95,131.3,132.5,11952735
1607064300,132.5,133.6,131.1,133.55,6078621
1607075100,133.6,133.7,132.9,133.3,1303461
1607312700,133.3,135.95,133.0,135.55,6835722
1607323500,135.55,137.2,135.45,136.75,6010156
1607334300,136.75,137.15,136.55,136.6,1249008
1607399100,137.45,137.7,133.0,133.95,13408771
1607409900,133.9,134.9,133.6,134.3,6103855
1607420700,134.35,134.35,133.9,134.3,1905789
1607485500,135.4,137.5,134.5,136.7,10586677
1607496300,136.7,136.7,134.5,134.75,6729460
1607507100,134.75,135.0,134.4,135.0,1392653
1607571900,135.2,135.45,132.8,134.35,6524276
1607582700,134.35,135.3,133.85,134.7,4444399
1607593500,134.75,135.3,134.7,134.85,912293
1607658300,134.7,140.7,134.5,139.95,19070053
1607669100,139.9,140.45,137.55,138.3,10007965
1607679900,138.2,138.6,138.0,138.3,1423014
1607917500,139.65,144.0,139.1,142.0,20978459
1607928300,142.0,143.8,141.65,143.15,12304782
1607939100,143.15,144.2,143.05,143.85,2266678
1608003900,143.65,143.65,140.8,143.45,8513302
1608014700,143.4,144.35,143.1,143.2,8865026
1608025500,143.2,143.3,142.5,142.9,1342425
1608090300,144.35,146.0,143.5,145.15,9593710
