datetime,open,high,low,close,volume
1601264700,712.17,719.19,712.17,717.15,180892
1601265000,717.15,720.14,715.36,717.65,90053
1601265300,718.15,721.13,717.15,719.29,89962
1601265600,718.74,720.73,717.5,717.75,43055
1601265900,717.9,720.14,716.05,719.84,46776
1601266200,719.54,720.59,717.35,719.09,23103
1601266500,719.09,722.03,718.74,721.43,75317
1601266800,721.43,723.13,720.73,723.08,77955
1601267100,722.98,723.87,722.13,722.63,52439
1601267400,722.63,723.08,720.14,720.59,38372
1601267700,720.59,722.73,720.54,722.03,19127
1601268000,722.08,722.63,720.19,720.49,21102
1601268300,720.49,720.64,716.65,717.85,55215
1601268600,717.85,719.84,717.6,719.39,19812
1601268900,719.39,720.98,718.84,719.44,13682
1601269200,719.44,720.19,718.2,718.79,7941
1601269500,718.79,722.63,718.39,722.28,26032
1601269800,722.13,723.03,720.88,720.93,18896
1601270100,720.93,726.11,720.64,725.12,126313
1601270400,725.12,726.61,724.62,726.11,104054
1601270700,726.11,728.11,724.22,725.02,134809
1601271000,725.02,726.16,722.13,726.16,98275
1601271300,726.11,727.21,723.42,726.31,120797
1601271600,726.61,728.11,724.62,727.66,70446
1601271900,727.96,728.01,726.16,726.51,14524
1601272200,726.51,727.91,726.11,727.61,10191
1601272500,727.76,728.11,726.11,726.61,28958
1601272800,726.76,727.61,726.11,726.26,13593
1601273100,726.11,726.81,726.11,726.26,12666
1601273400,726.46,728.6,726.11,727.61,35546
1601273700,727.71,727.71,726.11,726.31,31131
1601274000,726.31,726.91,725.22,725.22,63687
1601274300,725.22,725.22,722.58,723.82,63294
1601274600,723.82,726.01,722.73,725.27,18584
1601274900,725.27,725.77,724.17,725.62,8079
1601275200,725.62,726.11,725.12,725.22,9045
1601275500,725.22,725.67,724.12,725.37,9124
1601275800,725.37,725.77,724.12,724.72,7781
1601276100,724.72,725.02,724.12,724.12,9352
1601276400,724.12,725.02,724.02,724.52,12654
1601276700,724.52,725.02,724.22,724.37,3532
1601277000,724.37,725.62,723.87,725.47,7668
1601277300,725.47,725.81,724.57,725.62,4546
1601277600,725.62,725.62,724.47,725.12,2217
1601277900,725.12,727.56,724.82,726.31,13010
1601278200,726.31,727.11,725.12,726.86,5865
1601278500,726.86,727.86,726.11,727.16,17313
