datetime,open,high,low,close,volume
1601264700,712.17,721.13,712.17,719.09,473841
1601266500,719.09,723.87,718.74,720.49,284312
1601268300,720.49,723.03,716.65,720.93,141578
1601270100,720.93,728.11,720.64,727.66,654694
1601271900,727.96,728.6,726.11,727.61,115478
1601273700,727.71,727.71,722.58,725.22,193820
1601275500,725.22,725.77,723.87,725.47,50111
1601277300,725.47,729.1,724.47,728.85,82163
1601279100,728.8,730.1,725.47,729.4,74818
1601280900,729.4,731.09,728.6,730.8,99629
1601282700,730.8,731.99,728.11,728.8,102241
1601284500,728.8,731.99,728.11,731.04,134196
1601286300,731.04,732.74,730.1,732.09,124513
1601351100,733.09,736.97,725.62,729.75,377924
1601352900,729.75,730.84,719.34,724.52,191172
1601354700,724.52,727.06,722.13,724.62,64019
1601356500,724.67,724.77,717.6,721.13,91150
1601358300,721.53,721.53,715.85,719.99,138139
1601360100,719.99,720.14,715.31,716.65,43961
1601361900,716.65,718.05,712.77,712.87,76710
1601363700,712.87,716.25,712.22,715.16,73763
1601365500,715.16,718.24,713.26,717.65,50599
1601367300,717.65,722.93,717.15,722.93,142216
1601369100,722.93,726.06,722.13,722.13,123964
1601370900,722.13,722.93,715.01,720.34,284831
1601372700,720.19,721.28,715.26,715.26,150288
1601437500,718.59,723.67,712.22,719.84,193917
1601439300,719.44,722.78,716.25,717.75,72681
1601441100,717.75,721.13,715.26,719.99,95729
1601442900,719.99,723.03,719.69,721.13,67692
1601444700,721.13,724.62,719.09,719.19,91992
1601446500,719.19,725.91,716.45,725.37,126998
1601448300,725.37,728.85,723.32,728.85,175203
1601450100,728.7,729.6,726.91,727.11,71827
1601451900,727.11,731.84,726.91,731.29,110829
1601453700,731.29,736.07,730.7,734.18,184860
1601455500,733.83,738.41,733.43,734.23,197441
1601457300,734.23,741.8,733.93,741.1,370010
1601459100,741.35,743.44,739.06,740.06,607029
1601523900,746.23,746.63,733.14,736.62,505501
1601525700,736.62,742.55,735.28,738.96,236407
1601527500,738.61,740.31,735.83,737.07,83062
1601529300,737.27,744.74,735.73,744.09,152402
1601531100,743.35,743.94,741.15,742.55,120994
1601532900,742.55,748.28,741.05,741.55,271993
1601534700,741.55,744.04,740.61,742.55,93850
1601536500,742.55,743.64,741.05,741.45,40554
1601538300,741.5,745.04,741.05,743.49,58449
1601540100,743.49,751.36,742.05,750.42,279045
1601541900,750.62,750.62,746.53,748.38,142909
1601543700,748.38,753.01,747.28,751.01,249155
1601545500,751.46,753.01,748.62,748.72,153118
1601869500,749.22,760.58,747.18,754.25,324561
1601871300,754.25,754.9,747.68,753.45,184450
1601873100,753.45,753.5,744.09,744.54,169066
1601874900,744.74,744.99,740.06,741.05,132276
1601876700,741.25,742.85,740.56,741.15,90193
1601878500,741.2,742.55,739.01,741.5,67521
1601880300,741.2,742.55,740.46,741.9,60038
1601882100,741.9,746.73,741.5,745.54,113174
1601883900,745.98,748.42,743.05,745.09,156210
1601885700,745.09,747.03,744.94,747.03,44301
1601887500,747.03,747.03,743.79,744.94,84203
1601889300,744.94,751.81,744.04,747.73,218237
1601891100,748.03,749.02,744.04,744.54,244861
1601955900,747.28,751.91,740.86,742.25,321158
1601957700,742.35,743.05,737.57,741.85,236045
1601959500,741.9,743.05,738.96,743.05,88229
1601961300,742.85,745.29,740.66,743.54,124316
1601963100,743.59,745.44,742.35,744.04,63722
1601964900,744.04,748.13,744.04,746.78,86740
1601966700,746.78,746.78,741.65,741.65,54448
1601968500,741.65,744.89,741.55,743.89,76415
1601970300,743.89,744.74,739.56,743.05,178408
1601972100,743.05,747.83,742.55,747.38,142050
1601973900,747.38,752.01,747.08,749.62,145609
1601975700,749.62,756.09,748.23,755.99,187722
1601977500,755.99,756.94,752.16,753.01,139669
1602042300,752.01,754.5,745.04,748.18,194260
1602044100,748.18,751.01,745.74,750.62,113387
1602045900,750.62,755.99,748.08,755.5,191053
1602047700,755.5,755.8,749.02,749.67,74659
1602049500,749.67,751.81,746.53,747.68,99128
1602051300,747.68,749.42,746.98,748.13,47205
1602053100,748.13,752.51,745.39,751.26,89801
1602054900,751.21,753.01,747.83,753.01,70726
1602056700,752.76,754.65,751.01,751.01,126019
1602058500,751.01,756.94,750.92,753.41,146948
1602060300,753.41,758.68,753.11,756.49,173793
1602062100,756.49,757.84,753.8,756.54,166765
1602063900,756.89,757.49,755.99,756.79,125029
1602128700,761.97,768.05,755.7,756.94,469254
1602130500,756.59,760.43,756.49,757.59,138396
1602132300,757.59,763.96,757.04,763.47,257111
1602134100,763.12,764.46,761.07,762.37,104401
1602135900,762.37,763.76,760.48,762.92,112833
1602137700,762.92,766.4,761.97,764.66,182869
1602139500,764.66,766.7,763.42,765.76,110124
1602141300,765.76,766.01,763.47,763.96,58261
1602143100,763.96,768.94,763.32,767.45,185975
1602144900,767.45,771.63,762.02,762.27,188120
1602146700,762.32,764.96,761.97,762.12,120276
1602148500,762.12,767.95,761.97,767.9,150970
1602150300,767.85,768.94,766.1,766.5,127583
1602215100,766.5,769.84,758.93,759.28,273534
1602216900,759.28,761.72,756.69,757.09,132520
1602218700,757.09,757.54,751.41,754.0,182978
1602220500,754.0,759.53,751.06,756.19,171849
1602222300,756.19,757.79,755.5,756.99,46267
1602224100,756.69,757.69,749.87,750.52,324286
1602225900,750.52,750.87,744.14,744.84,334802
