datetime,open,high,low,close,volume
1601264700,838.4,839.4,820.8,827.7,2277231
1601266500,827.9,836.3,827.9,834.1,1197062
1601268300,834.1,838.65,833.25,836.35,882697
1601270100,836.35,837.5,834.0,834.5,541188
1601271900,834.4,835.5,832.35,835.3,496937
1601273700,835.3,844.75,834.5,842.45,1472380
1601275500,842.45,843.9,838.1,843.55,744493
1601277300,843.75,843.8,839.65,841.3,513203
1601279100,841.4,842.0,836.1,837.7,603451
1601280900,837.7,840.4,835.45,836.65,548007
1601282700,836.65,837.0,833.45,836.75,608986
1601284500,836.75,837.75,834.15,835.55,704237
1601286300,835.05,835.7,832.6,833.0,528900
1601351100,837.4,839.5,830.1,838.9,1982141
1601352900,838.65,841.1,832.85,833.75,1378088
1601354700,833.8,833.8,823.9,824.75,1049064
1601356500,824.75,825.55,819.4,822.75,822634
1601358300,822.75,829.0,822.0,825.85,538206
1601360100,825.55,825.7,821.5,822.8,522370
1601361900,822.8,824.6,822.0,822.35,253539
1601363700,822.35,823.0,818.2,821.15,628515
1601365500,821.15,821.35,819.25,820.45,328071
1601367300,820.35,824.05,820.25,821.25,420909
1601369100,821.2,822.5,816.2,816.9,456611
1601370900,816.65,817.7,810.25,813.05,1292316
1601372700,813.15,816.45,810.2,815.35,862123
1601437500,818.0,820.5,807.1,808.75,1853065
1601439300,808.9,813.45,808.05,811.0,726842
1601441100,811.05,819.4,810.95,817.15,944786
1601442900,816.75,818.45,814.15,814.5,447612
1601444700,814.65,814.95,810.0,810.5,630739
1601446500,810.5,814.4,810.2,812.35,422293
1601448300,812.25,813.3,809.2,810.55,376782
1601450100,810.85,812.85,809.4,811.3,319629
1601451900,811.3,818.0,810.8,815.65,851219
1601453700,815.6,816.35,811.3,813.9,557239
1601455500,813.9,814.7,810.05,811.15,429989
1601457300,811.15,812.65,810.05,811.95,1056554
1601459100,811.9,813.25,809.3,810.8,836216
1601523900,819.9,820.95,814.0,818.0,879353
1601525700,818.0,818.1,814.0,816.7,521521
1601527500,816.45,817.0,812.25,813.9,360102
1601529300,813.95,816.55,813.75,815.6,245109
1601531100,815.6,819.0,815.2,817.7,359594
1601532900,817.7,818.35,816.0,816.05,205973
1601534700,816.05,817.0,815.0,816.6,203824
1601536500,816.6,817.0,814.65,816.25,182131
1601538300,816.3,816.6,815.6,816.6,133070
1601540100,816.6,816.95,815.0,815.25,163825
1601541900,815.25,816.2,811.35,814.35,270711
1601543700,814.35,814.75,812.4,813.2,354396
1601545500,813.15,814.0,811.2,813.7,433028
1601869500,828.8,834.0,819.4,832.9,2863413
1601871300,833.2,839.2,826.25,826.45,2080317
1601873100,826.45,826.8,815.1,824.4,1334995
1601874900,823.6,827.6,822.4,826.0,501370
1601876700,826.0,828.75,825.65,827.0,547056
1601878500,827.0,829.7,823.2,823.95,569785
1601880300,823.95,824.55,820.65,820.95,372153
1601882100,821.1,821.75,817.5,820.45,480976
1601883900,820.45,823.95,819.2,823.5,353689
1601885700,823.5,829.75,823.05,828.1,763794
1601887500,828.45,829.2,825.2,825.7,649786
1601889300,825.45,826.0,823.15,824.35,675147
