datetime,open,high,low,close,volume
1601264700,579.2,583.25,578.35,580.15,461449
1601268300,580.2,580.95,578.6,579.9,239940
1601271900,580.05,580.4,578.1,579.5,163698
1601275500,579.5,580.05,577.05,578.8,209997
1601279100,578.85,580.0,578.1,579.55,131445
1601282700,579.55,582.4,578.5,580.7,260572
1601286300,580.6,583.3,580.2,582.65,122099
1601351100,586.8,586.8,578.7,579.9,620862
1601354700,579.9,580.0,576.0,578.6,276531
1601358300,578.6,580.4,577.95,578.6,232276
1601361900,578.6,579.6,576.6,577.55,124661
1601365500,577.55,579.85,577.0,578.35,134113
1601369100,578.35,580.7,571.8,572.65,747592
1601372700,572.7,573.4,563.75,570.7,2013561
1601437500,571.8,571.95,567.45,569.5,349779
1601441100,569.5,570.85,567.9,570.0,210830
1601444700,570.0,570.35,563.45,568.3,257110
1601448300,568.3,569.0,565.2,568.75,111814
1601451900,568.7,570.35,567.1,568.65,191638
1601455500,568.55,569.95,555.95,563.5,2400813
1601459100,563.5,566.3,557.05,558.9,1376885
1601523900,568.0,570.0,562.25,567.6,454939
1601527500,567.6,568.0,563.9,564.8,168678
1601531100,564.9,567.75,564.05,567.0,113181
1601534700,567.0,568.5,566.1,568.1,131539
1601538300,568.1,568.8,567.2,567.8,105780
1601541900,567.8,569.8,566.55,567.8,311940
1601545500,567.8,572.0,567.8,571.35,184974
1601869500,572.0,574.6,565.35,567.6,566474
1601873100,567.6,571.65,566.9,571.0,209282
1601876700,571.0,572.9,569.15,571.95,196408
1601880300,571.95,574.2,571.65,572.15,265371
1601883900,572.45,574.9,571.95,573.45,337447
1601887500,573.45,575.0,572.25,574.5,434218
1601891100,574.5,576.95,573.65,576.0,477028
1601955900,577.5,579.3,575.75,577.9,933958
1601959500,577.9,580.5,576.1,579.2,960913
1601963100,579.2,582.0,578.6,579.35,717024
1601966700,579.35,580.4,577.6,579.3,642289
1601970300,579.3,582.0,578.7,580.95,1035934
1601973900,580.9,582.75,578.35,581.1,931742
1601977500,581.1,586.2,580.75,585.1,442070
1602042300,585.0,587.15,579.75,581.5,904828
1602045900,581.5,582.0,578.5,579.6,309422
1602049500,579.6,580.4,578.1,578.1,247714
1602053100,578.1,579.9,575.0,576.35,296867
1602056700,576.35,577.6,575.7,577.1,122270
1602060300,577.1,579.55,576.6,579.55,434927
1602063900,579.55,581.25,578.15,578.2,258443
1602128700,586.5,586.5,577.7,580.7,2245804
1602132300,580.7,583.3,579.4,582.25,1420857
1602135900,582.25,583.9,581.0,582.5,2761811
1602139500,582.5,583.5,579.1,579.4,306678
1602143100,579.4,581.85,579.25,579.75,477380
1602146700,579.95,584.1,577.1,583.3,759018
1602150300,583.45,585.8,582.7,584.95,1274624
1602215100,587.0,589.0,581.6,581.85,629888
1602218700,581.95,583.5,579.6,580.95,364137
1602222300,580.9,580.95,574.75,575.0,991422
1602225900,574.95,576.65,573.1,573.4,467287
1602229500,573.4,574.0,568.6,570.0,862682
1602233100,570.0,575.3,569.3,575.0,770902
1602236700,575.0,575.1,572.4,575.0,453086
1602474300,576.45,577.0,567.5,568.95,560123
1602477900,568.8,569.0,565.15,565.9,273231
1602481500,565.9,568.25,563.25,563.7,276288
1602485100,563.75,565.5,563.1,564.25,207487
1602488700,564.25,564.45,561.05,562.55,307871
1602492300,562.25,563.8,560.2,563.0,439067
1602495900,563.1,564.2,562.1,562.8,279932
1602560700,564.4,570.35,559.7,568.7,580064
1602564300,568.7,571.95,568.0,570.5,415071
1602567900,570.5,570.7,566.2,567.1,391509
1602571500,567.1,567.3,562.55,565.0,282766
1602575100,565.0,566.8,563.25,565.25,147200
1602578700,565.25,567.1,563.1,566.5,182023
1602582300,566.6,567.85,566.05,566.05,121761
1602647100,564.9,564.9,558.0,561.5,701468
1602650700,561.5,563.3,560.0,560.6,247335
1602654300,560.6,562.45,559.7,560.9,727964
1602657900,560.9,564.0,560.55,563.7,194770
1602661500,563.7,571.6,563.1,568.5,586272
1602665100,568.5,574.25,567.75,571.1,1113983
1602668700,571.15,574.8,570.25,573.9,382454
1602733500,573.0,574.0,568.7,571.75,268208
1602737100,571.7,573.2,569.0,572.95,164295
1602740700,572.95,573.0,566.5,567.6,226683
1602744300,567.8,571.05,567.4,569.6,233681
1602747900,569.55,570.1,563.25,563.85,334872
1602751500,563.75,564.85,560.05,561.3,381656
1602755100,561.25,562.95,561.0,562.2,157477
1602819900,562.95,566.25,559.5,562.75,564046
1602823500,562.75,565.6,562.5,563.8,187215
1602827100,563.8,564.7,560.5,562.1,197647
1602830700,562.1,564.1,561.2,562.75,128433
1602834300,562.75,563.8,560.1,561.8,206555
1602837900,561.8,564.25,560.3,560.7,628305
1602841500,560.9,563.4,560.3,563.4,197439
1603079100,565.9,572.05,564.3,570.7,1050299
1603082700,570.7,574.3,567.15,567.8,882196
1603086300,567.95,570.0,567.65,570.0,200985
1603089900,570.0,571.8,568.6,571.1,246369
1603093500,571.35,572.7,570.4,571.05,230508
1603097100,571.05,571.5,568.2,570.5,399098
1603100700,570.45,573.95,568.75,573.7,344589
1603165500,574.6,581.0,569.0,574.2,2527584
1603169100,574.3,574.3,567.0,569.85,1020563
1603172700,569.75,571.0,568.55,569.95,540848
1603176300,570.0,570.0,567.7,569.6,330731
1603179900,569.6,571.45,567.75,570.7,446671
1603183500,571.0,572.2,568.6,571.0,1147350
1603187100,570.95,571.45,570.6,571.45,430363
1603251900,574.5,577.45,573.0,574.45,659707
1603255500,574.4,574.5,569.0,569.95,576654
1603259100,569.95,570.0,567.6,568.25,340429
1603262700,568.0,569.0,567.05,568.6,232456
1603266300,568.6,568.6,561.5,561.5,597665
1603269900,561.55,564.9,556.0,563.65,761860
1603273500,563.8,564.05,560.05,561.3,277443
1603338300,563.0,566.8,560.0,564.0,488277
1603341900,564.0,564.9,561.1,564.65,162622
1603345500,564.7,565.9,558.15,561.0,455772
1603349100,561.0,561.85,558.85,560.75,218601
1603352700,560.75,563.4,560.0,561.7,175265
1603356300,561.5,565.6,560.1,560.7,587447
1603359900,560.95,561.25,559.6,560.0,869760
1603424700,563.0,567.0,561.0,562.0,645170
1603428300,561.95,565.0,561.5,562.95,251051
1603431900,562.95,563.5,559.65,561.45,8683103
1603435500,561.05,574.0,560.8,573.7,3254930
1603439100,573.7,580.65,571.65,572.4,2569503
1603442700,572.15,573.95,563.0,563.6,5338585
1603446300,563.7,563.85,561.75,562.5,638473
1603683900,566.75,575.45,563.5,575.3,1371563
1603687500,575.3,579.35,573.95,574.55,1655471
1603691100,574.45,579.5,571.45,576.9,1177469
1603694700,576.9,577.7,573.0,576.3,819570
1603698300,576.45,578.55,574.25,577.65,789007
1603701900,577.75,578.0,573.05,575.05,1720801
1603705500,575.0,582.5,575.0,582.0,939021
1603770300,582.9,591.5,580.0,590.3,2651729
1603773900,590.3,590.7,587.1,588.8,748140
1603777500,588.8,589.65,585.2,589.0,493439
1603781100,589.0,589.1,585.1,588.1,335991
1603784700,588.05,589.7,585.25,585.55,564373
1603788300,585.55,589.0,583.4,587.2,781117
