datetime,open,high,low,close,volume
1601264700,163.95,164.5,162.1,164.4,836073
1601265300,164.5,164.7,163.95,164.05,403458
1601265900,164.1,164.4,163.75,164.15,398043
1601266500,164.15,165.6,164.0,164.7,670538
1601267100,164.7,164.75,164.2,164.35,273116
1601267700,164.35,164.75,164.2,164.55,301037
1601268300,164.55,164.7,164.05,164.45,154297
1601268900,164.4,164.7,164.25,164.5,124347
1601269500,164.45,166.15,164.45,165.7,764204
1601270100,165.7,166.7,165.3,165.8,579845
1601270700,165.8,166.85,165.55,166.7,376443
1601271300,166.8,167.25,166.6,166.9,337716
1601271900,166.9,167.3,166.7,167.15,185112
1601272500,167.15,167.4,166.95,167.05,225971
1601273100,167.05,167.75,167.0,167.5,483620
1601273700,167.5,167.6,167.05,167.4,294476
1601274300,167.3,168.0,167.2,167.95,276601
1601274900,168.0,168.7,167.85,168.2,430237
1601275500,168.3,168.4,167.85,168.05,264233
1601276100,168.05,168.3,167.65,167.8,224637
1601276700,167.85,168.1,167.65,167.9,249368
1601277300,167.8,167.9,167.2,167.55,212933
1601277900,167.55,168.0,167.45,167.85,228300
1601278500,167.85,168.4,167.85,168.05,348475
1601279100,168.05,168.25,167.9,167.9,198528
1601279700,167.9,168.1,167.35,167.45,193732
1601280300,167.45,167.95,167.25,167.8,315168
1601280900,167.8,168.35,167.8,168.1,240612
1601281500,168.1,168.3,167.95,168.05,119272
1601282100,168.05,168.5,168.0,168.35,216404
1601282700,168.35,168.5,168.15,168.2,118181
1601283300,168.2,168.4,168.05,168.2,109338
1601283900,168.2,168.2,167.4,167.6,262607
1601284500,167.6,168.2,167.25,168.05,327074
1601285100,168.05,168.35,167.95,168.2,379955
1601285700,168.2,168.2,167.2,167.6,596213
1601286300,167.6,168.0,167.45,167.65,564757
1601286900,167.65,167.95,167.5,167.85,112648
1601351100,169.45,171.6,168.1,171.3,1766125
1601351700,171.3,172.1,170.55,171.5,1487225
1601352300,171.4,172.7,170.35,172.25,1827425
1601352900,172.25,172.5,171.05,171.35,670352
1601353500,171.35,172.0,171.0,171.2,716000
1601354100,171.2,172.7,171.0,172.55,732429
1601354700,172.5,173.75,172.5,173.55,1195160
1601355300,173.55,174.35,173.5,174.25,1034938
1601355900,174.35,174.8,174.0,174.35,968146
1601356500,174.4,174.4,173.4,173.8,1253819
1601357100,173.8,175.25,173.8,174.4,1620045
1601357700,174.4,174.6,173.05,173.85,2158002
1601358300,173.8,174.1,173.0,173.9,773039
1601358900,173.9,174.4,173.85,174.05,703654
1601359500,174.1,174.7,173.8,174.2,711490
1601360100,174.2,174.9,174.0,174.75,566123
1601360700,174.75,175.15,174.55,175.1,670666
1601361300,175.1,175.2,174.05,174.1,774241
1601361900,174.15,174.75,173.7,174.6,800792
1601362500,174.6,174.75,174.25,174.4,243239
1601363100,174.4,174.4,173.65,173.8,529208
1601363700,173.8,174.1,173.15,173.95,1069723
1601364300,174.0,174.6,173.95,174.6,663073
1601364900,174.65,175.05,174.25,174.4,636391
1601365500,174.4,174.9,174.3,174.85,341123
1601366100,174.85,175.5,174.45,174.8,953992
1601366700,174.85,175.1,174.55,175.0,380929
1601367300,175.0,175.95,175.0,175.45,833003
1601367900,175.5,176.2,175.0,176.1,989044
1601368500,176.15,176.3,175.45,175.8,634446
1601369100,175.9,176.2,175.8,176.1,521333
1601369700,176.1,176.65,175.85,176.6,773883
1601370300,176.55,177.1,176.35,176.9,1122913
1601370900,176.8,177.0,176.2,176.5,1193007
1601371500,176.55,176.55,175.75,176.2,1507734
1601372100,176.15,176.8,176.1,176.35,1389735
1601372700,176.35,177.25,176.0,177.15,1997018
1601373300,177.15,177.3,176.5,176.6,395412
1601437500,177.5,177.7,174.1,174.5,1528196
1601438100,174.5,175.6,173.85,175.55,1044718
1601438700,175.6,175.9,174.9,175.05,741369
1601439300,175.05,175.3,174.05,174.65,653506
1601439900,174.55,174.65,173.55,173.8,577457
1601440500,173.8,173.9,173.2,173.5,676463
1601441100,173.5,174.15,173.4,174.05,465321
1601441700,174.05,174.9,174.0,174.5,473534
1601442300,174.5,174.55,174.15,174.4,147460
1601442900,174.35,174.9,174.2,174.75,202894
1601443500,174.75,175.15,174.05,174.35,365613
1601444100,174.35,174.45,173.9,174.3,243494
1601444700,174.4,174.65,173.9,174.05,314621
1601445300,174.05,174.15,173.55,174.05,505461
1601445900,173.95,174.0,173.5,173.7,300783
1601446500,173.6,173.6,172.8,172.85,778923
1601447100,172.9,173.65,172.7,173.55,404698
1601447700,173.55,174.15,173.35,173.8,385762
1601448300,173.7,174.3,173.7,174.1,207535
1601448900,174.1,174.65,173.9,174.45,327389
1601449500,174.5,175.0,174.3,174.7,345743
1601450100,174.65,175.55,174.45,175.3,428054
1601450700,175.3,175.35,174.6,175.2,220237
1601451300,175.2,175.45,174.7,174.8,222812
1601451900,174.8,174.9,174.35,174.75,283265
1601452500,174.85,175.1,174.4,174.7,154459
1601453100,174.7,174.75,174.4,174.55,183108
1601453700,174.55,174.85,174.4,174.7,178902
1601454300,174.7,175.05,174.6,175.0,235617
1601454900,175.0,175.2,174.9,175.05,170852
1601455500,175.05,175.25,174.8,174.9,215049
1601456100,174.9,175.1,174.85,174.9,174189
1601456700,174.9,175.1,174.8,175.05,159358
1601457300,175.05,175.7,175.0,175.25,401164
1601457900,175.25,175.3,175.0,175.2,350215
1601458500,175.2,175.75,175.15,175.5,531123
1601459100,175.55,175.6,174.95,175.0,752877
1601459700,175.0,175.1,174.05,174.45,215533
1601523900,177.2,177.7,175.4,177.35,998319
1601524500,177.25,177.6,175.75,175.85,547567
1601525100,175.8,176.5,175.7,176.2,405321
1601525700,176.15,177.0,175.65,176.85,495720
1601526300,176.8,178.9,176.8,178.9,1030551
1601526900,178.95,179.25,178.25,178.35,610088
1601527500,178.3,178.4,177.5,177.6,275176
1601528100,177.6,178.65,177.6,178.3,257919
1601528700,178.3,178.65,177.95,178.0,186991
1601529300,178.0,178.5,177.95,178.4,117826
1601529900,178.4,178.55,177.95,178.2,172832
1601530500,178.2,178.95,178.2,178.35,283145
1601531100,178.35,178.4,177.65,177.85,281259
1601531700,177.85,178.8,177.65,178.65,285691
1601532300,178.6,178.75,178.1,178.35,208685
1601532900,178.35,178.4,178.05,178.15,65406
1601533500,178.15,178.15,177.8,177.85,123878
1601534100,177.8,178.3,177.6,177.75,169870
1601534700,177.75,177.8,176.9,177.1,321300
1601535300,177.2,177.35,176.3,176.45,399911
1601535900,176.5,177.5,176.2,177.15,608547
1601536500,177.15,177.15,176.4,176.55,137974
1601537100,176.6,176.8,176.25,176.4,119016
1601537700,176.4,176.4,175.6,175.8,281775
1601538300,175.65,176.2,174.7,174.9,644345
1601538900,174.9,175.75,174.8,175.55,335366
1601539500,175.55,176.7,175.55,176.45,278906
1601540100,176.5,176.5,175.45,175.6,156479
1601540700,175.6,176.0,175.5,175.5,111234
1601541300,175.5,175.85,175.0,175.55,185092
1601541900,175.65,176.3,175.4,175.75,215372
1601542500,175.85,175.85,175.0,175.0,158594
1601543100,175.0,175.05,174.3,174.5,375142
1601543700,174.5,174.8,173.85,174.45,307832
1601544300,174.45,174.5,174.0,174.35,241805
1601544900,174.4,174.55,173.9,174.3,358208
1601545500,174.3,174.5,173.5,174.35,771363
1601546100,174.25,174.75,174.2,174.55,129890
1601869500,175.0,175.95,172.8,175.2,1556187
1601870100,175.25,176.15,174.75,175.3,720857
1601870700,175.3,175.4,174.4,174.4,460235
1601871300,174.45,174.45,173.85,174.45,590939
1601871900,174.45,175.75,174.4,175.5,538984
1601872500,175.5,177.15,175.5,177.05,769913
1601873100,177.0,177.65,176.7,177.4,437333
1601873700,177.4,177.6,176.85,177.4,327350
1601874300,177.4,178.0,177.4,177.8,363400
1601874900,177.9,178.95,177.85,178.6,560310
1601875500,178.5,178.55,177.45,177.5,317393
1601876100,177.55,178.35,177.45,177.65,246731
1601876700,177.55,178.2,177.55,178.1,150154
1601877300,178.1,178.5,177.7,178.25,322822
1601877900,178.25,178.35,177.3,177.5,353109
1601878500,177.5,177.55,176.5,176.55,506704
1601879100,176.6,177.0,175.9,176.95,411889
1601879700,176.95,177.0,176.65,177.0,168144
1601880300,177.0,177.0,176.7,176.9,87703
1601880900,176.9,177.05,175.85,177.0,290014
1601881500,177.0,177.15,176.6,176.8,162484
1601882100,176.8,177.2,176.75,177.0,118575
1601882700,177.0,177.2,176.6,176.75,130095
1601883300,176.75,177.0,176.45,176.65,105614
1601883900,176.65,177.4,176.65,176.75,170318
1601884500,176.75,176.9,176.35,176.65,208090
1601885100,176.6,177.75,176.45,177.45,248048
1601885700,177.45,178.35,177.45,177.9,402149
1601886300,177.9,177.95,177.55,177.8,134727
1601886900,177.8,178.2,177.7,178.1,141130
1601887500,178.1,178.35,178.0,178.2,161977
1601888100,178.2,178.4,177.8,178.05,175503
1601888700,178.05,178.4,177.9,178.3,153212
1601889300,178.3,178.9,178.3,178.5,351716
1601889900,178.5,179.0,178.15,178.3,360128
1601890500,178.35,179.15,178.25,178.9,526462
1601891100,178.9,179.9,178.7,179.45,772069
1601891700,179.5,179.85,179.3,179.4,116784
1601955900,180.6,182.4,179.75,180.0,1708938
1601956500,179.95,181.95,179.85,181.35,867491
1601957100,181.4,181.5,177.55,178.3,1233442
1601957700,178.3,178.6,177.8,178.2,478330
1601958300,178.2,178.25,177.2,177.55,476677
1601958900,177.5,177.75,177.05,177.2,286673
1601959500,177.2,177.25,176.2,176.6,390772
1601960100,176.55,176.7,176.1,176.45,295696
1601960700,176.45,177.15,176.3,176.7,353436
1601961300,176.7,176.9,176.35,176.6,143766
1601961900,176.6,176.8,175.6,175.75,369441
1601962500,175.75,176.4,175.6,176.3,237161
1601963100,176.3,176.75,176.15,176.6,184993
1601963700,176.6,176.7,176.35,176.6,139092
1601964300,176.65,177.7,176.65,177.45,309765
1601964900,177.45,177.75,177.4,177.5,165919
1601965500,177.5,177.6,176.6,176.95,215151
1601966100,176.95,177.1,176.55,176.8,151450
1601966700,176.8,177.0,176.7,177.0,103256
1601967300,177.0,177.0,176.55,176.75,144153
1601967900,176.75,176.75,176.2,176.4,144250
1601968500,176.4,176.55,176.0,176.45,150818
1601969100,176.45,177.0,176.45,177.0,135260
1601969700,176.9,177.2,176.55,176.9,155649
1601970300,176.9,177.0,176.2,176.4,163811
1601970900,176.4,176.75,176.4,176.45,66682
1601971500,176.45,176.95,176.15,176.9,212958
1601972100,176.9,177.0,176.25,176.3,342119
1601972700,176.3,176.45,175.65,176.1,367491
1601973300,176.1,176.4,175.7,176.05,411644
1601973900,176.05,176.75,176.05,176.55,194650
1601974500,176.55,177.0,176.5,176.9,238079
1601975100,176.95,177.0,176.3,176.9,358109
1601975700,176.85,177.0,176.8,176.95,179239
1601976300,176.95,177.0,176.8,176.85,316992
1601976900,176.95,177.0,176.65,176.95,663775
1601977500,176.95,177.0,176.6,176.95,584805
1601978100,176.95,177.0,176.5,176.6,233338
1602042300,176.9,176.9,174.85,176.0,766463
1602042900,176.0,176.65,175.6,176.1,396721
1602043500,176.15,176.35,175.75,176.2,291651
1602044100,176.15,176.95,176.15,176.5,362567
1602044700,176.5,177.95,176.4,177.7,469791
1602045300,177.75,177.8,176.6,176.65,352165
1602045900,176.4,176.45,175.6,175.9,392075
1602046500,175.95,176.1,175.55,175.6,226592
1602047100,175.6,175.9,175.6,175.7,112356
1602047700,175.75,175.85,175.2,175.4,176212
1602048300,175.45,175.5,174.0,174.15,668897
1602048900,174.15,174.35,173.55,173.7,325211
1602049500,173.7,173.85,173.0,173.25,320262
1602050100,173.05,173.45,172.75,172.8,298460
1602050700,172.85,173.1,171.6,171.8,445809
1602051300,171.85,172.25,171.1,171.1,533070
1602051900,171.2,171.85,171.05,171.55,239407
1602052500,171.55,171.95,171.15,171.8,269473
1602053100,171.8,172.55,171.8,172.2,309879
1602053700,172.2,172.25,171.5,171.6,155901
