datetime,open,high,low,close,volume
1601264700,163.95,164.5,162.1,164.3,1046142
1601265600,164.35,164.7,163.75,164.15,591432
1601266500,164.15,165.6,164.0,164.5,826264
1601267400,164.5,164.75,164.2,164.55,418427
1601268300,164.55,164.7,164.05,164.5,214263
1601269200,164.45,166.15,164.35,165.7,828585
1601270100,165.7,166.7,165.3,166.2,735661
1601271000,166.1,167.25,166.1,166.9,558343
1601271900,166.9,167.4,166.7,167.2,331834
1601272800,167.2,167.75,167.0,167.5,562869
1601273700,167.5,167.6,167.05,167.5,387200
1601274600,167.55,168.7,167.35,168.2,614114
1601275500,168.3,168.4,167.85,168.0,386722
1601276400,168.05,168.15,167.65,167.9,351516
1601277300,167.8,168.0,167.2,167.75,351783
1601278200,167.75,168.4,167.5,168.05,437925
1601279100,168.05,168.25,167.75,167.9,270523
1601280000,167.85,167.95,167.25,167.8,436905
1601280900,167.8,168.35,167.8,168.15,309295
1601281800,168.15,168.5,168.0,168.35,266993
1601282700,168.35,168.5,168.05,168.25,182118
1601283600,168.25,168.4,167.4,167.6,308008
1601284500,167.6,168.2,167.25,168.0,486982
1601285400,168.0,168.35,167.2,167.6,816260
1601286300,167.6,168.0,167.45,167.85,677405
1601351100,169.45,171.6,168.1,171.5,2340637
1601352000,171.5,172.7,170.35,172.25,2740138
1601352900,172.25,172.5,171.05,171.55,1026924
1601353800,171.55,172.7,171.0,172.55,1091857
1601354700,172.5,173.95,172.5,173.75,1731480
1601355600,173.8,174.8,173.7,174.35,1466764
1601356500,174.4,174.95,173.4,174.5,2054087
1601357400,174.6,175.25,173.05,173.85,2977779
1601358300,173.8,174.4,173.0,173.95,1232298
1601359200,173.95,174.7,173.8,174.2,955885
1601360100,174.2,174.95,174.0,174.75,961635
1601361000,174.75,175.2,174.05,174.1,1049395
1601361900,174.15,174.75,173.7,174.4,927348
1601362800,174.4,174.55,173.65,173.8,645891
1601363700,173.8,174.5,173.15,174.2,1440069
1601364600,174.2,175.05,173.95,174.4,929118
1601365500,174.4,175.5,174.3,175.0,921666
1601366400,175.0,175.1,174.45,175.0,754378
1601367300,175.0,175.95,175.0,175.85,1263974
1601368200,175.8,176.3,175.45,175.8,1192519
1601369100,175.9,176.2,175.8,175.85,755676
1601370000,175.9,177.1,175.9,176.9,1662453
1601370900,176.8,177.0,176.0,176.15,1955548
1601371800,176.25,176.8,175.75,176.35,2134928
1601372700,176.35,177.3,176.0,176.6,2392430
1601437500,177.5,177.7,174.1,174.4,1903430
1601438400,174.35,175.9,173.85,175.05,1410853
1601439300,175.05,175.3,174.05,174.3,875500
1601440200,174.25,174.3,173.2,173.5,1031926
1601441100,173.5,174.9,173.4,174.65,787881
1601442000,174.65,174.9,174.15,174.4,298434
1601442900,174.35,175.15,174.2,174.5,431123
1601443800,174.5,174.6,173.9,174.3,380878
1601444700,174.4,174.65,173.6,173.7,467571
1601445600,173.65,174.05,173.5,173.7,653294
1601446500,173.6,173.6,172.7,173.2,990553
1601447400,173.25,174.15,173.15,173.8,578830
1601448300,173.7,174.3,173.7,173.95,270374
1601449200,174.0,175.0,173.9,174.7,610293
1601450100,174.65,175.55,174.45,174.75,537001
1601451000,174.75,175.45,174.7,174.8,334102
1601451900,174.8,175.1,174.35,174.5,396756
1601452800,174.6,174.85,174.4,174.55,224076
1601453700,174.55,175.05,174.4,174.9,296905
1601454600,174.95,175.2,174.75,175.05,288466
1601455500,175.05,175.25,174.8,174.95,296815
1601456400,175.0,175.1,174.8,175.05,251781
1601457300,175.05,175.7,175.0,175.15,520263
1601458200,175.15,175.75,175.05,175.5,762239
1601459100,175.55,175.6,174.05,174.45,968410
1601523900,177.2,177.7,175.4,177.0,1233146
1601524800,177.0,177.1,175.7,176.2,718061
1601525700,176.15,177.85,175.65,177.5,1005854
1601526600,177.45,179.25,177.45,178.35,1130505
1601527500,178.3,178.4,177.5,178.3,398446
1601528400,178.25,178.65,177.95,178.0,321640
1601529300,178.0,178.55,177.95,178.3,175298
1601530200,178.3,178.95,177.95,178.35,398505
1601531100,178.35,178.55,177.65,178.35,400632
1601532000,178.35,178.8,178.1,178.35,375003
1601532900,178.35,178.4,177.8,177.8,103189
1601533800,177.8,178.3,177.6,177.75,255965
1601534700,177.75,177.8,176.6,176.65,459934
1601535600,176.65,177.5,176.2,177.15,869824
1601536500,177.15,177.15,176.4,176.65,175460
1601537400,176.65,176.7,175.6,175.8,363305
1601538300,175.65,176.2,174.7,175.55,851290
1601539200,175.55,176.7,175.2,176.45,407327
1601540100,176.5,176.5,175.45,175.95,201383
1601541000,176.0,176.0,175.0,175.55,251422
1601541900,175.65,176.3,175.25,175.25,284710
1601542800,175.25,175.3,174.3,174.5,464398
1601543700,174.5,174.8,173.85,174.4,369759
1601544600,174.4,174.55,173.9,174.3,538086
1601545500,174.3,174.75,173.5,174.55,901253
1601869500,175.0,176.15,172.8,175.65,1943604
1601870400,175.65,175.8,174.4,174.4,793675
1601871300,174.45,175.75,173.85,175.4,957516
1601872200,175.4,177.15,175.35,177.05,942320
1601873100,177.0,177.65,176.7,177.2,606255
1601874000,177.1,178.0,177.0,177.8,521828
1601874900,177.9,178.95,177.85,178.25,672021
1601875800,178.25,178.4,177.45,177.65,452413
1601876700,177.55,178.5,177.55,178.4,295801
1601877600,178.4,178.45,177.3,177.5,530284
1601878500,177.5,177.55,175.9,176.8,827025
1601879400,176.8,177.0,176.6,177.0,259712
1601880300,177.0,177.0,176.55,176.6,140792
1601881200,176.55,177.15,175.85,176.8,399409
1601882100,176.8,177.2,176.7,176.75,202553
1601883000,176.8,177.0,176.45,176.65,151731
1601883900,176.65,177.4,176.35,176.6,279053
1601884800,176.6,177.75,176.35,177.45,347403
1601885700,177.45,178.35,177.45,177.95,489413
1601886600,177.85,178.2,177.65,178.1,188593
1601887500,178.1,178.4,178.0,178.1,264841
1601888400,178.1,178.4,177.8,178.3,225851
1601889300,178.3,179.0,178.3,178.9,525452
1601890200,178.9,179.15,178.15,178.9,712854
1601891100,178.9,179.9,178.7,179.4,888853
1601955900,180.6,182.4,179.75,181.05,2047433
1601956800,181.0,181.95,177.55,178.3,1762438
1601957700,178.3,178.6,177.6,177.8,659402
1601958600,177.8,177.8,177.05,177.2,582278
1601959500,177.2,177.25,176.2,176.5,497906
1601960400,176.45,177.15,176.1,176.7,541998
1601961300,176.7,176.9,176.35,176.7,224341
1601962200,176.7,176.75,175.6,176.3,526027
1601963100,176.3,176.75,176.15,176.4,259069
1601964000,176.5,177.7,176.45,177.45,374781
1601964900,177.45,177.75,177.05,177.35,247169
1601965800,177.35,177.4,176.55,176.8,285351
1601966700,176.8,177.0,176.55,176.75,189203
1601967600,176.75,176.8,176.2,176.4,202456
1601968500,176.4,176.7,176.0,176.6,206951
1601969400,176.6,177.2,176.55,176.9,234776
1601970300,176.9,177.0,176.2,176.6,184892
1601971200,176.6,176.95,176.15,176.9,258559
1601972100,176.9,177.0,176.1,176.25,444848
1601973000,176.25,176.4,175.65,176.05,676406
1601973900,176.05,176.9,176.05,176.8,297243
1601974800,176.8,177.0,176.3,176.9,493595
1601975700,176.85,177.0,176.8,176.9,284209
1601976600,176.9,177.0,176.65,176.95,875797
1601977500,176.95,177.0,176.5,176.6,818143
1602042300,176.9,176.9,174.85,176.6,1008995
1602043200,176.6,176.65,175.75,176.2,445840
1602044100,176.15,176.95,176.15,176.6,442930
1602045000,176.65,177.95,176.6,176.65,741593
1602045900,176.4,176.45,175.6,175.85,492660
1602046800,175.9,175.9,175.55,175.7,238363
1602047700,175.75,175.85,174.7,174.7,392456
1602048600,174.65,174.75,173.55,173.7,777864
1602049500,173.7,173.85,172.75,173.3,502981
1602050400,173.35,173.35,171.6,171.8,561550
1602051300,171.85,172.25,171.05,171.35,621211
1602052200,171.35,171.95,171.15,171.8,420739
1602053100,171.8,172.55,171.75,171.75,391570
1602054000,171.75,171.95,171.3,171.6,229554
1602054900,171.6,171.9,171.4,171.65,250883
1602055800,171.65,171.8,170.8,171.1,390251
1602056700,171.15,172.2,170.9,172.1,405439
1602057600,172.1,172.1,171.6,171.8,191901
1602058500,171.85,172.15,171.55,171.95,310377
1602059400,172.0,172.1,171.55,171.95,208061
1602060300,171.9,173.15,171.8,172.75,651336
1602061200,172.7,173.1,172.55,173.05,418807
1602062100,173.1,173.4,172.7,172.75,334964
1602063000,172.75,173.1,172.45,172.95,629996
1602063900,172.95,173.25,172.0,172.2,776185
1602128700,172.85,176.1,172.8,175.95,1528774
1602129600,175.9,176.45,175.25,175.6,851108
1602130500,175.6,175.65,175.15,175.5,406220
1602131400,175.5,175.95,174.1,174.85,792721
1602132300,174.8,175.75,174.8,175.5,409300
1602133200,175.5,175.6,174.8,175.2,213971
1602134100,175.3,175.5,174.3,174.5,237694
1602135000,174.5,174.5,173.7,174.0,358499
1602135900,173.9,174.15,173.05,173.3,370684
1602136800,173.3,173.9,172.55,173.05,655877
1602137700,173.05,173.15,172.15,172.25,259604
1602138600,172.3,172.45,171.6,171.7,370820
1602139500,171.7,172.4,171.6,172.05,272095
1602140400,172.05,172.55,171.8,172.2,177706
1602141300,172.15,172.35,171.75,171.75,189842
1602142200,171.75,172.85,171.55,172.8,324727
1602143100,172.8,173.5,172.75,173.15,446199
1602144000,173.15,173.65,173.1,173.45,216226
1602144900,173.45,173.5,172.1,172.4,263291
1602145800,172.4,172.75,172.05,172.65,192359
1602146700,172.65,172.9,172.3,172.4,169117
1602147600,172.4,172.65,171.8,172.25,393765
1602148500,172.15,173.6,171.85,173.6,455837
1602149400,173.6,174.45,173.6,174.4,812841
1602150300,174.45,174.95,173.6,173.8,826831
1602215100,177.0,181.15,177.0,180.45,5224385
1602216000,180.55,181.45,177.1,177.15,3929408
1602216900,177.2,177.7,175.65,176.2,2837092
1602217800,176.2,176.35,174.65,175.3,1716023
1602218700,175.2,175.5,174.35,175.0,970159
1602219600,175.0,175.1,173.75,174.75,1237841
1602220500,174.7,174.75,172.75,173.3,1332168
1602221400,173.3,173.4,172.6,173.0,795864
1602222300,173.0,173.0,172.5,172.8,473001
1602223200,172.85,173.2,172.4,172.8,566208
1602224100,172.75,173.05,172.1,172.2,607692
1602225000,172.15,172.45,171.6,172.05,750763
1602225900,172.0,172.75,171.35,172.55,807890
1602226800,172.55,172.55,171.7,172.0,403388
1602227700,172.0,172.1,171.7,171.85,337555
1602228600,171.85,172.1,171.4,171.55,386853
1602229500,171.6,171.85,171.4,171.75,329981
1602230400,171.75,172.25,171.5,171.7,492097
1602231300,171.7,172.1,170.9,171.75,826460
1602232200,171.75,171.8,170.75,171.3,571369
1602233100,171.3,171.8,171.3,171.45,408448
1602234000,171.45,171.7,171.1,171.4,453945
1602234900,171.4,171.45,170.05,170.2,1035304
1602235800,170.2,170.6,169.25,170.25,2175281
1602236700,170.25,170.55,169.6,169.8,1747247
1602474300,174.0,175.0,172.05,173.6,2505537
1602475200,173.55,173.75,172.2,172.5,1133187
1602476100,172.5,172.55,170.75,171.05,1157278
1602477000,171.0,171.2,170.2,170.9,715580
1602477900,170.9,173.05,170.25,172.3,1006299
1602478800,172.3,172.5,171.3,172.0,502365
1602479700,172.0,173.55,171.95,172.55,893987
1602480600,172.6,173.3,172.5,172.95,314201
1602481500,172.85,173.85,172.65,173.8,424441
1602482400,173.7,173.8,172.95,172.95,348498
1602483300,172.85,173.0,172.2,172.3,341941
1602484200,172.3,172.3,171.5,172.0,392933
1602485100,172.0,172.05,171.45,171.8,285667
1602486000,171.85,172.9,171.7,172.45,268040
1602486900,172.45,172.6,171.4,171.85,320726
1602487800,171.95,172.0,170.55,171.2,725857
1602488700,171.2,171.2,169.9,170.05,618678
1602489600,169.95,170.5,169.95,170.25,284696
1602490500,170.25,171.15,169.7,170.85,584293
1602491400,170.85,172.0,170.8,171.25,614365
1602492300,171.25,171.35,170.65,171.0,404005
1602493200,171.0,172.05,170.9,172.0,740037
1602494100,172.0,172.45,171.4,172.3,517887
1602495000,172.3,172.4,171.55,172.05,804885
1602495900,172.0,172.5,171.7,172.0,804010
1602560700,170.45,173.6,169.75,172.75,1223411
1602561600,172.85,174.1,172.0,173.7,882432
1602562500,173.8,173.85,172.7,173.1,416864
1602563400,173.1,173.2,172.3,172.4,242510
1602564300,172.4,172.75,171.45,172.6,525996
1602565200,172.6,173.4,172.25,173.3,332978
1602566100,173.3,173.3,172.65,172.8,195631
1602567000,172.8,174.5,172.5,174.5,584582
1602567900,174.5,174.9,173.55,173.65,551207
1602568800,173.7,174.0,173.25,173.4,183142
1602569700,173.45,173.9,173.15,173.5,151732
1602570600,173.5,174.45,173.1,174.45,317218
1602571500,174.3,174.4,173.6,174.2,295416
1602572400,174.25,174.35,173.5,173.8,232448
1602573300,173.8,173.8,173.2,173.4,249075
1602574200,173.4,173.55,172.6,173.4,364275
1602575100,173.4,173.6,173.0,173.15,188538
1602576000,173.15,173.3,172.45,172.65,266741
1602576900,172.65,172.65,172.15,172.4,258034
1602577800,172.3,173.2,172.25,172.75,300480
1602578700,172.75,172.95,171.9,172.0,321835
1602579600,172.0,172.8,171.9,172.8,235996
1602580500,172.8,172.8,172.0,172.4,170554
1602581400,172.3,173.5,172.3,173.35,610421
1602582300,173.35,173.75,173.1,173.5,599324
1602647100,173.0,174.85,172.0,174.0,1769062
1602648000,173.95,174.0,171.7,171.85,688205
1602648900,171.9,172.4,171.45,172.15,365654
1602649800,172.15,172.3,171.05,171.5,493383
1602650700,171.45,172.2,171.45,171.5,229911
1602651600,171.5,172.1,171.45,171.95,94874
1602652500,171.95,172.1,171.45,171.7,200004
1602653400,171.7,172.6,171.55,172.2,239898
1602654300,172.2,172.4,171.3,171.3,212156
1602655200,171.35,171.6,171.3,171.55,104585
1602656100,171.6,172.1,171.6,171.85,61215
1602657000,171.8,172.0,171.3,171.85,195442
1602657900,171.85,172.65,171.75,172.25,231129
1602658800,172.2,172.6,171.9,172.5,289784
1602659700,172.5,172.95,172.3,172.6,309555
1602660600,172.7,173.2,172.3,172.85,266025
1602661500,172.85,173.15,172.4,172.55,431752
1602662400,172.55,173.25,172.5,172.85,639313
1602663300,172.85,173.0,172.65,172.8,152800
1602664200,172.8,173.1,172.65,172.95,162316
1602665100,172.95,173.8,172.8,173.4,377233
1602666000,173.35,174.0,173.35,173.8,309571
1602666900,173.75,174.8,173.75,174.25,462597
1602667800,174.3,174.45,173.4,174.05,1195573
1602668700,174.05,175.0,174.05,174.4,1206675
1602733500,174.9,176.35,173.2,174.0,1821776
1602734400,174.0,174.0,172.65,173.1,902567
1602735300,173.05,173.05,172.25,172.3,768464
1602736200,172.4,172.55,171.8,171.95,594023
1602737100,171.95,173.1,171.9,172.8,690143
1602738000,172.8,173.35,171.7,172.8,698333
1602738900,172.8,173.4,172.25,173.4,524235
1602739800,173.4,174.1,173.3,173.9,685359
1602740700,173.9,174.6,173.75,174.4,583755
1602741600,174.4,174.9,174.05,174.35,540988
1602742500,174.35,175.4,174.2,174.9,468085
1602743400,174.9,176.15,174.85,176.0,714245
1602744300,176.0,176.2,175.15,175.9,480064
1602745200,175.9,176.5,175.8,176.3,505340
1602746100,176.3,178.25,176.2,177.75,1482018
1602747000,177.75,177.85,175.4,175.65,894699
1602747900,175.6,177.3,175.6,177.05,528097
1602748800,177.0,177.4,175.65,176.6,552848
1602749700,176.5,176.6,174.6,175.2,995667
1602750600,175.3,175.55,173.9,174.15,1001432
1602751500,174.3,174.65,173.6,174.15,1137453
1602752400,174.25,174.45,173.2,173.7,609914
1602753300,173.7,175.5,173.6,175.0,630118
1602754200,175.0,175.2,172.85,173.6,1139208
1602755100,173.6,173.7,172.4,172.8,844208
1602819900,174.1,175.5,173.15,174.9,1259504
1602820800,174.85,175.75,174.2,174.35,872979
1602821700,174.3,174.8,172.9,173.2,688586
1602822600,173.2,173.8,172.35,173.1,576363
1602823500,173.2,174.65,173.2,174.45,576925
1602824400,174.5,174.95,174.0,174.55,555486
1602825300,174.5,175.0,173.95,174.5,445647
1602826200,174.5,174.6,173.15,173.5,415935
1602827100,173.5,174.4,173.35,174.3,276396
1602828000,174.3,174.5,173.5,174.3,306482
1602828900,174.3,175.0,173.95,174.95,331051
1602829800,174.9,175.9,174.8,174.9,537546
1602830700,174.9,175.7,174.55,175.6,310637
1602831600,175.55,175.9,175.35,175.8,287859
1602832500,175.8,176.55,175.8,176.1,494742
1602833400,176.1,176.9,176.0,176.55,292957
1602834300,176.55,177.1,176.0,176.05,384594
1602835200,176.05,176.35,175.7,175.95,349071
1602836100,176.0,177.05,175.65,176.4,434392
1602837000,176.4,178.5,176.25,177.6,1046952
1602837900,177.65,178.8,176.85,178.4,1105209
1602838800,178.4,179.1,178.1,178.55,658025
1602839700,178.55,178.8,177.7,178.5,473593
1602840600,178.5,180.2,178.35,180.0,1537127
1602841500,179.95,180.55,179.7,179.9,1309188
1603079100,181.0,182.35,179.0,180.6,1888501
1603080000,180.6,181.1,179.0,179.0,1001536
1603080900,179.0,179.6,178.2,178.75,876375
1603081800,178.7,180.15,178.1,179.75,694000
1603082700,179.75,180.9,179.05,179.1,706223
1603083600,179.1,180.4,178.95,179.35,561733
1603084500,179.35,179.4,178.3,178.8,561262
1603085400,178.8,178.85,177.7,178.1,448321
1603086300,178.05,179.15,178.0,178.4,355875
1603087200,178.4,179.05,178.2,178.5,264508
1603088100,178.6,179.5,178.4,178.45,340056
1603089000,178.45,179.6,178.2,179.55,423999
1603089900,179.55,179.85,178.9,179.6,287415
1603090800,179.6,180.5,179.6,180.3,533712
1603091700,180.3,181.25,180.0,181.0,526603
