datetime,open,high,low,close,volume
1601264700,351.5,355.95,349.1,355.75,2034533
1601265900,355.75,356.3,353.85,354.3,1151581
1601267100,354.4,355.5,353.7,354.0,1053288
1601268300,354.0,354.0,352.75,353.7,584054
1601269500,353.65,357.7,353.65,356.95,1105268
1601270700,356.95,358.75,356.15,358.1,821204
1601271900,358.05,360.5,357.5,359.85,919683
1601273100,359.9,360.4,358.7,359.05,953887
1601274300,359.1,360.0,359.0,359.85,467324
1601275500,359.9,360.0,358.4,358.8,501711
1601276700,358.85,359.9,357.65,359.75,786823
1601277900,359.75,362.35,359.55,361.35,1332164
1601279100,361.4,362.9,360.8,362.25,1070549
1601280300,362.25,362.85,361.7,362.5,566433
1601281500,362.5,363.95,360.7,362.1,1074773
1601282700,362.1,363.2,361.0,362.95,707654
1601283900,363.1,363.3,361.8,362.1,451774
1601285100,362.25,363.45,361.0,362.75,1341636
1601286300,362.85,363.9,362.1,363.05,1548149
1601351100,363.75,363.75,357.45,357.7,1819169
1601352300,357.6,358.9,356.5,357.05,1213161
1601353500,357.3,357.3,355.8,356.75,836443
1601354700,356.85,357.8,356.05,356.25,684280
1601355900,356.3,356.5,354.4,355.0,917582
1601357100,354.9,355.7,354.25,355.0,509037
1601358300,355.0,355.75,354.5,355.1,347648
1601359500,355.2,357.5,354.8,356.05,624329
1601360700,356.0,356.65,355.0,355.65,390631
1601361900,355.65,359.8,355.4,359.75,1585256
1601363100,359.75,359.75,356.1,357.6,724904
1601364300,357.65,358.3,356.65,356.7,610199
1601365500,356.7,357.7,355.4,356.0,630093
1601366700,355.95,358.55,355.55,358.2,714112
1601367900,358.2,358.65,357.1,357.95,624521
1601369100,357.95,360.6,357.85,359.95,1253720
1601370300,359.95,359.95,357.8,357.9,722862
1601371500,357.95,357.95,355.0,356.5,1493207
1601372700,356.35,359.1,355.95,358.4,1356722
1601437500,356.95,357.5,351.25,352.05,2146675
1601438700,352.1,352.75,350.6,351.1,1104504
1601439900,351.0,351.55,350.3,350.95,759324
1601441100,350.95,354.5,350.25,352.4,1482692
1601442300,352.4,354.45,352.1,353.7,1069226
1601443500,353.7,354.85,352.0,353.1,1178882
1601444700,353.15,353.45,349.35,350.35,1063687
1601445900,350.4,351.25,350.2,350.55,417441
1601447100,350.55,352.5,350.1,351.2,656481
1601448300,351.05,352.9,350.55,352.4,427356
1601449500,352.4,353.35,352.15,353.15,567246
1601450700,353.15,353.75,352.1,352.65,746608
1601451900,352.65,352.9,350.85,352.05,543848
1601453100,352.05,352.8,351.2,352.7,436845
1601454300,352.65,354.2,352.0,354.2,897155
1601455500,354.15,355.0,352.9,354.7,1184710
1601456700,354.7,355.0,353.0,353.3,1165779
1601457900,353.4,355.95,353.3,355.55,2087476
1601459100,355.55,355.6,353.3,353.5,1594636
1601523900,358.25,363.45,358.25,362.5,2766850
1601525100,362.5,363.4,361.8,362.35,995892
1601526300,362.35,364.9,361.7,364.4,1528738
1601527500,364.4,365.95,363.65,365.45,1299698
1601528700,365.5,367.5,364.9,367.3,1773513
1601529900,367.3,367.85,366.1,366.3,1031231
1601531100,366.4,367.65,365.75,367.05,713825
1601532300,367.15,368.4,367.0,367.35,762762
1601533500,367.45,369.8,366.8,368.55,1758816
1601534700,368.55,368.7,367.7,367.9,539309
1601535900,367.95,369.5,367.9,368.9,745397
1601537100,368.8,369.05,367.5,367.85,628525
1601538300,367.85,368.15,366.6,367.75,614216
1601539500,367.7,368.9,367.7,367.8,490796
1601540700,367.8,370.0,367.4,369.85,1210783
1601541900,369.8,371.2,368.75,368.85,1887442
1601543100,368.95,369.7,368.6,368.9,1386021
1601544300,368.9,370.6,368.6,370.55,1687053
1601545500,370.45,370.55,367.7,368.4,1397023
1601869500,370.75,379.9,370.75,379.45,4142852
1601870700,379.45,381.95,378.8,379.55,2754328
1601871900,379.7,380.8,379.5,380.2,1432585
1601873100,380.1,380.25,377.7,379.8,1370618
1601874300,379.7,382.65,379.2,379.4,2021600
1601875500,379.4,382.0,378.75,380.5,1092929
1601876700,380.35,381.75,379.0,379.7,855437
1601877900,379.7,380.65,376.2,377.15,1957612
1601879100,377.4,379.1,377.1,378.2,785281
1601880300,378.15,378.5,377.25,378.1,566105
1601881500,377.95,378.4,377.05,377.55,581043
1601882700,377.6,377.75,374.1,374.5,1642599
1601883900,374.6,375.4,372.2,374.35,1458324
1601885100,374.3,376.5,373.7,375.25,1161123
1601886300,375.2,376.0,373.8,375.1,863274
1601887500,375.1,375.7,373.45,374.45,637212
1601888700,374.5,374.8,373.5,373.85,521645
1601889900,373.8,374.3,372.45,373.45,1251392
1601891100,373.5,373.9,372.25,373.4,1321848
1601955900,377.1,380.85,376.05,377.2,2354697
1601957100,377.2,377.8,376.0,377.0,798671
1601958300,377.0,377.55,376.25,376.8,843582
1601959500,376.8,377.25,375.6,376.2,622654
