datetime,open,high,low,close,volume
1601264700,50.0,51.07,49.53,50.7,17476768
1601279100,50.7,50.7,50.3,50.57,6563236
1601351100,50.67,50.83,49.37,49.37,15130663
1601365500,49.4,50.13,49.37,49.97,7131875
1601437500,49.9,50.3,48.67,49.13,21215195
1601451900,49.13,49.5,49.0,49.27,7178684
1601523900,49.3,50.0,48.97,49.53,15573627
1601538300,49.53,49.67,49.2,49.27,5705166
1601869500,49.67,50.2,49.2,50.0,16028752
1601883900,49.97,50.77,49.8,50.5,8131765
1601955900,50.77,50.83,49.8,50.47,18182944
1601970300,50.47,50.5,50.07,50.17,5883412
1602042300,50.1,50.23,49.53,49.9,12417996
1602056700,49.9,50.37,49.9,50.1,10272433
1602128700,50.07,50.3,49.53,50.13,12858248
1602143100,50.13,50.53,50.0,50.27,6929335
1602215100,49.73,51.67,49.73,51.33,19050962
1602229500,51.33,51.43,50.83,51.0,7874316
1602474300,51.0,51.63,50.17,50.23,11893609
1602488700,50.23,50.67,50.07,50.4,5810690
1602560700,50.37,50.73,49.7,50.67,13054344
1602575100,50.67,50.9,50.6,50.73,6258913
1602647100,50.13,50.6,49.17,49.37,16307040
1602661500,49.37,49.97,49.27,49.83,13007731
1602733500,49.77,50.53,49.53,50.27,17174221
1602747900,50.23,50.4,49.33,49.47,9503873
1602819900,49.73,50.13,49.23,49.4,23184128
1602834300,49.4,49.63,49.33,49.5,11604386
1603079100,49.73,51.07,49.73,51.0,21605719
1603093500,51.03,51.6,50.67,51.47,13167167
1603165500,51.07,51.13,50.03,50.03,18754341
1603179900,50.03,50.27,49.93,50.1,9183956
1603251900,50.5,51.17,50.27,51.1,27853032
1603266300,51.1,51.13,50.43,50.77,14185631
1603338300,50.57,51.27,50.33,51.23,13945536
1603352700,51.23,52.17,51.17,52.0,18906518
1603424700,51.8,52.83,51.8,52.3,14994987
1603439100,52.3,52.43,52.03,52.13,5519351
1603683900,52.17,52.8,52.0,52.2,13491244
1603698300,52.2,52.3,52.0,52.07,5192817
1603770300,51.7,52.3,50.73,52.07,15711773
1603784700,52.07,52.33,51.9,52.07,6975599
1603856700,52.07,52.23,51.4,51.6,10357894
1603871100,51.6,52.13,51.5,52.03,6706937
1603943100,51.13,51.77,50.8,51.47,17735320
1603957500,51.47,52.6,51.3,52.57,10706945
1604029500,53.33,54.6,52.67,53.6,49938399
1604043900,53.63,54.17,52.8,52.9,32006652
1604288700,53.37,53.67,51.7,52.13,19029911
1604303100,52.13,52.33,51.87,52.03,9601219
1604375100,52.03,52.73,51.6,51.67,14366535
1604389500,51.67,52.13,51.6,52.07,8418722
1604461500,52.0,52.33,51.53,51.63,9503011
1604475900,51.6,52.07,51.23,51.93,6526680
1604547900,52.47,53.33,52.17,52.97,19688398
1604562300,52.97,53.47,52.8,53.33,9747871
1604634300,53.33,53.93,53.13,53.27,16142518
1604648700,53.27,53.6,53.23,53.4,6337953
1604893500,53.63,54.2,53.4,54.07,16462239
1604907900,54.1,54.3,54.0,54.07,7431368
1604979900,54.07,55.83,54.07,55.8,21041959
1604994300,55.8,56.3,55.37,56.0,11832408
1605066300,56.17,56.77,55.43,56.3,18909589
1605080700,56.3,56.8,56.03,56.57,8617761
1605152700,56.67,56.87,55.97,56.6,12122551
1605167100,56.6,57.0,56.37,56.77,8335755
1605239100,56.0,56.7,55.8,56.63,11053506
1605253500,56.63,56.77,56.37,56.43,5465027
1605354300,56.83,58.0,56.6,57.93,10100389
1605584700,58.0,58.0,56.5,56.53,26327038
