datetime,open,high,low,close,volume
1601264700,50.0,50.47,49.53,50.4,6765931
1601267400,50.4,50.6,50.3,50.47,2737663
1601270100,50.47,51.07,50.4,50.8,3606097
1601272800,50.77,50.87,50.53,50.87,2468919
1601275500,50.87,50.87,50.47,50.63,1565841
1601278200,50.63,50.73,50.3,50.47,1846914
1601280900,50.47,50.63,50.33,50.53,1528286
1601283600,50.57,50.63,50.4,50.4,1733953
1601286300,50.4,50.57,50.33,50.57,1786400
1601351100,50.67,50.83,49.47,49.63,6395489
1601353800,49.6,50.23,49.47,50.17,2894995
1601356500,50.17,50.17,49.7,49.83,2171716
1601359200,49.83,50.07,49.77,49.8,993540
1601361900,49.8,49.93,49.4,49.53,2114033
1601364600,49.53,49.6,49.37,49.53,1076824
1601367300,49.53,49.83,49.47,49.77,1288049
1601370000,49.77,50.03,49.53,50.0,3475544
1601372700,49.97,50.13,49.87,49.97,1852348
1601437500,49.9,50.3,49.17,49.23,5910982
1601440200,49.23,49.47,49.1,49.33,3641513
1601442900,49.3,49.37,48.73,49.1,6080074
1601445600,49.1,49.13,48.67,48.93,3052653
1601448300,48.93,49.3,48.9,49.23,2121558
1601451000,49.23,49.33,49.07,49.17,912265
1601453700,49.17,49.3,49.0,49.23,1894311
1601456400,49.27,49.4,49.03,49.4,2670062
1601459100,49.37,49.5,49.1,49.27,2110461
1601523900,49.3,50.0,49.13,49.6,4681950
1601526600,49.6,49.77,48.97,49.2,3925611
1601529300,49.17,49.57,49.07,49.53,2646750
1601532000,49.53,49.73,49.43,49.6,2637985
1601534700,49.6,49.73,49.53,49.67,1142188
1601537400,49.67,49.67,49.37,49.63,1881134
1601540100,49.63,49.63,49.43,49.47,907678
1601542800,49.47,49.63,49.3,49.43,1970098
1601545500,49.43,49.47,49.2,49.27,1485399
1601869500,49.67,49.9,49.4,49.53,4311826
1601872200,49.53,49.53,49.2,49.37,2499000
1601874900,49.37,49.97,49.37,49.77,3868338
1601877600,49.8,49.83,49.57,49.8,1610109
1601880300,49.77,50.2,49.73,50.03,3163500
1601883000,50.07,50.07,49.8,49.97,1578103
1601885700,49.97,50.13,49.93,50.03,1658666
1601888400,50.03,50.33,49.97,50.3,2789675
1601891100,50.33,50.77,50.27,50.5,2681300
1601955900,50.77,50.83,49.8,50.0,6415614
1601958600,50.03,50.2,49.93,50.03,1787314
1601961300,50.03,50.17,49.87,50.0,2397234
1601964000,50.0,50.3,49.97,50.23,2944331
1601966700,50.23,50.43,50.13,50.33,3771907
1601969400,50.37,50.5,50.3,50.33,1601078
1601972100,50.33,50.43,50.17,50.37,1402140
1601974800,50.37,50.5,50.07,50.27,2436336
1601977500,50.27,50.33,50.1,50.17,1310402
1602042300,50.1,50.17,49.53,49.83,4709988
1602045000,49.83,50.23,49.7,50.0,2793538
1602047700,50.0,50.07,49.63,49.87,2120156
1602050400,49.87,50.07,49.77,49.93,1549293
1602053100,49.93,50.07,49.9,50.0,903957
