datetime,open,high,low,close,volume
1601264700,522.9,524.8,516.15,521.7,1408235
1601265600,521.8,530.95,521.7,528.35,1500404
1601266500,527.95,529.1,525.0,526.3,713489
1601267400,526.0,529.6,526.0,527.9,413538
1601268300,527.9,528.7,526.25,527.3,316427
1601269200,527.1,529.25,526.55,528.9,292944
1601270100,528.75,535.5,528.25,532.6,1009403
1601271000,532.8,540.0,532.45,539.45,1029583
1601271900,539.7,543.9,536.1,543.5,1049287
1601272800,543.3,545.0,540.3,541.0,999156
1601273700,540.9,543.9,539.45,543.3,663618
1601274600,543.6,545.8,542.2,544.05,544179
1601275500,544.0,544.5,542.55,543.8,344958
1601276400,544.0,544.7,540.5,542.0,423733
1601277300,541.8,547.0,541.05,546.4,628058
1601278200,546.35,554.8,546.35,554.5,1746214
1601279100,554.65,562.65,553.25,559.7,2563756
1601280000,559.65,560.0,555.45,558.7,1387384
1601280900,558.6,559.95,556.0,558.9,705959
1601281800,558.9,563.3,556.4,557.85,1308886
1601282700,557.9,558.5,552.5,555.5,1295064
1601283600,555.2,557.45,554.1,555.0,813713
1601284500,555.25,555.8,551.2,553.05,827706
1601285400,553.15,558.0,552.4,554.35,1336273
1601286300,554.1,557.0,553.3,556.75,1047905
1601351100,559.0,561.85,545.1,545.3,2448234
1601352000,544.9,544.9,535.75,542.45,2455661
1601352900,542.6,542.6,532.4,534.85,1805494
1601353800,534.8,536.0,531.35,535.65,935536
1601354700,535.7,540.4,534.6,538.0,1111990
1601355600,537.95,539.45,533.5,534.8,625085
1601356500,534.9,534.95,529.7,532.65,1208985
1601357400,532.6,533.7,528.95,531.35,879151
1601358300,531.5,533.9,531.0,533.0,477045
1601359200,532.95,537.45,531.7,535.2,588351
1601360100,534.65,537.5,534.35,535.55,458680
1601361000,535.55,537.6,533.3,534.1,435691
1601361900,534.0,537.0,533.8,535.75,282127
1601362800,535.75,536.0,532.5,532.75,348673
1601363700,532.55,534.45,530.4,533.0,726257
1601364600,533.0,534.6,531.6,532.0,256680
1601365500,532.0,534.3,531.0,533.1,259812
1601366400,533.4,533.85,531.15,533.5,248412
1601367300,533.5,537.8,532.9,535.2,721736
1601368200,535.3,536.0,533.35,535.75,288314
1601369100,535.55,541.7,535.3,538.8,1499776
1601370000,538.85,541.3,538.65,538.7,605666
1601370900,538.7,538.95,533.3,533.3,889490
1601371800,533.55,537.95,532.4,537.95,871426
1601372700,537.75,538.1,535.1,535.7,859018
1601437500,536.25,537.0,521.6,522.8,2490396
1601438400,522.75,525.9,520.25,523.95,1206946
1601439300,523.95,525.6,523.05,523.75,467854
1601440200,523.5,532.1,523.1,526.75,1106634
1601441100,526.9,539.4,526.6,536.3,1266317
1601442000,536.4,539.7,535.1,536.15,1663325
1601442900,536.4,538.5,534.15,537.8,730374
1601443800,537.75,538.2,533.95,535.05,614423
1601444700,535.0,535.75,530.25,530.6,691603
1601445600,529.2,532.2,529.2,530.15,722034
1601446500,530.15,530.55,527.7,529.85,646958
1601447400,530.1,532.35,529.75,530.55,413878
1601448300,530.65,530.65,527.7,529.65,381001
1601449200,529.8,531.55,528.5,530.25,387442
1601450100,530.45,532.3,529.5,530.0,330487
1601451000,530.2,532.25,528.5,528.5,399452
1601451900,528.7,529.9,525.85,526.75,574719
1601452800,527.15,528.65,526.0,527.15,343247
1601453700,527.15,529.5,526.8,527.95,407581
1601454600,527.95,531.7,526.65,531.35,551889
1601455500,531.7,533.8,529.3,530.55,821805
1601456400,530.55,532.95,528.25,530.0,581682
1601457300,530.1,530.5,528.0,528.45,387218
1601458200,528.65,530.0,527.35,528.75,661139
