datetime,open,high,low,close,volume
1601264700,270.95,273.8,269.15,272.65,571869
1601265900,272.5,273.0,270.65,271.15,297233
1601267100,271.15,271.7,270.45,270.6,210477
1601268300,270.6,270.7,269.3,269.8,202478
1601269500,269.8,272.45,269.8,271.9,313568
1601270700,271.9,272.3,271.65,272.3,159679
1601271900,272.3,274.2,272.2,273.2,470873
1601273100,273.2,275.55,273.2,274.3,394019
1601274300,274.25,275.45,273.9,275.4,201331
1601275500,275.3,275.55,274.2,274.5,141461
1601276700,274.5,275.35,274.0,274.0,142629
1601277900,274.0,276.95,274.0,275.9,334370
1601279100,275.9,276.9,275.5,275.55,219730
1601280300,275.55,277.9,275.55,277.8,288464
1601281500,277.8,278.25,277.2,277.45,198274
1601282700,277.35,278.8,277.1,278.25,308589
1601283900,278.25,278.25,276.6,277.5,350847
1601285100,277.5,277.9,276.6,277.85,269364
1601286300,277.9,277.9,276.0,276.0,383852
1601351100,277.0,280.65,277.0,279.8,838590
1601352300,279.85,282.5,279.25,281.55,909142
1601353500,281.55,282.3,280.5,282.25,535283
1601354700,282.2,283.3,281.7,283.25,399345
1601355900,283.2,285.0,281.1,281.7,1024106
1601357100,281.6,282.9,281.1,282.2,480108
1601358300,282.2,282.3,280.55,280.9,368646
1601359500,281.0,281.7,278.85,279.6,745217
1601360700,279.6,280.0,278.55,278.85,368580
1601361900,278.85,280.0,278.2,279.0,286340
1601363100,279.0,279.0,276.05,277.35,627063
1601364300,277.4,278.0,276.8,277.55,230649
1601365500,277.55,279.45,277.45,278.45,291508
1601366700,278.45,280.5,277.5,280.25,369274
1601367900,280.25,280.9,279.5,280.4,281627
1601369100,280.4,282.85,280.4,282.75,630520
1601370300,282.7,286.8,282.5,284.8,1221204
1601371500,284.9,285.8,283.05,283.5,1052650
1601372700,283.5,284.2,282.3,282.85,572227
1601437500,283.2,284.95,281.15,284.75,586912
1601438700,284.55,284.8,282.25,282.9,314955
1601439900,282.8,284.0,280.5,280.8,896222
1601441100,280.75,282.8,280.75,282.0,231238
1601442300,282.0,282.3,280.8,280.8,127223
1601443500,280.8,281.0,279.25,280.2,300925
