datetime,open,high,low,close,volume
1601264700,898.0,911.85,893.0,911.5,654750
1601265900,911.85,917.5,910.0,911.9,672754
1601267100,911.9,914.55,910.5,910.7,199654
1601268300,910.95,911.95,907.05,907.8,192054
1601269500,907.8,912.4,907.35,910.45,190298
1601270700,910.45,914.5,908.2,913.4,188015
1601271900,913.4,914.5,910.5,910.7,83017
1601273100,910.35,910.5,906.0,906.7,154595
1601274300,906.7,909.6,906.0,907.3,113859
1601275500,907.6,909.0,902.1,902.8,215459
1601276700,902.8,904.65,900.4,903.3,193301
1601277900,903.3,906.6,902.2,902.75,115277
1601279100,902.75,905.7,902.0,902.95,109049
1601280300,902.95,905.45,902.65,904.85,60172
1601281500,904.85,905.0,903.15,904.5,54098
1601282700,904.5,906.3,903.6,904.9,98610
1601283900,904.9,904.9,902.0,902.8,85220
1601285100,902.8,903.9,900.65,903.0,218601
1601286300,903.0,905.0,902.0,904.4,242760
1601351100,909.95,912.85,901.8,901.9,338388
1601352300,901.6,903.9,896.0,897.8,281578
1601353500,897.9,906.2,896.6,905.5,243699
1601354700,905.45,907.4,901.05,901.7,148413
1601355900,901.7,903.8,897.1,897.45,164886
1601357100,897.45,899.65,894.0,896.3,178346
1601358300,896.7,899.85,894.95,897.85,163475
1601359500,898.0,900.0,895.55,895.8,124721
1601360700,896.0,896.0,893.1,895.0,131529
1601361900,895.0,896.5,894.55,895.1,59985
1601363100,895.1,895.1,892.4,894.0,114607
1601364300,894.1,895.25,892.9,894.65,91727
1601365500,894.4,895.5,893.05,893.7,47030
1601366700,893.85,898.9,893.55,898.25,131208
1601367900,898.3,900.0,896.65,897.65,84252
1601369100,897.65,900.55,897.05,898.35,169649
1601370300,898.7,899.4,894.4,894.75,185396
1601371500,894.75,897.6,893.0,895.55,370345
1601372700,895.55,898.1,893.8,894.3,322948
1601437500,897.8,903.0,893.0,898.0,303021
1601438700,897.9,897.9,888.75,889.5,337114
1601439900,889.5,889.5,884.1,889.0,425043
1601441100,888.75,889.95,887.1,887.5,117763
1601442300,887.5,889.85,887.45,889.3,71693
1601443500,889.2,892.0,889.1,891.5,100134
1601444700,891.5,892.6,887.0,888.0,96791
1601445900,888.0,889.9,886.25,888.8,80050
1601447100,888.8,893.7,888.45,892.7,129499
1601448300,892.95,897.85,891.8,897.35,186639
1601449500,897.35,900.9,896.8,900.5,204759
1601450700,900.3,902.7,898.5,899.8,175145
1601451900,899.65,904.2,898.35,899.9,223782
1601453100,899.9,901.95,899.0,899.65,148665
1601454300,899.6,902.1,898.15,900.75,168765
1601455500,900.95,901.75,899.15,900.95,115892
1601456700,900.95,901.35,899.0,899.25,127687
1601457900,899.3,904.0,898.2,903.6,313345
1601459100,903.6,904.5,898.1,900.55,251599
1601523900,909.95,913.6,903.6,908.65,385362
1601525100,908.65,910.8,907.2,910.65,116715
1601526300,910.3,911.8,909.25,909.35,131009
1601527500,909.25,910.2,905.9,909.4,129234
1601528700,909.4,910.15,907.5,908.65,63725
1601529900,908.7,908.7,906.05,906.5,73681
1601531100,906.5,908.3,904.55,907.95,92337
1601532300,907.95,911.7,907.0,907.2,167170
1601533500,907.25,908.1,907.0,907.75,48502
1601534700,907.45,908.25,906.0,907.95,125804
1601535900,908.0,908.45,906.65,907.7,53586
1601537100,907.6,908.0,904.6,905.05,138732
1601538300,905.0,907.1,905.0,906.9,76433
1601539500,906.9,907.0,904.55,905.95,135741
1601540700,905.95,907.0,905.5,906.6,76169
1601541900,906.4,907.0,904.05,904.4,124088
1601543100,904.4,907.0,904.3,905.15,125342
1601544300,905.1,905.75,902.5,904.05,163368
1601545500,903.9,904.3,900.7,902.0,270068
1601869500,907.95,908.55,900.1,903.3,308678
1601870700,903.25,907.6,901.5,902.6,243147
1601871900,902.55,903.8,898.6,899.7,262514
1601873100,899.6,902.4,899.5,901.35,177510
1601874300,901.35,903.0,901.0,902.0,117467
1601875500,902.0,904.4,901.7,901.7,118881
1601876700,901.65,902.6,900.25,902.2,101509
1601877900,902.25,902.95,900.0,900.15,152734
1601879100,900.05,902.2,900.0,900.3,79070
1601880300,900.3,900.4,898.1,899.35,125977
1601881500,899.35,900.4,898.0,898.35,91602
1601882700,898.35,899.1,897.1,897.75,86444
1601883900,897.95,899.0,897.1,898.75,82828
1601885100,898.9,899.7,897.75,898.45,76576
1601886300,898.45,899.55,898.0,898.75,72690
1601887500,899.1,901.0,898.0,899.45,82782
1601888700,899.5,899.95,897.0,897.6,92290
1601889900,897.95,898.5,895.05,898.0,238621
1601891100,897.65,898.9,895.5,896.7,267683
1601955900,901.05,903.8,896.0,903.3,333397
1601957100,903.7,904.55,899.1,900.25,165944
1601958300,900.25,903.7,899.85,901.7,167301
1601959500,901.5,903.2,900.45,902.6,86553
1601960700,902.6,903.0,900.0,900.6,59137
1601961900,900.55,901.8,898.15,898.6,90416
1601963100,898.55,900.15,898.1,899.0,117184
1601964300,899.05,899.45,897.4,897.85,382509
1601965500,897.8,898.0,896.0,896.55,141068
1601966700,896.55,897.0,894.1,895.65,210310
1601967900,895.3,895.85,894.35,895.05,120227
1601969100,895.0,895.6,892.1,893.05,185755
1601970300,893.0,893.0,890.0,891.0,195822
1601971500,891.0,893.55,890.85,892.0,117515
1601972700,892.0,893.4,891.35,891.65,92248
1601973900,892.05,892.2,888.25,891.45,233793
1601975100,891.5,893.65,891.0,891.2,169785
1601976300,891.1,893.5,891.0,892.8,313738
1601977500,892.8,894.5,891.5,894.0,307785
1602042300,895.0,895.0,885.75,889.05,435864
1602043500,889.05,890.45,886.4,886.8,246854
1602044700,886.8,890.0,886.6,889.0,351162
1602045900,889.0,890.0,887.1,888.45,213634
1602047100,888.3,889.4,886.25,886.55,128787
1602048300,886.9,886.95,882.2,883.15,270074
1602049500,883.15,883.2,880.0,881.75,393785
1602050700,881.75,882.0,876.8,878.15,362228
1602051900,878.3,880.0,877.6,878.7,171156
1602053100,878.75,880.0,878.05,879.9,118473
1602054300,879.95,882.65,879.0,879.05,167257
1602055500,879.05,880.45,878.0,878.2,174071
1602056700,878.25,878.65,876.2,877.15,204382
1602057900,877.0,879.4,876.05,879.4,204265
1602059100,879.4,879.95,876.6,877.6,190685
1602060300,877.3,882.0,877.1,881.4,299196
