datetime,open,high,low,close,volume
1601264700,898.0,917.5,893.0,914.15,1120186
1601266500,914.15,915.55,910.0,910.7,406972
1601268300,910.95,911.95,907.05,908.0,285579
1601270100,908.0,914.5,908.0,913.4,284788
1601271900,913.4,914.5,909.55,909.7,135171
1601273700,909.6,909.75,906.0,907.3,216300
1601275500,907.6,909.0,900.4,903.25,352449
1601277300,903.25,906.6,902.2,902.75,171588
1601279100,902.75,905.7,902.0,903.85,138068
1601280900,903.85,905.45,903.15,904.5,85251
1601282700,904.5,906.3,902.0,903.0,146828
1601284500,903.0,904.55,900.65,903.0,255603
1601286300,903.0,905.0,902.0,904.4,242760
1601351100,909.95,912.85,900.2,901.0,434084
1601352900,901.0,906.2,896.0,905.5,429581
1601354700,905.45,907.4,901.05,901.9,187532
1601356500,901.9,901.95,894.0,896.3,304113
1601358300,896.7,900.0,894.95,898.3,232096
1601360100,897.95,898.0,893.1,895.0,187629
1601361900,895.0,896.5,893.35,894.55,107450
1601363700,894.55,895.25,892.4,894.65,158869
1601365500,894.4,896.5,893.05,896.2,83952
1601367300,896.3,900.0,896.1,897.65,178538
1601369100,897.65,900.55,896.7,896.75,240999
1601370900,897.15,897.7,893.0,895.55,484391
1601372700,895.55,898.1,893.8,894.3,322948
1601437500,897.8,903.0,888.75,889.6,520309
1601439300,890.0,892.0,884.1,889.0,544869
1601441100,888.75,889.95,887.1,888.85,151054
1601442900,888.85,892.0,888.05,891.5,138536
1601444700,891.5,892.6,886.5,887.45,127174
1601446500,887.45,893.7,886.25,892.7,179166
1601448300,892.95,899.9,891.8,898.4,285712
1601450100,898.5,902.7,897.0,899.8,280831
1601451900,899.65,904.2,898.35,900.05,293006
1601453700,900.35,902.1,898.15,900.75,248206
1601455500,900.95,901.75,899.0,899.65,179068
1601457300,899.65,904.0,898.2,903.6,377856
1601459100,903.6,904.5,898.1,900.55,251599
1601523900,909.95,913.6,903.6,908.3,436661
1601525700,908.3,911.8,907.55,909.35,196425
1601527500,909.25,910.2,905.9,908.55,168891
1601529300,908.4,908.95,906.05,906.5,97749
1601531100,906.5,911.7,904.55,909.9,192060
1601532900,909.75,910.0,907.0,907.75,115949
1601534700,907.45,908.45,906.0,907.4,157786
1601536500,907.5,908.0,904.6,905.05,160336
1601538300,905.0,907.1,905.0,905.95,147465
1601540100,905.85,907.0,904.55,906.6,140878
1601541900,906.4,907.0,904.05,906.6,176048
1601543700,906.55,907.0,902.5,904.05,236750
1601545500,903.9,904.3,900.7,902.0,270068
1601869500,907.95,908.55,900.1,906.7,402511
1601871300,907.0,907.6,898.6,899.7,411828
1601873100,899.6,902.8,899.5,902.05,227679
1601874900,902.1,904.4,901.7,901.7,186179
1601876700,901.65,902.95,900.0,901.6,185615
1601878500,901.3,902.2,900.0,900.3,147698
1601880300,900.3,900.4,898.0,898.05,181525
1601882100,898.1,900.2,897.1,897.75,122498
1601883900,897.95,899.7,897.1,898.0,126076
1601885700,898.0,899.55,897.95,898.75,106018
1601887500,899.1,901.0,898.0,898.3,120579
1601889300,898.3,898.65,895.05,898.0,293114
1601891100,897.65,898.9,895.5,896.7,267683
1601955900,901.05,904.55,896.0,900.95,435319
1601957700,901.0,903.7,899.1,901.7,231323
1601959500,901.5,903.2,900.45,901.8,114537
1601961300,901.8,902.0,898.15,898.6,121569
1601963100,898.55,900.15,897.9,898.15,182690
1601964900,898.15,899.0,896.0,896.55,458071
1601966700,896.55,897.0,894.1,894.8,289317
1601968500,894.8,895.6,892.1,893.05,226975
1601970300,893.0,893.0,890.0,892.0,250324
1601972100,892.0,893.55,891.15,891.65,155261
1601973900,892.05,893.65,888.25,892.5,339621
1601975700,892.2,893.5,891.0,892.8,377695
1601977500,892.8,894.5,891.5,894.0,307785
1602042300,895.0,895.0,885.75,888.15,581253
1602044100,888.15,890.0,886.4,889.0,452627
1602045900,889.0,890.0,887.1,887.7,264776
1602047700,887.75,888.35,882.2,883.15,347719
1602049500,883.15,883.2,876.8,878.45,646715
1602051300,878.5,880.0,877.3,878.7,280454
1602053100,878.75,882.65,878.05,881.9,221331
1602054900,881.65,882.0,878.0,878.2,238470
1602056700,878.25,878.65,876.05,877.05,323094
1602058500,877.05,879.95,876.2,877.6,276238
1602060300,877.3,883.0,877.1,882.2,425371
1602062100,882.9,889.9,881.05,888.75,639860
1602063900,888.75,888.8,886.5,888.0,368955
1602128700,890.3,894.0,884.1,886.45,772172
1602130500,885.75,886.5,881.3,884.0,297554
1602132300,884.0,885.5,880.65,882.0,234591
1602134100,882.0,885.5,881.35,885.1,191298
1602135900,885.2,887.2,882.4,882.75,233631
1602137700,882.75,883.7,880.2,881.65,245573
1602139500,881.9,882.0,879.65,881.05,294432
1602141300,881.05,883.6,880.6,881.5,204225
1602143100,881.5,884.0,881.3,883.0,162077
1602144900,882.8,885.0,881.5,881.8,203111
