datetime,open,high,low,close,volume
1601264700,595.0,604.4,593.1,603.35,453441
1601265600,603.35,604.25,599.15,600.6,279576
1601266500,601.1,602.15,599.5,600.8,130726
1601267400,600.55,602.75,600.4,602.3,96511
1601268300,602.3,602.9,599.05,599.75,110202
1601269200,599.75,601.8,597.0,601.2,227861
1601270100,601.6,605.8,600.5,603.35,435254
1601271000,603.5,606.5,603.1,605.6,190460
1601271900,605.6,609.5,605.6,609.1,277002
1601272800,609.35,612.15,606.25,606.8,404532
1601273700,607.0,609.9,605.0,609.0,296910
1601274600,609.0,610.3,608.9,609.8,135950
1601275500,609.8,612.0,609.0,611.65,172044
1601276400,611.65,613.0,609.25,612.25,205896
1601277300,612.2,616.0,612.0,615.0,411859
1601278200,615.4,618.0,613.25,614.0,288668
1601279100,614.0,614.5,610.75,612.55,178128
1601280000,612.55,613.9,610.95,613.2,121423
1601280900,613.2,614.8,612.55,613.15,79835
1601281800,613.15,613.95,609.45,610.65,259565
1601282700,610.65,612.5,610.5,611.65,70201
1601283600,611.7,612.5,610.0,611.9,53767
1601284500,611.9,613.4,611.3,613.1,90925
1601285400,613.2,617.5,612.1,613.65,285852
1601286300,613.7,616.35,613.25,614.2,232962
1601351100,615.25,626.5,613.55,621.9,768391
1601352000,621.9,621.95,618.0,618.55,427682
1601352900,618.8,618.8,610.95,613.75,449870
1601353800,613.5,615.5,608.9,615.35,251332
1601354700,615.1,617.0,613.05,614.05,168994
1601355600,614.05,615.25,612.6,613.75,100801
1601356500,613.75,613.75,609.1,609.75,176683
1601357400,609.7,609.95,605.8,608.8,246461
1601358300,608.8,608.8,605.5,607.0,114194
1601359200,607.0,610.0,606.0,609.5,158907
1601360100,609.5,610.0,607.6,609.65,106427
1601361000,609.7,610.0,607.6,608.2,86392
1601361900,607.8,609.25,607.05,608.5,73823
1601362800,608.5,608.8,604.35,605.45,146915
1601363700,605.45,606.9,603.1,605.95,153379
1601364600,605.95,608.55,605.6,608.0,97252
1601365500,608.0,609.9,607.15,608.85,95684
1601366400,608.8,609.0,606.4,607.2,66768
1601367300,607.25,609.9,607.2,608.45,84491
1601368200,608.25,609.25,604.75,606.9,140645
1601369100,606.9,608.8,606.7,607.85,84770
1601370000,607.85,609.55,607.85,608.4,165788
1601370900,608.2,613.95,607.55,607.7,583907
1601371800,608.1,614.5,607.55,614.05,507410
1601372700,614.1,615.0,611.85,611.85,485825
1601437500,615.95,620.0,612.0,618.0,579654
1601438400,617.75,623.0,617.0,618.7,829779
1601439300,618.75,620.5,614.6,615.1,376021
1601440200,615.1,615.35,611.6,613.4,257428
1601441100,613.4,616.75,611.0,614.6,252039
1601442000,615.2,616.0,613.0,613.95,156028
1601442900,614.25,615.0,612.1,613.2,121625
1601443800,613.45,614.15,611.75,613.65,97728
1601444700,613.65,614.65,608.25,608.8,222663
1601445600,608.75,611.65,608.6,610.7,118048
1601446500,610.7,611.2,608.7,610.95,92183
1601447400,610.95,611.4,609.65,610.2,62891
1601448300,610.2,610.75,609.45,610.5,51689
1601449200,610.45,611.45,609.0,611.2,103514
1601450100,611.3,612.35,609.7,609.7,62976
1601451000,609.75,610.4,607.2,607.75,138823
1601451900,607.6,609.4,607.2,608.4,79321
1601452800,608.5,609.9,607.75,609.05,69384
1601453700,609.05,609.7,607.95,608.1,78161
1601454600,608.25,609.6,607.6,608.75,81393
1601455500,608.75,609.4,608.2,609.1,68780
1601456400,609.1,609.5,608.0,608.35,79115
1601457300,608.35,608.95,607.35,607.45,86626
1601458200,607.4,609.05,606.4,608.65,485407
1601459100,608.6,610.0,605.55,607.0,429837
1601523900,614.7,621.9,612.0,618.1,587480
1601524800,618.1,618.7,613.0,613.2,295808
1601525700,613.2,618.45,612.9,616.95,198661
1601526600,617.0,618.95,613.9,615.25,194891
1601527500,615.25,615.5,613.75,614.55,120786
1601528400,614.35,615.05,613.0,613.7,92032
1601529300,613.7,615.6,613.5,614.65,68423
1601530200,614.65,615.5,614.5,615.0,89450
1601531100,615.0,615.05,613.8,614.7,46055
1601532000,614.7,616.55,614.5,615.0,107280
1601532900,615.0,615.3,614.25,614.65,59970
1601533800,614.65,615.15,614.0,615.0,41749
1601534700,615.0,615.1,614.2,614.65,35990
1601535600,614.65,616.4,612.7,613.6,343371
1601536500,613.75,614.3,610.45,612.35,214986
1601537400,612.35,612.65,610.0,611.4,157984
1601538300,611.55,613.7,611.0,613.4,83140
1601539200,613.4,615.1,612.9,614.6,153832
1601540100,614.35,615.0,613.3,614.5,59197
1601541000,614.5,615.0,612.35,612.95,48062
1601541900,612.95,614.6,612.2,612.45,60758
1601542800,612.45,612.55,610.65,612.35,80346
1601543700,612.45,612.45,611.25,612.4,48755
1601544600,612.3,613.0,608.15,609.75,336475
1601545500,609.7,610.0,608.6,609.1,313574
1601869500,615.0,616.25,606.25,608.0,578699
1601870400,607.65,609.05,605.05,606.1,195779
1601871300,605.7,606.0,599.55,600.7,355055
1601872200,600.65,603.15,600.0,602.25,213862
1601873100,602.5,602.95,597.35,598.5,345209
1601874000,598.5,599.8,597.1,599.4,159546
1601874900,599.45,600.0,598.05,599.0,134506
1601875800,598.8,600.1,597.75,600.05,260268
1601876700,600.0,604.7,598.55,604.25,373394
1601877600,604.3,605.65,600.65,600.75,360814
1601878500,600.75,602.45,599.2,602.4,185769
1601879400,602.4,602.8,600.0,600.55,114765
1601880300,600.55,601.2,599.45,600.55,144307
1601881200,600.55,602.0,599.2,599.55,214527
1601882100,599.7,600.25,599.3,599.85,95000
1601883000,599.75,600.35,599.5,600.1,75674
1601883900,600.2,600.4,598.0,598.5,171035
1601884800,598.4,600.35,597.35,600.05,199073
1601885700,600.05,604.2,599.9,602.8,281453
1601886600,602.85,603.85,601.5,603.8,181485
1601887500,603.8,607.0,602.35,606.75,268790
1601888400,606.8,610.0,605.0,607.95,351053
1601889300,607.9,609.5,606.05,606.95,185284
1601890200,606.95,607.6,604.35,607.0,222388
1601891100,607.0,608.85,606.35,608.5,300179
1601955900,611.6,620.65,609.0,620.1,647402
1601956800,620.0,621.7,617.85,620.3,586990
1601957700,620.05,629.0,619.6,627.15,979081
1601958600,627.25,631.5,626.1,628.5,868387
1601959500,628.5,632.85,626.6,632.0,600212
1601960400,631.8,633.0,630.0,630.45,516738
1601961300,630.35,632.2,628.4,629.3,416563
1601962200,629.3,629.5,627.5,628.0,248611
1601963100,628.05,629.1,626.85,627.2,300667
1601964000,627.2,628.75,626.25,628.3,300994
1601964900,628.3,630.0,626.6,626.6,291948
1601965800,626.55,629.25,625.5,628.65,364360
1601966700,628.75,628.95,627.9,628.25,113711
1601967600,628.25,629.5,628.0,628.3,151738
1601968500,628.3,630.25,628.05,630.0,217172
1601969400,630.0,631.4,628.65,629.1,158532
1601970300,629.1,629.65,628.4,629.4,86510
1601971200,629.25,630.85,628.2,630.55,181609
1601972100,630.6,631.0,628.1,629.05,150190
1601973000,629.05,630.4,627.1,627.9,234223
1601973900,627.4,629.0,626.6,627.65,144022
1601974800,627.65,629.55,627.65,628.75,149400
1601975700,628.75,629.4,626.25,626.3,308298
1601976600,626.7,628.0,626.0,626.7,463599
1601977500,627.0,630.0,625.75,628.1,585532
1602042300,629.9,631.75,625.0,629.1,495918
1602043200,629.3,635.2,628.7,634.8,699156
1602044100,634.9,636.9,633.3,634.0,565184
1602045000,633.85,634.9,631.35,633.9,355929
1602045900,633.9,635.0,632.85,633.1,176362
1602046800,633.1,635.5,633.1,634.75,163788
1602047700,635.0,636.0,632.15,633.0,310877
1602048600,633.05,633.1,629.05,629.35,353246
1602049500,629.3,629.85,626.65,629.0,363271
1602050400,629.0,630.0,628.0,628.85,130712
1602051300,628.85,629.65,627.0,627.25,111867
1602052200,627.25,628.0,625.75,627.95,151171
1602053100,627.95,630.65,627.95,629.5,111456
1602054000,629.5,631.0,629.5,630.75,102674
1602054900,630.75,631.55,629.2,629.8,115642
1602055800,629.85,630.0,628.1,629.6,67099
1602056700,629.6,630.5,629.1,630.0,129073
1602057600,630.0,630.0,627.0,627.75,184666
1602058500,627.75,630.0,627.65,629.5,121767
1602059400,629.7,631.5,628.35,631.25,184794
1602060300,631.25,633.3,631.0,632.45,386327
1602061200,632.45,633.85,632.1,632.55,164630
1602062100,632.3,632.55,630.35,630.7,155104
1602063000,630.95,632.55,630.6,631.85,196576
1602063900,631.9,632.4,630.1,631.5,280026
1602128700,634.15,640.95,630.6,637.9,666281
1602129600,638.4,640.0,633.1,634.35,460605
1602130500,634.05,635.0,632.8,634.55,144786
1602131400,634.55,637.85,633.15,637.05,187002
1602132300,637.05,638.85,633.5,634.0,193820
1602133200,634.3,634.8,631.45,632.55,164799
1602134100,632.8,633.0,631.3,631.7,133700
1602135000,631.7,631.9,630.1,630.6,155394
1602135900,630.6,633.0,627.6,627.95,200361
1602136800,628.0,630.0,627.65,629.8,119176
1602137700,629.8,630.8,628.85,630.7,102971
1602138600,630.7,633.0,630.25,631.0,225386
1602139500,631.0,631.5,629.45,629.9,88913
1602140400,629.9,632.45,629.55,630.0,158357
1602141300,630.0,631.45,629.55,629.8,75463
1602142200,629.8,630.0,629.0,629.4,92413
1602143100,629.4,631.0,629.15,630.6,93243
1602144000,630.55,632.4,630.5,631.0,123212
1602144900,631.0,633.3,629.2,630.3,205497
