datetime,open,high,low,close,volume
1601264700,85.6,86.8,85.1,86.7,1275687
1601265300,86.6,87.1,86.45,86.9,1136119
1601265900,86.9,87.65,86.85,87.35,1430169
1601266500,87.35,87.45,86.85,87.2,688935
1601267100,87.2,87.5,87.1,87.45,1008210
1601267700,87.45,87.85,87.4,87.8,918729
1601268300,87.8,87.9,87.45,87.5,527665
1601268900,87.55,87.75,87.25,87.3,486583
1601269500,87.3,87.8,87.3,87.75,440245
1601270100,87.75,88.25,87.7,87.7,1016826
1601270700,87.7,87.9,87.5,87.65,540240
1601271300,87.65,87.9,87.55,87.7,279551
1601271900,87.7,87.8,87.5,87.75,287750
1601272500,87.75,87.85,87.4,87.45,459904
1601273100,87.45,87.6,87.1,87.1,497730
1601273700,87.1,87.5,86.85,87.35,857559
1601274300,87.35,87.45,87.25,87.4,129362
1601274900,87.35,87.85,87.3,87.85,378018
1601275500,87.8,87.8,87.5,87.5,246859
1601276100,87.5,87.8,87.5,87.5,299899
1601276700,87.5,87.55,87.2,87.4,347866
1601277300,87.4,87.4,87.15,87.25,366887
1601277900,87.25,87.6,87.15,87.5,284372
1601278500,87.55,87.6,87.3,87.35,251867
1601279100,87.35,87.4,87.1,87.15,265765
1601279700,87.1,87.2,86.9,87.0,545398
1601280300,87.05,87.4,87.05,87.35,323803
1601280900,87.35,87.5,87.25,87.5,410072
1601281500,87.5,87.55,87.35,87.4,288825
1601282100,87.4,87.45,87.25,87.3,157002
1601282700,87.3,87.6,87.25,87.45,325941
1601283300,87.45,87.5,86.9,87.05,1384809
1601283900,87.05,87.1,86.65,86.85,831288
1601284500,86.85,87.0,86.55,87.0,652596
1601285100,87.0,87.2,86.75,87.0,604401
1601285700,87.05,87.65,87.0,87.6,1402485
1601286300,87.65,87.95,87.5,87.7,1097067
1601286900,87.65,87.8,87.65,87.8,259855
1601351100,88.5,88.9,87.3,87.65,2108031
1601351700,87.65,87.65,86.85,87.1,1323345
1601352300,87.1,87.25,86.7,86.7,632493
1601352900,86.7,86.9,86.35,86.8,740138
1601353500,86.8,87.05,86.65,86.9,372702
1601354100,87.0,87.15,86.9,86.95,293483
1601354700,86.95,87.2,86.7,87.1,604720
1601355300,87.15,87.45,87.0,87.15,373524
1601355900,87.15,87.2,86.75,87.0,427947
1601356500,87.0,87.0,86.75,86.75,223820
1601357100,86.75,86.9,86.4,86.45,510274
1601357700,86.45,86.55,86.2,86.5,353244
1601358300,86.5,86.65,86.3,86.65,193596
1601358900,86.65,86.7,86.55,86.6,162477
1601359500,86.6,86.85,86.4,86.85,433322
1601360100,86.85,86.95,86.65,86.85,255204
1601360700,86.85,86.85,86.7,86.75,165681
1601361300,86.75,86.85,86.65,86.75,209634
1601361900,86.7,86.8,86.6,86.8,132991
1601362500,86.8,86.8,86.6,86.7,177131
1601363100,86.75,86.75,86.15,86.25,605229
1601363700,86.15,86.25,85.7,85.95,715451
