datetime,open,high,low,close,volume
1601264700,85.6,87.85,85.1,87.8,6457849
1601268300,87.8,88.25,87.25,87.7,3291110
1601271900,87.7,87.85,86.85,87.85,2610323
1601275500,87.8,87.8,87.15,87.35,1797750
1601279100,87.35,87.55,86.9,87.3,1990865
1601282700,87.3,87.65,86.55,87.6,5201520
1601286300,87.65,87.95,87.5,87.8,1356922
1601351100,88.5,88.9,86.35,86.95,5470192
1601354700,86.95,87.45,86.2,86.5,2493529
1601358300,86.5,86.95,86.3,86.75,1419914
1601361900,86.7,86.8,85.65,85.7,2102650
1601365500,85.65,86.15,85.6,85.9,1404319
1601369100,85.9,86.15,85.05,85.35,4253452
1601372700,85.35,85.45,84.65,85.0,4117815
1601437500,85.6,85.7,83.85,83.9,4942479
1601441100,83.9,84.4,83.75,83.95,2099480
1601444700,83.95,84.1,83.4,83.7,2379582
1601448300,83.7,84.4,83.6,84.15,1816415
1601451900,84.2,84.5,84.05,84.15,1829254
1601455500,84.15,85.85,83.9,85.6,3844423
1601459100,85.6,85.8,84.95,84.95,1534575
1601523900,85.8,85.8,84.75,85.15,6495140
1601527500,85.2,85.25,84.6,84.8,2410817
1601531100,84.8,85.05,84.65,84.9,1387034
1601534700,84.9,85.1,84.7,84.8,1319517
1601538300,84.85,85.05,84.5,84.9,2276117
1601541900,84.9,85.1,84.7,84.95,2828391
1601545500,84.95,85.0,84.65,84.75,1494356
1601869500,85.0,85.45,84.65,84.75,4940388
1601873100,84.75,84.9,84.4,84.45,1356385
1601876700,84.45,84.55,83.8,83.9,2260839
1601880300,83.9,84.35,83.85,84.1,1317808
1601883900,84.1,84.45,84.0,84.4,1377088
1601887500,84.4,84.7,84.3,84.4,3515854
1601891100,84.4,84.6,84.1,84.2,879787
1601955900,84.45,84.65,83.65,84.0,3875889
1601959500,84.0,84.0,83.75,83.95,806229
1601963100,83.95,84.25,83.8,84.05,2067557
1601966700,84.05,84.15,83.8,83.95,1210076
1601970300,83.9,84.15,83.85,83.9,1783174
1601973900,83.9,84.3,83.8,84.15,2130046
1601977500,84.2,84.25,84.0,84.2,1201250
1602042300,84.2,84.25,83.3,83.7,5866835
1602045900,83.7,83.8,83.35,83.35,2328755
1602049500,83.35,83.5,83.0,83.0,2806699
1602053100,83.0,83.15,82.9,82.9,1653740
1602056700,82.9,83.05,82.7,82.95,1764211
1602060300,82.95,83.05,82.85,82.95,2444818
1602063900,82.95,83.0,82.25,82.65,2171829
1602128700,83.1,83.35,82.65,82.8,3482484
1602132300,82.85,83.35,82.8,83.1,2154081
1602135900,83.05,83.2,82.9,83.15,1350711
1602139500,83.15,83.2,82.9,82.95,725584
1602143100,82.95,83.2,82.9,82.9,1021714
1602146700,82.95,83.0,82.45,82.7,2187424
1602150300,82.65,82.7,82.35,82.65,1022664
1602215100,82.85,83.05,82.25,82.4,3476850
1602218700,82.35,82.45,81.85,81.9,2995705
1602222300,81.9,82.1,81.8,81.8,2386293
1602225900,81.8,82.55,81.65,82.3,3209974
1602229500,82.3,82.5,82.05,82.4,1702628
1602233100,82.4,83.0,82.3,82.9,3058324
1602236700,82.85,83.15,82.75,83.1,1163697
1602474300,83.65,84.55,83.25,83.4,4137541
1602477900,83.35,83.6,82.85,82.9,1532088
1602481500,82.95,83.55,82.85,83.15,1118125
1602485100,83.15,83.65,83.05,83.15,1016500
1602488700,83.15,83.3,82.65,83.15,1385761
1602492300,83.15,83.15,82.7,82.85,1404816
1602495900,82.8,82.9,82.4,82.55,1094058
1602560700,82.8,83.4,82.4,82.95,4043259
1602564300,82.95,83.1,82.8,82.85,1524661
1602567900,82.85,83.15,82.8,83.0,767052
1602571500,83.0,83.0,82.55,82.8,793797
1602575100,82.8,82.85,82.5,82.85,1118197
1602578700,82.8,82.85,82.45,82.8,2150869
1602582300,82.8,82.9,82.4,82.9,1082983
1602647100,82.8,83.05,79.85,80.15,6982283
1602650700,80.1,80.15,79.05,79.1,5330929
1602654300,79.1,79.3,78.6,79.05,7928321
1602657900,79.05,79.1,78.2,78.3,6260310
