datetime,open,high,low,close,volume
1601264700,69.45,73.7,69.25,73.25,21595989
1601279100,73.25,73.25,71.65,72.1,6713196
1601351100,72.5,72.7,69.1,69.2,11350168
1601365500,69.2,69.9,68.9,69.45,9409770
1601437500,69.4,70.45,67.6,68.75,11848954
1601451900,68.75,70.05,68.35,69.1,8191991
1601523900,67.5,68.8,66.65,68.4,14909576
1601538300,68.4,69.4,68.1,68.9,5809493
1601869500,69.0,69.55,68.4,69.15,7716573
1601883900,69.15,69.7,69.0,69.15,4826320
1601955900,70.0,70.2,69.05,69.15,7253520
1601970300,69.15,69.5,69.0,69.3,2729011
1602042300,69.3,72.6,69.1,70.3,26149538
1602056700,70.35,73.35,70.0,70.75,23890722
1602128700,70.9,71.0,68.3,68.55,15165563
1602143100,68.55,68.95,68.25,68.55,6127578
1602215100,69.0,70.25,68.25,69.5,13176672
1602229500,69.5,70.6,69.35,69.9,12511683
1602474300,70.3,70.6,69.15,69.4,6742183
1602488700,69.4,69.7,68.8,69.2,3774679
1602560700,69.1,69.75,68.8,69.35,6182229
1602575100,69.4,69.45,68.85,69.2,2864486
1602647100,68.5,68.8,66.65,66.9,15146121
1602661500,66.9,67.3,66.8,67.0,9631104
1602733500,67.0,68.5,66.9,67.0,10531827
1602747900,67.0,67.05,65.7,66.0,6760868
1602819900,66.65,67.3,66.0,66.4,12413151
1602834300,66.4,67.55,66.3,67.4,6136759
1603079100,67.35,70.45,67.35,69.7,20119194
1603093500,69.7,69.85,69.05,69.5,5828099
1603165500,69.5,69.75,67.5,67.55,11350611
1603179900,67.5,67.7,67.25,67.5,7127176
1603251900,68.0,68.6,67.5,68.15,11532471
1603266300,68.15,68.15,67.0,68.05,8012242
1603338300,67.4,69.1,67.3,68.85,11607844
1603352700,68.85,69.1,68.55,68.85,14717671
1603424700,69.2,69.6,68.6,68.8,7572282
1603439100,68.8,69.25,68.65,69.0,5576821
1603683900,69.5,69.5,67.65,68.1,9476701
1603698300,68.1,68.5,67.85,68.15,4714486
1603770300,68.1,68.45,66.5,67.1,8426327
1603784700,67.1,67.35,66.7,66.95,8633441
1603856700,67.25,67.4,66.15,66.3,9442244
1603871100,66.35,66.55,66.1,66.5,5546599
1603943100,66.05,66.35,64.1,64.3,18308325
1603957500,64.3,64.6,64.1,64.5,11536231
1604029500,65.0,65.9,64.2,64.5,17345505
1604043900,64.5,65.15,64.35,64.8,8410886
1604288700,65.4,65.6,64.2,65.2,7285348
1604303100,65.2,66.05,64.9,65.7,5518294
1604375100,66.0,66.75,65.7,66.25,6241686
1604389500,66.25,66.55,66.0,66.4,4520108
1604461500,66.3,66.9,65.9,66.1,7344774
1604475900,66.05,66.85,65.6,66.5,5099278
1604547900,66.9,68.1,66.2,67.45,11525351
1604562300,67.45,67.9,67.2,67.55,6392212
1604634300,67.7,68.2,67.2,67.75,5589374
1604648700,67.75,68.15,67.5,67.95,4882068
1604893500,68.65,68.65,67.8,68.3,5027064
1604907900,68.35,68.6,68.1,68.4,3409968
1604979900,69.05,70.45,68.5,69.95,22576395
1604994300,69.95,71.0,69.1,70.85,11092489
1605066300,71.45,72.35,70.55,71.8,16726442
1605080700,71.75,72.7,71.4,72.65,6747001
