datetime,open,high,low,close,volume
1601264700,69.45,73.0,69.25,72.9,12803326
1601271900,72.9,73.7,72.35,73.25,8792663
1601279100,73.25,73.25,71.65,71.9,5444667
1601286300,71.85,72.15,71.7,72.1,1268529
1601351100,72.5,72.7,69.8,70.1,7064830
1601358300,70.1,70.3,69.1,69.2,4285338
1601365500,69.2,69.9,68.9,69.2,7119526
1601372700,69.15,69.45,69.1,69.45,2290244
1601437500,69.4,70.45,68.1,68.35,7238667
1601444700,68.35,69.15,67.6,68.75,4610287
1601451900,68.75,70.05,68.35,69.3,6807440
1601459100,69.3,69.45,69.0,69.1,1384551
1601523900,67.5,68.75,66.65,68.45,12099498
1601531100,68.45,68.8,68.25,68.4,2810078
1601538300,68.4,69.4,68.1,69.15,4500978
1601545500,69.15,69.3,68.9,68.9,1308515
1601869500,69.0,69.55,68.4,68.8,4660607
1601876700,68.75,69.55,68.5,69.15,3055966
1601883900,69.15,69.7,69.0,69.2,3976684
1601891100,69.2,69.35,69.0,69.15,849636
1601955900,70.0,70.2,69.25,69.45,4220899
1601963100,69.45,69.8,69.05,69.15,3032621
1601970300,69.15,69.45,69.0,69.3,1996170
1601977500,69.3,69.5,69.3,69.3,732841
1602042300,69.3,72.6,69.1,70.7,19466662
1602049500,70.75,71.25,70.3,70.3,6682876
1602056700,70.35,73.35,70.25,70.45,19902391
1602063900,70.45,70.9,70.0,70.75,3988331
1602128700,70.9,71.0,68.55,69.0,10860417
1602135900,69.0,69.1,68.3,68.55,4305146
1602143100,68.55,68.95,68.25,68.4,4514615
1602150300,68.4,68.55,68.3,68.55,1612963
1602215100,69.0,69.3,68.25,68.6,5649814
1602222300,68.65,70.25,68.55,69.5,7526858
1602229500,69.5,70.6,69.35,70.5,8566853
1602236700,70.5,70.55,69.85,69.9,3944830
1602474300,70.3,70.6,69.25,69.35,4653876
1602481500,69.35,69.9,69.15,69.4,2088307
1602488700,69.4,69.7,69.05,69.15,2781649
1602495900,69.15,69.2,68.8,69.2,993030
1602560700,69.1,69.75,68.8,69.65,4212125
1602567900,69.7,69.75,69.05,69.35,1970104
1602575100,69.4,69.45,68.85,69.2,2125597
1602582300,69.2,69.25,68.9,69.2,738889
1602647100,68.5,68.8,66.7,67.15,10607823
1602654300,67.1,67.35,66.65,66.9,4538298
1602661500,66.9,67.3,66.8,67.05,6715386
1602668700,67.05,67.15,66.9,67.0,2915718
1602733500,67.0,68.5,67.0,67.35,6652929
1602740700,67.35,67.5,66.9,67.0,3878898
1602747900,67.0,67.05,65.8,65.95,5296121
1602755100,65.95,66.0,65.7,66.0,1464747
1602819900,66.65,67.3,66.0,66.25,8419564
1602827100,66.2,66.75,66.05,66.4,3993587
1602834300,66.4,67.4,66.3,67.15,5143214
1602841500,67.15,67.55,67.1,67.4,993545
1603079100,67.35,70.45,67.35,69.0,16340459
1603086300,69.0,69.8,68.9,69.7,3778735
1603093500,69.7,69.85,69.05,69.35,4390832
1603100700,69.3,69.5,69.25,69.5,1437267
1603165500,69.5,69.75,67.7,67.9,8318588
1603172700,67.9,67.9,67.5,67.55,3032023
1603179900,67.5,67.7,67.3,67.3,5003815
1603187100,67.35,67.5,67.25,67.5,2123361
1603251900,68.0,68.25,67.5,68.2,6488268
1603259100,68.15,68.6,67.95,68.15,5044203
1603266300,68.15,68.15,67.0,67.85,6518836
1603273500,67.85,68.15,67.7,68.05,1493406
1603338300,67.4,69.1,67.3,68.75,8189133
1603345500,68.75,69.0,68.5,68.85,3418711
1603352700,68.85,69.1,68.55,68.75,10191535
1603359900,68.75,69.05,68.75,68.85,4526136
1603424700,69.2,69.6,68.6,68.8,5377233
1603431900,68.8,69.05,68.6,68.8,2195049
1603439100,68.8,69.1,68.65,69.1,3645300
1603446300,69.05,69.25,68.85,69.0,1931521
1603683900,69.5,69.5,68.7,69.0,5080391
1603691100,69.0,69.0,67.65,68.1,4396310
1603698300,68.1,68.5,67.85,68.25,3775750
1603705500,68.25,68.3,68.05,68.15,938736
1603770300,68.1,68.45,66.5,67.2,6138574
1603777500,67.2,67.5,67.0,67.1,2287753
1603784700,67.1,67.35,66.7,66.85,6602241
1603791900,66.85,66.95,66.8,66.95,2031200
1603856700,67.25,67.4,66.15,67.1,6179538
