datetime,open,high,low,close,volume
1601264700,90.79,93.16,90.79,92.23,2601256
1601267400,92.2,93.75,92.06,93.61,2067341
1601270100,93.61,94.68,93.52,94.57,2109510
1601272800,94.57,94.62,93.44,93.95,1272081
1601275500,93.95,93.95,93.21,93.89,990437
1601278200,93.89,93.95,93.02,93.61,943278
1601280900,93.61,94.93,93.52,94.68,3426249
1601283600,94.68,95.33,94.48,94.79,2134325
1601286300,94.82,95.08,94.68,94.68,1306592
1601351100,95.3,95.53,93.07,93.24,2298109
1601353800,93.24,93.58,92.85,93.55,937164
1601356500,93.55,93.81,93.21,93.72,1359971
1601359200,93.72,93.81,93.1,93.13,888291
1601361900,93.13,93.27,92.65,92.79,1903499
1601364600,92.79,92.79,92.09,92.23,883411
1601367300,92.23,92.57,92.11,92.42,816030
1601370000,92.4,92.74,92.09,92.2,2555651
1601372700,92.23,92.26,91.64,91.78,1769826
1601437500,91.89,92.06,90.85,90.9,2669218
1601440200,90.9,91.07,90.56,90.9,1757499
1601442900,90.96,90.96,90.56,90.65,1292214
1601445600,90.65,90.82,90.39,90.73,1105268
1601448300,90.7,90.99,90.65,90.76,886617
1601451000,90.76,91.04,90.62,90.99,883070
1601453700,90.96,91.35,90.96,91.3,1179004
1601456400,91.3,91.78,91.02,91.72,2733670
1601459100,91.72,91.95,91.55,91.69,1794995
1601523900,92.9,92.9,91.8,92.14,1968642
1601526600,92.14,92.34,91.8,92.06,874701
1601529300,92.06,93.33,92.0,92.9,4417023
1601532000,92.9,92.99,92.54,92.76,1422819
1601534700,92.76,93.61,92.51,93.44,1422313
1601537400,93.44,93.61,93.16,93.21,923174
1601540100,93.21,93.27,92.11,92.2,1938919
1601542800,92.2,92.96,92.2,92.88,1195896
1601545500,92.9,92.99,92.57,92.62,622968
1601869500,92.48,93.83,92.45,92.82,1548993
1601872200,92.85,93.13,92.59,92.85,753569
1601874900,92.85,93.19,92.74,92.74,627986
1601877600,92.76,92.96,92.14,92.28,882835
1601880300,92.28,92.45,91.75,92.28,1165143
1601883000,92.28,92.65,92.2,92.34,945893
1601885700,92.34,92.59,92.09,92.31,1298363
1601888400,92.31,92.42,91.64,91.75,1723354
1601891100,91.8,91.89,91.44,91.75,1362157
1601955900,91.97,92.45,91.27,91.66,1562653
1601958600,91.69,92.26,91.66,92.03,842749
1601961300,92.03,92.14,91.66,91.83,494152
1601964000,91.83,91.92,91.66,91.89,562995
1601966700,91.89,92.17,91.64,92.03,1124418
1601969400,92.0,92.65,92.0,92.59,702076
1601972100,92.57,92.71,92.03,92.51,1373476
1601974800,92.48,92.51,91.83,91.97,1671676
1601977500,92.0,92.42,91.92,92.17,618657
1602042300,91.92,92.03,91.07,91.21,4036536
1602045000,91.27,91.35,90.87,90.96,1588317
1602047700,90.93,91.33,90.93,91.21,1530982
1602050400,91.21,91.3,90.45,90.68,1855183
1602053100,90.68,90.79,90.11,90.28,1452648
1602055800,90.28,90.45,89.77,89.83,1726417
1602058500,89.83,90.17,89.66,89.83,1402565
1602061200,89.83,90.23,89.77,90.06,2407450
1602063900,90.06,90.17,89.77,89.94,1552200
1602128700,90.34,90.39,89.46,89.94,2129879
1602131400,89.94,89.97,89.72,89.94,842967
1602134100,89.94,90.85,89.89,90.03,3676225
1602136800,90.03,90.06,89.66,89.77,655269
1602139500,89.77,90.08,89.61,89.83,857006
1602142200,89.83,90.23,89.66,90.17,1002618
1602144900,90.17,90.39,89.66,89.75,838920
1602147600,89.75,89.83,89.13,89.35,1905560
1602150300,89.32,89.35,89.1,89.27,995518
1602215100,89.49,89.86,88.36,89.13,3477916
1602217800,89.1,89.72,88.9,89.52,1733792
1602220500,89.52,89.58,88.96,89.15,703784
1602223200,89.15,89.24,88.99,89.1,473852
1602225900,89.1,89.38,88.93,89.15,816777
1602228600,89.15,89.21,88.56,88.84,1159119
1602231300,88.84,89.13,88.7,89.07,881303
1602234000,89.07,89.3,88.82,89.13,1950365
1602236700,89.15,89.21,88.93,89.21,738134
1602474300,89.77,91.44,89.41,91.41,3897782
1602477000,91.38,91.47,90.17,90.79,3285957
1602479700,90.79,91.07,90.59,91.02,1273414
1602482400,91.02,91.33,90.82,91.16,1677074
1602485100,91.16,91.8,90.96,91.64,2619142
1602487800,91.64,91.66,90.42,90.65,2943726
1602490500,90.65,91.13,90.59,90.79,1464658
1602493200,90.79,91.27,90.0,90.11,2234891
1602495900,90.14,90.17,89.8,89.97,1197311
1602560700,90.23,90.85,89.77,90.85,2685788
1602563400,90.82,91.07,90.79,90.9,1501036
1602566100,90.9,91.3,90.85,91.1,826817
1602568800,91.1,91.35,90.68,90.79,1301847
1602571500,90.82,90.82,90.23,90.45,1057417
1602574200,90.45,90.68,90.37,90.56,418640
1602576900,90.56,90.76,90.31,90.62,1102260
1602579600,90.62,90.76,90.37,90.51,1439320
1602582300,90.51,90.7,90.28,90.7,771480
1602647100,90.48,90.68,88.36,88.82,2721552
1602649800,88.82,89.01,88.56,88.62,697627
1602652500,88.62,88.62,88.14,88.25,888064
1602655200,88.25,88.79,88.25,88.7,1242099
1602657900,88.7,88.82,88.62,88.62,745836
1602660600,88.59,88.62,88.34,88.62,467683
1602663300,88.62,88.93,88.56,88.87,1030639
1602666000,88.87,89.07,88.36,88.56,3468828
1602668700,88.53,88.76,88.39,88.53,2048207
1602733500,88.31,88.56,87.18,88.03,4453763
1602736200,87.97,88.17,87.66,88.11,1613478
1602738900,88.17,88.31,87.74,87.97,2123182
1602741600,87.97,88.05,87.83,87.94,813231
1602744300,87.97,88.03,87.86,87.91,452735
1602747000,87.91,87.97,87.63,87.94,719572
1602749700,87.94,88.22,87.89,88.2,1656290
1602752400,88.2,88.28,87.83,87.94,2280460
1602755100,87.94,88.0,87.24,87.35,1347084
1602819900,88.03,89.21,87.6,88.39,5325833
1602822600,88.42,88.79,88.25,88.59,1492646
1602825300,88.59,89.04,88.51,89.01,1066374
1602828000,89.01,89.61,88.67,89.52,1487821
1602830700,89.49,89.75,89.3,89.35,843739
1602833400,89.35,89.92,89.35,89.8,1041393
1602836100,89.8,90.31,89.77,90.25,1612756
1602838800,90.23,90.9,89.49,89.63,3884942
1602841500,89.63,89.83,89.44,89.66,1847354
1603079100,90.2,91.58,89.94,91.41,3680179
1603081800,91.41,91.47,90.25,90.62,1959169
1603084500,90.62,91.04,89.89,90.17,1730588
1603087200,90.17,90.37,89.92,90.37,1347420
1603089900,90.37,90.79,90.31,90.56,2610981
1603092600,90.56,90.7,90.14,90.28,1186455
1603095300,90.28,90.34,90.11,90.28,1338404
1603098000,90.28,90.31,89.92,89.97,3073643
1603100700,89.97,90.34,89.94,90.23,1788567
1603165500,90.23,90.45,89.63,90.23,2481130
1603168200,90.23,90.34,90.11,90.23,1449216
1603170900,90.23,90.25,90.17,90.25,895893
1603173600,90.25,90.25,89.89,90.03,1133978
1603176300,90.03,90.17,89.89,90.08,663761
1603179000,90.06,90.08,88.84,88.93,1887939
1603181700,88.93,89.1,88.7,88.82,1531929
1603184400,88.76,88.87,88.48,88.62,2568018
1603187100,88.62,88.76,88.56,88.7,1028295
1603251900,88.87,89.35,88.67,89.32,2099075
1603254600,89.3,89.89,89.24,89.86,1403314
1603257300,89.86,91.35,89.86,91.07,2598621
1603260000,91.07,92.48,91.04,92.42,3573910
1603262700,92.45,93.69,92.11,92.68,8353895
1603265400,92.68,92.74,91.16,91.8,5317153
1603268100,91.78,91.8,90.85,91.3,3565817
1603270800,91.3,92.48,91.27,92.4,6221344
1603273500,92.34,92.82,92.28,92.82,3324357
1603338300,91.44,92.14,90.9,91.3,4792916
1603341000,91.27,91.75,90.93,91.49,3208171
1603343700,91.49,92.85,91.35,92.31,4315370
1603346400,92.31,92.59,91.66,92.23,2920587
1603349100,92.23,92.4,91.49,91.86,1249284
1603351800,91.86,92.71,91.64,92.45,1973333
1603354500,92.45,92.9,92.14,92.57,2721556
1603357200,92.57,93.36,92.14,93.33,9867716
