datetime,open,high,low,close,volume
1601264700,90.79,94.68,90.79,93.61,9285672
1601279100,93.61,95.33,93.02,94.68,7565397
1601351100,95.3,95.53,92.34,92.4,7813722
1601365500,92.4,92.74,91.64,91.78,5598230
1601437500,91.89,92.06,90.39,90.68,7959624
1601451900,90.7,91.95,90.62,91.69,6341931
1601523900,92.9,93.61,91.8,93.33,10237364
1601538300,93.33,93.61,92.11,92.62,4549091
1601869500,92.48,93.83,91.75,92.34,5236613
1601883900,92.37,92.65,91.44,91.75,5071680
1601955900,91.97,92.45,91.27,92.03,4694963
1601970300,92.03,92.71,91.83,92.17,4257889
1602042300,91.92,92.03,90.08,90.23,10857946
1602056700,90.23,90.45,89.66,89.94,6694352
1602128700,90.34,90.85,89.46,89.8,8432948
1602143100,89.8,90.39,89.1,89.27,4471014
1602215100,89.49,89.86,88.36,89.15,7339862
1602229500,89.15,89.3,88.56,89.21,4595180
1602474300,89.77,91.8,89.41,91.18,13831969
1602488700,91.16,91.27,89.8,89.97,6761986
1602560700,90.23,91.35,89.77,90.54,7598176
1602575100,90.56,90.76,90.28,90.7,3506429
1602647100,90.48,90.68,88.14,88.45,6513252
1602661500,88.45,89.07,88.36,88.53,6797283
1602733500,88.31,88.56,87.18,87.66,9742350
1602747900,87.66,88.28,87.24,87.35,5717445
1602819900,88.03,89.75,87.6,89.66,10437232
1602834300,89.66,90.9,89.44,89.66,8165626
1603079100,90.2,91.58,89.89,90.59,11721978
1603093500,90.59,90.59,89.92,90.23,6993428
1603165500,90.23,90.45,89.63,90.06,6980585
1603179900,90.06,90.08,88.48,88.7,6659574
1603251900,88.87,93.69,88.67,92.65,18944756
1603266300,92.65,92.82,90.85,92.82,17512730
1603338300,91.44,92.85,90.9,92.31,17133076
1603352700,92.31,93.55,91.97,92.71,21743670
1603424700,93.1,95.81,92.88,95.41,19927113
1603439100,95.41,96.65,95.3,95.81,9113779
1603683900,95.89,97.53,95.67,96.96,23697380
1603698300,96.96,97.27,96.34,96.99,12939455
1603770300,97.02,98.88,96.71,97.33,12740194
1603784700,97.33,98.49,97.05,98.26,10774669
1603856700,98.43,98.43,96.74,97.16,7504882
1603871100,97.16,97.84,96.99,97.27,6479191
1603943100,96.46,97.73,96.46,97.05,11704135
1603957500,97.05,97.25,96.01,96.54,5862164
1604029500,96.15,96.54,95.47,96.09,13952794
1604043900,96.09,96.99,95.67,96.54,8865871
1604288700,97.3,98.35,96.96,97.33,7543357
1604303100,97.36,98.04,97.13,98.04,5816269
1604375100,98.12,101.31,98.04,100.94,15753611
1604389500,100.94,101.9,100.94,101.5,11578094
1604461500,101.48,101.5,98.49,98.8,15669176
1604475900,98.88,100.12,98.71,99.76,3638004
1604547900,100.38,101.0,99.59,100.74,5907406
1604562300,100.74,101.39,99.81,100.77,4291727
1604634300,100.52,100.97,99.87,100.71,5409747
1604648700,100.71,101.19,100.12,100.69,3376602
1604893500,101.45,102.83,101.0,101.98,9366492
1604907900,101.98,104.15,101.96,103.39,5813695
1604979900,103.37,104.97,102.38,104.72,9960128
1604994300,104.72,105.37,103.87,104.8,3807502
1605066300,103.7,105.71,103.7,105.34,9467456
1605080700,105.34,107.71,105.14,107.09,5910587
1605152700,107.43,107.68,106.41,106.81,15395269
1605167100,106.81,107.12,105.54,106.78,10566041
1605239100,106.35,107.12,105.0,107.09,7036891
1605253500,107.09,107.12,106.13,106.47,4885750
1605354300,106.58,107.09,105.45,106.1,1154685
1605584700,105.45,106.72,104.97,105.23,9537721
1605599100,105.23,105.76,104.8,105.17,7235735
1605671100,105.34,106.97,105.11,105.2,9384107
1605685500,105.2,105.37,104.18,104.3,7249020
1605757500,100.66,110.67,100.6,110.67,27149622
1605771900,110.58,111.2,106.24,107.26,37119505
1605843900,109.12,109.4,106.64,107.28,18344292
1605858300,107.31,108.67,107.0,108.02,8794822
1606103100,108.27,110.47,107.43,109.34,15165292
1606117500,109.34,110.22,109.09,109.82,5647127
1606189500,109.96,111.49,108.98,109.79,9092942
1606203900,109.79,110.44,109.12,110.02,6132936
1606275900,109.68,111.34,109.43,111.09,12661380
1606290300,111.12,111.23,109.15,109.77,7122960
1606362300,110.05,110.56,108.75,109.37,16726044
1606376700,109.37,112.3,109.34,111.26,8065226
1606448700,111.46,111.46,109.12,109.57,12763587
1606463100,109.57,110.78,106.41,107.76,33831538
1606794300,109.88,110.78,108.27,109.31,9066693
1606808700,109.37,109.57,108.07,108.78,9077947
1606880700,108.75,109.06,106.89,108.47,10504034
1606895100,108.47,110.08,108.16,109.68,5281427
1606967100,109.96,110.02,107.71,107.96,13814892
1606981500,107.96,109.37,107.88,108.95,7413537
1607053500,109.51,111.06,109.12,109.57,9573048
1607067900,109.57,109.82,108.69,109.6,5210956
1607312700,108.84,111.23,108.55,109.4,14618487
1607327100,109.4,109.96,108.89,109.09,7383860
1607399100,109.4,109.74,108.52,109.17,7689854
1607413500,109.2,109.2,107.76,108.16,8146108
1607485500,108.78,109.79,107.76,109.54,11571384
1607499900,109.57,109.82,108.27,108.81,7061996
1607571900,108.84,110.19,107.99,108.52,9000860
1607586300,108.52,109.03,108.27,108.55,4562947
1607658300,109.4,110.1,108.69,109.0,10388811
1607672700,109.0,109.26,108.36,108.98,4414350
1607917500,110.53,111.09,108.72,109.2,13561616
1607931900,109.23,109.79,109.09,109.68,6586669
1608003900,109.62,109.79,107.9,108.3,9832614
1608018300,108.3,109.06,108.27,108.84,6177847
1608090300,109.79,111.01,108.58,109.43,27416419
1608104700,109.43,110.78,109.4,110.67,7476559
1608176700,109.0,110.19,108.05,109.29,15980138
1608191100,109.29,109.65,108.78,109.15,6835647
1608263100,109.0,109.68,108.38,109.09,6733444
1608277500,109.12,109.85,108.3,109.0,13502151
1608522300,108.84,108.95,106.3,106.69,7574901
1608536700,106.69,106.81,104.01,104.61,13963736
1608608700,104.58,106.89,104.32,106.83,15152396
1608623100,106.83,107.74,106.44,107.4,8662737
1608695100,107.99,108.1,106.58,107.12,5876122
1608709500,107.14,107.62,106.81,107.2,3913528
1608781500,107.28,108.41,106.83,107.14,5495100
1608795900,107.14,107.28,107.06,107.14,5808255
1609127100,107.26,108.44,107.14,107.76,4184448
1609141500,107.76,108.19,107.59,107.71,2665241
1609213500,108.05,108.64,106.89,107.14,3530517
1609227900,107.09,107.31,106.58,106.86,4989078
1609299900,107.14,107.4,106.07,106.21,2751285
1609314300,106.21,107.51,105.34,107.14,16311751
1609386300,107.43,107.71,106.04,106.35,3925489
1609400700,106.35,107.37,106.07,106.41,19271225
1609472700,106.58,107.09,106.3,106.72,1847629
1609487100,106.69,107.0,106.64,107.0,1216406
1609731900,107.14,107.37,106.07,106.18,4070434
1609746300,106.18,106.35,106.02,106.33,3020922
1609731900,107.14,107.37,106.07,106.18,4070434
1609746300,106.18,106.35,106.02,106.33,3020922
1609818300,106.86,106.86,105.0,105.68,5566238
1609832700,105.68,106.35,105.42,106.3,4697442
1609904700,106.02,109.91,105.45,109.74,36164928
1609919100,109.77,111.43,109.46,110.64,17924942
1609991100,111.65,113.8,111.26,111.94,26005391
1610005500,111.91,112.33,110.24,111.03,13894833
1610077500,112.08,115.04,111.4,114.45,17313913
1610091900,114.47,115.01,113.68,114.93,12042733
1610336700,115.04,115.6,113.94,114.11,7942950
1610351100,114.05,115.07,113.6,114.81,4707934
1610423100,113.37,115.26,112.75,115.12,19864245
1610437500,115.12,115.46,114.5,114.87,11485413
1610509500,114.93,116.5,114.25,116.22,16173160
1610523900,116.28,116.28,114.81,115.6,7558931
1610595900,116.14,117.01,114.95,115.29,5622157
1610610300,115.26,115.94,114.81,115.4,6349047
1610682300,115.01,115.94,114.5,115.43,8706181
1610696700,115.43,116.02,114.19,114.47,4772569
1610941500,113.49,113.91,110.44,111.99,14669751
1610955900,111.99,112.16,109.71,109.93,11365416
1611027900,110.27,111.96,110.1,111.68,5448871
1611042300,111.71,112.78,111.49,112.22,13863035
1611114300,112.78,113.12,111.2,111.26,12560600
1611128700,111.29,112.16,110.05,110.22,8467108
1611200700,110.78,111.49,110.05,110.36,6588205
1611215100,110.36,110.58,109.48,110.19,5853468
1611287100,109.96,110.7,109.0,109.0,10469724
1611301500,109.0,110.19,108.84,109.85,6181242
1611546300,109.65,110.98,106.92,107.76,6230219
1611560700,107.76,107.93,106.95,107.14,3123732
1611719100,107.14,108.41,106.75,108.1,6154560
1611733500,108.05,109.6,107.03,107.71,12576033
1611805500,107.68,107.68,104.77,105.28,7493926
1611819900,105.23,105.99,105.11,105.73,8503084
1611891900,106.41,106.58,104.07,104.44,5650632
1611906300,104.38,104.8,103.2,103.7,7711413
1612136700,104.01,104.01,104.01,104.01,8313
1612151100,104.55,105.85,102.91,105.34,4939195
1612165500,105.4,106.83,105.4,106.69,4466950
1612237500,107.71,110.33,106.69,109.79,7290556
1612251900,109.79,110.22,109.17,109.74,3463456
1612323900,109.68,117.55,109.68,117.29,40196534
1612338300,117.32,118.42,115.09,116.0,33013861
1612410300,116.45,117.1,115.26,116.28,19524070
1612424700,116.22,116.36,115.15,116.17,3886348
1612496700,115.97,116.28,113.49,115.66,18457681
1612511100,115.66,117.46,115.63,116.53,10182427
1612755900,116.45,119.44,116.0,117.07,17062464
1612770300,117.07,120.34,117.04,119.27,11277940
1612842300,118.42,122.62,118.42,120.82,20664324
1612856700,120.79,121.04,118.45,118.62,6944870
1612928700,118.73,120.68,116.73,119.32,23363254
1612943100,119.38,119.69,117.97,118.28,10694312
1613015100,117.77,120.62,117.49,120.0,13664837
1613029500,120.03,121.13,119.86,120.87,6741612
1613101500,123.5,123.5,118.73,120.17,19023295
1613115900,120.17,120.4,119.32,119.58,5840860
1613360700,120.68,121.49,119.3,119.94,4943977
1613375100,119.97,120.28,119.3,120.0,3610999
1613447100,120.34,127.78,120.28,127.67,34511716
1613461500,127.59,129.64,126.51,127.08,45431969
1613533500,127.16,130.01,125.3,128.77,23428057
1613547900,128.85,130.38,128.54,129.67,15312875
1613619900,130.26,134.38,128.85,133.65,31882615
1613634300,133.73,133.93,132.1,132.66,12294069
1613706300,131.67,133.14,128.99,131.05,24814118
1613720700,131.05,131.39,130.46,131.11,11362002
1613965500,131.08,131.9,126.37,126.77,17848029
1613979900,126.77,127.39,126.09,126.6,7862851
1614051900,127.3,129.19,126.68,127.92,11720426
1614066300,127.92,128.8,126.94,127.44,6508285
1614138300,127.53,128.68,125.92,126.77,7367950
1614152700,126.88,127.42,124.96,125.53,4022770
1614224700,126.15,131.11,124.51,130.85,19572593
1614239100,130.91,131.28,127.87,128.46,11013955
1614311100,124.91,128.15,122.37,122.62,14828117
1614325500,122.62,123.86,119.1,120.34,23058221
1614570300,122.65,127.11,122.59,126.88,19111081
1614584700,126.85,129.02,126.57,129.02,12202216
1614656700,129.14,129.33,126.12,126.34,12226056
1614671100,126.34,127.59,125.95,127.16,5855128
1614743100,129.7,129.78,126.15,128.6,14103447
1614757500,128.51,128.57,127.5,128.29,5087292
1614829500,125.78,129.67,125.78,128.23,15759040
1614843900,128.23,128.43,126.49,127.36,7006788
1614915900,127.44,127.44,124.79,126.09,11342264
1614930300,126.09,126.46,123.69,124.82,5910683
1615175100,122.85,126.26,122.37,125.67,10862482
1615189500,125.64,125.75,123.24,123.67,4781703
1615261500,124.34,125.24,120.45,120.54,7230842
1615275900,120.54,122.17,120.25,121.52,5249166
1615347900,122.93,123.47,120.96,121.21,6833131
1615362300,121.21,121.78,120.68,121.24,3743309
1615520700,121.64,124.48,121.47,123.95,11009414
1615535100,123.95,124.57,123.55,123.95,7079236
1615779900,124.62,126.88,123.92,126.6,18629165
1615794300,126.68,127.73,125.84,126.06,11384812
1615866300,126.96,128.12,126.12,126.23,8757256
1615880700,126.23,126.88,126.03,126.6,5947738
1615952700,126.85,126.88,124.34,125.41,6947225
1615967100,125.41,125.61,123.69,124.29,5580159
1616039100,124.62,126.03,124.6,125.39,5126706
1616053500,125.39,125.47,124.15,124.71,9038941
1616125500,125.13,129.42,123.58,128.99,32043528
1616139900,128.99,130.88,128.4,129.05,38075567
1616384700,132.18,132.18,126.15,126.8,18198565
1616399100,126.82,126.88,125.3,125.53,10637886
1616471100,126.06,126.32,123.78,124.03,21608720
1616485500,124.0,124.57,123.21,123.5,16681867
1616557500,122.4,125.95,122.31,125.27,13389454
1616571900,125.24,126.26,124.0,124.51,10891552
1616643900,124.65,125.98,122.14,122.71,14516263
1616658300,122.71,123.05,121.44,122.2,5703440
1616730300,123.69,125.19,119.63,120.76,15509763
1616744700,120.82,121.33,120.11,120.62,9576870
1617075900,122.31,125.44,121.47,125.3,15440217
1617090300,125.3,126.15,123.55,124.6,37610113
1617162300,124.0,124.68,121.04,122.17,12884334
1617176700,122.2,122.31,121.27,121.58,7727752
1617248700,122.17,122.93,121.1,122.43,7865652
1617263100,122.43,123.69,122.43,122.79,3306684
1617594300,121.35,123.5,120.31,121.38,9517396
1617608700,121.38,122.2,120.4,121.04,4870610
1617680700,121.35,123.5,120.34,120.82,10464714
1617695100,120.82,120.85,117.58,118.28,14752865
1617767100,118.93,121.92,118.17,121.18,12786641
1617781500,121.18,121.21,118.45,118.93,9815144
1617853500,119.52,120.4,119.07,119.92,9068932
1617867900,119.83,120.11,117.58,117.66,11301252
1617939900,118.08,119.24,117.41,118.28,7418957
1617954300,118.25,118.48,117.29,117.8,4290748
1618199100,116.53,116.53,111.94,113.23,12274785
1618213500,113.21,114.14,112.81,113.63,6165828
1618285500,115.69,117.49,114.16,116.59,12739102
1618299900,116.62,118.08,116.17,117.86,6998277
1618458300,117.24,119.21,116.76,117.52,5888915
1618472700,117.52,118.22,116.81,117.1,4218057
1618544700,117.01,121.13,116.87,120.73,12394855
1618559100,120.73,120.73,117.86,118.25,9552811
1618803900,116.08,116.73,114.36,114.7,7098380
1618818300,114.7,114.93,112.78,113.46,11225688
1618890300,115.6,115.6,113.71,114.93,6148128
1618904700,114.93,116.0,114.08,114.28,8212895
1619063100,115.04,115.55,113.46,114.7,6808217
1619077500,114.73,115.01,114.33,114.78,4735891
1619149500,115.21,120.06,115.04,119.35,27041896
1619163900,119.32,119.41,118.53,118.93,11120674
1619408700,117.41,120.96,117.41,120.76,11571683
1619423100,120.76,122.06,120.28,121.69,7406522
1619495100,121.83,124.34,121.69,122.4,11207952
1619509500,122.45,122.79,121.89,121.95,3992254
1619581500,123.38,123.89,121.97,123.86,8003021
1619595900,123.81,125.02,123.5,124.74,8290449
1619667900,125.81,126.12,123.52,123.61,6192922
1619682300,123.67,124.48,123.61,124.0,8438650
1619754300,122.79,125.36,122.17,124.12,10001834
1619768700,124.12,124.85,123.84,124.26,6819381
1620013500,122.65,125.67,122.23,124.79,11096408
1620027900,124.74,125.47,123.95,124.57,4364131
1620099900,124.85,125.02,122.93,122.93,13790742
1620114300,122.93,123.44,122.2,122.93,6999557
1620186300,122.96,124.26,122.37,123.05,18571136
1620200700,123.05,123.33,122.26,123.21,4500618
1620272700,123.19,123.72,121.04,121.07,10600099
1620287100,121.07,121.86,120.45,121.86,8175985
1620359100,122.0,122.26,120.4,121.35,7500125
1620373500,121.35,122.03,120.71,120.76,4950053
1620618300,121.47,123.33,121.21,122.4,8143542
1620632700,122.4,124.15,122.26,123.92,9640776
1620704700,124.06,125.1,123.16,123.98,11930758
1620719100,123.98,126.99,123.38,125.92,10939874
1620791100,125.98,132.52,125.98,128.46,45706922
1620805500,128.46,128.85,125.78,127.44,9737543
1620963900,128.43,128.43,126.23,127.75,9526066
1620978300,127.75,129.7,127.61,129.05,9188393
1621223100,130.24,130.26,128.29,128.4,6365994
