datetime,open,high,low,close,volume
1601264700,184.0,184.65,183.35,184.4,2029742
1601265000,184.4,185.6,184.4,185.4,1612443
1601265300,185.35,185.75,184.8,184.85,1135392
1601265600,184.85,185.65,184.8,185.6,853075
1601265900,185.55,186.15,185.45,185.85,1261188
1601266200,185.85,186.1,185.25,185.3,904262
1601266500,185.3,185.7,184.8,185.5,933181
1601266800,185.5,185.5,184.9,185.1,416084
1601267100,185.15,185.4,184.9,185.25,342505
1601267400,185.25,185.4,185.05,185.1,307974
1601267700,185.15,185.85,185.05,185.75,563516
1601268000,185.8,185.95,185.3,185.5,521090
1601268300,185.5,185.65,185.0,185.2,427511
1601268600,185.2,185.55,184.95,184.95,411325
1601268900,184.9,185.3,184.55,184.6,512173
1601269200,184.55,185.0,184.5,184.8,385696
1601269500,184.7,185.35,184.7,185.2,268559
1601269800,185.25,185.5,185.15,185.3,281574
1601270100,185.25,187.4,185.0,186.65,2281291
1601270400,186.4,187.1,186.3,186.6,1278847
1601270700,186.6,186.75,186.15,186.45,614297
1601271000,186.5,186.9,186.4,186.65,432893
1601271300,186.75,187.05,186.6,186.9,462516
1601271600,186.9,187.75,186.9,187.25,1034344
1601271900,187.25,187.4,186.5,186.7,754906
1601272200,186.7,187.1,186.5,186.9,366925
1601272500,186.85,187.35,186.75,187.2,463574
1601272800,187.25,187.45,187.0,187.25,331875
1601273100,187.2,187.45,186.9,187.15,534688
1601273400,187.2,187.25,186.7,186.7,405324
1601273700,186.75,186.9,186.45,186.6,624590
1601274000,186.55,187.0,186.3,186.45,365787
1601274300,186.5,186.9,186.45,186.75,244081
1601274600,186.75,186.85,186.5,186.7,158545
1601274900,186.7,186.95,186.6,186.9,234648
1601275200,186.9,187.0,186.65,186.85,356263
1601275500,186.8,186.9,186.5,186.7,239244
1601275800,186.65,186.7,186.3,186.4,399000
1601276100,186.45,186.8,186.4,186.6,187772
1601276400,186.6,186.85,186.3,186.35,272725
1601276700,186.35,186.4,186.1,186.15,383845
1601277000,186.3,186.45,185.7,186.0,626150
1601277300,186.05,186.4,186.0,186.4,317304
1601277600,186.3,186.4,185.9,186.1,328468
1601277900,186.0,186.6,186.0,186.45,265122
1601278200,186.4,187.35,186.4,187.05,896077
1601278500,187.05,187.25,186.8,187.05,422106
1601278800,187.0,187.3,186.75,187.2,474360
1601279100,187.2,187.2,186.9,187.15,305713
1601279400,187.2,187.25,187.0,187.15,259337
1601279700,187.15,187.5,187.1,187.25,530152
1601280000,187.3,187.3,186.5,186.7,496704
1601280300,186.65,186.9,186.5,186.75,262413
1601280600,186.85,186.9,186.55,186.6,219444
1601280900,186.6,186.8,186.55,186.6,141997
1601281200,186.65,187.1,186.5,187.05,261041
1601281500,187.0,187.4,187.0,187.2,379001
1601281800,187.2,187.45,187.05,187.15,451994
1601282100,187.2,187.3,186.6,186.7,463537
1601282400,186.65,187.0,186.25,187.0,562746
1601282700,187.0,187.35,186.8,186.85,366155
1601283000,186.85,187.15,186.85,186.85,261627
1601283300,186.85,187.2,186.75,187.05,352933
1601283600,187.05,187.95,186.95,187.8,908422
1601283900,187.8,188.15,187.35,187.45,799469
1601284200,187.45,187.5,187.05,187.2,343666
1601284500,187.25,187.5,187.0,187.1,277677
1601284800,187.1,187.45,187.05,187.3,201405
1601285100,187.3,187.3,186.85,187.1,371520
1601285400,187.1,187.95,187.0,187.45,635003
1601285700,187.35,187.5,187.0,187.3,957496
1601286000,187.3,187.3,187.0,187.15,1029250
1601286300,187.05,187.4,187.0,187.4,1097167
1601286600,187.3,187.45,187.05,187.25,546454
1601286900,187.2,187.5,187.15,187.5,430139
1601351100,188.5,188.95,188.1,188.7,2011030
1601351400,188.7,188.9,187.8,187.95,982396
1601351700,187.85,187.9,186.6,186.7,1172853
1601352000,186.65,186.75,185.45,185.65,1338625
1601352300,185.55,185.9,185.05,185.55,887147
1601352600,185.7,186.1,185.55,185.95,567784
1601352900,185.95,185.95,185.2,185.65,438068
1601353200,185.6,185.6,184.3,184.9,1187095
1601353500,184.85,185.2,184.3,184.75,514421
1601353800,184.8,184.85,184.35,184.6,377291
1601354100,184.6,185.0,184.4,184.6,365135
1601354400,184.6,185.2,184.5,185.0,360000
1601354700,185.0,185.55,184.75,185.35,503253
1601355000,185.3,185.7,185.3,185.7,406303
