datetime,open,high,low,close,volume
1601264700,495.0,498.55,488.5,495.0,5064845
1601275500,494.9,512.0,494.6,509.2,6522110
1601286300,509.15,511.4,508.45,509.25,622193
1601351100,517.85,517.85,506.25,509.95,5465040
1601361900,509.9,512.5,505.05,506.2,2541114
1601372700,506.2,507.1,504.5,505.2,558602
1601437500,508.0,516.2,506.2,508.25,6402149
1601448300,508.25,508.35,498.3,500.2,5654351
1601459100,500.05,501.2,499.75,500.6,914993
1601523900,505.1,508.5,501.3,506.05,3333073
1601534700,506.05,510.5,504.55,507.15,2987414
1601545500,507.15,508.0,506.2,507.55,398549
1601869500,507.0,513.4,503.8,510.0,3219255
1601880300,510.0,524.0,507.45,524.0,4651652
1601891100,523.95,525.1,522.8,524.2,950082
1601955900,526.0,527.2,519.35,525.2,4682920
1601966700,524.8,527.6,521.5,522.15,3241628
1601977500,521.95,522.25,519.0,521.1,585026
1602042300,516.1,522.9,509.2,511.0,4953744
1602053100,511.0,515.8,509.65,512.25,2707192
1602063900,512.25,512.35,510.5,512.0,665407
1602128700,514.6,520.75,511.75,517.65,3756346
1602139500,517.65,526.0,516.35,524.75,4990958
1602150300,524.75,525.0,522.55,523.3,631160
1602215100,525.0,529.3,516.2,517.15,5593126
1602225900,517.15,517.85,511.05,513.0,4814057
1602236700,513.0,513.3,511.5,513.0,1045311
1602474300,514.9,517.35,509.6,512.15,4009423
1602485100,512.15,515.35,509.3,513.85,2649833
1602495900,514.0,515.0,513.4,513.5,422866
1602560700,514.0,519.95,511.65,514.6,3980731
1602571500,514.6,514.85,502.0,503.5,4100358
1602582300,503.5,504.0,501.6,503.5,761366
1602647100,503.15,507.5,495.25,498.4,3551757
1602657900,498.4,503.3,493.3,502.2,3648921
1602668700,502.25,503.0,501.15,501.65,428754
1602733500,504.7,504.7,496.7,497.5,3145184
1602744300,497.45,497.7,489.05,490.3,2825730
1602755100,490.15,491.0,489.0,491.0,620033
1602819900,491.0,494.75,485.25,488.6,5231133
1602830700,488.45,491.75,485.9,487.55,3302613
1602841500,487.55,487.6,486.0,486.7,543081
1603079100,489.95,490.9,483.1,484.2,2502367
1603089900,484.5,484.5,480.9,484.3,2131201
1603100700,484.3,484.8,483.5,484.5,514139
1603165500,484.95,488.55,480.4,484.8,3320057
1603176300,484.8,487.9,484.55,486.7,1612870
1603187100,486.55,486.9,485.55,486.65,609118
1603251900,489.0,489.8,483.6,487.55,3121699
1603262700,487.5,491.95,481.5,491.0,3554175
1603273500,491.0,492.2,490.75,491.2,583389
1603338300,491.2,491.4,481.7,486.65,3774345
