datetime,open,high,low,close,volume
1601264700,507.69,509.57,504.23,507.15,147356
1601265000,506.7,507.0,504.13,504.63,115011
1601265300,504.63,506.21,500.92,502.75,146328
1601265600,502.45,504.63,501.76,504.18,60975
1601265900,504.33,505.12,502.26,502.75,29831
1601266200,502.75,503.49,501.76,502.55,32383
1601266500,502.41,502.85,500.78,501.17,43936
1601266800,501.17,502.11,500.97,501.76,29131
1601267100,501.76,501.76,500.87,501.17,26509
1601267400,501.12,501.76,500.28,501.02,51075
1601267700,501.02,501.71,500.73,501.62,24298
1601268000,500.82,501.32,499.84,500.18,39220
1601268300,500.03,500.38,499.44,500.23,28410
1601268600,500.38,501.76,500.28,501.42,36484
1601268900,501.42,501.76,500.78,501.17,19420
1601269200,501.17,501.17,500.28,501.02,10554
1601269500,501.02,501.76,499.99,500.58,36883
1601269800,500.58,501.52,500.53,500.78,163997
1601270100,500.78,501.76,500.78,501.42,53649
1601270400,501.42,501.76,498.8,499.64,54806
1601270700,499.34,500.03,497.37,498.21,49345
1601271000,498.21,500.78,498.21,499.79,199581
1601271300,500.03,500.68,499.2,500.08,131310
1601271600,500.13,500.28,499.84,500.13,12843
1601271900,500.13,500.78,499.79,500.63,33275
1601272200,500.63,500.73,499.84,500.53,22957
1601272500,500.53,501.37,499.79,500.13,49480
1601272800,500.13,501.52,499.1,500.03,32036
1601273100,500.03,501.42,500.03,501.02,15128
1601273400,500.97,501.66,500.97,501.27,15044
1601273700,501.27,501.52,500.73,501.12,40446
1601274000,501.12,501.76,500.38,500.43,34094
1601274300,500.48,501.27,499.64,499.79,33336
1601274600,500.23,500.78,499.64,500.33,12080
1601274900,500.33,500.78,499.79,500.58,27827
1601275200,500.82,501.71,500.43,500.53,40050
1601275500,500.53,501.02,499.84,499.99,9227
1601275800,500.18,500.28,499.79,499.99,12135
1601276100,499.94,500.28,498.95,499.29,28686
1601276400,499.29,499.79,498.31,498.8,24758
1601276700,498.8,500.13,498.31,499.54,20630
1601277000,499.54,500.28,499.05,500.03,12264
1601277300,500.03,500.68,499.79,500.28,15156
1601277600,500.28,500.58,499.39,499.89,14284
1601277900,499.54,500.58,499.49,500.03,16025
1601278200,499.99,500.73,499.94,500.48,19477
1601278500,500.23,500.78,500.03,500.48,35340
1601278800,500.18,500.78,499.89,500.73,31364
1601279100,500.78,500.78,500.48,500.78,35894
