datetime,open,high,low,close,volume
1601264700,128.9,131.45,127.5,131.45,10041961
1601265900,131.45,131.75,130.6,131.75,4281422
1601267100,131.7,132.7,131.45,132.45,4469589
1601268300,132.45,132.6,131.7,132.0,2490811
1601269500,132.05,133.95,132.0,133.5,6281474
1601270700,133.5,134.3,133.3,134.05,3415437
1601271900,134.1,134.25,133.3,133.4,2787015
1601273100,133.4,133.9,132.5,133.1,3439084
1601274300,133.15,133.85,133.05,133.7,1676771
1601275500,133.65,133.9,132.9,132.95,2103193
1601276700,132.95,133.25,132.2,132.65,3501740
1601277900,132.65,133.6,132.5,133.2,2893394
1601279100,133.15,133.65,132.5,132.75,2539534
1601280300,132.65,133.45,132.65,133.15,1626140
1601281500,133.15,133.45,132.65,133.1,1368386
1601282700,133.2,133.3,132.8,133.25,1198790
1601283900,133.25,133.4,132.8,132.85,1569641
1601285100,132.85,133.15,132.5,132.8,3002981
1601286300,132.85,133.25,132.5,133.1,3062588
1601351100,134.95,136.0,133.0,133.2,13083375
1601352300,133.25,133.9,132.3,132.8,5335183
1601353500,132.8,133.3,131.7,133.3,4372398
1601354700,133.4,133.6,132.55,133.25,4398791
1601355900,133.3,133.7,132.4,132.7,3397369
1601357100,132.6,132.95,130.95,131.55,4532469
1601358300,131.55,131.55,130.7,131.4,2665000
1601359500,131.4,132.15,131.1,131.95,1947034
1601360700,131.95,132.5,131.8,132.0,1404518
1601361900,132.05,132.4,131.6,132.1,1377705
1601363100,132.1,132.15,131.05,131.55,1846958
1601364300,131.55,131.8,131.3,131.45,830066
1601365500,131.4,131.7,131.1,131.2,999382
1601366700,131.25,132.2,130.9,132.1,2221312
1601367900,132.1,132.2,131.45,131.9,1617706
1601369100,131.9,132.55,131.8,132.55,2728755
1601370300,132.55,132.55,131.7,131.75,2157117
1601371500,131.8,131.95,131.2,131.7,4074382
1601372700,131.65,132.1,131.4,131.95,4158485
1601437500,131.55,133.0,130.3,132.8,6572321
1601438700,132.8,132.9,131.3,131.45,3405577
1601439900,131.5,131.7,130.9,131.45,2207962
1601441100,131.4,132.6,131.3,132.0,3090003
1601442300,132.0,132.4,131.8,131.95,1609906
1601443500,131.95,132.6,131.8,132.2,1893945
1601444700,132.2,133.0,131.65,131.75,2777138
1601445900,131.75,132.0,131.5,131.8,1538161
1601447100,131.8,132.6,131.6,132.15,1648030
1601448300,132.15,132.7,132.0,132.55,1162152
1601449500,132.65,134.4,132.5,134.15,5310808
1601450700,134.2,134.25,133.45,133.5,2955500
1601451900,133.5,134.3,133.4,133.7,2531263
1601453100,133.7,134.2,133.6,134.05,1595838
1601454300,134.05,134.15,133.7,133.95,1359479
1601455500,134.0,134.1,133.5,133.8,1530404
1601456700,133.8,133.95,133.5,133.65,1647181
1601457900,133.55,133.7,132.85,133.15,3446909
1601459100,133.2,133.8,133.1,133.4,2443931
1601523900,135.9,135.9,134.6,135.2,5415716
1601525100,135.05,136.5,134.7,136.3,4129851
1601526300,136.3,136.5,135.9,136.1,3312795
1601527500,136.1,136.2,135.6,136.05,1619071
1601528700,136.05,136.15,135.1,135.25,1983717
1601529900,135.25,135.45,134.7,134.95,2233379
1601531100,135.0,135.4,134.75,135.25,1262304
1601532300,135.25,135.35,134.8,134.85,1206235
1601533500,134.85,135.2,134.75,134.95,902553
1601534700,134.9,135.25,134.85,135.05,645150
1601535900,135.05,135.1,134.25,134.4,2039220
1601537100,134.45,134.6,134.2,134.4,1080452
1601538300,134.45,134.5,133.8,134.35,1440295
1601539500,134.45,134.5,133.5,133.75,1333989
1601540700,133.75,134.25,133.65,133.9,1052469
1601541900,133.9,134.05,133.0,133.05,1776901
1601543100,133.0,133.45,132.55,133.0,2285636
1601544300,132.9,133.8,132.85,133.45,3321529
1601545500,133.45,133.95,133.25,133.8,3373699
1601869500,136.95,137.5,135.3,135.5,9257804
1601870700,135.55,135.85,133.85,134.05,4894185
1601871900,134.1,134.75,133.5,134.75,3571980
1601873100,134.75,135.15,134.25,134.25,2447945
1601874300,134.25,134.65,134.05,134.25,1769990
1601875500,134.2,134.8,133.9,134.3,1546680
1601876700,134.35,134.7,134.3,134.3,976476
1601877900,134.35,134.5,133.1,133.4,2127134
1601879100,133.35,133.9,133.2,133.45,1374025
1601880300,133.45,133.6,133.05,133.15,1260111
1601881500,133.15,133.7,133.05,133.6,1397825
1601882700,133.6,133.85,132.55,132.85,2276734
1601883900,132.8,133.1,132.05,132.5,2512545
1601885100,132.5,133.35,132.3,133.15,1833905
1601886300,133.15,133.65,132.7,133.5,1938713
1601887500,133.5,134.2,133.2,134.0,3295755
1601888700,134.05,135.4,133.85,134.7,5789466
1601889900,134.65,134.75,133.4,133.7,3406160
1601891100,133.7,134.3,133.55,134.15,3367834
1601955900,138.0,141.95,136.0,141.5,25570860
