datetime,open,high,low,close,volume
1601264700,35.99,36.28,35.57,36.17,69919860
1601275500,36.17,36.49,35.91,36.14,45564500
1601286300,36.13,36.17,36.02,36.13,6707760
1601351100,36.5,36.94,36.17,36.62,91463310
1601361900,36.62,37.18,36.33,37.01,78178060
1601372700,37.01,37.09,36.92,36.95,9044690
1601437500,37.1,37.15,35.87,36.07,67460390
1601448300,36.07,36.32,35.82,35.99,53623130
1601459100,35.99,36.0,35.8,35.87,8358240
1601523900,36.43,37.03,36.32,36.82,53878990
1601534700,36.82,36.99,36.4,36.51,36526140
1601545500,36.52,36.55,36.41,36.49,4957200
1601869500,37.01,38.55,36.95,38.17,118051000
1601880300,38.16,38.34,37.81,38.16,63508290
1601891100,38.16,38.5,38.15,38.3,14049860
1601955900,38.68,38.73,37.73,37.83,68783310
1601966700,37.83,37.92,37.31,37.79,64989050
1601977500,37.79,37.83,37.7,37.78,8777440
1602042300,37.6,37.93,37.22,37.29,52133230
1602053100,37.29,37.45,37.03,37.17,38275200
1602063900,37.16,37.19,37.0,37.05,6303190
1602128700,37.45,38.3,37.36,37.54,90179090
1602139500,37.57,37.87,37.17,37.38,44247460
1602150300,37.39,37.4,37.31,37.38,6481100
1602215100,37.6,38.7,37.42,37.53,144685350
1602225900,37.53,37.58,36.71,37.03,62849170
1602236700,37.02,37.22,36.87,37.14,12355520
1602474300,37.35,37.72,36.37,36.38,70681920
1602485100,36.4,37.35,36.25,37.08,76216880
1602495900,37.08,37.11,37.0,37.05,10456820
1602560700,37.2,37.63,36.97,37.19,66061290
1602571500,37.18,37.21,36.71,36.94,44734420
1602582300,36.93,36.98,36.67,36.74,8085490
1602647100,37.04,37.45,36.96,37.15,78340870
1602657900,37.15,37.59,37.0,37.5,59165140
1602668700,37.5,37.73,37.48,37.63,11127350
1602733500,38.1,38.6,37.74,38.1,137708120
1602744300,38.1,38.86,37.15,37.34,168266690
1602755100,37.35,37.53,37.22,37.26,9847080
1602819900,37.71,38.28,37.52,38.22,90712330
1602830700,38.22,39.53,38.13,39.38,176424700
1602841500,39.4,39.59,39.32,39.38,21137640
1603079100,39.76,40.0,39.18,39.64,86351910
1603089900,39.64,39.9,39.35,39.63,52284130
1603100700,39.62,39.66,39.52,39.6,8231000
1603165500,39.2,39.74,38.98,39.19,57039240
1603176300,39.19,39.45,38.96,39.26,46383140
1603187100,39.26,39.28,39.13,39.15,5857950
1603251900,39.63,40.75,39.44,40.68,123844070
1603262700,40.68,40.8,39.48,40.48,131448650
1603273500,40.49,40.58,40.31,40.32,8025860
1603338300,40.19,41.33,40.01,41.19,105044050
1603349100,41.19,41.36,40.56,41.03,92617740
1603359900,41.0,41.22,41.0,41.12,10955780
1603424700,41.3,42.44,41.22,42.35,162639270
