datetime,open,high,low,close,volume
1601264700,507.69,509.57,499.84,500.18,746053
1601268300,500.03,501.76,497.37,500.13,797282
1601271900,500.13,501.76,499.1,500.53,355753
1601275500,500.53,501.02,498.31,500.73,239346
1601279100,500.78,505.96,500.48,502.01,601279
1601282700,502.01,515.59,499.89,511.15,2011549
1601286300,510.75,512.97,507.69,509.96,723372
1601351100,513.22,520.53,502.75,504.78,1217536
1601354700,504.78,505.02,499.54,502.75,550283
1601358300,503.24,504.08,499.79,501.32,502719
1601361900,501.32,503.39,497.71,497.81,466572
1601365500,497.76,499.94,495.19,498.55,612624
1601369100,498.55,502.06,496.53,497.61,893143
1601372700,497.66,498.31,493.96,495.84,604572
1601437500,500.78,509.17,496.43,499.0,2133849
1601441100,499.0,500.78,497.86,498.65,517679
1601444700,498.65,499.79,495.15,498.01,518513
1601448300,498.01,500.28,497.02,498.95,467514
1601451900,498.9,500.43,497.47,499.79,788416
1601455500,499.79,500.43,489.47,494.06,1254034
1601459100,494.11,494.75,492.38,493.37,473828
1601523900,502.31,502.7,492.97,496.23,717093
1601527500,496.23,501.96,496.23,501.22,394991
1601531100,501.22,504.92,500.08,503.49,506460
1601534700,503.49,503.54,499.79,500.03,303695
1601538300,500.03,503.54,499.34,503.15,309902
1601541900,503.15,504.53,500.53,502.75,582943
1601545500,502.7,504.23,501.91,502.75,207541
1601869500,507.1,507.1,499.89,502.36,364160
1601873100,502.36,503.24,499.1,501.52,246720
1601876700,501.52,502.7,499.59,500.58,238843
1601880300,500.58,501.22,497.12,497.66,173930
1601883900,497.66,498.36,496.33,496.68,272776
1601887500,496.68,498.8,495.94,497.66,374094
1601891100,497.66,498.7,496.38,496.82,320695
1601955900,500.78,507.2,498.85,504.58,781125
1601959500,504.63,506.55,501.02,502.36,503198
1601963100,502.36,502.9,499.89,500.43,365937
1601966700,500.53,500.92,498.41,500.03,364498
1601970300,500.03,500.68,496.68,499.05,282347
1601973900,499.05,499.79,498.31,499.64,448280
1601977500,499.79,500.53,498.85,499.79,187217
1602042300,500.78,504.73,499.2,501.42,555103
1602045900,501.42,501.76,496.08,497.02,349580
1602049500,497.07,498.01,495.44,497.22,231130
1602053100,497.17,498.8,496.63,496.68,148266
1602056700,496.68,497.81,495.89,497.32,171230
1602060300,497.32,499.34,496.82,499.0,424056
1602063900,499.0,499.79,497.86,498.7,247716
1602128700,500.58,502.06,497.81,498.65,568914
1602132300,498.65,500.63,490.01,490.9,655975
1602135900,490.75,491.44,485.07,485.56,752278
1602139500,485.56,488.48,479.64,484.73,1095349
1602143100,484.73,486.35,481.76,483.0,974717
1602146700,482.75,484.23,479.05,482.75,963972
1602150300,482.75,483.79,481.66,483.0,337925
1602215100,484.18,487.0,474.65,478.16,1347918
1602218700,478.11,480.48,473.32,475.29,1161068
1602222300,475.29,475.29,468.58,468.82,1299486
1602225900,468.87,471.24,466.7,467.79,928665
1602229500,467.79,470.85,467.04,468.28,639823
1602233100,468.28,470.01,464.43,465.17,889195
1602236700,465.17,467.19,464.28,466.95,368664
1602474300,468.67,477.66,466.6,468.67,1715203
1602477900,468.58,468.77,464.58,466.75,536145
1602481500,466.75,470.06,466.75,469.22,247807
1602485100,469.22,470.35,466.45,467.0,253573
1602488700,467.0,471.79,466.35,470.3,341442
1602492300,470.3,474.3,468.18,468.87,856407
1602495900,468.87,469.17,466.65,468.23,406625
1602560700,467.98,471.64,465.96,470.85,487662
1602564300,470.85,470.85,467.69,467.88,242914
1602567900,467.88,471.14,467.04,470.16,320265
1602571500,470.16,470.25,464.43,465.61,316553
1602575100,465.61,467.93,465.42,466.8,208360
1602578700,466.8,466.9,461.32,464.28,460025
1602582300,464.28,464.62,461.96,462.7,192631
1602647100,462.95,469.86,457.86,469.17,1073848
1602650700,469.22,473.12,468.33,470.16,804200
1602654300,470.16,478.45,468.72,475.74,2035197
1602657900,475.79,479.54,475.09,476.43,1100663
1602661500,476.48,480.92,475.44,479.98,822382
1602665100,479.69,485.37,478.55,483.29,1633419
1602668700,483.29,485.32,482.8,484.48,446149
1602733500,486.95,488.13,477.27,484.43,1280285
1602737100,484.43,487.29,483.79,486.31,453398
1602740700,486.01,486.21,483.79,483.98,458952
1602744300,483.98,484.08,476.48,476.77,545417
1602747900,476.77,477.17,466.95,468.08,660227
1602751500,468.23,470.85,465.22,468.43,959940
