datetime,open,high,low,close,volume
1601264700,128.9,132.7,127.5,132.45,18792972
1601268300,132.45,134.3,131.7,134.05,12187722
1601271900,134.1,134.25,132.5,133.7,7902870
1601275500,133.65,133.9,132.2,133.2,8498327
1601279100,133.15,133.65,132.5,133.1,5534060
1601282700,133.2,133.4,132.5,132.8,5771412
1601286300,132.85,133.25,132.5,133.1,3062588
1601351100,134.95,136.0,131.7,133.3,22790956
1601354700,133.4,133.7,130.95,131.55,12328629
1601358300,131.55,132.5,130.7,132.0,6016552
1601361900,132.05,132.4,131.05,131.45,4054729
1601365500,131.4,132.2,130.9,131.9,4838400
1601369100,131.9,132.55,131.2,131.7,8960254
1601372700,131.65,132.1,131.4,131.95,4158485
1601437500,131.55,133.0,130.3,131.45,12185860
1601441100,131.4,132.6,131.3,132.2,6593854
1601444700,132.2,133.0,131.5,132.15,5963329
1601448300,132.15,134.4,132.0,133.5,9428460
1601451900,133.5,134.3,133.4,133.95,5486580
1601455500,134.0,134.1,132.85,133.15,6624494
1601459100,133.2,133.8,133.1,133.4,2443931
1601523900,135.9,136.5,134.6,136.1,12858362
1601527500,136.1,136.2,134.7,134.95,5836167
1601531100,135.0,135.4,134.75,134.95,3371092
1601534700,134.9,135.25,134.2,134.4,3764822
1601538300,134.45,134.5,133.5,133.9,3826753
1601541900,133.9,134.05,132.55,133.45,7384066
1601545500,133.45,133.95,133.25,133.8,3373699
1601869500,136.95,137.5,133.5,134.75,17723969
1601873100,134.75,135.15,133.9,134.3,5764615
1601876700,134.35,134.7,133.1,133.45,4477635
1601880300,133.45,133.85,132.55,132.85,4934670
1601883900,132.8,133.65,132.05,133.5,6285163
1601887500,133.5,135.4,133.2,133.7,12491381
1601891100,133.7,134.3,133.55,134.15,3367834
1601955900,138.0,143.8,136.0,142.25,55429656
1601959500,142.25,144.95,141.8,144.3,26207335
1601963100,144.25,145.2,143.85,144.4,14156071
1601966700,144.35,144.55,142.55,143.2,13587251
1601970300,143.25,145.8,142.9,145.0,21031990
1601973900,145.05,145.6,143.6,145.05,20716120
1601977500,145.1,145.55,144.1,144.25,10464199
1602042300,144.25,144.5,142.0,143.3,21458762
1602045900,143.3,143.5,141.1,141.2,9483307
1602049500,141.2,141.4,139.8,140.2,10328767
1602053100,140.2,141.75,140.1,140.35,7969329
1602056700,140.35,140.95,140.05,140.75,6016454
1602060300,140.7,141.8,140.55,141.05,9809573
1602063900,141.05,141.3,140.85,141.15,2974129
1602128700,142.85,143.5,141.35,141.9,11705501
1602132300,141.9,142.8,141.5,141.85,4877157
1602135900,141.8,141.95,140.0,140.2,6137115
