datetime,open,high,low,close,volume
1601264700,35.99,36.19,35.63,36.05,15602460
1601265600,36.06,36.21,35.8,35.88,8840990
1601266500,35.85,35.94,35.69,35.89,7293300
1601267400,35.89,35.99,35.75,35.81,4231210
1601268300,35.81,35.83,35.57,35.66,4614290
1601269200,35.66,35.85,35.6,35.81,5197290
1601270100,35.8,35.94,35.75,35.83,3904560
1601271000,35.83,35.87,35.72,35.79,2312100
1601271900,35.78,35.88,35.7,35.86,2617530
1601272800,35.86,35.92,35.8,35.89,2773490
1601273700,35.88,36.1,35.76,36.08,5288280
1601274600,36.07,36.28,35.99,36.17,7244360
1601275500,36.17,36.22,36.0,36.05,3256470
1601276400,36.05,36.09,35.91,35.96,2559330
1601277300,35.96,36.1,35.92,36.07,1574480
1601278200,36.07,36.49,36.07,36.39,11554860
1601279100,36.38,36.43,36.25,36.3,2988320
1601280000,36.3,36.37,36.26,36.3,2158120
1601280900,36.3,36.44,36.3,36.4,2564720
1601281800,36.4,36.42,36.25,36.35,2355400
1601282700,36.35,36.4,36.22,36.39,2321720
1601283600,36.39,36.42,36.19,36.24,3644230
1601284500,36.25,36.3,36.05,36.08,5024990
1601285400,36.08,36.19,36.05,36.14,5561860
1601286300,36.13,36.17,36.02,36.13,6707760
1601351100,36.5,36.79,36.34,36.7,12797130
1601352000,36.7,36.72,36.28,36.48,9097810
1601352900,36.48,36.54,36.17,36.36,6499550
1601353800,36.35,36.57,36.24,36.53,5010410
1601354700,36.54,36.76,36.49,36.74,11180720
1601355600,36.74,36.94,36.73,36.83,11266670
1601356500,36.83,36.83,36.53,36.6,9599220
1601357400,36.6,36.65,36.33,36.47,8497110
1601358300,36.46,36.55,36.34,36.53,4556090
1601359200,36.53,36.63,36.42,36.6,3864890
1601360100,36.57,36.65,36.56,36.63,4751870
1601361000,36.63,36.75,36.53,36.62,4341840
1601361900,36.62,36.74,36.53,36.72,3303480
1601362800,36.74,36.78,36.49,36.55,4982270
1601363700,36.55,36.55,36.33,36.47,5985770
1601364600,36.46,36.54,36.42,36.48,2165510
1601365500,36.48,36.65,36.44,36.6,2799940
1601366400,36.6,36.6,36.42,36.53,2465030
1601367300,36.52,36.68,36.51,36.68,2994420
1601368200,36.68,36.73,36.53,36.72,4486660
1601369100,36.72,36.99,36.66,36.87,10996560
1601370000,36.88,37.12,36.83,37.01,13974160
1601370900,37.03,37.14,36.85,36.9,13185990
1601371800,36.9,37.18,36.85,37.01,10838270
1601372700,37.01,37.09,36.92,36.95,9044690
1601437500,37.1,37.15,36.73,36.76,11657640
1601438400,36.76,37.06,36.74,36.85,6817100
1601439300,36.85,36.92,36.71,36.74,4844820
1601440200,36.74,36.74,36.52,36.55,6239360
1601441100,36.56,36.82,36.54,36.77,4678930
1601442000,36.77,36.81,36.63,36.67,2655050
1601442900,36.67,36.73,36.55,36.57,2814010
1601443800,36.57,36.6,36.4,36.44,4791460
1601444700,36.44,36.59,36.32,36.34,3233930
1601445600,36.32,36.36,36.14,36.17,6259700
1601446500,36.16,36.22,35.87,35.97,8775240
1601447400,35.97,36.16,35.95,36.07,4693150
1601448300,36.07,36.19,36.01,36.12,3187860
1601449200,36.12,36.24,36.05,36.1,3309500
1601450100,36.1,36.21,36.01,36.04,3211640
1601451000,36.04,36.17,35.92,35.94,3299750
1601451900,35.93,36.14,35.86,36.03,4628280
1601452800,36.03,36.15,35.99,36.12,2310620
1601453700,36.13,36.32,36.12,36.2,4973690
1601454600,36.19,36.24,36.06,36.14,2756680
1601455500,36.13,36.17,35.98,36.01,3619620
1601456400,36.0,36.05,35.89,35.93,4924890
1601457300,35.93,36.05,35.82,35.9,4132480
1601458200,35.9,36.14,35.85,35.99,13268120
1601459100,35.99,36.0,35.8,35.87,8358240
1601523900,36.43,36.73,36.32,36.59,11188040
1601524800,36.59,36.6,36.46,36.47,4445240
1601525700,36.47,37.03,36.45,36.87,11828630
1601526600,36.87,36.96,36.84,36.89,3477990
1601527500,36.88,36.95,36.75,36.8,3389410
1601528400,36.8,36.84,36.71,36.73,1966320
1601529300,36.73,36.73,36.53,36.58,5180140
1601530200,36.58,36.7,36.56,36.65,3095320
1601531100,36.65,36.7,36.62,36.67,1431540
