datetime,open,high,low,close,volume
1601264700,779.35,784.0,772.0,776.95,269627
1601265000,777.2,780.45,775.05,776.3,106508
1601265300,776.4,776.55,774.35,775.2,95496
1601265600,775.2,776.7,774.3,775.0,58307
1601265900,774.8,776.85,773.6,776.6,67152
1601266200,776.6,777.5,774.65,775.05,58555
1601266500,775.0,776.7,775.0,775.5,39622
1601266800,775.5,778.3,775.0,777.85,63247
1601267100,777.85,777.95,774.0,774.5,104894
1601267400,774.95,777.95,774.5,776.0,66496
1601267700,775.95,776.9,775.1,775.25,22376
1601268000,775.5,775.9,774.1,775.5,50207
1601268300,775.8,775.9,775.0,775.1,10340
1601268600,775.1,776.0,774.8,775.3,14167
1601268900,775.3,775.7,774.05,774.35,15084
1601269200,774.35,775.4,774.1,774.9,10939
1601269500,774.9,777.3,774.65,776.45,51039
1601269800,776.45,777.6,775.25,776.0,44379
1601270100,776.0,777.1,775.5,776.0,52355
1601270400,776.0,777.25,776.0,777.0,53689
1601270700,776.55,776.8,775.55,775.8,34643
1601271000,775.8,776.15,774.1,775.75,57602
1601271300,775.75,776.4,774.7,775.3,44728
1601271600,775.05,776.0,774.7,775.3,61941
1601271900,775.3,779.15,775.25,777.3,104306
1601272200,777.5,777.65,774.5,774.95,40962
1601272500,774.95,776.85,774.5,776.2,46334
1601272800,776.2,777.5,775.25,777.0,26260
1601273100,776.9,778.0,776.1,778.0,19722
1601273400,778.0,779.5,777.5,779.05,66345
1601273700,779.1,781.65,779.05,780.7,79415
1601274000,780.7,781.65,780.0,780.85,51727
1601274300,780.85,784.4,780.85,783.4,99004
1601274600,783.9,783.9,781.0,782.95,42471
1601274900,782.95,782.95,780.05,780.6,40895
1601275200,780.6,781.15,779.15,780.65,56309
1601275500,780.65,780.65,777.05,779.4,110222
1601275800,779.0,779.1,777.6,777.6,30134
1601276100,777.75,778.9,777.0,778.8,40481
1601276400,778.8,778.8,776.05,776.3,31909
1601276700,776.3,777.0,775.35,776.95,92396
1601277000,776.95,778.8,776.95,778.65,26995
1601277300,778.65,778.65,776.85,778.5,20771
1601277600,778.5,778.5,776.0,776.9,20793
