datetime,open,high,low,close,volume
1601264700,641.0,660.0,638.05,650.75,149614
1601275500,651.2,667.1,651.15,662.9,140204
1601286300,662.85,674.7,660.1,670.0,32031
1601351100,680.0,682.0,665.0,669.3,159471
1601361900,669.3,669.7,650.0,654.85,204318
1601372700,654.95,685.0,654.95,685.0,127515
1601437500,683.95,683.95,670.1,678.0,525959
1601448300,677.8,679.65,665.05,668.15,240481
1601459100,668.15,682.1,665.5,680.15,85050
1601523900,680.0,683.0,663.0,665.0,89411
1601534700,665.0,677.3,661.65,677.3,167647
1601545500,677.3,677.3,674.25,677.0,49031
1601869500,670.0,675.95,640.0,670.3,112705
1601880300,669.9,673.35,668.05,670.65,127871
1601891100,670.65,670.95,665.0,665.95,36660
1601955900,669.4,683.0,669.4,680.05,98785
1601966700,680.0,683.95,676.5,681.3,548595
1601977500,681.4,682.5,674.35,677.0,32575
1602042300,680.0,682.05,666.25,675.0,1623425
1602053100,675.0,678.9,669.5,675.3,68336
1602063900,675.3,676.9,672.0,674.65,24853
1602128700,674.0,698.9,673.1,693.0,1010159
1602139500,693.05,698.9,682.0,689.4,396576
1602150300,689.4,693.0,688.05,692.0,34085
1602215100,689.8,689.8,675.0,679.8,383411
1602225900,679.8,685.0,678.2,680.25,356772
1602236700,680.25,681.0,676.0,676.0,20709
1602474300,679.5,687.5,676.85,681.75,149217
1602485100,681.75,712.75,681.75,702.55,625719
1602495900,703.0,703.9,699.0,699.95,56472
1602560700,704.65,704.65,683.0,696.45,508542
1602571500,696.45,696.45,686.0,694.65,277383
1602582300,694.05,699.0,688.0,688.0,36577
1602647100,689.9,690.75,675.4,677.9,219422
1602657900,678.0,678.95,673.25,673.75,195248
1602668700,673.7,675.0,629.8,630.0,176323
1602733500,644.95,674.55,638.05,664.0,155091
1602744300,664.0,670.45,641.0,649.5,136678
1602755100,650.0,672.35,641.2,668.0,106389
1602819900,655.1,669.65,655.1,661.0,53141
1602830700,660.95,675.0,658.9,661.3,63588
1602841500,661.3,664.5,660.1,661.0,11530
1603079100,668.5,668.5,646.35,649.2,70664
1603089900,649.2,651.65,642.3,646.9,53670
1603100700,646.9,647.9,645.0,646.85,14616
1603165500,642.5,664.95,642.5,653.35,100840
1603176300,653.35,654.35,638.35,639.5,103419
1603187100,639.5,640.25,637.15,640.0,28329
1603251900,645.8,662.25,641.35,644.8,79206
1603262700,644.8,645.0,633.35,635.3,79559
1603273500,635.3,637.2,631.5,636.7,14794
1603338300,637.2,643.8,628.35,631.3,50064
1603349100,631.3,641.0,627.0,633.65,126311
1603359900,633.65,660.4,633.65,642.2,168585
1603424700,644.0,649.0,633.0,635.2,110321
1603435500,635.0,638.0,632.15,636.25,79620
1603446300,636.25,638.35,633.6,634.0,30781
1603683900,636.15,646.75,630.1,633.35,64749
1603694700,632.85,639.0,628.0,634.95,53037
1603705500,634.0,635.05,632.15,632.2,12663
1603770300,632.0,685.95,632.0,678.8,695757
1603781100,678.6,710.7,675.4,679.8,1681134
1603791900,679.8,697.0,678.0,697.0,231846
1603856700,701.0,704.0,675.55,682.0,551201
1603867500,682.0,688.1,672.65,682.45,673233
1603878300,682.45,695.25,681.15,690.25,136222
1603943100,685.9,685.9,665.35,671.65,173174
1603953900,671.9,677.95,668.05,674.8,122357
1603964700,674.95,676.45,665.15,670.0,58749
1604029500,672.0,675.8,657.15,659.75,101328
1604040300,659.9,662.5,654.5,659.95,127090
1604051100,660.0,660.05,656.55,659.0,20084
1604288700,662.85,669.8,640.95,653.4,150816
1604299500,653.4,682.0,650.0,677.1,155217
1604310300,677.2,678.0,672.4,675.0,27198
1604375100,676.9,683.8,668.4,677.35,108253
1604385900,677.65,680.0,653.2,654.65,223074
1604396700,655.2,655.85,652.0,654.55,40364
1604461500,658.05,682.5,658.05,676.4,228241
1604472300,676.95,682.0,663.0,669.55,126625
1604483100,669.6,670.0,665.55,667.6,13318
1604547900,677.55,680.0,667.05,670.0,143793
1604558700,670.0,681.0,663.1,676.85,177782
1604569500,676.85,688.0,676.25,684.0,40840
1604634300,675.4,680.0,628.0,674.8,360651
1604645100,674.9,675.35,671.6,673.85,658302
1604655900,673.95,675.15,669.75,671.0,108433
1604893500,676.95,685.3,672.05,679.65,382834
1604904300,679.65,692.0,675.0,680.6,504963
1604915100,680.55,684.0,678.15,682.5,119482
1604979900,688.0,698.0,675.3,687.7,600295
1604990700,687.7,706.4,676.0,698.8,684565
1605001500,698.8,701.85,692.7,693.75,84929
1605066300,725.0,779.9,703.15,705.85,3611011
1605077100,705.85,722.0,697.35,703.3,1966431
1605087900,703.3,703.9,692.0,698.0,220534
1605152700,692.95,727.9,690.0,720.8,890340
1605163500,720.8,729.8,717.2,725.6,1069289
1605174300,725.6,725.6,721.8,725.0,200022
1605239100,722.2,751.9,720.5,748.8,965247
1605249900,748.8,758.45,747.35,754.55,1055544
1605260700,754.55,758.0,747.7,750.0,171765
1605357900,751.05,759.0,751.05,754.95,82436
1605584700,755.0,779.8,755.0,765.2,1094497
1605595500,764.8,765.75,738.2,744.3,796134
1605606300,744.35,745.5,738.0,742.05,127678
1605671100,744.05,766.0,744.05,754.9,571477
1605681900,754.9,765.0,741.0,761.05,687973
1605692700,761.05,765.0,761.05,765.0,166816
1605757500,762.0,773.95,746.1,747.65,629187
1605768300,747.65,749.95,743.0,745.5,544796
1605779100,745.05,751.9,741.2,750.7,89186
1605843900,749.8,775.0,726.05,747.85,840468
1605854700,747.9,760.5,745.1,759.9,631079
1605865500,759.95,760.95,755.1,759.95,99355
1606103100,762.0,808.95,762.0,788.0,1373827
1606113900,788.0,789.0,755.9,788.7,1071182
1606124700,788.75,793.0,781.65,783.0,216172
1606189500,786.65,800.0,783.15,786.6,1110048
1606200300,787.0,790.95,755.35,772.5,795143
1606211100,772.5,780.0,770.0,773.8,185350
1606275900,774.0,779.75,742.0,743.85,399629
1606286700,744.2,744.95,730.45,734.0,351903
1606297500,734.6,735.6,725.0,728.0,101434
1606362300,734.75,741.0,701.35,707.0,449784
1606373100,707.0,716.95,705.0,708.0,623710
1606383900,708.0,708.5,704.35,705.0,136759
1606448700,712.95,737.0,703.2,707.55,2529488
1606459500,707.55,725.0,695.3,725.0,11801990
1606470300,725.0,739.0,719.5,720.9,8486638
1606794300,732.9,745.1,711.0,713.15,1104820
1606805100,713.2,719.95,705.35,715.9,546009
1606815900,715.75,718.2,711.05,712.75,102924
1606880700,714.0,717.5,695.0,696.45,486582
1606891500,696.45,699.05,688.05,688.9,697198
1606902300,688.85,700.35,685.0,691.9,297135
1606967100,699.3,700.05,675.0,677.8,744210
1606977900,677.8,679.1,675.0,677.95,323895
1606988700,677.95,678.0,675.15,678.0,101846
1607053500,680.0,691.4,679.0,680.2,364835
1607064300,680.75,682.5,668.45,678.55,377938
1607075100,679.0,679.0,671.2,675.9,71026
1607312700,680.9,688.9,672.0,686.05,350993
1607323500,685.5,694.0,682.0,690.75,330324
1607334300,690.3,698.0,690.3,692.25,121545
1607399100,701.0,707.95,690.5,693.45,383503
1607409900,693.5,694.35,683.35,686.3,276416
1607420700,686.25,694.4,683.8,692.1,117088
1607485500,684.0,698.0,680.0,683.1,1050366
1607496300,682.75,685.0,682.5,683.4,182271
1607507100,683.05,684.0,683.0,683.5,61106
1607571900,686.85,693.85,679.2,681.2,611931
1607582700,681.2,681.55,674.5,677.1,221492
1607593500,677.05,677.85,674.0,675.95,39397
1607658300,676.0,692.95,676.0,685.65,270725
1607669100,685.75,690.0,681.5,689.75,227358
1607679900,689.75,691.3,687.1,687.55,54780
1607917500,695.0,704.4,693.0,699.9,405118
1607928300,700.2,703.5,696.35,699.05,229554
1607939100,699.95,701.55,698.0,699.0,47672
1608003900,703.9,718.0,702.0,710.95,587386
1608014700,710.95,711.8,702.1,708.85,301674
1608025500,708.85,710.0,707.1,709.95,61287
1608090300,716.5,724.0,708.0,710.1,746593
1608101100,710.05,720.0,709.6,717.6,573969
1608111900,717.6,717.9,706.0,714.0,88288
1608176700,721.0,721.0,700.3,702.45,465010
1608187500,702.65,705.0,698.2,700.8,492808
1608198300,701.05,702.0,700.0,701.0,56266
1608263100,702.0,709.3,698.0,699.8,335079
1608273900,699.8,702.5,695.5,697.45,197242
1608284700,697.25,698.95,695.9,697.5,107578
1608522300,698.0,698.0,677.3,679.7,245774
1608533100,679.7,691.0,634.3,688.2,582972
1608543900,687.7,700.05,675.0,678.7,210697
1608608700,670.0,684.0,662.0,669.75,215346
1608619500,669.75,694.8,664.8,693.8,204029
1608630300,693.65,694.75,688.2,690.0,37043
1608695100,692.2,694.0,678.0,684.1,112446
1608705900,683.55,684.95,679.0,680.95,335191
1608716700,680.55,681.05,679.85,681.0,64454
1608781500,683.0,691.65,675.5,677.65,796319
1608792300,677.65,684.7,676.1,680.95,202659
1608803100,680.85,690.05,675.0,682.0,129600
1609127100,684.0,695.0,684.0,685.95,210712
1609137900,685.95,686.4,682.0,684.0,574065
1609148700,684.05,684.05,682.0,683.8,32698
1609213500,687.95,690.0,675.35,676.6,285295
1609224300,676.6,677.5,669.0,672.8,238334
1609235100,672.55,673.7,670.1,670.55,53555
1609299900,674.6,684.2,650.0,682.8,224144
1609310700,682.75,683.0,667.0,669.95,292134
1609321500,670.0,690.25,669.0,682.05,145300
1609386300,681.1,686.95,675.1,678.35,207667
1609397100,678.45,690.0,678.2,688.55,486127
1609407900,689.0,689.2,685.0,686.0,92399
1609472700,690.9,691.95,681.45,683.9,55203
1609483500,683.9,685.0,673.7,674.85,194452
1609494300,674.9,675.6,672.0,674.0,76887
1609731900,679.0,683.3,674.0,680.8,141521
1609742700,680.8,681.45,674.5,679.65,365570
1609753500,679.8,683.0,677.65,681.3,57265
1609731900,679.0,683.3,674.0,680.8,141521
1609742700,680.8,681.45,674.5,679.65,365570
1609753500,679.8,683.0,677.65,681.3,57265
1609818300,679.9,679.9,672.6,676.0,263719
1609829100,676.0,676.6,672.0,674.95,137382
1609839900,674.9,677.0,672.25,674.95,49084
1609904700,678.9,684.3,676.05,679.85,106960
1609915500,679.85,682.55,672.0,679.0,96552
1609926300,679.0,679.0,673.2,675.0,23436
1609991100,675.85,684.85,674.0,674.55,106640
1610001900,674.5,682.0,673.3,674.25,159338
1610012700,674.25,674.85,672.5,674.0,35531
1610077500,678.0,701.0,674.9,697.8,494789
1610088300,697.55,699.0,686.8,696.6,338621
1610099100,696.6,698.0,694.65,695.1,61816
1610336700,702.9,705.15,688.25,692.5,265110
1610347500,692.4,696.6,688.5,695.55,172549
1610358300,695.85,696.5,691.35,693.05,46851
1610423100,695.0,697.0,685.1,687.7,113492
1610433900,687.3,695.0,683.0,683.45,146290
1610444700,683.45,686.05,683.3,685.0,73274
1610509500,687.9,693.0,675.65,678.5,341408
1610520300,678.75,680.35,667.0,674.0,273836
1610531100,674.0,674.0,668.0,671.8,76933
1610595900,676.85,677.0,663.0,665.0,167522
1610606700,665.1,665.65,658.15,658.15,228753
1610617500,658.05,658.7,649.0,650.0,146242
1610682300,653.9,659.0,643.0,650.0,203400
1610693100,650.0,658.5,643.15,644.9,425754
1610703900,644.95,645.0,639.5,643.95,73810
1610941500,645.9,649.95,630.0,633.0,143099
1610952300,633.0,639.85,631.9,636.75,189106
1610963100,636.75,700.0,634.15,661.0,154615
1611027900,669.0,673.0,661.0,663.6,148373
1611038700,663.65,668.3,656.05,666.9,118062
1611049500,666.9,690.25,666.8,680.1,169111
1611114300,677.0,680.0,667.6,669.5,105834
1611125100,669.05,670.2,664.2,666.7,213654
1611135900,666.7,695.0,657.0,695.0,304427
1611200700,685.0,685.0,668.45,670.0,441089
1611211500,669.9,672.75,662.5,667.65,345094
1611222300,667.6,668.05,660.55,660.55,87045
1611287100,663.0,665.05,653.35,659.6,598004
1611297900,659.6,661.5,642.0,642.0,419918
1611308700,641.25,680.0,640.05,665.1,239571
1611546300,666.0,673.7,652.8,669.0,151952
1611557100,669.0,677.0,665.6,671.8,207214
1611567900,671.8,673.0,663.0,663.5,50089
1611719100,663.0,672.75,656.1,667.5,151245
1611729900,666.5,667.0,653.4,659.95,155934
1611740700,660.0,660.0,655.15,655.15,82125
1611805500,650.0,668.0,649.95,660.2,85709
1611816300,660.2,662.3,647.0,649.95,239000
1611827100,649.9,677.15,647.0,652.0,146463
1611891900,657.1,662.55,644.5,644.7,122612
1611902700,644.7,646.85,620.8,622.8,414044
1611913500,622.8,642.05,585.0,628.9,405520
1612140300,629.0,629.0,629.0,629.0,1055
1612151100,631.0,645.0,625.1,640.1,198430
1612161900,641.9,650.0,639.35,641.1,317937
1612172700,640.85,644.0,640.0,640.0,61179
1612237500,641.9,651.0,641.15,648.8,184153
1612248300,648.75,653.0,647.1,652.2,142371
1612259100,652.2,682.0,652.0,668.0,403963
1612323900,673.45,678.0,664.05,677.4,213506
1612334700,677.4,679.0,671.1,677.55,172523
1612345500,677.6,690.0,671.0,676.0,251046
1612410300,679.95,679.95,666.5,672.8,152069
1612421100,672.8,674.75,665.0,669.85,193189
1612431900,670.3,670.5,662.0,663.0,79321
1612496700,679.2,692.0,672.6,678.95,681482
1612507500,679.6,690.0,668.0,689.3,574950
1612518300,689.25,692.1,686.0,686.1,153688
1612755900,695.9,695.9,682.0,692.5,301905
1612766700,692.5,695.0,686.7,690.85,185182
1612777500,691.9,693.25,689.95,689.95,31464
1612842300,694.5,694.7,688.35,691.5,105503
1612853100,691.0,691.35,671.05,681.1,316038
1612863900,681.0,682.0,675.0,675.0,30317
1612928700,676.95,679.9,670.0,673.3,68164
1612939500,673.3,682.65,670.3,682.25,68189
1612950300,682.5,699.0,682.5,692.7,199137
1613015100,689.0,692.0,677.2,680.5,120011
1613025900,680.5,693.0,679.7,690.5,158411
1613036700,690.55,699.0,690.1,690.85,159196
1613101500,689.0,693.0,684.05,687.95,52189
1613112300,687.95,694.95,685.3,687.0,87189
1613123100,687.25,687.7,681.5,681.5,28662
1613360700,685.9,692.0,680.95,689.0,246757
1613371500,689.0,699.0,688.15,695.0,244942
1613382300,695.55,712.95,694.8,710.15,223947
1613447100,710.7,736.0,710.0,734.15,991481
1613457900,734.55,755.0,723.05,754.15,906717
1613468700,754.9,758.0,745.5,751.0,192108
1613533500,749.2,778.0,730.25,772.65,831542
1613544300,772.65,776.0,764.0,767.6,439769
1613555100,767.6,770.0,764.55,768.0,73109
1613619900,770.0,777.0,765.35,771.0,151790
1613630700,770.15,786.85,765.4,781.95,236446
1613641500,781.25,783.95,768.5,770.1,69704
1613706300,772.0,780.0,765.55,774.85,141849
1613717100,774.85,805.0,766.0,795.55,385858
1613727900,796.0,800.0,792.65,792.65,101390
1613965500,799.75,844.9,792.0,829.95,1192668
1613976300,829.95,830.0,812.1,816.65,400981
1613987100,816.6,818.05,806.05,815.0,68709
1614051900,824.9,832.95,807.7,810.05,186363
1614062700,810.55,812.55,783.0,785.2,183233
1614073500,785.05,788.75,780.5,786.6,46326
1614138300,784.1,787.75,763.0,775.5,229721
1614159900,771.55,799.55,766.45,795.55,71548
1614224700,794.8,802.35,788.75,793.3,327863
1614235500,793.3,822.25,793.05,820.95,319825
1614246300,820.95,825.0,810.1,823.2,81074
1614311100,800.1,823.0,792.0,797.05,263315
1614321900,797.05,823.0,786.0,807.45,502830
1614332700,807.45,819.4,801.5,818.0,287249
1614570300,820.0,839.9,806.65,822.3,252455
1614581100,822.35,834.25,819.8,834.25,134313
1614591900,834.1,835.0,826.05,830.0,55256
1614656700,838.0,909.75,830.45,887.05,2048010
1614667500,887.05,921.55,882.25,908.45,1575393
1614678300,908.45,908.8,901.2,908.0,174970
1614743100,923.0,923.0,891.0,907.55,1056214
1614753900,907.55,916.0,902.05,910.5,369053
1614764700,910.25,917.0,910.05,912.0,101603
1614829500,900.0,944.7,895.05,931.95,698839
1614840300,932.0,934.15,914.1,926.2,388434
1614851100,926.2,930.0,920.4,924.05,83006
1614915900,925.0,935.8,914.45,928.2,265257
1614926700,928.0,933.65,877.25,879.0,385200
1614937500,878.95,879.95,877.05,878.5,99596
