datetime,open,high,low,close,volume
1601264700,157.5,158.5,156.25,156.48,2853420
1601265300,156.38,157.0,156.15,156.63,956192
1601265900,156.63,157.8,156.6,156.93,1104488
1601266500,157.03,157.75,156.95,157.75,748540
1601267100,157.75,158.18,157.45,157.82,926364
1601267700,157.82,157.88,157.28,157.63,480324
1601268300,157.63,157.73,156.9,156.9,538294
1601268900,156.9,157.1,156.75,156.98,503068
1601269500,156.98,157.35,156.8,157.03,701786
1601270100,157.03,157.1,156.4,156.4,786540
1601270700,156.4,156.75,156.35,156.55,583846
1601271300,156.55,156.6,156.23,156.43,378334
1601271900,156.43,156.5,155.88,155.98,502694
1601272500,155.95,156.35,155.78,156.3,461058
1601273100,156.25,156.68,156.23,156.5,338588
1601273700,156.5,156.93,156.38,156.82,372952
1601274300,156.93,157.25,156.55,156.78,929804
1601274900,156.78,156.82,156.5,156.63,236512
1601275500,156.57,156.7,156.18,156.6,275290
1601276100,156.53,156.7,156.35,156.4,186792
1601276700,156.35,156.7,156.25,156.65,235382
1601277300,156.65,156.65,156.25,156.4,289246
1601277900,156.4,156.45,156.1,156.1,243478
1601278500,156.1,156.3,155.7,156.1,462350
1601279100,156.1,156.28,155.5,155.5,453392
1601279700,155.5,155.9,155.07,155.3,742814
1601280300,155.3,155.65,155.3,155.48,435688
1601280900,155.48,155.63,155.25,155.55,455084
1601281500,155.5,155.6,155.18,155.55,393430
1601282100,155.55,155.55,155.3,155.4,256498
1601282700,155.48,155.6,155.35,155.55,347512
1601283300,155.55,155.63,155.4,155.45,491480
1601283900,155.45,155.55,155.32,155.43,301588
1601284500,155.5,155.5,154.8,155.2,640798
1601285100,155.13,155.65,154.82,155.65,1282638
1601285700,155.65,156.23,155.53,155.95,1656920
1601286300,155.93,156.25,155.2,156.0,1881958
1601286900,155.98,156.1,155.75,155.78,422492
1601351100,157.5,157.5,156.0,157.32,1956488
1601351700,157.32,157.65,156.85,157.38,1211818
1601352300,157.35,157.75,156.55,157.73,1259662
1601352900,157.8,159.2,157.75,158.55,2635346
1601353500,158.65,159.28,158.18,159.03,1410082
1601354100,159.07,159.13,157.85,157.85,1703252
1601354700,157.88,158.0,156.75,157.0,1732524
1601355300,157.07,157.23,156.78,157.18,821630
1601355900,157.2,157.2,156.3,156.5,992968
1601356500,156.5,156.57,155.57,156.1,1090890
1601357100,156.15,156.6,155.25,155.38,1465506
1601357700,155.35,155.57,155.25,155.5,748812
