datetime,open,high,low,close,volume
1601264700,157.5,158.5,156.15,156.48,3410280
1601265600,156.55,157.8,156.38,156.93,1503820
1601266500,157.03,157.75,156.95,157.55,1069222
1601267400,157.6,158.18,157.28,157.63,1086006
1601268300,157.63,157.73,156.75,157.05,850558
1601269200,157.05,157.35,156.8,157.03,892590
1601270100,157.03,157.1,156.35,156.7,1177186
1601271000,156.7,156.7,156.23,156.43,571534
1601271900,156.43,156.5,155.78,156.07,728618
1601272800,156.07,156.68,155.82,156.5,573722
1601273700,156.5,157.25,156.38,157.07,898392
1601274600,157.07,157.07,156.5,156.63,640876
1601275500,156.57,156.7,156.18,156.6,359544
1601276400,156.6,156.7,156.25,156.65,337920
1601277300,156.65,156.65,156.25,156.28,396866
1601278200,156.28,156.35,155.7,156.1,598208
1601279100,156.1,156.28,155.35,155.65,799364
1601280000,155.6,155.68,155.07,155.48,832530
1601280900,155.48,155.63,155.25,155.28,648876
1601281800,155.28,155.6,155.18,155.4,456136
1601282700,155.48,155.63,155.35,155.53,657780
1601283600,155.63,155.63,155.32,155.43,482800
1601284500,155.5,155.5,154.8,154.85,1128736
1601285400,154.85,156.23,154.85,155.95,2451620
1601286300,155.93,156.25,155.2,155.78,2304450
1601351100,157.5,157.5,156.0,156.95,2492780
1601352000,156.95,157.75,156.55,157.73,1935188
1601352900,157.8,159.2,157.75,158.45,3241224
1601353800,158.5,159.28,157.85,157.85,2507456
1601354700,157.88,158.0,156.75,157.2,2174802
1601355600,157.2,157.2,156.3,156.5,1372320
1601356500,156.5,156.6,155.57,156.32,1480228
1601357400,156.28,156.3,155.25,155.5,1824980
1601358300,155.48,156.25,155.3,156.0,1011808
1601359200,155.93,156.75,155.9,156.48,990046
1601360100,156.48,156.48,155.88,156.38,543398
1601361000,156.38,156.55,156.1,156.45,470936
1601361900,156.45,156.65,156.18,156.57,453482
1601362800,156.68,156.75,156.25,156.38,525352
1601363700,156.38,156.7,156.0,156.57,741392
1601364600,156.53,157.2,156.45,156.7,1097614
1601365500,156.7,157.13,156.45,157.05,478994
1601366400,157.05,157.2,156.78,156.98,633210
1601367300,156.98,157.13,156.82,156.98,449264
1601368200,157.0,157.05,156.55,156.82,456392
1601369100,156.82,157.0,156.7,156.85,465434
1601370000,156.82,157.13,156.5,156.57,689774
1601370900,156.57,156.85,156.18,156.2,740388
1601371800,156.23,156.38,155.5,155.88,1323690
1601372700,155.88,156.0,155.3,156.0,1500840
1601437500,156.0,156.88,155.5,155.68,2440150
1601438400,155.73,156.03,154.9,154.98,2206924
1601439300,154.95,155.85,154.8,155.4,951542
1601440200,155.4,156.23,155.13,156.0,1013494
1601441100,156.05,156.32,155.88,156.23,717836
1601442000,156.23,157.13,156.18,156.6,1606462
1601442900,156.6,156.93,156.28,156.73,710518
1601443800,156.75,157.23,156.6,156.82,788260
1601444700,156.82,156.85,156.13,156.18,917782
1601445600,156.13,156.48,156.03,156.13,465954
1601446500,156.07,156.63,155.85,156.32,500074
1601447400,156.35,156.73,156.23,156.45,441538
1601448300,156.45,156.5,156.28,156.43,317518
1601449200,156.43,157.0,156.43,156.7,929620
1601450100,156.7,157.23,156.6,157.07,745014
1601451000,157.07,157.25,156.78,156.8,625354
1601451900,156.8,157.5,156.75,157.3,1111748
1601452800,157.3,157.93,157.18,157.48,988232
1601453700,157.48,157.63,156.9,157.0,649628
1601454600,157.07,157.25,156.78,156.85,554264
1601455500,156.85,156.93,156.3,156.63,1006058
1601456400,156.63,156.88,156.45,156.55,348876
1601457300,156.55,156.88,156.45,156.75,775736
1601458200,156.75,156.9,156.65,156.82,1275430
1601459100,156.85,157.48,156.2,156.63,2647332
1601523900,158.2,158.2,157.05,157.18,1754774
1601524800,157.18,158.68,156.88,158.3,2492710
1601525700,158.25,158.82,157.7,158.75,1995540
1601526600,158.8,158.93,157.8,158.25,1353182
1601527500,158.2,158.3,157.28,157.7,913712
1601528400,157.7,157.75,157.15,157.25,626860
1601529300,157.25,157.55,157.2,157.45,408734
1601530200,157.45,157.5,157.25,157.5,278594
1601531100,157.48,157.6,157.4,157.5,617216
1601532000,157.48,157.85,157.38,157.82,668732
1601532900,157.82,157.82,157.3,157.45,306156
1601533800,157.5,157.7,157.15,157.15,387560
1601534700,157.15,157.43,157.1,157.28,294314
1601535600,157.3,157.4,157.1,157.3,263396
1601536500,157.3,157.48,157.0,157.05,443758
1601537400,157.05,157.32,156.93,157.13,360230
1601538300,157.13,157.25,157.0,157.13,116420
1601539200,157.13,157.43,157.05,157.15,331666
1601540100,157.15,157.3,157.05,157.23,190242
1601541000,157.23,157.28,156.88,157.0,293666
1601541900,156.95,157.05,156.35,156.35,656760
1601542800,156.43,156.57,156.03,156.35,711852
1601543700,156.35,156.43,156.07,156.28,337970
1601544600,156.28,156.85,156.13,156.73,1166150
1601545500,156.73,156.78,156.13,156.6,1497254
1601869500,157.6,163.15,157.6,161.85,7608318
1601870400,161.88,163.6,161.88,163.1,3557806
1601871300,163.1,164.85,163.1,164.55,4321776
1601872200,164.5,165.28,164.08,164.15,4340796
1601873100,164.2,164.2,163.13,163.43,3594064
1601874000,163.45,163.6,162.78,163.55,2447292
1601874900,163.6,164.73,163.38,163.73,3482984
1601875800,163.75,164.43,163.32,164.2,1998084
1601876700,164.2,164.35,163.73,163.73,1312036
1601877600,163.73,164.05,163.48,164.0,1278710
1601878500,164.05,165.65,163.9,165.08,4768594
1601879400,165.08,166.15,165.08,165.45,4028942
1601880300,165.4,165.9,165.25,165.6,1474524
1601881200,165.6,165.75,165.25,165.4,1441134
1601882100,165.4,165.53,165.0,165.13,1872462
1601883000,165.18,166.38,165.05,165.75,2380240
1601883900,165.75,165.98,165.35,165.8,1412188
1601884800,165.75,166.73,165.65,166.33,3215124
1601885700,166.3,167.25,166.25,166.95,3702926
1601886600,166.95,167.2,166.55,166.88,2281780
1601887500,166.95,167.0,166.13,166.48,2106348
1601888400,166.45,166.68,166.05,166.23,2038422
1601889300,166.25,166.6,165.78,166.48,2609098
1601890200,166.45,167.25,166.13,166.75,4178628
1601891100,166.7,168.0,166.7,167.6,6285168
1601955900,167.5,167.65,163.43,164.45,6939690
1601956800,164.45,165.78,164.15,164.85,3467316
1601957700,164.83,165.08,163.9,163.95,2206886
1601958600,163.88,163.98,163.18,163.45,2508300
1601959500,163.48,164.2,163.15,163.5,1879488
1601960400,163.53,163.73,163.25,163.5,1689266
1601961300,163.5,163.57,162.75,163.07,1759122
1601962200,163.07,163.2,162.28,162.5,1833896
1601963100,162.48,162.5,161.5,161.9,3058516
1601964000,161.98,162.43,161.93,162.15,1123218
1601964900,162.15,162.95,162.05,162.85,1358858
1601965800,162.85,163.3,162.5,162.95,2207656
