episode,symbol,initial_capital,steps,trades,win_rate,current_capital,total_pnl,episode_reward,episode_win_rate,episode_trades,final_capital
1,Bankex_1,100000.0,464,0,44.285714285714285,85009.5999999989,-14990.4000000011,32.37313913121115,0.4428571428571428,140,85009.5999999989
2,Bankex_10,100000.0,124,0,52.94117647058824,90031.60000000047,-9968.399999999529,10.288005500005852,0.5294117647058824,34,90031.60000000047
3,Bankex_15,100000.0,49,0,27.27272727272727,79878.70000000068,-20121.29999999932,-13.435958963899775,0.2727272727272727,11,79878.70000000068
4,Bankex_120,100000.0,10,0,0.0,73676.20000000024,-26323.79999999976,-37.82663353015849,0.0,3,73676.20000000024
5,Bankex_180,100000.0,31,0,55.55555555555556,131305.89999999886,31305.89999999886,105.85350550604136,0.5555555555555556,9,131305.89999999886
6,Bankex_1,100000.0,1392,0,50.11990407673861,139165.19999999413,39165.19999999413,193.398487080358,0.5011990407673861,417,139165.19999999413
7,Bankex_10,100000.0,52,0,33.33333333333333,79215.39999999979,-20784.60000000021,-35.734551869116075,0.3333333333333333,15,79215.39999999979
8,Bankex_15,100000.0,340,0,60.550458715596335,552303.7000000001,452303.70000000007,987.6517166790964,0.6055045871559633,109,552303.7000000001
9,Bankex_120,100000.0,16,0,66.66666666666666,109291.29999999888,9291.299999998882,125.16879444532344,0.6666666666666666,6,109291.29999999888
10,Bankex_180,100000.0,29,0,62.5,86894.20000000042,-13105.79999999958,1278.3631967763763,0.625,8,86894.20000000042
11,Bankex_1,100000.0,857,0,45.78313253012048,80300.95000000081,-19699.049999999188,22.53487238433444,0.4578313253012048,249,80300.95000000081
12,Bankex_10,100000.0,278,0,46.34146341463415,101067.40000000202,1067.400000002017,33.176323615200985,0.4634146341463415,82,101067.40000000202
13,Bankex_15,100000.0,44,0,40.0,77269.0000000003,-22730.99999999969,-17.923123137311528,0.4,10,77269.0000000003
14,Bankex_120,100000.0,44,0,46.15384615384615,116863.0000000008,16863.000000000815,-63.4112692328346,0.4615384615384615,13,116863.0000000008
15,Bankex_180,100000.0,21,0,33.33333333333333,74736.69999999998,-25263.300000000017,-41.63686677120618,0.3333333333333333,6,74736.69999999998
16,Bankex_1,100000.0,340,0,48.51485148514851,90149.8000000001,-9850.199999999895,98.19534088867395,0.4851485148514851,101,90149.8000000001
17,Bankex_10,100000.0,56,0,35.294117647058826,80540.80000000002,-19459.199999999983,-18.62378668068444,0.3529411764705882,17,80540.80000000002
18,Bankex_15,100000.0,74,0,38.095238095238095,79681.29999999954,-20318.700000000463,-19.79401039613348,0.3809523809523809,21,79681.29999999954
19,Bankex_120,100000.0,24,0,33.33333333333333,108522.99999999952,8522.999999999534,-140.2933384122781,0.3333333333333333,6,108522.99999999952
20,Bankex_180,100000.0,34,0,55.55555555555556,100069.1499999998,69.14999999979045,72.00114277965093,0.5555555555555556,9,100069.1499999998
21,Bankex_1,100000.0,2168,0,52.09003215434084,156772.4000000037,56772.40000000369,584.6910819041367,0.5209003215434084,622,156772.4000000037
22,Bankex_10,100000.0,97,0,37.03703703703704,78720.4000000011,-21279.5999999989,-36.17202937585952,0.3703703703703703,27,78720.4000000011
23,Bankex_15,100000.0,43,0,50.0,84922.60000000038,-15077.399999999616,329.20235880546653,0.5,12,84922.60000000038
24,Bankex_120,100000.0,24,0,50.0,80760.40000000023,-19239.599999999773,17.79426730852427,0.5,6,80760.40000000023
25,Bankex_180,100000.0,6,0,0.0,76755.40000000023,-23244.599999999773,-21.9220544666662,0.0,2,76755.40000000023
26,Bankex_1,100000.0,694,0,46.889952153110045,80000.19999999859,-19999.80000000141,10.365847926560706,0.4688995215311005,209,80000.19999999859
27,Bankex_10,100000.0,193,0,50.0,109272.39999999724,9272.39999999723,6.077940712591133,0.5,58,109272.39999999724
28,Bankex_15,100000.0,124,0,45.45454545454545,96510.40000000024,-3489.599999999773,117.74022104057032,0.4545454545454545,33,96510.40000000024
29,Bankex_120,100000.0,12,0,33.33333333333333,54484.59999999999,-45515.40000000001,-53.82456378371285,0.3333333333333333,3,54484.59999999999
30,Bankex_180,100000.0,21,0,33.33333333333333,75106.59999999982,-24893.400000000183,-28.14009408806164,0.3333333333333333,6,75106.59999999982
31,Bankex_1,100000.0,229,0,53.52112676056338,107394.399999999,7394.399999999005,51.2455744905845,0.5352112676056338,71,107394.399999999
32,Bankex_10,100000.0,79,0,40.909090909090914,79291.29999999976,-20708.700000000244,-37.447954367999,0.4090909090909091,22,79291.29999999976
33,Bankex_15,100000.0,99,0,53.125,100750.5999999988,750.5999999988126,-2.2070440830872293,0.53125,32,100750.5999999988
34,Bankex_120,100000.0,9,0,50.0,86327.79999999984,-13672.200000000155,-2.452797657300117,0.5,2,86327.79999999984
35,Bankex_180,100000.0,78,0,66.66666666666666,1339862.100000001,1239862.100000001,2722.7054325770814,0.6666666666666666,24,1339862.100000001
36,Bankex_1,100000.0,482,0,45.71428571428572,92382.69999999728,-7617.300000002724,144.0545367950856,0.4571428571428571,140,92382.69999999728
37,Bankex_10,100000.0,46,0,33.33333333333333,80322.70000000011,-19677.299999999886,-29.64555440711083,0.3333333333333333,15,80322.70000000011
38,Bankex_15,100000.0,29,0,33.33333333333333,79897.00000000026,-20102.999999999734,-27.033756703858224,0.3333333333333333,9,79897.00000000026
39,Bankex_120,100000.0,23,0,80.0,90235.45000000042,-9764.54999999958,1762.0463099749995,0.8,5,90235.45000000042
